geo,time,se_sec_tchr
cyp,1993,4217
cyp,1994,4459
cyp,1995,4641
cyp,1996,5300
cyp,1997,4934
cyp,1999,4900
cyp,2000,4681
cyp,2001,5031
cyp,2002,5258
cyp,2003,5326
cyp,2004,5736
cyp,2005,5694
cyp,2006,5862
cyp,2007,6075
cyp,2008,6353
cyp,2009,6512
cyp,2010,6526
cyp,2011,6466
cyp,2012,6394
cyp,2013,6368
cyp,2014,6032
cyp,2015,5521
cyp,2016,7000
cyp,2017,6643
cyp,2018,6817
cyp,2019,7179
cze,1971,83008
cze,1972,81620
cze,1973,82135
cze,1974,77968
cze,1975,81394
cze,1976,81397
cze,1977,81160
cze,1978,83770
cze,1979,85451
cze,1980,86377
cze,1982,91311
cze,1983,90114
cze,1984,87488
cze,1985,87567
cze,1986,88302
cze,1987,93522
cze,1988,94966
cze,1989,95885
cze,1990,96581
cze,1991,98035
cze,1992,97624
cze,1993,104916
cze,1994,105167
cze,1995,101251
cze,1996,114373
cze,2001,92925
cze,2002,92384
cze,2003,93004
cze,2004,95296
cze,2005,93330
cze,2006,91622
cze,2007,81105
cze,2008,79822
cze,2009,77855
cze,2010,76241
cze,2011,71092
cze,2012,69448
cze,2013,69387
deu,1993,532473
deu,1994,526268
deu,1995,541389
deu,1996,540270
deu,1997,542383
deu,1998,530118
deu,1999,532565
deu,2000,578376
deu,2001,588329
deu,2002,589965
deu,2003,595388
deu,2004,597681
deu,2005,595635
deu,2006,593896
deu,2007,593011
deu,2008,597269
deu,2009,584737
deu,2010,593815
deu,2011,584535
deu,2012,580082
deu,2013,580537.1875
deu,2014,590030
deu,2015,586213.9375
deu,2016,588926.5
deu,2017,586985.9375
deu,2018,586911.8125
deu,2019,587355.875
dji,1972,140
dji,1973,97
dji,1974,106
dji,1975,141
dji,1976,148
dji,1981,278
dji,1982,301
dji,1983,314
dji,1984,334
dji,1985,339
dji,1986,306
dji,1987,317
dji,1988,320
dji,1989,323
dji,1990,328
dji,1992,400
dji,1993,395
dji,1994,510
dji,1996,628
dji,1999,680
dji,2002,644
dji,2006,967
dji,2007,1021
dji,2009,1497
dji,2011,1827
dji,2012,2074
dji,2013,2274
dji,2014,2386
dji,2015,2612
dji,2016,2580
dji,2017,2674
dji,2018,2563
dji,2019,2441
dji,2020,3022
dji,2021,3278
dma,1973,228
dma,1974,274
dma,1975,268
dma,1977,261
dma,1999,376
dma,2000,346
dma,2001,374
dma,2002,443
dma,2003,460
dma,2004,445
dma,2005,496
dma,2006,455
dma,2007,469
dma,2008,506
dma,2009,524
dma,2010,511
dma,2011,535
dma,2013,543
dma,2014,516
dma,2015,520
dma,2016,556
dma,2019,496
dma,2020,500
dnk,1993,52100
dnk,1994,53000
dnk,1995,50100
dnk,1998,44256
dnk,1999,44168
dnk,2000,44587
dnk,2001,43921
dnk,2014,49050
dnk,2018,53930
dnk,2019,54639
dom,1971,4668
dom,2004,28948
dom,2005,30583
dom,2006,32700
dom,2007,31710
dom,2008,37164
dom,2009,34673
dom,2010,32084
dom,2011,31289
dom,2012,31040
dom,2013,33285
dom,2015,42071
dom,2017,49593
dza,1971,11487
dza,1975,16656
dza,1976,19764
dza,1977,22605
dza,1978,27764
dza,1979,32621
dza,1980,37269
dza,1981,41137
dza,1982,47771
dza,1984,61961
dza,1985,69466
dza,1986,82218
dza,1987,94460
dza,1988,105088
dza,1989,113099
dza,1990,120722
dza,1991,127024
dza,1992,131232
dza,1993,135730
dza,1994,143887
dza,1995,146792
dza,1996,150397
dza,1997,151948
ecu,1971,15699
ecu,1972,16138
ecu,1973,17659
ecu,1974,19612
ecu,1975,21085
ecu,1976,23446
ecu,1977,26129
ecu,1978,27804
ecu,1979,35789
ecu,1980,31731
ecu,1981,34868
ecu,1982,37318
ecu,1983,40770
ecu,1984,40840
ecu,1985,44588
ecu,1986,47506
ecu,1987,49749
ecu,1988,53568
ecu,1993,62700
ecu,1996,67414
ecu,1998,75001
ecu,2000,67548
ecu,2001,68963
ecu,2002,71175
ecu,2003,73284
ecu,2004,74685
ecu,2005,75743
ecu,2006,76817
ecu,2007,77904
ecu,2009,76560
ecu,2010,82989
ecu,2011,83720
ecu,2012,82982
ecu,2013,81832
ecu,2014,84324
ecu,2015,86456
ecu,2016,87924.19531
ecu,2017,90642.09375
ecu,2018,91733.54688
ecu,2019,92603.59375
ecu,2020,90124.02344
egy,1971,57986
egy,1972,58556
egy,1974,62684
egy,1975,69470
egy,1976,78789
egy,1977,80745
egy,1978,91083
egy,1979,100288
egy,1980,111877
egy,1981,121999
egy,1982,120958
egy,1983,142916
egy,1984,149712
egy,1986,187580
egy,1987,208247
egy,1988,230089
egy,1990,248101
egy,1991,286797
egy,1992,283170
egy,1993,296668
egy,1994,309131
egy,1995,333706
egy,1996,369107
egy,1997,424586
egy,1999,453967
egy,2000,473713
egy,2001,490647
egy,2002,480685
egy,2003,485186
egy,2004,487709
egy,2009,549344
egy,2016,591205
egy,2017,587512
egy,2018,602579
egy,2019,594045
eri,1993,1856
eri,1994,2095
eri,1995,2162
eri,1996,2193
eri,1997,2071
eri,1999,2278
eri,2000,2501
eri,2001,2710
eri,2002,3097
eri,2003,3014
eri,2004,4058
eri,2005,4225
eri,2006,4188
eri,2007,5053
eri,2009,5644
eri,2010,6413
eri,2011,6495
eri,2012,7010
eri,2013,6981
eri,2014,6654
eri,2015,6322
eri,2016,6435
eri,2017,6766
eri,2018,7436
esp,1971,90770
esp,1972,85611
esp,1981,190251
esp,1982,197097
esp,1983,199776
esp,1984,202610
esp,1985,208923
esp,1986,217364
esp,1987,220317
esp,1988,229366
esp,1989,242126
esp,1990,273258
esp,1991,285557
esp,1992,294438
esp,1993,295972
esp,1994,298137
esp,1995,299056
esp,1996,270866
esp,1999,276582
esp,2000,285179
esp,2001,292759
esp,2002,281206
esp,2003,274801
esp,2004,276928
esp,2005,280030
esp,2006,282222
esp,2007,285033
esp,2008,284084
esp,2009,290569
esp,2010,294775
esp,2011,293861
esp,2012,290401
esp,2013,274393
esp,2014,276116
esp,2015,276487
esp,2016,286786
esp,2017,288074
esp,2018,294148
esp,2019,303911
est,1993,11868
est,1994,11896
est,1995,14183
est,1996,11098
est,1999,11075
est,2000,11938
est,2001,11833
est,2007,11496
est,2008,11272
est,2009,10543
est,2010,10881
est,2011,10344
est,2012,10170
est,2013,9983
est,2016,9133
est,2017,8706
est,2018,8684
est,2019,8861
eth,1971,4885
eth,1972,5544
eth,1973,6054
eth,1974,6922
eth,1986,15861
eth,1988,19376
eth,1989,21983
eth,1991,23319
eth,1992,23705
eth,1993,22600
eth,1994,22470
eth,1995,23605
eth,1996,25984
eth,2008,79962
eth,2009,81887
eth,2010,97660
eth,2011,112608
eth,2012,122147
eth,2020,123323
fin,1971,32247
fin,1972,33351
fin,1973,33993
fin,1974,35419
fin,1975,36151
fin,1977,30799
fin,1978,28595
fin,1979,32650
fin,1980,33077
fin,1981,33958
fin,1982,34248
fin,1983,37098
fin,1984,37356
fin,1999,39267
fin,2000,38776
fin,2001,37925
fin,2002,39276
fin,2003,41555
fin,2004,41953
fin,2005,41982
fin,2006,43840
fin,2007,44170
fin,2008,42991
fin,2009,43319
fin,2010,43076
fin,2011,44493
fin,2012,44843
fin,2013,42578
fin,2014,42085
fin,2016,40768
fin,2017,40018
fin,2018,39691
fin,2019,39860
fji,1998,4301
fji,1999,4609
fji,2000,4840
fji,2001,5036
fji,2002,5142
fji,2003,4029
fji,2004,4558
fji,2006,4200
fji,2007,4327
fji,2008,5265
fji,2011,3813
fji,2012,5041
fra,1971,270949
fra,1972,291949
fra,1973,304681
fra,1974,325886
fra,1977,350388
fra,1978,352982
fra,1979,358916
fra,1980,364758
fra,1989,414268
fra,1990,434018
fra,1991,441452
fra,1992,449511
fra,1993,458870
fra,1994,467848
fra,1995,473673
fra,1996,478592
fra,1997,483493
fra,1999,495240
fra,2000,502510
fra,2001,506304
fra,2002,510467
fra,2003,510943
fra,2004,511278
fra,2005,528062
fra,2006,495424
fra,2007,490955
fra,2008,480564
fra,2009,469085
fra,2010,463172
fra,2011,463976
fra,2012,461328
fra,2013,457049
fra,2018,457912
fra,2019,457956
gab,1971,512
gab,1972,668
gab,1976,1016
gab,1977,1121
gab,1978,1317
gab,1979,1383
gab,1980,1437
gab,1981,1587
gab,1982,1583
gab,1983,1743
gab,1984,2135
gab,1985,2210
gab,1986,2074
gab,1987,2120
gab,1988,2271
gab,1989,2091
gab,1995,2382
gab,1996,3094
gab,1997,2692
gab,1999,3078
gbr,1993,397697
gbr,1994,404307
gbr,1995,452464
gbr,1996,476337
gbr,1997,464134
gbr,1999,354596
gbr,2000,353098
gbr,2001,361610
gbr,2002,356499
gbr,2003,361200
gbr,2004,372888
gbr,2005,387532
gbr,2006,368475
gbr,2007,378882
gbr,2008,375385
gbr,2013,409478
gbr,2014,414227
gbr,2015,412358.71875
gbr,2016,392953.25
gbr,2017,384284.21875
gbr,2018,369139.875
gbr,2019,364150
