geo,time,nv_srv_totl_kn
btn,1995,4214218200
btn,1996,4773572000
btn,1997,5317412900
btn,1998,5912187800
btn,1999,6309896500
btn,2000,7072025900
btn,2001,7491006900
btn,2002,8032818800
btn,2003,8785849600
btn,2004,9734647900
btn,2005,11175596400
btn,2006,12087150300
btn,2007,12820211900
btn,2008,13419465200
btn,2009,15199739000
btn,2010,17044000300
btn,2011,19303415400
btn,2012,19432000000
btn,2013,19747000000
btn,2014,21374200000
btn,2015,23192057800
btn,2016,25464980600
btn,2017,27175710700
btn,2018,29596350000
btn,2019,33504140000
btn,2020,31208110000
bwa,1960,958287228.35409
bwa,1961,1055286965.21346
bwa,1962,1146285748.61661
bwa,1963,1257222593.21608
bwa,1964,1260408174.6497
bwa,1965,1244771530.23966
bwa,1966,1294962452.77337
bwa,1967,1340457057.28429
bwa,1968,1503701770.5186
bwa,1969,1439065626.14846
bwa,1970,1383978163.44226
bwa,1971,1773925917.40718
bwa,1972,2242609184.04995
bwa,1973,2610688883.11053
bwa,1974,2876292467.16885
bwa,1975,3129254340.48239
bwa,1976,3514293124.37626
bwa,1977,3652011529.18436
bwa,1978,4032364409.29475
bwa,1979,4513728020.1508
bwa,1980,4585841420.38793
bwa,1981,4871691797.4472
bwa,1982,5216118071.44486
bwa,1983,5357741480.05833
bwa,1984,6315782797.98695
bwa,1985,7830164874.85275
bwa,1986,8750196738.80275
bwa,1987,10117488267.3503
bwa,1988,12953082055.1911
bwa,1989,15561922074.8774
bwa,1990,16893026641.329
bwa,1991,17973426469.8295
bwa,1992,19225388423.5749
bwa,1993,21155556867.0232
bwa,1994,23500066999.37289
bwa,1995,25885431727.96189
bwa,1996,28502933276.1366
bwa,1997,30612488632.5046
bwa,1998,31612759428.6132
bwa,1999,34825720216.4578
bwa,2000,34396720699.6729
bwa,2001,35396151782.8186
bwa,2002,37403412379.359
bwa,2003,38729632434.6245
bwa,2004,38348867396.0776
bwa,2005,39729940135.8333
bwa,2006,43433777937.6175
bwa,2007,48063537878.3037
bwa,2008,53092612303.8506
bwa,2009,55628714207.1712
bwa,2010,60492330875.1748
bwa,2011,65953538011.7409
bwa,2012,70726627119.2467
bwa,2013,77864836475.65878
