geo,time,nv_mnf_mtrn_zs_un
blz,1992,4.20188
bmu,1996,11.00512
bmu,1997,11.00512
bmu,1998,11.00512
bmu,1999,10.99321
bmu,2000,10.99321
bmu,2001,10.99321
bmu,2002,10.99321
bmu,2003,10.99321
bmu,2004,10.99321
bmu,2005,10.99321
bmu,2006,9.67397
bmu,2007,10.86054
bmu,2008,10.99321
bmu,2009,10.99321
bmu,2010,10.99321
bmu,2011,10.99321
bmu,2012,10.99321
bmu,2013,10.9439
bmu,2014,13.46008
bmu,2015,15.23859
bmu,2016,14.79111
bmu,2017,12.67686
bmu,2018,14.86534
bol,1970,0.17668
bol,1971,0.15456
bol,1973,0.65844
bol,1974,1.30255
bol,1975,1.08741
bol,1976,2.22772
bol,1977,1.62178
bol,1978,1.82223
bol,1979,3.52218
bol,1980,3.49789
bol,1981,2.12741
bol,1982,0.32795
bol,1983,0.57717
bol,1984,0.29429
bol,1985,0.15085
bol,1986,0.11343
bol,1987,0.18077
bol,1988,0.45328
bol,1989,0.73451
bol,1990,0.5256
bol,1991,0.36241
bol,1992,0.42268
bol,1993,0.65297
bol,1994,0.53347
bol,1995,0.3632
bol,1996,0.40185
bol,1997,0.37897
bol,1998,0.36497
bol,1999,0.32074
bol,2000,0.33262
bol,2001,0.21098
bol,2002,0.21098
bol,2003,0.21098
bol,2004,0.21098
bol,2005,0.21098
bol,2006,0.73371
bol,2007,0.73371
bol,2008,0.73371
bol,2009,0.73371
bol,2010,0.7344
bol,2011,0.7344
bol,2012,0.87657
bol,2013,0.87657
bol,2014,0.87657
bra,1990,17.75457
bra,1992,18.09
bra,1993,16.5494
bra,1994,18.11786
bra,1995,20.37124
bra,1996,20.31855
bra,1997,21.04466
bra,1998,19.61689
bra,1999,17.64027
bra,2000,19.10618
bra,2001,19.88434
bra,2002,19.69983
bra,2003,18.56473
bra,2004,19.82596
bra,2005,18.96026
bra,2006,19.60161
bra,2007,20.66196
bra,2008,22.45181
bra,2009,21.27493
bra,2010,22.47779
bra,2011,22.9286
bra,2012,21.67991
bra,2013,22.13353
bra,2014,19.88738
bra,2015,18.42252
bra,2016,16.32765
bra,2017,18.53179
bra,2018,17.14044
bra,2019,17.14044
brb,1970,6.68267
brb,1971,7.41038
brb,1972,7.77876
brb,1973,9.96191
brb,1974,8.84022
brb,1975,8.89271
brb,1976,9.30754
brb,1977,7.55805
brb,1978,5.60295
brb,1979,10.35166
brb,1980,11.23485
brb,1981,12.30791
brb,1982,18.67873
brb,1983,35.98122
brb,1984,35.70314
brb,1985,24.03568
brb,1986,18.66356
brb,1987,12.29715
brb,1988,10.04543
brb,1989,6.45775
brb,1990,4.9594
brb,1991,3.45536
brb,1992,7.26302
brb,1993,7.34092
brb,1994,8.37885
brb,1995,7.54793
brb,1996,7.7559
brb,1997,7.7559
bwa,1995,6.42648
bwa,1997,15.12962
caf,1973,4.18493
caf,1974,2.79823
caf,1975,3.97566
caf,1976,5.74645
caf,1977,5.53453
caf,1978,2.75283
caf,1980,7.7469
caf,1981,6.22074
caf,1982,8.57077
caf,1983,3.41793
caf,1985,3.20197
caf,1986,4.73437
caf,1987,3.11144
caf,1988,3.10033
caf,1989,2.8053
caf,1990,1.91136
can,1963,14.13043
can,1964,14.52632
can,1965,15.85289
can,1966,16.17391
can,1967,17.43129
can,1968,17.66155
can,1969,18.23817
can,1970,16.66044
can,1971,16.90457
can,1972,17.10217
can,1973,16.71867
can,1974,16.58035
can,1975,16.68821
can,1976,16.58519
can,1977,16.94441
can,1978,17.42007
can,1979,17.56841
can,1980,16.49263
can,1981,17.80761
can,1982,17.49386
can,1983,18.23191
can,1984,20.00638
can,1985,20.21308
can,1986,19.05204
can,1987,17.75827
can,1988,18.56658
can,1989,19.69641
can,1990,22.86452
can,1991,23.11744
can,1992,23.79273
can,1993,25.29884
can,1994,25.89111
can,1995,26.55485
can,1996,27.0532
can,1997,28.63741
can,1998,29.19237
can,1999,33.1209
can,2000,31.73777
can,2001,28.99207
can,2002,28.67951
can,2003,27.25724
can,2004,25.9895
can,2005,26.471
can,2006,26.06847
can,2007,27.16515
can,2008,25.34217
can,2009,24.9691
can,2010,24.7895
can,2011,25.04965
can,2012,25.57629
can,2013,25.50946
can,2014,26.04411
can,2015,26.74141
can,2016,25.64611
can,2017,25.00685
can,2018,24.51104
can,2019,24.51104
che,1986,18.49528
che,1987,17.62884
che,1988,17.40397
che,1989,16.89483
che,1990,17.63854
che,1991,17.07411
che,1992,17.39612
che,1993,16.43109
che,1994,15.81904
che,1995,15.11663
che,1996,15.334
che,1997,21.17487
che,1998,21.19162
che,1999,20.51292
che,2000,20.94586
che,2001,16.03714
che,2002,20.12157
che,2003,20.90341
che,2004,19.95552
che,2005,20.29227
che,2006,19.8726
che,2007,19.32607
che,2008,19.74954
che,2009,31.92634
che,2010,32.86177
che,2011,33.38988
che,2012,34.00268
che,2013,33.56553
che,2014,34.64017
che,2015,32.42863
che,2016,30.98316
che,2017,30.42535
che,2018,31.36463
che,2019,32.17534
chl,1963,7.78443
chl,1964,8.73016
chl,1965,9.02062
chl,1966,9.38053
chl,1967,9.73333
chl,1968,10.75269
chl,1969,9.66387
chl,1970,7.69231
chl,1971,8.81946
chl,1972,9.44923
chl,1973,12.22284
chl,1974,6.97102
chl,1975,6.86722
chl,1976,9.20889
chl,1977,9.36211
chl,1978,8.50934
chl,1979,5.49857
chl,1980,4.47589
chl,1981,4.89572
chl,1982,2.78665
chl,1983,2.28109
chl,1984,2.46557
chl,1985,2.13261
chl,1986,2.41124
chl,1987,2.6103
chl,1988,2.81833
chl,1989,3.03497
chl,1990,3.6655
chl,1991,3.30896
chl,1992,4.08885
chl,1993,3.90684
chl,1994,3.70927
chl,2013,3.15361
chl,2014,12.08745
chl,2015,10.75647
chl,2016,5.17792
chl,2017,5.13992
chl,2018,4.77946
chl,2019,4.77946
chn,1980,18.54939
chn,1981,16.69765
chn,1982,17.28351
chn,1983,18.28369
chn,1984,18.99334
chn,1985,19.23354
chn,1986,17.56822
chn,1987,17.3476
chn,1988,17.06411
chn,1989,16.4546
chn,1990,15.54833
chn,1991,16.12744
chn,1992,18.06104
chn,1993,16.13786
chn,1994,15.78984
chn,1995,15.56231
chn,1996,14.8354
chn,1997,14.93609
chn,1998,15.00062
chn,1999,14.7186
chn,2000,14.07878
chn,2001,14.67818
chn,2002,15.78307
chn,2003,27.21135
chn,2004,26.16888
chn,2005,25.43907
chn,2006,25.38656
chn,2007,24.4866
chn,2008,24.4866
chn,2009,24.4866
chn,2010,24.4866
chn,2011,24.52694
chn,2012,24.52694
chn,2013,24.52694
chn,2014,24.52694
chn,2015,24.52694
chn,2016,24.52694
chn,2017,24.52694
chn,2018,24.52694
civ,1965,9.87636
civ,1966,7.95111
civ,1967,8.0804
civ,1968,7.51262
civ,1969,7.97789
civ,1970,9.30929
civ,1971,10.8606
civ,1972,10.3045
civ,1973,8.81773
civ,1974,6.49455
civ,1975,7.84962
civ,1976,10.81183
civ,1977,11.79773
civ,1978,9.7693
civ,1979,8.71715
civ,1980,8.51708
civ,1981,8.52599
civ,1982,12.79314
civ,1986,9.77597
civ,1987,9.09091
civ,1988,8.88469
civ,1989,8.38095
civ,1994,1.83753
civ,1995,2.4822
civ,1996,2.46796
civ,1997,1.83814
cmr,1970,3.80144
cmr,1971,2.76921
cmr,1972,2.29691
cmr,1974,1.84768
cmr,1975,5.54044
cmr,1976,5.03107
cmr,1977,4.39211
cmr,1978,4.55039
cmr,1979,3.3727
cmr,1980,3.02789
cmr,1981,2.69563
cmr,1982,2.63191
cmr,1983,2.42481
cmr,1984,2.34644
cmr,1989,0.53898
cmr,1990,0.3162
cmr,1991,0.2057
cmr,1992,0.12301
cmr,1993,0.44874
cmr,1994,-0.05292
cmr,1995,0.0189
cmr,1996,0.04592
cmr,1997,0.3212
cmr,1998,1.31814
cmr,1999,0.96345
cmr,2000,1.36151
cmr,2001,0.35185
cmr,2002,0.20579
cod,1968,1
cod,1969,1.03422
cod,1970,0.87904
cod,1971,0.90313
cod,1972,1.05513
cod,1973,2.12545
cod,1974,2.06252
cod,1975,1.70343
cod,1976,3.23799
cod,1977,2.49469
cod,1981,4.77197
cod,1982,3.06305
cod,1983,3.26531
cod,1984,2.76976
cod,1985,4.53245
cod,1986,3.08819
cod,1987,2.89688
cod,1988,3.20329
cod,2000,7.0594
cod,2001,5.85275
cod,2002,7.64802
cod,2003,8.07598
cod,2004,10.54211
cod,2005,9.94626
cod,2006,9.71696
cod,2007,9.90506
cod,2008,8.24205
cod,2009,7.84627
cog,1968,1
cog,1969,1.03422
cog,1970,0.87904
cog,1971,0.90313
cog,1972,1.05513
cog,1973,2.12545
cog,1974,2.06252
cog,1975,1.70343
cog,1976,3.23799
cog,1977,2.49469
cog,1981,4.77197
cog,1982,3.06305
cog,1983,3.26531
cog,1984,2.76976
cog,1985,4.53245
cog,1986,3.08819
cog,1987,2.89688
cog,1988,3.20329
cog,2000,7.0594
cog,2001,5.85275
cog,2002,7.64802
cog,2003,8.07598
cog,2004,10.54211
cog,2005,9.94626
