geo,time,sl_uem_basc_ma_zs
nor,2006,6.55
nor,2007,5.24
nor,2008,6.53
nor,2009,7.83
nor,2010,8.39
nor,2011,7.25
nor,2012,6.77
nor,2013,7.85
nor,2014,8.37
nor,2015,9.76
nor,2016,10.51
nor,2017,9.38
nor,2018,8.37
nor,2019,8.12
nor,2020,9.15
npl,2008,1
npl,2017,9.14
nzl,1995,0.31
nzl,1997,0.46
nzl,1999,9.23
nzl,2000,6.56
nzl,2001,8.06
nzl,2002,8.57
nzl,2006,5.97
nzl,2007,6.4
nzl,2009,9.97
nzl,2010,10.46
nzl,2011,10.21
nzl,2012,9.8
nzl,2013,8.98
nzl,2014,6.29
nzl,2015,5.92
nzl,2016,6.68
nzl,2017,5.78
nzl,2018,6.58
nzl,2019,5.64
nzl,2020,6.82
omn,1996,9.5
omn,2008,3.17
omn,2016,2.54
pak,2002,6.99
pak,2004,5.86
pak,2006,0.65
pak,2007,0.48
pak,2008,0.27
pak,2009,0.56
pak,2010,0.6
pak,2011,0.77
pak,2013,2.36
pak,2014,1.52
pak,2015,1.97
pak,2018,3.72
pak,2019,4.67
pan,1997,3.08
pan,2003,10.4
pan,2004,9.66
pan,2005,7.54
pan,2006,7.22
pan,2007,4.89
pan,2008,4.17
pan,2010,4.99
pan,2011,3.9
pan,2012,3.35
pan,2013,3.01
pan,2014,3.95
pan,2015,3.99
pan,2016,4.08
pan,2017,4.36
pan,2018,4.12
pan,2019,5.77
pan,2020,11.1
pan,2021,10.27
per,1997,1.81
per,1998,1.37
per,1999,1.69
per,2000,1.55
per,2001,1.44
per,2002,3.47
per,2003,3.01
per,2004,3.23
per,2005,3.94
per,2006,3.2
per,2007,3.31
per,2008,2.88
per,2009,3.32
per,2010,2.62
per,2011,2.88
per,2012,2.16
per,2013,2.54
per,2014,2.18
per,2015,2.56
per,2016,2.86
per,2017,2.94
per,2018,2.35
per,2019,2.64
per,2020,4.95
phl,2004,7.27
phl,2006,8.47
phl,2007,7.86
phl,2008,7.54
phl,2009,6.51
phl,2010,6.51
phl,2011,6.09
phl,2012,6.45
phl,2014,5.65
phl,2015,5.56
phl,2016,4.56
plw,2000,5.82
png,2010,2.35
pol,1994,15.05
pol,1995,14.53
pol,1996,13.43
pol,1998,12.34
pol,1999,17.56
pol,2000,20.91
pol,2001,23.1
pol,2002,26.17
pol,2003,27
pol,2004,28.59
pol,2005,26.74
pol,2006,21.73
pol,2007,15.24
pol,2008,11.7
pol,2009,13.85
pol,2010,17.27
pol,2011,17.97
pol,2012,19.23
pol,2013,19.79
pol,2014,18.76
pol,2015,16.52
pol,2016,14.63
pol,2017,12.23
pol,2018,10.31
pol,2019,7.67
pol,2020,7.84
prt,1998,3.84
prt,1999,4.15
prt,2000,3.12
prt,2001,3.02
prt,2002,4.09
prt,2003,5.34
prt,2004,5.88
prt,2005,6.87
prt,2006,6.61
prt,2007,6.75
prt,2008,6.73
prt,2009,9.38
prt,2010,10.37
prt,2011,12.86
prt,2012,16.24
prt,2013,17.32
prt,2014,14.87
prt,2015,13.07
prt,2016,11.87
prt,2017,8.54
prt,2018,6.33
prt,2019,5.89
prt,2020,5.89
pry,1998,4.87
pry,1999,5.79
pry,2001,6.53
pry,2002,8.27
pry,2003,6.81
pry,2004,5.29
pry,2005,4.77
pry,2006,5.37
pry,2007,3.76
pry,2008,4.14
pry,2009,4.95
pry,2010,3.57
pry,2011,3.51
pry,2012,3.2
pry,2013,4.34
pry,2014,3.72
pry,2015,4.91
pry,2016,3.99
pry,2017,4.29
pse,2000,12.41
pse,2001,27.08
pse,2002,34.96
pse,2003,28.07
pse,2004,28.82
pse,2005,22.7
pse,2006,22.95
pse,2007,21.96
pse,2008,26.83
pse,2009,23.43
pse,2010,24.17
pse,2011,18.36
pse,2012,19.31
pse,2013,20.39
pse,2014,21.18
pse,2015,22.11
pse,2016,21.98
pse,2017,22.93
pse,2018,24.45
pse,2019,22.74
pse,2020,24.82
qat,2013,0.07
qat,2014,0.05
qat,2015,0.03
qat,2016,0.04
qat,2017,0.04
qat,2019,0.01
qat,2020,0.04
rou,1995,6.66
rou,1996,5.87
rou,1998,3.87
rou,1999,4.79
rou,2000,4.86
rou,2001,5.57
rou,2002,7.73
rou,2003,7.41
rou,2004,10.97
rou,2005,8.12
rou,2006,9.87
rou,2007,8.86
rou,2008,9.4
rou,2009,9.67
rou,2010,7.4
rou,2011,9.43
rou,2012,9.03
rou,2013,8.58
rou,2014,8.4
rou,2015,9.39
rou,2016,8.57
rou,2017,7.85
rou,2018,6.97
rou,2019,6.91
rou,2020,8.36
rus,1998,19.26
rus,2002,15.05
rus,2003,14.65
rus,2004,16.37
rus,2006,15.95
rus,2007,13.67
rus,2008,15.27
rus,2009,18.86
rus,2010,16.96
rus,2011,17.01
rus,2012,14.23
rus,2013,13.64
rus,2014,13.55
rus,2015,13.96
rus,2016,14.07
rus,2017,13.26
rus,2018,12.43
rus,2019,10.73
rus,2020,11.87
rwa,2014,0.61
rwa,2017,15.1
rwa,2018,12.77
rwa,2019,13.2
rwa,2020,13.99
sau,2009,2.78
sau,2014,1.1
sau,2016,0.39
sau,2017,3.98
sau,2018,3.91
sau,2019,2.71
sau,2020,4.58
sdn,2011,13.2
sen,2015,7.49
sen,2016,5.02
sen,2017,5.68
sen,2018,5.2
sen,2019,2.88
sgp,1994,2.96
sgp,1995,3.35
sgp,1996,3.58
sgp,1997,3.96
sgp,1998,5.22
sgp,2001,6.25
sgp,2002,9.49
sgp,2003,9.76
sgp,2006,10.94
sgp,2007,9.15
sgp,2008,9.46
sgp,2009,4.77
sgp,2010,3.67
sgp,2011,6.73
sgp,2012,6.27
sgp,2013,2.53
sgp,2015,3.82
sgp,2017,4.03
sgp,2020,5.5
slb,2013,0.59
sle,2014,6.81
sle,2018,4.89
slv,1996,11.67
slv,2010,5.54
slv,2011,4.77
slv,2012,4.07
slv,2013,4.15
slv,2014,4.94
slv,2015,4.46
slv,2016,4.1
slv,2017,3.9
slv,2018,4.37
slv,2019,3.68
slv,2020,4.4
smr,2009,2.02
smr,2010,1.71
smr,2016,2.49
som,2019,19.52
srb,2008,13.01
srb,2009,16.99
srb,2010,20.79
srb,2011,25.4
srb,2012,25.51
srb,2013,22.58
srb,2014,17.35
srb,2015,15.85
srb,2016,13.49
srb,2017,11.07
srb,2018,12.55
srb,2019,10.96
srb,2020,9.11
sur,2016,6.75
svk,1994,18.48
svk,1995,18.21
svk,1997,41.39
svk,1998,33.43
svk,1999,39.39
svk,2000,48.67
svk,2001,50.37
svk,2002,52.58
svk,2003,51.47
svk,2004,56.8
svk,2005,58.34
svk,2006,53.12
svk,2007,47.66
svk,2008,41.54
svk,2009,42.12
svk,2010,45.31
svk,2011,46.18
svk,2012,48.11
svk,2013,45.54
svk,2014,44.86
svk,2015,39.75
svk,2016,31.23
svk,2017,31.85
svk,2018,30.39
svk,2019,32.12
svk,2020,29.32
svn,1998,10.56
svn,1999,10.48
svn,2000,11.41
svn,2001,9.44
svn,2002,8.81
svn,2003,11.02
svn,2004,10.57
svn,2005,9.9
svn,2006,8.09
svn,2007,6.95
svn,2008,5.91
svn,2009,9.27
svn,2010,12.54
svn,2011,14.22
svn,2012,14.95
svn,2013,16.93
svn,2014,15.44
svn,2015,14.09
svn,2016,13.89
svn,2017,11.71
svn,2018,7.99
svn,2019,10.42
svn,2020,12.04
swe,1998,12.1
swe,1999,11.16
swe,2000,8.04
swe,2001,7.86
swe,2002,7.03
swe,2003,8.09
swe,2004,9.63
swe,2005,11.98
swe,2006,11.79
swe,2007,10.93
swe,2008,11.69
swe,2009,15.49
swe,2010,16.28
swe,2011,15.74
swe,2012,17.15
swe,2013,17.76
swe,2014,17.52
swe,2015,16.74
swe,2016,17.93
swe,2017,17.27
swe,2018,17.02
swe,2019,17.4
swe,2020,21.98
swz,2016,23.24
syc,2014,4.01
syc,2015,4.37
syc,2017,2.35
tcd,2018,1.32
tgo,2006,2.11
tgo,2011,0.55
tgo,2017,4.91
tha,2010,0.61
tha,2011,0.56
tha,2012,0.68
tha,2013,0.22
tha,2014,0.53
tha,2015,0.51
tha,2016,0.61
tha,2017,0.71
tha,2018,0.74
tha,2019,0.62
tha,2020,1.02
tjk,2003,3.45
tjk,2007,5.08
tjk,2009,9.25
tls,2010,2.68
tls,2013,12.93
tls,2016,3.18
ton,2018,3.78
tto,2010,4.13
tto,2011,3.16
tto,2012,4.66
tto,2013,2.62
tto,2014,2.51
tto,2015,2.58
tto,2016,3.87
tun,1994,9.36
tun,1997,29.19
tun,2005,13.77
tun,2006,12.63
tun,2007,10.75
tun,2008,10.06
tun,2009,9.29
tun,2010,8.43
tun,2011,10.95
tun,2012,11.42
tun,2013,9.82
tun,2015,8.36
tun,2016,8.09
tun,2017,8.25
tur,2000,6.08
tur,2001,8.38
tur,2002,10.71
tur,2003,10.95
tur,2004,10.46
tur,2005,10.56
tur,2006,8.61
tur,2007,8.74
tur,2008,9.79
tur,2009,12.97
tur,2010,10.7
tur,2011,8.38
tur,2012,7.73
tur,2013,8.16
tur,2014,9.21
tur,2015,9.69
tur,2016,9.59
tur,2017,9.33
tur,2018,9.62
tur,2019,12.93
tur,2020,12.86
tuv,2016,4.41
tza,2001,6.47
tza,2006,6.47
tza,2011,2.26
tza,2012,0.39
tza,2013,2.14
tza,2014,3.82
uga,2012,2.72
uga,2017,7.03
ukr,2011,8.12
ukr,2012,8.22
ukr,2013,7.66
ukr,2014,18.83
ukr,2015,15.42
ukr,2016,9.77
ukr,2017,0.64
ukr,2018,11.79
ukr,2019,10.57
ukr,2020,11.78
ury,1998,8.04
ury,1999,8.67
ury,2000,11
ury,2001,12.21
ury,2002,15.03
ury,2003,14.82
ury,2004,11.33
ury,2005,10.52
ury,2006,9.15
ury,2007,6.51
ury,2008,6.14
ury,2009,6.37
ury,2010,6.12
ury,2011,5.43
ury,2012,5.67
ury,2013,5.73
ury,2014,5.85
ury,2015,7.37
ury,2016,7.43
ury,2017,7.39
ury,2018,7.87
ury,2019,8.34
usa,1994,11.64
usa,1995,11.09
usa,1996,10.07
usa,1997,9.28
usa,1998,8.55
usa,1999,8.18
usa,2000,7.62
usa,2001,8.54
usa,2002,9.06
usa,2003,9.28
usa,2004,8.44
usa,2005,7.39
usa,2006,7.19
usa,2007,7.31
usa,2008,9.89
usa,2009,14.7
usa,2010,15.03
usa,2011,12.54
usa,2012,11.6
usa,2013,9.64
usa,2014,7.42
usa,2015,7.12
usa,2016,6.31
usa,2017,5.74
usa,2018,5.22
usa,2019,4.59
usa,2020,10.52
usa,2021,7.15
ven,2005,10.44
ven,2006,8.4
ven,2007,7.21
ven,2008,6.36
ven,2009,6.27
ven,2010,7.26
ven,2011,6.64
ven,2012,6.21
ven,2016,5.17
ven,2017,3.67
vnm,2010,0.87
vnm,2011,0.82
vnm,2012,0.78
vnm,2013,1.03
vnm,2014,0.92
vnm,2015,1.54
vnm,2016,1.45
vnm,2017,1.52
vnm,2018,1.03
vnm,2019,1.79
vnm,2020,1.65
vut,2006,6.53
vut,2010,2.05
vut,2019,7.7
wsm,2012,9.08
wsm,2017,11.14
yem,2010,15.92
yem,2014,12.21
zaf,2000,28.67
zaf,2001,29.34
zaf,2002,31.76
zaf,2003,31.17
zaf,2004,28.04
zaf,2005,27.42
zaf,2006,26.44
zaf,2007,25.85
zaf,2008,24.66
zaf,2009,27.34
zaf,2010,28.52
zaf,2011,28.1
zaf,2013,29.14
zaf,2014,28.77
zaf,2015,28.71
zaf,2016,29.76
zaf,2017,30.89
zaf,2018,30.43
zaf,2019,32.65
zaf,2020,33.52
zmb,2017,12.77
zmb,2018,11.53
zmb,2019,12.8
zwe,2011,4.66
zwe,2014,3.9
zwe,2019,14.43
