geo,time,nv_ind_totl_kd
nld,1970,93140609264.13821
nld,1971,93990210993.54408
nld,1972,95522980861.68468
nld,1973,99013888978.51241
nld,1974,100807197992.168
nld,1975,95836240731.22368
nld,1976,99355075287.5085
nld,1977,98708705253.30421
nld,1978,97048949415.80579
nld,1979,96081075831.2851
nld,1980,95566200826.82608
nld,1981,91364996981.08783
nld,1982,86999777173.26711
nld,1983,88475941912.75381
nld,1984,92692843146.86867
nld,1985,95767237905.53001
nld,1986,95582650464.94249
nld,1987,97377625966.9601
nld,1988,101984518763.104
nld,1989,105966023523.31799
nld,1990,107928066147.867
nld,1991,109764125802.71201
nld,1992,109760878258.481
nld,1993,108887761512.871
nld,1994,112605237709.52901
nld,1995,114824373332.55499
nld,1996,117258448230.80499
nld,1997,117836207097.366
nld,1998,122018419410.955
nld,1999,126774750279.311
nld,2000,131474937576.37601
nld,2001,134532776183.683
nld,2002,133956780333.106
nld,2003,131788104246.832
nld,2004,135447101347.564
nld,2005,138172595354.10101
nld,2006,140944037617.97699
nld,2007,147029526096.35101
nld,2008,150017725017.565
nld,2009,138167643598.07001
nld,2010,140311302387.685
nld,2011,142641007627.34
nld,2012,139300462916.47501
nld,2013,139339802915.03799
nld,2014,138954945069.15399
nld,2015,139227225080.078
nld,2016,142435936359.76599
nld,2017,149051331523.241
nld,2018,153306275735.349
nld,2019,154872293266.76999
nld,2020,151012721754.20999
nld_curacao,2015,553824284.99547
nor,1970,34715304329.8543
nor,1971,36162075023.251
nor,1972,37972305466.5702
nor,1973,39583755296.0628
nor,1974,41549612483.2076
nor,1975,44850015500.6717
nor,1976,47169536013.2272
nor,1977,48527518859.1506
nor,1978,53931301023.0443
nor,1979,56221556267.4382
nor,1980,59539320037.2016
nor,1981,58552237263.6147
nor,1982,59249891495.2981
nor,1983,63420440219.0762
nor,1984,69021886948.4344
nor,1985,71769722021.2876
nor,1986,74505652578.27838
nor,1987,78054314353.62198
nor,1988,78492177327.68419
nor,1989,83039702387.10339
nor,1990,84121773276.84198
nor,1991,86568151286.55569
nor,1992,91472191794.9778
nor,1993,92651978919.0865
nor,1994,99275229926.63008
nor,1995,104593572388.13699
nor,1996,110632386070.063
nor,1997,117431476697.32401
nor,1998,115818290792.601
nor,1999,115795845819.98599
nor,2000,120045633977.472
nor,2001,121895050118.838
nor,2002,123015934690.50301
nor,2003,123452061589.33501
nor,2004,127187475457.27
nor,2005,127921587268.782
nor,2006,125372408804.381
nor,2007,124741469463.677
nor,2008,123861527332.851
nor,2009,119231290689.263
nor,2010,115948248424.09801
nor,2011,114450511522.166
nor,2012,116633130102.304
nor,2013,115730246977.369
nor,2014,117403327477.524
nor,2015,119638524336.05499
nor,2016,120273803864.834
nor,2017,124129502945.12801
nor,2018,121828335227.86
nor,2019,120528014880.645
nor,2020,125566973235.507
npl,1973,314892253.90171
npl,1974,303962333.15821
npl,1975,278549034.27959
npl,1976,312336440.09632
npl,1977,401490541.55322
npl,1978,443289672.32639
npl,1979,456226009.57876
npl,1980,444234125.20165
npl,1981,496783629.7362
npl,1982,538743526.19834
npl,1983,520398222.42044
npl,1984,561398528.50307
npl,1985,720963279.14333
npl,1986,800443806.71857
npl,1987,818443498.55125
npl,1988,893912050.97715
npl,1989,939236564.75245
npl,1990,965477061.10012
npl,1991,1086486990.12502
npl,1992,1269303062.03907
npl,1993,1329699595.13967
npl,1994,1449733637.15426
npl,1995,1507202509.22399
npl,1996,1632332849.11375
npl,1997,1736210546.2081
npl,1998,1776330323.52358
npl,1999,1882701956.00143
npl,2000,2037217321.83168
npl,2001,2110557144.07488
npl,2002,2128804779.96389
npl,2003,2194651201.92188
npl,2004,2226096813.45389
npl,2005,2293148267.97059
npl,2006,2395662109.215
npl,2007,2490171091.31941
npl,2008,2533580954.68431
npl,2009,2518632812.70604
npl,2010,2619367796.36378
npl,2011,2732841695.64215
