geo,time,se_sec_enrl_up_tc_zs
kor,2013,14.63593
kor,2014,14.16183
kor,2015,13.85511
kor,2016,13.58391
kor,2017,13.03311
kwt,1996,8.80334
kwt,1998,8.88248
kwt,1999,9.15219
kwt,2000,9.34455
kwt,2001,9.10178
kwt,2004,9.82016
kwt,2005,9.07575
kwt,2007,7.9487
kwt,2008,7.69489
kwt,2009,6.76887
lao,1998,16.99718
lao,1999,21.82106
lao,2000,20.73776
lao,2001,22.07713
lao,2002,24.2948
lao,2003,27.47752
lao,2004,26.39423
lao,2005,28.26191
lao,2006,27.19545
lao,2008,24.54058
lao,2009,24.52325
lao,2010,21.35018
lao,2011,21.13719
lao,2012,19.85683
lao,2013,18.61689
lao,2014,19.03446
lao,2015,19.26979
lao,2016,19.4292
lao,2017,20.01707
lao,2018,20.01815
lbn,1999,8.33565
lbn,2001,5.87452
lbn,2002,5.57909
lbn,2003,5.95642
lbn,2005,7.20507
lbn,2006,7.64644
lbn,2007,7.78088
lbn,2008,7.71405
lbn,2009,7.75696
lbn,2010,7.28683
lbn,2011,7.74777
lbn,2013,8.86643
lbn,2014,7.9582
lbn,2016,8.03991
lbr,1999,17.64961
lbr,2014,17.2592
lbr,2015,23.38935
lby,2005,4.96839
lby,2006,4.77599
lca,1999,16.29151
lca,2000,15.34426
lca,2009,16.08732
lca,2010,15.92768
lca,2011,15.5
lca,2012,14.43602
lca,2013,13.62945
lca,2014,12.89713
lca,2015,12.00693
lca,2017,11.32438
lca,2018,11.01111
lie,2005,28.25926
lie,2006,30.19231
lie,2007,29.87755
lie,2008,27.88462
lie,2009,25.37037
lie,2011,28.7037
lie,2014,21.52268
lie,2015,21.2619
lie,2016,26.6
lie,2017,26.24615
lka,2011,17.87654
lka,2012,18.16489
lka,2016,17.88703
lka,2017,17.85986
lka,2018,18.47664
ltu,2011,8.49711
ltu,2012,8.29104
ltu,2013,8.81443
ltu,2014,9.08503
ltu,2015,8.94944
ltu,2016,8.39085
ltu,2017,8.79027
lux,2010,6.87772
lux,2011,7.73287
lux,2012,6.57126
lux,2013,6.5195
lux,2014,8.19178
lux,2015,8.72097
lux,2016,7.96593
lva,1981,10.56868
lva,1986,10.0531
lva,1989,9.26117
lva,1990,8.97838
lva,1991,8.6041
lva,1992,8.31062
lva,1993,7.36754
lva,1994,8.80465
lva,1995,7.98657
lva,1996,7.90809
lva,1997,7.45011
lva,1998,9.70894
lva,1999,10.24124
lva,2000,10.73935
lva,2001,10.99206
lva,2002,10.94102
lva,2003,10.84076
lva,2004,10.80717
lva,2005,11.16324
lva,2006,10.69077
lva,2007,10.2552
lva,2008,10.95748
lva,2009,9.39801
lva,2010,9.57542
lva,2011,8.8692
lva,2012,8.49351
lva,2013,9.25113
lva,2014,9.2741
lva,2015,8.87042
lva,2016,8.96627
lva,2017,9.16537
mac,1999,21.08124
mac,2000,21.74679
mac,2001,22.52288
mac,2002,21.92847
mac,2003,22.87617
mac,2004,21.91879
mac,2005,21.10308
mac,2006,20.43732
mac,2007,20.02474
mac,2008,18.72611
mac,2009,16.70788
mac,2010,15.80228
mac,2011,13.97291
mac,2012,13.55749
mac,2013,12.33689
mac,2014,11.80369
mac,2015,11.23579
mac,2016,10.41041
mac,2017,9.54474
mac,2018,9.26008
mar,1999,14.02528
mar,2000,14.27647
mar,2003,15.51796
mar,2004,16.93838
mar,2008,17.93359
mar,2009,17.8864
mar,2017,16.29102
mar,2018,15.83606
mco,1999,7.58382
mco,2001,7.92771
mco,2017,7.06787
mda,1997,11.51153
mda,1999,12.04916
mda,2000,11.22416
mda,2001,12.97062
mda,2002,12.89568
mda,2003,13.85113
mda,2004,14.21111
mda,2005,14.58429
mda,2006,14.24023
mda,2007,13.93905
mda,2008,12.36088
mda,2009,12.26704
mda,2010,11.82097
mda,2011,11.45917
mda,2012,11.19143
mda,2013,10.74796
mda,2014,9.15378
mda,2015,9.62102
mda,2016,9.62114
mda,2017,10.72633
mda,2018,10.08998
mdg,2006,16.63408
mdg,2008,19.61177
mdg,2009,17.77024
mdg,2012,23.27252
mdg,2014,19.26137
mdg,2017,18.33338
mdg,2018,18.10305
mdv,1998,10.13953
mdv,1999,8.78846
mdv,2000,9.125
mdv,2001,4.42453
mdv,2002,15.51087
mdv,2003,8.37785
mex,1994,14.25453
mex,1995,14.03944
mex,1996,13.77713
mex,1997,14.30468
mex,1998,14.52377
mex,1999,14.1771
mex,2000,14.1882
mex,2001,14.07295
mex,2002,14.21836
mex,2003,14.09175
mex,2004,14.92088
mex,2005,14.97577
mex,2006,14.96129
mex,2007,15.10841
mex,2008,15.15258
mex,2009,15.02419
mex,2010,15.76573
mex,2011,15.74543
mex,2012,15.84233
mex,2013,16.10151
mex,2014,12.26957
mex,2015,11.86985
mex,2017,13.79578
mhl,1999,17.53216
mhl,2002,16.46269
mhl,2003,15.40196
mhl,2009,12.47541
mkd,1996,16.73595
mkd,1997,16.30569
mkd,1998,322.15242
mkd,1999,16.25708
mkd,2000,16.1907
mkd,2001,16.72873
mkd,2002,16.37146
mkd,2003,16.32636
mkd,2004,16.26606
mkd,2005,16.05611
mkd,2007,15.10324
mkd,2008,14.5116
mkd,2009,14.04568
mkd,2010,13.7117
mkd,2011,13.13193
mkd,2012,12.68329
mkd,2013,12.03167
mkd,2014,11.67083
mkd,2015,11.17201
mkd,2017,10.13452
mli,1999,24.25991
mli,2000,24.25875
mli,2007,12.68081
mli,2008,13.05424
mli,2009,13.10161
mli,2011,13.22698
mli,2013,10.63036
mli,2014,10.83247
mli,2015,11.51463
mli,2016,13.14968
mli,2017,13.47795
mlt,2006,18.93537
mlt,2012,9.05987
mlt,2013,8.75899
mlt,2014,8.23717
mlt,2015,8.75551
mlt,2016,7.64758
mlt,2017,7.68135
mmr,1999,37.92375
mmr,2000,39.69293
mmr,2001,36.01274
mmr,2002,34.9762
mmr,2003,36.86105
mmr,2004,32.99852
mmr,2005,33.11157
mmr,2006,32.4714
mmr,2007,28.36203
mmr,2008,29.9032
mmr,2009,29.69627
mmr,2010,28.30039
mmr,2014,22.73771
mmr,2016,20.52933
mmr,2017,21.93403
mmr,2018,23.89801
mne,2011,13.77616
mne,2012,13.12793
mne,2015,12.29648
mne,2016,14.8357
mne,2017,14.02312
mne,2018,14.44836
mng,1995,14.17126
mng,1996,11.86068
mng,1997,15.75813
mng,1998,22.54901
mng,1999,17.04719
mng,2000,18.99633
mng,2001,22.25316
mng,2002,19.78371
mng,2003,19.49796
mng,2004,19.86891
mng,2005,20.98732
mng,2006,19.4939
moz,1994,25.94395
moz,1995,22.70059
