geo,time,fb_ast_nper_zs
cmr,2015,9.31518
cmr,2016,10.65187
cmr,2017,10.8359
cmr,2018,12.39272
cmr,2019,12.81048
cmr,2020,13.39442
cog,2010,0.96437
cog,2011,1.07809
cog,2012,1.51932
cog,2013,1.22488
cog,2014,2.50606
cog,2015,3.57258
cog,2016,4.84774
cog,2017,13.29013
cog,2018,18.19747
cog,2019,23.07393
cog,2020,17.53015
col,2005,2.74843
col,2006,2.65982
col,2007,3.22929
col,2008,3.93218
col,2009,4.01284
col,2010,2.86338
col,2011,2.49554
col,2012,2.75846
col,2013,2.77535
col,2014,2.91526
col,2015,2.84767
col,2016,3.12454
col,2017,4.17978
col,2018,4.50181
col,2019,4.24861
col,2020,4.9613
col,2021,3.94722
com,2010,15.65958
com,2011,17.62428
com,2012,19.78331
com,2013,18.86196
com,2014,20.29872
com,2015,20.54765
com,2016,21.67501
com,2017,24.79949
com,2018,24.34612
com,2019,22.51173
com,2020,23.65814
cri,2008,1.53566
cri,2009,2.0599
cri,2010,1.8552
cri,2011,1.81688
cri,2012,1.74516
cri,2013,1.74861
cri,2014,1.55295
cri,2015,1.66418
cri,2016,1.55324
cri,2017,2.05328
cri,2018,2.11773
cri,2019,2.3953
cri,2020,2.42992
cyp,2008,3.59415
cyp,2009,4.50936
cyp,2010,5.82172
cyp,2011,9.98623
cyp,2012,18.37495
cyp,2013,38.55704
cyp,2014,44.97207
cyp,2015,47.74785
cyp,2016,36.69912
cyp,2017,31.38889
cyp,2018,19.52051
cyp,2019,17.0931
cyp,2020,15.01908
cze,2008,2.82387
cze,2009,4.49075
cze,2010,5.45823
cze,2011,5.29287
cze,2012,5.35168
cze,2013,5.26339
cze,2014,5.63911
cze,2015,5.43997
cze,2016,4.52194
cze,2017,3.68252
cze,2018,3.09591
cze,2019,1.6928
cze,2020,1.91231
deu,2005,4.05
deu,2006,3.41
deu,2007,2.65
deu,2008,2.85
deu,2009,3.31
deu,2010,3.2
deu,2011,3.03
deu,2012,2.86
deu,2013,2.7
deu,2014,2.34
deu,2015,1.97
deu,2016,1.71
deu,2017,1.5
deu,2018,1.24
deu,2019,1.05
dji,2012,2.08073
dji,2013,4.86859
dji,2014,6.95567
dji,2015,7.86413
dji,2016,7.36203
dji,2017,3.99051
dji,2018,5.53958
dji,2019,3.55108
dji,2020,2.11626
dma,2015,15.12078
dma,2016,14.45086
dma,2017,17.4338
dma,2018,17.01662
dma,2019,12.23664
dma,2020,15.01172
dnk,2005,0.19019
dnk,2010,4.06864
dnk,2011,3.66034
dnk,2012,5.95052
