geo,time,is_shp_gcnw_xq
deu,2010,78.26096
deu,2011,79.77827
deu,2012,78.82923
deu,2013,83.27392
deu,2014,81.04082
deu,2015,85.12397
deu,2016,82.90156
deu,2017,84.04115
deu,2018,82.58099
deu,2019,85.53077
deu,2020,83.33994
dji,2006,13.46965
dji,2007,14.941
dji,2008,10.16336
dji,2009,20.79328
dji,2010,17.4326
dji,2011,16.31077
dji,2012,19.13141
dji,2013,20.0164
dji,2014,21.55532
dji,2015,26.57963
dji,2016,31.5959
dji,2017,27.37618
dji,2018,31.82264
dji,2019,32.6986
dji,2020,32.49644
dma,2006,4.73066
dma,2007,3.92195
dma,2008,3.8819
dma,2009,4.22391
dma,2010,4.59729
dma,2011,4.29603
dma,2012,4.29582
dma,2013,4.75297
dma,2014,4.4858
dma,2015,4.4858
dma,2016,5.17042
dma,2017,5.20434
dma,2018,5.92267
dma,2019,6.34577
dma,2020,6.34543
dnk,2006,29.7508
dnk,2007,22.71419
dnk,2008,28.09731
dnk,2009,25.56838
dnk,2010,25.5668
dnk,2011,38.1937
dnk,2012,38.73492
dnk,2013,43.72048
dnk,2014,42.99974
dnk,2015,42.91022
dnk,2016,44.33474
dnk,2017,47.14129
dnk,2018,46.99452
dnk,2019,47.49826
dnk,2020,46.53993
dom,2006,24.10717
dom,2007,24.3257
dom,2008,23.9899
dom,2009,24.75359
dom,2010,24.8984
dom,2011,26.1658
dom,2012,28.15273
dom,2013,29.95345
dom,2014,27.79606
dom,2015,27.27977
dom,2016,35.60733
dom,2017,38.26777
dom,2018,38.50693
dom,2019,38.16009
dom,2020,38.26148
dza,2006,11.01996
dza,2007,9.29686
dza,2008,10.16469
dza,2009,9.58854
dza,2010,11.04333
dza,2011,10.56735
dza,2012,9.90783
dza,2013,9.96839
dza,2014,11.41421
dza,2015,13.10939
dza,2016,13.45579
dza,2017,12.27767
dza,2018,12.09467
dza,2019,12.60289
dza,2020,12.84252
ecu,2006,16.24061
ecu,2007,14.72934
ecu,2008,18.36905
ecu,2009,20.61396
ecu,2010,25.61768
ecu,2011,25.15487
ecu,2012,20.95519
ecu,2013,21.92228
ecu,2014,22.07579
ecu,2015,29.36486
ecu,2016,29.65366
ecu,2017,32.00221
ecu,2018,24.75542
ecu,2019,32.56528
ecu,2020,38.00434
egy,2006,46.99717
egy,2007,45.11844
egy,2008,47.40905
egy,2009,45.50208
egy,2010,46.40016
egy,2011,51.77308
egy,2012,52.37793
egy,2013,54.02662
egy,2014,55.62667
egy,2015,55.54375
egy,2016,56.07945
egy,2017,56.9283
egy,2018,55.20729
egy,2019,61.17185
egy,2020,68.50873
eri,2006,4.16277
eri,2007,4.30996
eri,2008,2.7661
eri,2012,3.92232
eri,2014,2.5928
eri,2015,2.5928
eri,2016,2.5928
eri,2017,2.5928
eri,2018,4.19319
eri,2019,4.19319
eri,2020,4.35694
esp,2006,71.3535
esp,2007,71.81933
esp,2008,71.25982
esp,2009,72.88
esp,2010,74.37767
esp,2011,75.89761
esp,2012,71.79106
esp,2013,71.02529
esp,2014,78.68391
esp,2015,83.12306
esp,2016,83.69248
esp,2017,85.32185
esp,2018,83.95141
esp,2019,87.78895
esp,2020,89.38752
est,2006,6.12103
est,2007,6.37086
est,2008,7.38235
est,2009,8.70741
est,2010,6.94449
est,2011,7.05056
est,2012,11.04995
est,2013,8.51315
est,2014,10.64068
est,2015,8.32699
est,2016,7.7455
est,2017,7.9018
est,2018,11.29276
est,2019,10.87474
est,2020,8.62828
fin,2006,12.98919
fin,2007,12.84172
fin,2008,13.49535
fin,2009,13.84522
fin,2010,13.41009
fin,2011,14.10514
fin,2012,15.16732
fin,2013,15.65696
fin,2014,18.25296
fin,2015,15.97647
fin,2016,14.69934
fin,2017,14.49388
fin,2018,13.27051
fin,2019,14.78766
fin,2020,14.70278
