geo,time,sh_h2o_smdw_ru_zs
dza,2016,66.89667
dza,2017,67.87349
dza,2018,68.21631
dza,2019,68.46602
dza,2020,68.71573
ecu,2000,42.95684
ecu,2001,43.4497
ecu,2002,43.94257
ecu,2003,44.43543
ecu,2004,44.9283
ecu,2005,45.42116
ecu,2006,45.91403
ecu,2007,46.40689
ecu,2008,46.89976
ecu,2009,47.39262
ecu,2010,47.88549
ecu,2011,48.37835
ecu,2012,48.87122
ecu,2013,49.36408
ecu,2014,49.85695
ecu,2015,50.34981
ecu,2016,50.84268
ecu,2017,51.33554
ecu,2018,51.82841
ecu,2019,52.32127
ecu,2020,52.81414
esp,2000,98.7
esp,2001,98.7
esp,2002,98.7
esp,2003,98.7
esp,2004,98.7
esp,2005,98.7
esp,2006,98.7
esp,2007,98.7
esp,2008,98.7
esp,2009,98.7
esp,2010,98.7
esp,2011,98.7
esp,2012,98.7
esp,2013,98.7
esp,2014,98.7
esp,2015,98.7
esp,2016,98.7
esp,2017,98.7
esp,2018,98.7
esp,2019,98.7
esp,2020,98.7
eth,2000,0.05283
eth,2001,0.12188
eth,2002,0.21099
eth,2003,0.32016
eth,2004,0.4494
eth,2005,0.59869
eth,2006,0.76805
eth,2007,0.95747
eth,2008,1.16695
eth,2009,1.3965
eth,2010,1.6461
eth,2011,1.91577
eth,2012,2.2055
eth,2013,2.51529
eth,2014,2.84514
eth,2015,3.19505
eth,2016,3.56503
eth,2017,3.95507
eth,2018,4.36516
eth,2019,4.79532
eth,2020,5.24554
geo,2000,38.46481
geo,2001,38.55744
geo,2002,38.65007
geo,2003,38.7427
geo,2004,38.83534
geo,2005,38.92797
geo,2006,39.0206
geo,2007,39.11323
geo,2008,39.20586
geo,2009,39.2985
geo,2010,39.39113
geo,2011,39.48376
geo,2012,39.57639
geo,2013,39.66902
geo,2014,39.76165
geo,2015,39.85429
geo,2016,39.94692
geo,2017,40.03955
geo,2018,40.13218
geo,2019,40.22481
geo,2020,40.31745
gha,2000,0
gha,2001,0
gha,2002,0.18335
gha,2003,0.87134
gha,2004,1.58229
gha,2005,2.31619
gha,2006,3.07303
gha,2007,3.85282
gha,2008,4.65556
gha,2009,5.48125
gha,2010,6.32989
gha,2011,7.20148
gha,2012,8.09602
gha,2013,9.0135
gha,2014,9.95394
gha,2015,10.91732
gha,2016,11.90365
gha,2017,12.91293
gha,2018,13.94516
gha,2019,15.00034
gha,2020,16.07846
gmb,2000,4.28822
gmb,2001,4.44136
gmb,2002,4.59589
gmb,2003,4.75182
gmb,2004,4.90915
gmb,2005,5.06787
gmb,2006,5.228
gmb,2007,5.38952
gmb,2008,5.55244
gmb,2009,5.71676
gmb,2010,5.88248
gmb,2011,6.04959
gmb,2012,6.21811
gmb,2013,6.38802
gmb,2014,6.55933
gmb,2015,6.73204
gmb,2016,6.90615
gmb,2017,7.08165
gmb,2018,7.25855
gmb,2019,7.43686
gmb,2020,7.61656
gnb,2000,4.67019
gnb,2001,4.94288
gnb,2002,5.22114
gnb,2003,5.50496
gnb,2004,5.79434
gnb,2005,6.08929
gnb,2006,6.38981
gnb,2007,6.69588
gnb,2008,7.00752
gnb,2009,7.32473
gnb,2010,7.6475
gnb,2011,7.97583
gnb,2012,8.30973
gnb,2013,8.64919
gnb,2014,8.99422
gnb,2015,9.34481
gnb,2016,9.70096
gnb,2017,10.06268
gnb,2018,10.42996
gnb,2019,10.80281
gnb,2020,11.18122
gtm,2000,39.44146
gtm,2001,39.74591
gtm,2002,40.05036
