geo,time,ic_lgl_durs
dom,2018,590
dom,2019,590
dza,2003,630
dza,2004,630
dza,2005,630
dza,2006,630
dza,2007,630
dza,2008,630
dza,2009,630
dza,2010,630
dza,2011,630
dza,2012,630
dza,2013,630
dza,2014,630
dza,2015,630
dza,2016,630
dza,2017,630
dza,2018,630
dza,2019,630
ecu,2003,588
ecu,2004,588
ecu,2005,588
ecu,2006,588
ecu,2007,588
ecu,2008,588
ecu,2009,588
ecu,2010,588
ecu,2011,588
ecu,2012,588
ecu,2013,613
ecu,2014,613
ecu,2015,613
ecu,2016,613
ecu,2017,523
ecu,2018,523
ecu,2019,523
egy,2003,1010
egy,2004,1010
egy,2005,1010
egy,2006,1010
egy,2007,1010
egy,2008,1010
egy,2009,1010
egy,2010,1010
egy,2011,1010
egy,2012,1010
egy,2013,1010
egy,2014,1010
egy,2015,1010
egy,2016,1010
egy,2017,1010
egy,2018,1010
egy,2019,1010
eri,2004,405
eri,2005,405
eri,2006,405
eri,2007,405
eri,2008,405
eri,2009,405
eri,2010,430
eri,2011,460
eri,2012,490
eri,2013,490
eri,2014,490
eri,2015,490
eri,2016,490
eri,2017,490
eri,2018,490
eri,2019,490
esp,2003,515
esp,2004,515
esp,2005,515
esp,2006,515
esp,2007,515
esp,2008,515
esp,2009,515
esp,2010,515
esp,2011,515
esp,2012,510
esp,2013,510
esp,2014,510
esp,2015,510
esp,2016,510
esp,2017,510
esp,2018,510
esp,2019,510
est,2003,425
est,2004,425
est,2005,425
est,2006,425
est,2007,425
est,2008,425
est,2009,425
est,2010,425
est,2011,425
est,2012,425
est,2013,455
est,2014,455
est,2015,455
est,2016,455
est,2017,455
est,2018,455
est,2019,455
eth,2003,690
eth,2004,690
eth,2005,690
eth,2006,690
eth,2007,690
eth,2008,690
eth,2009,530
eth,2010,530
eth,2011,530
eth,2012,530
eth,2013,530
eth,2014,530
eth,2015,530
eth,2016,530
eth,2017,530
eth,2018,530
eth,2019,530
fin,2003,277
fin,2004,235
fin,2005,235
fin,2006,235
fin,2007,235
fin,2008,235
fin,2009,375
fin,2010,375
fin,2011,375
fin,2012,375
fin,2013,485
fin,2014,485
fin,2015,485
fin,2016,485
fin,2017,485
fin,2018,485
fin,2019,485
fji,2003,397
fji,2004,397
fji,2005,397
fji,2006,397
fji,2007,397
fji,2008,397
fji,2009,397
fji,2010,397
fji,2011,397
fji,2012,397
fji,2013,397
fji,2014,397
fji,2015,397
fji,2016,397
fji,2017,397
fji,2018,397
fji,2019,397
fra,2003,447
fra,2004,447
fra,2005,447
fra,2006,447
fra,2007,447
fra,2008,447
fra,2009,447
fra,2010,447
fra,2011,447
fra,2012,447
fra,2013,447
fra,2014,447
fra,2015,447
fra,2016,447
fra,2017,447
fra,2018,447
fra,2019,447
fsm,2003,885
fsm,2004,885
fsm,2005,885
fsm,2006,885
fsm,2007,885
fsm,2008,885
fsm,2009,885
fsm,2010,885
fsm,2011,885
fsm,2012,885
fsm,2013,885
fsm,2014,885
fsm,2015,885
fsm,2016,885
fsm,2017,885
fsm,2018,885
fsm,2019,885
gab,2005,1070
gab,2006,1070
gab,2007,1070
gab,2008,1070
gab,2009,1070
gab,2010,1070
gab,2011,1070
gab,2012,1070
gab,2013,1070
gab,2014,1070
gab,2015,1070
gab,2016,1160
gab,2017,1160
gab,2018,1160
gab,2019,1160
gbr,2003,404
gbr,2004,404
gbr,2005,404
gbr,2006,404
gbr,2007,404
gbr,2008,404
gbr,2009,399
gbr,2010,399
gbr,2011,399
gbr,2012,437
gbr,2013,437
gbr,2014,437
gbr,2015,437
gbr,2016,437
gbr,2017,437
gbr,2018,437
gbr,2019,437
geo,2003,375
geo,2004,375
geo,2005,375
geo,2006,285
geo,2007,285
geo,2008,285
geo,2009,285
geo,2010,285
geo,2011,285
geo,2012,285
geo,2013,285
geo,2014,285
geo,2015,285
geo,2016,285
geo,2017,285
geo,2018,285
geo,2019,285
gha,2003,552
gha,2004,552
gha,2005,552
gha,2006,552
gha,2007,487
gha,2008,487
gha,2009,487
gha,2010,487
gha,2011,487
gha,2012,487
gha,2013,710
gha,2014,710
gha,2015,710
gha,2016,710
gha,2017,710
gha,2018,710
gha,2019,710
gin,2003,276
gin,2004,276
gin,2005,276
gin,2006,276
gin,2007,276
gin,2008,276
gin,2009,276
gin,2010,276
gin,2011,276
gin,2012,276
gin,2013,276
gin,2014,311
gin,2015,311
gin,2016,311
gin,2017,311
gin,2018,311
gin,2019,311
gmb,2005,785
gmb,2006,785
gmb,2007,785
gmb,2008,785
gmb,2009,785
gmb,2010,785
gmb,2011,785
gmb,2012,758
gmb,2013,758
gmb,2014,758
gmb,2015,758
gmb,2016,758
gmb,2017,758
gmb,2018,758
gmb,2019,758
gnb,2005,1785
gnb,2006,1785
gnb,2007,1785
gnb,2008,1785
gnb,2009,1785
gnb,2010,1785
gnb,2011,1785
gnb,2012,1785
gnb,2013,1785
gnb,2014,1785
gnb,2015,1785
gnb,2016,1785
gnb,2017,1785
gnb,2018,1785
gnb,2019,1785
gnq,2005,475
gnq,2006,475
gnq,2007,475
gnq,2008,475
gnq,2009,475
gnq,2010,475
gnq,2011,475
gnq,2012,475
gnq,2013,475
gnq,2014,475
gnq,2015,475
gnq,2016,475
gnq,2017,475
gnq,2018,475
gnq,2019,475
grc,2003,819
grc,2004,819
grc,2005,819
grc,2006,819
grc,2007,819
grc,2008,900
grc,2009,960
grc,2010,1030
grc,2011,1100
grc,2012,1140
grc,2013,1300
grc,2014,1580
grc,2015,1580
grc,2016,1711
grc,2017,1711
grc,2018,1711
grc,2019,1711
grd,2005,723
grd,2006,723
grd,2007,723
grd,2008,723
grd,2009,688
grd,2010,688
grd,2011,688
grd,2012,688
grd,2013,688
grd,2014,688
grd,2015,688
grd,2016,688
grd,2017,688
grd,2018,688
grd,2019,688
gtm,2003,1459
gtm,2004,1459
gtm,2005,1459
gtm,2006,1459
gtm,2007,1459
gtm,2008,1459
gtm,2009,1459
gtm,2010,1459
gtm,2011,1459
gtm,2012,1459
gtm,2013,1402
gtm,2014,1402
gtm,2015,1402
gtm,2016,1402
gtm,2017,1402
gtm,2018,1402
gtm,2019,1402
guy,2004,581
guy,2005,581
guy,2006,581
guy,2007,581
guy,2008,581
guy,2009,581
guy,2010,581
guy,2011,581
guy,2012,581
guy,2013,581
guy,2014,581
guy,2015,581
guy,2016,581
guy,2017,581
guy,2018,581
guy,2019,581
hkg,2003,236
hkg,2004,236
hkg,2005,236
hkg,2006,236
hkg,2007,236
hkg,2008,236
hkg,2009,305
hkg,2010,305
hkg,2011,385
hkg,2012,385
hkg,2013,385
hkg,2014,385
hkg,2015,385
hkg,2016,385
hkg,2017,385
hkg,2018,385
hkg,2019,385
hnd,2003,940
hnd,2004,900
hnd,2005,900
hnd,2006,900
hnd,2007,900
hnd,2008,900
hnd,2009,900
hnd,2010,900
hnd,2011,920
hnd,2012,920
hnd,2013,920
hnd,2014,920
hnd,2015,920
hnd,2016,920
hnd,2017,920
hnd,2018,920
hnd,2019,920
hrv,2003,561
hrv,2004,561
hrv,2005,561
hrv,2006,561
hrv,2007,561
hrv,2008,561
hrv,2009,561
hrv,2010,561
hrv,2011,561
hrv,2012,572
hrv,2013,650
hrv,2014,650
hrv,2015,650
hrv,2016,650
hrv,2017,650
hrv,2018,650
hrv,2019,650
hti,2003,530
hti,2004,530
hti,2005,530
hti,2006,530
hti,2007,530
hti,2008,530
hti,2009,530
hti,2010,530
hti,2011,530
hti,2012,530
hti,2013,530
hti,2014,530
hti,2015,530
hti,2016,530
hti,2017,530
hti,2018,530
hti,2019,530
hun,2003,545
hun,2004,545
hun,2005,545
hun,2006,545
hun,2007,545
hun,2008,545
hun,2009,605
hun,2010,605
hun,2011,605
hun,2012,605
hun,2013,605
hun,2014,605
hun,2015,605
hun,2016,605
hun,2017,605
hun,2018,605
hun,2019,605
idn,2013,471
idn,2014,471
idn,2015,471
idn,2016,471
idn,2017,403.2
idn,2018,403.2
idn,2019,403.2
ind,2013,1445
ind,2014,1445
ind,2015,1445
ind,2016,1445
ind,2017,1445
ind,2018,1445
ind,2019,1445
irl,2003,515
irl,2004,515
irl,2005,515
irl,2006,515
irl,2007,515
irl,2008,515
irl,2009,515
irl,2010,515
irl,2011,650
irl,2012,650
irl,2013,650
irl,2014,650
irl,2015,650
irl,2016,650
irl,2017,650
irl,2018,650
irl,2019,650
irn,2003,520
irn,2004,520
irn,2005,520
irn,2006,520
irn,2007,520
irn,2008,520
irn,2009,520
irn,2010,505
irn,2011,505
irn,2012,505
irn,2013,505
irn,2014,505
irn,2015,505
irn,2016,505
irn,2017,505
irn,2018,505
irn,2019,505
irq,2004,520
irq,2005,520
irq,2006,520
irq,2007,520
irq,2008,520
irq,2009,520
irq,2010,520
irq,2011,520
irq,2012,520
irq,2013,520
irq,2014,520
irq,2015,520
irq,2016,520
irq,2017,520
irq,2018,520
irq,2019,520
isl,2004,393
isl,2005,393
isl,2006,393
isl,2007,393
isl,2008,393
isl,2009,417
isl,2010,417
isl,2011,417
isl,2012,417
isl,2013,417
isl,2014,417
isl,2015,417
isl,2016,417
isl,2017,417
isl,2018,417
isl,2019,417
isr,2003,890
isr,2004,890
isr,2005,890
isr,2006,890
isr,2007,890
isr,2008,890
isr,2009,890
isr,2010,890
isr,2011,890
isr,2012,975
isr,2013,975
isr,2014,975
isr,2015,975
isr,2016,975
isr,2017,975
isr,2018,975
isr,2019,975
ita,2003,1390
ita,2004,1390
ita,2005,1390
ita,2006,1210
ita,2007,1210
ita,2008,1210
ita,2009,1210
ita,2010,1210
ita,2011,1210
ita,2012,1185
ita,2013,1185
ita,2014,1185
ita,2015,1120
ita,2016,1120
ita,2017,1120
ita,2018,1120
ita,2019,1120
jam,2003,565
jam,2004,565
jam,2005,565
jam,2006,565
jam,2007,565
jam,2008,655
jam,2009,655
jam,2010,655
jam,2011,655
jam,2012,550
jam,2013,550
jam,2014,550
jam,2015,550
jam,2016,550
jam,2017,550
jam,2018,550
jam,2019,550
jor,2003,689
jor,2004,689
jor,2005,689
jor,2006,689
jor,2007,689
jor,2008,689
jor,2009,689
jor,2010,689
jor,2011,689
jor,2012,689
