geo,time,en_atm_meth_kt_ce
blz,1998,2340
blz,1999,1280
blz,2000,210
blz,2001,240
blz,2002,260
blz,2003,290
blz,2004,280
blz,2005,300
blz,2006,350
blz,2007,400
blz,2008,450
blz,2009,490
blz,2010,540
blz,2011,550
blz,2012,520
blz,2013,540
blz,2014,490
blz,2015,480
blz,2016,500
blz,2017,520
blz,2018,530
bol,1990,12540
bol,1991,13110
bol,1992,13770
bol,1993,14410
bol,1994,15100
bol,1995,15260
bol,1996,15140
bol,1997,15370
bol,1998,15750
bol,1999,16260
bol,2000,16420
bol,2001,16450
bol,2002,17960
bol,2003,18160
bol,2004,19440
bol,2005,20390
bol,2006,20300
bol,2007,20520
bol,2008,20760
bol,2009,21240
bol,2010,23000
bol,2011,22710
bol,2012,23200
bol,2013,23660
bol,2014,23420
bol,2015,24160
bol,2016,24830
bol,2017,24870
bol,2018,25050
bra,1990,285240
bra,1991,300170
bra,1992,304560
bra,1993,305470
bra,1994,311160
bra,1995,311550
bra,1996,304620
bra,1997,311060
bra,1998,318140
bra,1999,322940
bra,2000,325470
bra,2001,343440
bra,2002,361630
bra,2003,377700
bra,2004,395480
bra,2005,397320
bra,2006,392850
bra,2007,393310
bra,2008,391400
bra,2009,396980
bra,2010,413330
bra,2011,412830
bra,2012,414530
bra,2013,411880
bra,2014,416350
bra,2015,422280
bra,2016,424800
bra,2017,421660
bra,2018,416280
brb,1990,2070
brb,1991,2110
brb,1992,2150
brb,1993,2190
brb,1994,2220
brb,1995,2230
brb,1996,2240
brb,1997,2250
brb,1998,2260
brb,1999,2270
brb,2000,2280
brb,2001,2280
brb,2002,2270
brb,2003,2270
brb,2004,2270
brb,2005,2270
brb,2006,2270
brb,2007,2270
brb,2008,2280
brb,2009,2290
brb,2010,2300
brb,2011,2300
brb,2012,2310
brb,2013,2310
brb,2014,2320
brb,2015,2330
brb,2016,2330
brb,2017,2340
brb,2018,2350
brn,1990,9870
brn,1991,10010
brn,1992,10150
brn,1993,10280
brn,1994,10420
brn,1995,10550
brn,1996,10870
brn,1997,11190
brn,1998,11500
brn,1999,11820
brn,2000,12130
brn,2001,12220
brn,2002,12300
brn,2003,12380
brn,2004,12470
brn,2005,12550
brn,2006,12060
brn,2007,11570
brn,2008,11070
brn,2009,10580
brn,2010,10090
brn,2011,9970
brn,2012,9850
brn,2013,9720
brn,2014,9600
brn,2015,9480
brn,2016,9260
brn,2017,9050
brn,2018,8830
btn,1990,830
btn,1991,840
btn,1992,810
btn,1993,810
btn,1994,810
btn,1995,860
btn,1996,850
btn,1997,850
btn,1998,850
btn,1999,880
btn,2000,860
btn,2001,820
btn,2002,820
btn,2003,830
btn,2004,840
btn,2005,910
btn,2006,900
btn,2007,920
btn,2008,850
btn,2009,900
btn,2010,900
btn,2011,900
btn,2012,900
btn,2013,910
btn,2014,880
btn,2015,870
btn,2016,870
btn,2017,870
btn,2018,860
bwa,1990,6050
bwa,1991,5740
bwa,1992,5560
bwa,1993,5400
bwa,1994,5680
bwa,1995,6180
bwa,1996,6850
bwa,1997,6630
bwa,1998,6240
bwa,1999,6260
bwa,2000,6150
bwa,2001,7090
bwa,2002,7080
bwa,2003,3710
bwa,2004,3970
bwa,2005,4520
bwa,2006,5510
bwa,2007,4590
bwa,2008,8780
bwa,2009,4560
bwa,2010,10020
bwa,2011,12190
bwa,2012,6320
bwa,2013,5830
bwa,2014,4430
bwa,2015,4260
bwa,2016,3870
bwa,2017,5280
bwa,2018,4560
caf,1990,15680
caf,1991,15970
caf,1992,16080
caf,1993,16190
caf,1994,16360
caf,1995,16520
caf,1996,17560
caf,1997,17710
caf,1998,18720
caf,1999,17670
caf,2000,19150
caf,2001,17230
caf,2002,16080
caf,2003,18450
caf,2004,17110
caf,2005,17540
caf,2006,18020
caf,2007,18640
caf,2008,19580
caf,2009,17820
caf,2010,19250
caf,2011,20570
caf,2012,19820
caf,2013,21050
caf,2014,21460
caf,2015,22240
caf,2016,23340
caf,2017,22810
caf,2018,23200
can,1990,86830
can,1991,88220
can,1992,92250
can,1993,94870
can,1994,97440
can,1995,101280
can,1996,105380
can,1997,107150
can,1998,109270
can,1999,107960
can,2000,106910
can,2001,105320
can,2002,103840
can,2003,102210
can,2004,103180
can,2005,101520
can,2006,101440
can,2007,99520
can,2008,96350
can,2009,91740
can,2010,90200
can,2011,90120
can,2012,92550
can,2013,95000
can,2014,97120
can,2015,94850
can,2016,90490
can,2017,92380
can,2018,93980
che,1990,6450
che,1991,6340
che,1992,6250
che,1993,6110
che,1994,6060
che,1995,6000
che,1996,5960
che,1997,5760
che,1998,5680
che,1999,5550
che,2000,5480
che,2001,5530
che,2002,5480
che,2003,5360
che,2004,5290
che,2005,5300
che,2006,5300
che,2007,5250
che,2008,5290
che,2009,5190
che,2010,5180
che,2011,5110
che,2012,5060
che,2013,5000
che,2014,4960
che,2015,4900
che,2016,4860
che,2017,4830
