geo,time,ag_lnd_irig_ag_zs
ind,2007,34.93208
ind,2008,34.65011
ind,2009,35.34165
ind,2010,34.49238
ind,2011,35.39879
ind,2012,36.32948
ind,2013,36.78561
ind,2014,37.90097
ind,2015,38.05949
irn,2001,12.56757
irn,2002,12.73812
irn,2003,12.9106
irn,2004,13.08191
irn,2005,17.99878
irn,2006,18.2124
irn,2007,18.42198
irn,2008,17.47028
irn,2009,16.98018
irn,2010,16.90138
irn,2011,16.82208
irn,2012,16.74228
irn,2013,16.71454
irn,2014,16.58049
irn,2015,16.58049
irn,2016,16.58049
isr,2001,31.5508
isr,2002,30.90586
isr,2006,35.67217
isr,2007,30.01351
isr,2009,28.37734
isr,2010,32.58672
isr,2013,31.88545
isr,2014,38.47871
isr,2015,38.73385
isr,2016,39.26692
isr,2017,33.5313
isr,2018,33.51516
ita,2001,15.93988
ita,2003,18.33367
ita,2005,17.73208
ita,2007,18.82502
ita,2010,16.82743
ita,2013,19.08291
ita,2016,19.92663
jam,2010,6.91441
jor,2001,7.14286
jor,2002,7.31707
jor,2003,7.06468
jor,2004,7.32883
jor,2005,7.89733
jor,2006,7.48527
jor,2007,7.47431
jor,2008,9.54242
jor,2009,9.24878
jor,2010,9.61788
jor,2011,9.60503
jor,2012,9.15877
jor,2013,9.78611
jor,2014,9.86842
jor,2015,9.79835
jor,2016,10.00038
jor,2017,8.58987
jor,2018,8.25993
jpn,2001,35.46839
jpn,2002,35.33487
jpn,2003,35.05068
jpn,2004,35.99915
jpn,2005,36.27451
jpn,2006,36.05224
jpn,2007,35.89247
jpn,2008,35.09075
jpn,2009,35.17032
jpn,2010,35.37993
jpn,2011,34.50998
jpn,2012,34.71093
jpn,2013,35.19171
jpn,2014,34.81629
kaz,2010,0.58251
kaz,2014,0.78501
kaz,2015,0.79636
kaz,2016,0.80932
kaz,2017,0.82113
kaz,2018,0.81769
ken,2001,0.04471
ken,2002,0.0261
ken,2003,0.11163
ken,2004,0.04075
ken,2005,0.04074
ken,2006,0.0462
ken,2007,0.03546
ken,2008,0.0336
ken,2009,0.03702
kgz,2001,9.53044
kgz,2002,9.53044
kgz,2003,9.47417
kgz,2004,9.49861
kgz,2005,9.31596
kgz,2006,9.30846
kgz,2007,9.31342
kgz,2008,9.30532
kgz,2009,9.39504
kgz,2010,9.40454
kgz,2011,9.42263
kgz,2012,9.43982
kgz,2013,9.50013
kgz,2014,9.50166
kgz,2015,9.50342
kgz,2016,9.52083
kgz,2017,9.52363
kgz,2018,9.52349
kna,2005,0.8
kna,2006,7.98403
kna,2007,7.85855
kna,2008,7.84314
kna,2009,7.27273
kna,2010,10.52632
kna,2011,13.33333
kna,2012,13.33333
kor,2002,54.87233
kor,2003,53.41746
kor,2004,52.87903
kor,2005,52.09995
kor,2006,51.39935
kor,2007,51.63043
lao,2003,15.70958
lao,2004,9.27595
lao,2005,13.63778
lao,2011,11.42104
lao,2012,11.65724
lao,2013,12.16274
lao,2014,11.18852
lbn,2003,18.97927
lbn,2004,19.73993
lbn,2005,20.06126
lbn,2006,20.91311
lbn,2007,20.23335
lso,2008,0.03387
lso,2009,0.0342
lso,2010,0.03439
lso,2011,0.03893
lso,2012,0.04813
lso,2013,0.05328
ltu,2005,0.00811
ltu,2007,0.03709
ltu,2008,0.0479
ltu,2009,0.04835
ltu,2010,0.05411
ltu,2013,0.05534
ltu,2016,0.07109
lva,2007,0.03371
lva,2010,0.03934
lva,2013,0.02184
lva,2016,0.03107
mar,2004,4.29746
mar,2005,4.30491
mar,2006,3.87998
mar,2007,4.08611
mar,2008,4.39278
mar,2009,4.56794
mar,2010,4.54811
mar,2011,4.60573
mda,2001,11.06735
mda,2002,9.00552
mda,2003,9.02294
mda,2004,9.04441
mda,2005,9.12765
mda,2006,9.18647
mda,2007,9.05433
mda,2008,9.18984
mda,2009,9.2233
mda,2010,9.24949
mda,2014,9.84449
mda,2015,9.83175
mda,2016,9.83218
mda,2017,9.83472
mda,2018,9.84449
mdg,2001,2.17908
mdg,2002,2.17908
mdg,2003,2.17908
mdg,2004,2.17908
mdg,2005,2.17641
mdg,2006,2.17641
mdg,2007,2.17641
mdg,2008,2.17631
mdg,2009,2.17631
mex,2003,1.90709
mex,2004,1.95271
mex,2005,5.05489
mex,2006,5.06709
mex,2007,4.97751
mex,2008,5.4071
mex,2009,5.44274
mex,2010,5.75046
mex,2011,6.27613
mex,2012,5.60125
mex,2013,5.70354
mex,2014,5.78757
mkd,2007,7.39777
mkd,2013,5.84127
mkd,2016,6.67462
mlt,2003,20.19231
mlt,2005,25.80645
mlt,2007,30.10753
mlt,2008,30.10753
mlt,2009,30.10753
mlt,2010,33.8819
mlt,2011,33.8819
mlt,2012,33.98058
mlt,2013,36.16813
mlt,2014,36.16813
mlt,2015,36.16813
mlt,2016,33.71869
mlt,2017,33.71869
mlt,2018,33.71869
mmr,2003,22.83737
mmr,2004,23.19978
mmr,2005,23.40407
mmr,2006,24.80814
mmr,2007,24.75801
mng,2015,0.03977
mng,2016,0.03144
mng,2017,0.03173
mng,2018,0.03218
moz,2001,0.10634
mrt,2004,0.05759
mus,2002,21
mus,2003,22.22222
mus,2004,21.42857
mus,2005,21.875
mus,2006,22.34043
mus,2007,22.82609
mus,2008,23.07692
mus,2009,23.07692
mus,2010,21.97802
mus,2011,22.47191
mus,2012,21.83908
mus,2013,22.09302
mus,2014,19.76744
mus,2015,19.30233
mus,2016,19.53488
mus,2017,19.18605
mus,2018,20.23256
mwi,2005,0.57915
mwi,2006,0.5298
mwi,2007,0.74223
mwi,2008,0.53358
mys,2013,5.50916
mys,2015,5.15754
ner,2005,0.15271
ner,2009,0.23626
ner,2010,0.19601
ner,2011,0.21481
nga,2004,0.32736
nld,2005,4.7995
nld,2007,10.55161
nld,2010,7.3172
nld,2013,5.50985
nld,2016,11.07438
nor,2004,4.23077
nor,2005,4.15058
nor,2006,5.41063
nor,2007,5.32946
nor,2010,4.33443
nor,2012,1.98026
nor,2013,1.97033
nor,2016,3.42595
npl,2001,27.42428
npl,2002,27.54067
npl,2003,27.63189
npl,2004,27.69085
npl,2005,27.79629
npl,2006,24.6356
npl,2007,25.42007
npl,2008,25.86705
npl,2009,26.40097
npl,2010,29.73825
nzl,2002,3.17382
nzl,2007,4.4311
nzl,2014,6.29723
nzl,2015,6.53473
omn,2009,5.08801
omn,2013,4.77774
omn,2014,4.84294
omn,2015,5.77197
omn,2016,5.88719
omn,2017,6.9508
omn,2018,6.91759
pak,2001,48.19864
pak,2002,48.9101
pak,2003,49.45443
pak,2004,52.10154
pak,2005,52.77353
pak,2006,52.94036
pak,2007,53.0364
pak,2008,54.62578
pak,2009,55.05003
pak,2010,55.72896
pak,2011,51.95347
