geo,time,ne_con_prvt_cn_ad
bgr,1999,16309258000
bgr,2000,18696502000
bgr,2001,21256622000
bgr,2002,23257970000
bgr,2003,24912032000
bgr,2004,28163293000
bgr,2005,32329920000
bgr,2006,35857841000
bgr,2007,43471858000
bgr,2008,47773991000
bgr,2009,46087760000
bgr,2010,48049674000
bgr,2011,50817480000
bgr,2012,54223391000
bgr,2013,51380926000
bgr,2014,52800692000
bgr,2015,55572748000
bgr,2016,57764494999.99969
bgr,2017,61957868000.0002
bgr,2018,65792983999.9999
bgr,2019,71118136000.0002
bgr,2020,70413917000.00011
bhr,1990,610800000
bhr,1991,1017900000
bhr,1992,1055500000
bhr,1993,1100400000
bhr,1994,1091500000
bhr,1995,1166300000
bhr,1996,1230800000
bhr,1997,1277200000
bhr,1998,1327500000
bhr,1999,1378400000
bhr,2000,1521990000
bhr,2001,1580700000
bhr,2002,1626820000
bhr,2003,1786980000
bhr,2004,2352010000
bhr,2005,2385690000
bhr,2006,2416240000
bhr,2007,2582940000
bhr,2008,3333920000
bhr,2009,3528360000
bhr,2010,3981720000
bhr,2011,4228349999.99999
bhr,2012,4394039999.99999
bhr,2013,4988200000
bhr,2014,5083839999.99999
bhr,2015,5312250000.00001
bhr,2016,5448560000
bhr,2017,5596349999.99998
bhr,2018,5792079999.99998
bhr,2019,5762629999.99999
bhs,1990,3553011227.1142
bhs,1991,3663813961.27903
bhs,1992,3587432776.16073
bhs,1993,3683016434.15138
bhs,1994,3806662496.68386
bhs,1995,4169008694.09375
bhs,1996,4489341667.13548
bhs,1997,4168380350.17669
bhs,1998,4183459736.04346
bhs,1999,4508415159.40454
bhs,2000,4679742419.65156
bhs,2001,5092991053.28161
bhs,2002,5097441111.98933
bhs,2003,5194836715.06954
bhs,2004,5356151343.2242
bhs,2005,5912105268.59483
bhs,2006,6327275518.48504
bhs,2007,6488084458.15018
bhs,2008,6521055347.66643
bhs,2009,6117010244.54551
bhs,2010,6298147861.48909
bhs,2011,6413444837.09806
bhs,2012,6814600000
bhs,2013,6720800000.00001
bhs,2014,7136600000
bhs,2015,7487500000.00003
bhs,2016,7652100000
bhs,2017,8267000000.00004
bhs,2018,8435300000.00002
bhs,2019,8043599999.99999
bhs,2020,6421799999.99998
bih,2000,11922222844.9653
bih,2001,12815103513.434
bih,2002,13646948161.1594
bih,2003,14402030555.9486
bih,2004,15056731476.0674
bih,2005,16374715313.5591
bih,2006,17769705626.0252
bih,2007,19390236844.878
bih,2008,21745393392.7235
bih,2009,20934606630.1115
bih,2010,21246533834.7228
bih,2011,21832187171.87009
bih,2012,22233855908.36729
bih,2013,22400834857.97549
bih,2014,22678802763.8336
bih,2015,22919001552.5864
bih,2016,23359930002.0984
bih,2017,23986136536.6408
bih,2018,24932570241.82
bih,2019,25946858668.40269
bih,2020,25231533999.9999
blr,1990,205
blr,1991,400
blr,1992,4700
blr,1993,55400
blr,1994,1056700
blr,1995,7173400
blr,1996,11511200
blr,1997,20931300
blr,1998,40617700
blr,1999,177458300
blr,2000,519810000
blr,2001,989595000
blr,2002,1555000000
blr,2003,2088960000
blr,2004,2685880000
blr,2005,3382700000
blr,2006,4080310000
blr,2007,5034240000
blr,2008,6743570000
blr,2009,7986870000
blr,2010,9485580000
blr,2011,14964530000
blr,2012,26313870000
blr,2013,34377050000
blr,2014,42567760000
blr,2015,47541920000.0002
blr,2016,51756500000
blr,2017,57586199999.9998
blr,2018,65506200000.0002
blr,2019,72706399999.9998
blr,2020,75651700000
blz,1990,337279763.499
blz,1991,387100000
blz,1992,739639700
blz,1993,764450400
blz,1994,824215300
blz,1995,891379300
blz,1996,956982700
blz,1997,994442900
blz,1998,1067146400
blz,1999,1162131900
blz,2000,1232952200
blz,2001,1359222300
blz,2002,1457204400
blz,2003,1530429100
blz,2004,1585589999.99999
blz,2005,1593083000
blz,2006,1609000700.00001
blz,2007,1695521100.00001
blz,2008,1769805900
blz,2009,1864242700
blz,2010,1938061500
blz,2011,2063132600
blz,2012,2122628600.00001
blz,2013,2239565100
blz,2014,2318957000.00001
blz,2015,2395206900
blz,2016,2595078900.00001
blz,2017,2543133000
blz,2018,2557982700
blz,2019,2470670700
blz,2020,2152522018.65
bmu,2010,3172347000
bmu,2011,3124118000
bmu,2012,3110046000
bmu,2013,3135554000
bmu,2014,3142674999.99999
bmu,2015,3237728000.00001
bmu,2016,3368442999.99999
bmu,2017,3512954000
bmu,2018,3523673999.99999
bmu,2019,3574216000.00001
bmu,2020,3201000000
bol,1990,11869886000
bol,1991,14891258000
bol,1992,17488916000
bol,1993,19413422000
bol,1994,21444454000.0001
bol,1995,24440155000
bol,1996,28200554999.9999
bol,1997,31113364999.9999
bol,1998,35144093000
bol,1999,37001622000
bol,2000,39655455999.9999
bol,2001,40499252999.9999
bol,2002,41842207000
bol,2003,43960301000
bol,2004,47281176000.0001
bol,2005,51080252000
bol,2006,57594547000
bol,2007,65127854999.9999
bol,2008,75100239000.00009
bol,2009,79733207000
bol,2010,85894379999.99989
bol,2011,100909770000
bol,2012,111363573000
bol,2013,127509170000
bol,2014,143499689000
bol,2015,156018420000
bol,2016,161615431000
bol,2017,175349963000
bol,2018,186548613000
bol,2019,193415548000
bol,2020,175195647000
bra,1990,6848723.63636
bra,1991,37117049.09091
bra,1992,394312655.27273
bra,1993,8469884363.63636
bra,1994,208256338000
bra,1995,449762075904.75507
bra,1996,556941736312.78699
bra,1997,621805928307.62891
bra,1998,642931005390.23291
bra,1999,703532422168.93701
bra,2000,774525944805.66492
bra,2001,843500681179.8009
bra,2002,921536012742.94092
bra,2003,1062460417584.14001
bra,2004,1178694999769.38989
bra,2005,1313295913415.69995
bra,2006,1456215551652.34009
bra,2007,1628756009581.3501
bra,2008,1857510034385.27002
bra,2009,2065033195409.41992
bra,2010,2340167000000
bra,2011,2637814000000
bra,2012,2956834000000
bra,2013,3290421999999.99023
bra,2014,3638404000000.00977
bra,2015,3835193000000.00977
bra,2016,4028135999999.99023
bra,2017,4247258999999.99023
bra,2018,4525801000000
bra,2019,4797117860000
bra,2020,4670909634477.13965
brb,1990,2817900000
brb,1991,2924900000
brb,1992,2865800000
brb,1993,2998100000
brb,1994,3046900000
brb,1995,3379300000
brb,1996,3511000000
brb,1997,3798600000
brb,1998,4119400000
brb,1999,4410200000
brb,2000,4553900000
brb,2001,4657300000
brb,2002,4599300000
brb,2003,4295000000
brb,2004,4941300000
brb,2005,5617000000
brb,2006,5803292100
brb,2007,6702160600
brb,2008,7230261200
brb,2009,6281600800
brb,2010,7045437400
brb,2011,7285176100.00002
brb,2012,7123115599.99997
brb,2013,7393243800.00003
brb,2014,7406238100
brb,2015,7232445099.99998
brb,2016,7317972900.00002
brb,2017,7682354500.00001
brb,2018,7990111899.99997
brb,2019,8163328299.99999
brn,1990,1690000000
brn,1991,1715000000
brn,1992,2107000000
brn,1993,2557000000
brn,1994,2424000000
brn,1995,2459000000
brn,1996,2789000000
brn,1997,3032000000
brn,1998,2730000000
brn,1999,2690000000
brn,2000,2568966100
brn,2001,2643950200
brn,2002,2678657300
brn,2003,3121011500
brn,2004,3534378400
brn,2005,3563238000
brn,2006,3610400000
brn,2007,3722000000
brn,2008,3608000000
brn,2009,3803000000
brn,2010,2750000000
brn,2011,2976999999.99999
brn,2012,3276000000
brn,2013,3454999999.99999
brn,2014,3379999999.99999
brn,2015,3517484700
brn,2016,3330702100
brn,2017,3429186200
brn,2018,3576297500
brn,2019,3757937300
brn,2020,3935599747.15695
btn,1990,3259145874.92617
btn,1991,3633636600
btn,1992,4630543300.00001
btn,1993,4061193200
btn,1994,4098807800
btn,1995,4320491600
btn,1996,5991903000.00001
btn,1997,8251332300
btn,1998,10356716900
btn,1999,11995018400
btn,2000,9533666300
btn,2001,8838177500.00003
btn,2002,11633637100
btn,2003,13307834200
btn,2004,15036913100
btn,2005,18865564200
btn,2006,15038122700
btn,2007,26643747800
btn,2008,24568247500
btn,2009,29365759200.0001
btn,2010,32068654900
btn,2011,33295251800
btn,2012,34049269300.0001
btn,2013,59236076799.9999
btn,2014,59313529999.9999
btn,2015,71069580000
btn,2016,72382199999.99989
btn,2017,83434700000
btn,2018,96800289999.99988
btn,2019,103768630000
btn,2020,106378480000
bwa,1990,2257726996.73736
bwa,1991,2768863210.61663
bwa,1992,3085553806.75838
