geo,time,ny_gns_ictr_cn
brb,2009,744722643.347
brb,2010,319811470.5715
brb,2011,-132059094.56615
brb,2012,323725091.48357
brb,2013,208874238.3186
brb,2014,283349785.86819
brb,2015,503412934.94305
brb,2016,517332038.243
brn,2001,4265811356.26267
brn,2002,4781847104.16482
brn,2003,5384674681.54414
brn,2004,6239160638.6047
brn,2005,8755353904.38412
brn,2006,10679254288.1946
brn,2007,10006659954.0643
brn,2008,12775002982.5949
brn,2009,7601553253.87413
brn,2010,11242100415.1094
brn,2011,14863398377.9403
brn,2012,14972750368.8551
brn,2013,13646561907.4985
brn,2014,12935814258.3534
brn,2015,10154498010.2999
brn,2016,8883835107.15595
brn,2017,9267583492.71423
brn,2018,9737020356.90213
brn,2019,9840437840.95156
brn,2020,8432730291.59709
btn,2006,20545588256.0485
btn,2007,12988781298.6948
btn,2008,18495009840.7789
btn,2009,18400769932.627
btn,2010,24490480723.4014
btn,2011,33670997342.0183
btn,2012,46354619723.7253
btn,2013,25582147763.41809
btn,2014,34562781408.2758
btn,2015,30076859961.1803
btn,2016,44837256753.2424
btn,2017,47016219504.3704
btn,2018,40573268194.72369
btn,2019,38170583920.1328
btn,2020,31265011674.82
bwa,1975,53200039.56948
bwa,1976,70100499.11439
bwa,1977,84551307.81479
bwa,1978,111400732.12459
bwa,1979,199149797.1691
bwa,1980,226198626.57879
bwa,1981,259198446.98629
bwa,1982,286300642.8629
bwa,1983,371698975.5791
bwa,1984,408450745.55992
bwa,1985,687801124.80476
bwa,1986,948547849.42804
bwa,1987,1276993156.10189
bwa,1988,2409152088.36055
bwa,1989,2950153026.14334
bwa,1990,2937152343.31993
bwa,1991,3586556306.36127
bwa,1992,3621498278.21162
bwa,1993,4409047720.63494
bwa,1994,3352886989.98281
bwa,1995,3804200058.75897
bwa,1996,5948530396.16308
bwa,1997,6871377682.67066
bwa,1998,8204294403.22205
bwa,1999,10066202396.0267
bwa,2000,11647411422.5344
bwa,2001,13914412797.0901
bwa,2002,10818520404.779
bwa,2003,13265762387.9344
bwa,2004,14406065387.3114
bwa,2005,20522471068.3285
bwa,2006,26247619664.7021
bwa,2007,31013256259.7731
bwa,2008,29600109380.2144
bwa,2009,25143395747.4894
bwa,2010,30794790937.73809
bwa,2011,43009884009.3943
bwa,2012,43591111981.8015
bwa,2013,45889144897.6836
bwa,2014,55228496890.045
bwa,2015,50070762750.1363
bwa,2016,65585697897.9238
bwa,2017,67578463840.3434
bwa,2018,63622399148.7794
bwa,2019,55320338776.2423
bwa,2020,48205904794.0384
caf,1977,9757849875.86078
caf,1978,9538433830.86037
caf,1979,11208132327.4111
caf,1980,2704048001.9879
caf,1981,15364220135.1259
caf,1982,2387353690.56627
caf,1983,18531119412.5017
caf,1984,19685291328.3699
caf,1985,44567396814.8154
caf,1986,33543817705.1042
caf,1987,30082971700.80429
caf,1988,39813945828.7084
caf,1989,47065699453.3162
caf,1990,42675935381.5403
caf,1991,37073874999.2944
caf,1992,36775984414.8732
caf,1993,45351983639.2035
caf,1994,71321780275.429
can,1970,19381303018.6488
can,1971,21203142051.5768
can,1972,23738730193.8162
can,1973,30604668019.4511
can,1974,37972961706.265
can,1975,37453725428.3035
can,1976,44681805100.3403
can,1977,46556903020.1902
can,1978,50857724050.5334
can,1979,63071552869.2912
can,1980,71298815145.71989
can,1981,82851405353.7007
can,1982,77248095571.2769
can,1983,84484110149.78499
can,1984,96610821982.7659
can,1985,102676503971.242
can,1986,99886020293.392
can,1987,115825148497.183
can,1988,131403209838.675
can,1989,135245773199.558
can,1990,123520217869.29401
can,1991,106263926524.037
can,1992,100989956895.511
can,1993,111187701787.673
can,1994,134500526981.326
can,1995,157588809873.62799
can,1996,167337174990.784
can,1997,183163170945.34897
can,1998,185984197210.01401
can,1999,212629029176.14999
can,2000,262962364504.41296
can,2001,259071094638.27097
can,2002,259325363716.952
can,2003,275337788292.49701
can,2004,316039031408.43201
can,2005,347599534867.216
can,2006,368415768284.05695
can,2007,385017187930.65997
can,2008,401789271155.53802
can,2009,291011268530.52502
can,2010,321755635190.12799
can,2011,370018260936.85498
can,2012,382213850739.11694
can,2013,410834392888.69293
can,2014,441839640251.62201
can,2015,389516832855.45898
can,2016,387817755685.48798
can,2017,424816221421.98999
can,2018,439168110297.35602
can,2019,462615238633.26801
can,2020,416712305378.78003
che,1995,137473349061.21899
che,1996,135669737701.92
che,1997,143575558621.42001
che,1998,151425272883.827
che,1999,154813950531.55899
che,2000,178275687231.17899
che,2001,167732392507.11301
che,2002,158542784037.37799
che,2003,178892490842.45401
che,2004,186041034763.672
che,2005,204451032438.582
che,2006,227649192604.54297
che,2007,214218894968.46201
che,2008,180291944247.811
che,2009,214445496715.77802
che,2010,252802470938.48901
che,2011,232022943376.40601
che,2012,241359371030.77802
che,2013,241211542297.85001
che,2014,231696965353.97601
che,2015,242171446209.37201
che,2016,236968256913.83096
che,2017,227328238048.81296
che,2018,229477768131.85297
che,2019,231711773818.80301
che,2020,221226587900.20096
chl,1975,2829182309.31561
chl,1976,19464358011.991
chl,1977,32168860240.292
chl,1978,60834435762.189
chl,1979,100250153937.933
chl,1980,159076023787.74799
chl,1981,106153052881.83
chl,1982,24436657334.8201
