geo,time,ny_adj_dfor_cd
dom,1975,0
dom,1976,0
dom,1977,0
dom,1978,0
dom,1979,0
dom,1980,0
dom,1981,0
dom,1982,0
dom,1983,0
dom,1984,0
dom,1985,0
dom,1986,0
dom,1987,0
dom,1988,0
dom,1989,0
dom,1990,0
dom,1991,0
dom,1992,0
dom,1993,0
dom,1994,0
dom,1995,0
dom,1996,0
dom,1997,0
dom,1998,0
dom,1999,0
dom,2000,0
dom,2001,0
dom,2002,0
dom,2003,0
dom,2004,0
dom,2005,0
dom,2006,0
dom,2007,0
dom,2008,0
dom,2009,0
dom,2010,0
dom,2011,0
dom,2012,0
dom,2013,0
dom,2014,0
dom,2015,0
dom,2016,0
dom,2017,0
dom,2018,0
dom,2019,0
dza,1970,5087649.58522
dza,1971,5322884.67563
dza,1972,5791423.18913
dza,1973,8188346.54331
dza,1974,9638035.42038
dza,1975,12519912.68384
dza,1976,10213316.51189
dza,1977,17073264.29057
dza,1978,22383258.00364
dza,1979,22158218.46616
dza,1980,25925809.73854
dza,1981,26675309.55771
dza,1982,61376686.42824
dza,1983,43007444.52918
dza,1984,44138490.96074
dza,1985,17960922.03284
dza,1986,48485595.60826
dza,1987,50727014.07476
dza,1988,53265227.12019
dza,1989,54941854.55014
dza,1990,57724213.13613
dza,1991,61123141.46314
dza,1992,54632796.55361
dza,1993,43759200.12853
dza,1994,46372048.13405
dza,1995,70039080.6008
dza,1996,74335289.37185
dza,1997,75562966.32722
dza,1998,103654160.5665
dza,1999,54862687.93571
dza,2000,43719377.56422
dza,2001,51426903.87972
dza,2002,56691827.67118
dza,2003,77007980.11014
dza,2004,75446046.77122
dza,2005,73426614.00457
dza,2006,91351930.76847
dza,2007,85290361.14094
dza,2008,149510815.3254
dza,2009,145668975.21602
dza,2010,173349259.77784
dza,2011,199308392.34572
dza,2012,217585529.84633
dza,2013,191247448.95172
dza,2014,309919732.69804
dza,2015,283757941.06372
dza,2016,221123141.46635
dza,2017,277674135.55446
dza,2018,140252459.58589
dza,2019,166769816.09403
ecu,1970,0
ecu,1971,0
ecu,1972,0
ecu,1973,0
ecu,1974,0
ecu,1975,0
ecu,1976,0
ecu,1977,0
ecu,1978,0
ecu,1979,0
ecu,1980,0
ecu,1981,0
ecu,1982,0
ecu,1983,0
ecu,1984,0
ecu,1985,0
ecu,1986,0
ecu,1987,0
ecu,1988,0
ecu,1989,0
ecu,1990,0
ecu,1991,0
ecu,1992,0
ecu,1993,0
ecu,1994,0
ecu,1995,0
ecu,1996,0
ecu,1997,0
ecu,1998,0
ecu,1999,0
ecu,2000,0
ecu,2001,0
ecu,2002,0
ecu,2003,0
ecu,2004,0
ecu,2005,0
ecu,2006,0
ecu,2007,0
ecu,2008,0
ecu,2009,0
ecu,2010,0
ecu,2011,0
ecu,2012,0
ecu,2013,0
ecu,2014,0
ecu,2015,0
ecu,2016,0
ecu,2017,0
ecu,2018,0
ecu,2019,0
egy,1970,26836073.42135
egy,1971,24295757.9791
egy,1972,28432677.89438
egy,1973,37389909.92886
egy,1974,42778675.20386
egy,1975,53120551.58399
egy,1976,42491826.95069
egy,1977,70170380.59244
egy,1978,88605483.68023
egy,1979,77843802.31358
egy,1980,95656111.34222
egy,1981,96950452.73459
egy,1982,226668728.36488
egy,1983,153435855.13582
egy,1984,155433692.80111
egy,1985,56750438.71697
egy,1986,162583364.72559
egy,1987,166893805.02354
egy,1988,170327466.72328
egy,1989,174346811.94996
egy,1990,178059649.90969
egy,1991,182895544.76357
egy,1992,158928781.1292
egy,1993,119119337.28899
egy,1994,130334607.05201
egy,1995,194091677.24017
egy,1996,201272423.91761
egy,1997,203586614.42297
egy,1998,283112274.79652
egy,1999,138111747.79688
egy,2000,121706116.43716
egy,2001,140571634.40289
egy,2002,153885995.19973
egy,2003,213474779.70038
egy,2004,203253844.47235
egy,2005,197541759.59333
egy,2006,247041385.24309
egy,2007,229784802.25766
egy,2008,404609059.89027
egy,2009,395758281.07354
egy,2010,474800055.21254
egy,2011,541125062.43157
egy,2012,587477061.21415
egy,2013,515155842.53645
egy,2014,819230104.51853
egy,2015,740312748.74155
egy,2016,571944623.25897
egy,2017,712912290.31226
egy,2018,366898283.76643
egy,2019,434000703.71258
eri,1993,1769894.06324
eri,1994,3409773.91304
eri,1995,6999794.95764
eri,1996,9003895.14591
eri,1997,10503336.59717
eri,1998,13249653.29316
eri,1999,8923613.8175
eri,2000,10216374.5254
eri,2001,10543752.28311
eri,2002,0
eri,2003,0
eri,2004,0
eri,2005,0
eri,2006,0
eri,2007,0
eri,2008,0
eri,2009,0
eri,2010,0
eri,2011,0
eri,2012,0
eri,2013,0
eri,2014,0
eri,2015,0
eri,2016,0
eri,2017,0
eri,2018,0
eri,2019,0
esp,1970,0
esp,1971,0
esp,1972,0
esp,1973,0
esp,1974,0
esp,1975,0
esp,1976,0
esp,1977,0
esp,1978,0
esp,1979,0
esp,1980,0
esp,1981,0
esp,1982,0
esp,1983,0
esp,1984,0
esp,1985,0
esp,1986,0
esp,1987,0
esp,1988,0
esp,1989,0
esp,1990,0
esp,1991,0
esp,1992,0
esp,1993,0
esp,1994,0
esp,1995,0
esp,1996,0
esp,1997,0
esp,1998,0
esp,1999,0
esp,2000,0
esp,2001,0
esp,2002,0
esp,2003,0
esp,2004,0
esp,2005,0
esp,2006,0
esp,2007,0
esp,2008,0
esp,2009,0
esp,2010,0
esp,2011,0
esp,2012,0
esp,2013,0
esp,2014,0
esp,2015,0
esp,2016,0
esp,2017,0
esp,2018,0
esp,2019,0
est,1992,0
