geo,time,sl_tlf_acti_1524_fe_ne_zs
mli,1976,18.23
mli,2004,31.12
mli,2006,62.5
mli,2010,46.82
mli,2013,65.9
mli,2014,52.98
mli,2015,56.87
mli,2016,39.02
mli,2017,53.43
mli,2018,40.2
mlt,1994,57.67
mlt,1996,60.98
mlt,1997,55.67
mlt,1998,52.93
mlt,2000,58.89
mlt,2001,60.48
mlt,2002,58.09
mlt,2003,57.07
mlt,2004,50.35
mlt,2005,51.33
mlt,2006,49.06
mlt,2007,50.46
mlt,2008,49.99
mlt,2009,48.3
mlt,2010,48.1
mlt,2011,47.96
mlt,2012,48.92
mlt,2013,50.26
mlt,2014,52.32
mlt,2015,49.42
mlt,2016,48.9
mlt,2017,51.15
mlt,2018,56.31
mlt,2019,55.02
mlt,2020,52.11
mmr,1983,37.8
mmr,2015,52.82
mmr,2017,43.88
mmr,2018,42.48
mmr,2019,39.72
mne,2007,29.7
mne,2008,29.2
mne,2011,16.73
mne,2012,21.89
mne,2013,19.92
mne,2014,24.49
mne,2015,26.98
mne,2016,29.54
mne,2017,27.78
mne,2018,26.97
mne,2019,31.07
mne,2020,24.85
mng,1998,49.42
mng,2000,46.9
mng,2003,34.8
mng,2004,46.59
mng,2005,43.56
mng,2007,32.7
mng,2008,29.09
mng,2009,28.82
mng,2010,27.18
mng,2011,27.33
mng,2012,33.36
mng,2013,26.99
mng,2014,25.31
mng,2015,24.58
mng,2016,21.94
mng,2017,21.71
mng,2018,22.14
mng,2019,24.81
mng,2020,24.28
mnp,1985,43
mnp,1990,76.64
mnp,1995,65.54
mnp,2003,78.81
moz,1970,32.51
moz,1980,77.98
moz,1997,81.53
moz,2015,63.09
mrt,1975,3.33
mrt,2012,16.9
mrt,2017,13.77
mus,1962,11.9
mus,1972,18.15
mus,1983,29.26
mus,1984,15.64
mus,1987,44.56
mus,1989,46.31
mus,1990,34.88
mus,1991,40.91
mus,1992,41.69
mus,1993,42.23
mus,1994,43.23
mus,1995,35.35
mus,2000,35.68
mus,2001,34.76
mus,2002,37.34
mus,2003,39.08
mus,2004,38.76
mus,2005,38.44
mus,2006,39.53
mus,2007,37.55
mus,2008,35.39
mus,2009,34.48
mus,2010,36.88
mus,2011,35.88
mus,2012,35.99
mus,2013,35.22
mus,2014,35.96
mus,2015,39.41
mus,2016,39.11
mus,2017,39.23
mus,2018,40.98
mus,2019,38.04
mus,2020,64.43
mwi,1975,51.85
mwi,1983,81.84
mwi,1987,61.04
mwi,1998,58.62
mwi,2004,81.8
mwi,2005,67.67
mwi,2011,58.19
mwi,2013,63.53
mwi,2017,31.03
mwi,2020,32.39
mys,1980,42.6
mys,1991,35.97
mys,2011,33.31
mys,2014,35.14
mys,2015,34.47
mys,2016,35.33
mys,2017,35.62
mys,2018,35.91
mys,2019,37.65
mys,2020,34.88
nam,1991,35.43
nam,1994,34.31
nam,1997,29.43
nam,2000,27.76
nam,2001,40.07
nam,2004,28.19
nam,2008,34.4
nam,2010,37.73
nam,2012,28.18
nam,2013,32.86
nam,2014,30.55
nam,2016,34.43
nam,2018,26.43
ncl,2014,40.6
ner,1977,6.4
ner,2001,34.75
ner,2005,34.42
ner,2011,60.04
ner,2012,18.22
ner,2014,51.29
ner,2017,8.85
nga,1963,22.85
nga,1983,18.98
nga,1986,20.14
nga,1991,26.2
nga,2004,34.35
nga,2011,29.22
nga,2013,21.13
nga,2019,23.06
nic,1963,21.81
nic,1971,21.01
nic,1977,27.79
nic,1989,32.12
nic,1990,33.26
nic,1991,33.12
nic,1995,25.46
nic,1996,25.8
nic,1998,26.17
nic,1999,34.92
nic,2000,31.9
nic,2001,30.26
nic,2006,31.21
nic,2012,57.8
nic,2014,32.46
nld,1960,56.28
nld,1977,45.39
nld,1979,45.31
nld,1980,48.41
nld,1981,47.97
nld,1982,48.97
nld,1983,48.51
nld,1985,47.51
nld,1986,49.06
nld,1987,58.6
nld,1988,56.14
nld,1989,57.24
nld,1990,59.22
nld,1991,60.12
nld,1992,61.14
nld,1993,59.73
nld,1994,59.61
nld,1995,61.81
nld,1996,60.93
nld,1997,61.78
nld,1998,64.92
nld,1999,68.05
nld,2000,70.88
