geo,time,sh_dth_comm_zs
tto,2010,8.47057
tto,2015,7.0978
tto,2019,6.97722
tun,2000,11.14533
tun,2010,7.66705
tun,2015,7.48969
tun,2019,7.14456
tur,2000,13.37013
tur,2010,6.07211
tur,2015,5.54522
tur,2019,5.16532
tza,2000,72.22341
tza,2010,65.77728
tza,2015,59.41267
tza,2019,54.33699
uga,2000,74.73056
uga,2010,65.32679
uga,2015,57.70069
uga,2019,51.66056
ukr,2000,3.4575
ukr,2010,4.15966
ukr,2015,3.74658
ukr,2019,3.13382
ury,2000,7.3049
ury,2010,7.97727
ury,2015,7.17855
ury,2019,7.15429
usa,2000,6.28302
usa,2010,5.69331
usa,2015,5.6512
usa,2019,5.30206
uzb,2000,20.33648
uzb,2010,13.20048
uzb,2015,10.48154
uzb,2019,8.20832
vct,2000,17.18592
vct,2010,15.34777
vct,2015,13.89873
vct,2019,13.10842
ven,2000,16.02443
ven,2010,12.34349
ven,2015,12.97231
ven,2019,15.56175
vnm,2000,18.12672
vnm,2010,12.86087
vnm,2015,10.75565
vnm,2019,9.30494
vut,2000,23.28639
vut,2010,19.87718
vut,2015,18.18437
vut,2019,16.85705
wsm,2000,14.12598
wsm,2010,12.00503
wsm,2015,11.03505
wsm,2019,10.36587
yem,2000,49.97373
yem,2010,37.0203
yem,2015,32.10417
yem,2019,30.14559
zaf,2000,47.87912
zaf,2010,48.88332
zaf,2015,37.26674
zaf,2019,35.68036
zmb,2000,74.263
zmb,2010,63.41886
zmb,2015,58.31461
zmb,2019,56.51785
zwe,2000,78.63711
zwe,2010,61.9821
zwe,2015,51.24791
zwe,2019,47.6473
