geo,time,nv_mnf_chem_zs_un
lva,2001,3.66917
lva,2002,3.00653
lva,2003,3.40233
lva,2004,3.60321
lva,2005,4.08377
lva,2006,4.05994
lva,2007,3.66445
lva,2008,2.33451
lva,2009,3.16119
lva,2010,4.31852
lva,2011,2.24686
lva,2012,1.90106
lva,2013,1.78611
lva,2014,2.25029
lva,2015,2.08407
lva,2016,2.16507
lva,2017,2.1892
lva,2018,3.0495
lva,2019,3.15886
mac,1978,0.69757
mac,1979,0.69729
mac,1980,0.34013
mac,1981,0.31953
mac,1982,0.3953
mac,1983,0.51251
mac,1984,0.37386
mac,1985,0.58706
mac,1986,0.68801
mac,1987,0.9019
mac,1988,1.14879
mac,1989,1.18565
mac,1990,1.23271
mac,1991,1.05192
mac,1992,0.85892
mac,1993,1.02675
mac,1994,0.91819
mac,1995,1.20742
mac,1996,1.22298
mac,1997,0.96806
mac,1998,1.24151
mac,1999,2.00665
mac,2000,1.14068
mac,2002,0.73067
mac,2003,0.61076
mac,2004,0.76025
mac,2005,0.59611
mac,2006,0.68368
mac,2007,0.85172
mac,2008,0.59523
mac,2009,0.79752
mac,2010,1.17732
mar,1976,8.84119
mar,1977,10.2573
mar,1978,15.25864
mar,1979,15.85618
mar,1980,16.34927
mar,1981,17.72736
mar,1982,17.72736
mar,1983,16.32457
mar,1984,16.34403
mar,1985,15.28295
mar,1986,13.34142
mar,1987,14.96691
mar,1988,16.33702
mar,1989,11.62809
mar,1990,12.24546
mar,1991,12.22679
mar,1992,14.18332
mar,1993,10.32484
mar,1994,14.7353
mar,1995,14.98856
mar,1996,15.76712
mar,1997,16.29209
mar,1998,15.30238
mar,1999,15.6505
mar,2000,12.20842
mar,2001,12.61833
mar,2002,12.95662
mar,2003,14.1698
mar,2004,14.00056
mar,2005,14.19172
mar,2006,13.16297
mar,2007,16.43831
mar,2008,18.0529
mar,2009,11.51445
mar,2010,18.17879
mar,2011,18.16597
mar,2015,16.50776
mar,2016,19.69359
mar,2018,12.93423
mar,2019,12.93423
mda,2014,4.89003
mda,2015,4.04955
mda,2016,4.1747
mda,2017,5.5019
mda,2018,5.14715
mda,2019,5.14249
mdg,1967,4.3236
mdg,1968,6.12413
mdg,1969,7.222
mdg,1970,7.48458
mdg,1971,7.10997
mdg,1972,7.41934
mdg,1973,7.58577
mdg,1974,6.72801
mdg,1975,7.55142
mdg,1976,6.53508
mdg,1977,8.4178
mdg,1978,7.64924
mdg,1979,6.02654
mdg,1980,5.2056
mdg,1981,5.57325
mdg,1982,4.72043
mdg,1983,5.71589
mdg,1984,6.51601
mdg,1985,8.90354
mdg,1986,7.04482
mdg,1998,5.72967
mdg,2001,1.8358
mdg,2002,2.10919
mdg,2003,1.7517
mdg,2004,1.73748
mdg,2005,1.63855
mdg,2006,2.05971
mdv,2013,0.04193
mdv,2014,0.04193
mdv,2015,0.04193
mex,1984,17.47134
mex,1985,17.61293
mex,1986,18.53684
mex,1987,18.31721
mex,1988,18.19403
mex,1989,11.82056
mex,1990,17.55628
mex,1991,17.01861
mex,1992,16.86103
mex,1993,16.59271
mex,1994,14.75248
mex,1995,16.53688
mex,1996,15.69372
mex,1997,15.62519
mex,1998,15.31873
mex,1999,15.6769
mex,2000,15.36074
mex,2001,16.49795
mex,2002,17.1709
mex,2003,14.45348
mex,2004,18.60878
mex,2005,18.77939
mex,2006,18.51758
mex,2007,17.38801
mex,2008,17.45785
mex,2009,11.71176
mex,2010,11.23296
mex,2011,11.98021
mex,2012,11.61853
mex,2013,11.40652
mex,2014,10.08388
mex,2015,8.64142
mex,2016,8.75982
mex,2017,8.4153
mex,2018,8.21053
mex,2019,8.21053
mkd,1987,7.26016
mkd,1988,7.01434
mkd,1989,6.29598
mkd,1990,8.90636
mkd,1991,7.205
mkd,1992,8.80823
mkd,1993,3.88146
mkd,1994,9.58949
mkd,1995,6.23386
mkd,1996,10.57349
mkd,1997,8.38108
mkd,1998,8.27794
mkd,1999,7.06922
mkd,2000,5.53696
mkd,2001,6.67374
mkd,2002,6.67374
mkd,2003,6.53014
mkd,2004,6.16636
mkd,2005,5.29075
mkd,2006,5.71021
mkd,2007,5.73438
mkd,2008,5.85046
mkd,2009,6.56677
mkd,2010,7.05787
mkd,2011,6.73416
mkd,2012,7.72853
mkd,2013,6.27839
mkd,2014,6.90168
mkd,2015,6.85023
mkd,2016,6.38231
mkd,2017,5.99729
mkd,2018,5.99728
mkd,2019,5.99728
mlt,1963,2.97122
mlt,1964,3.85427
mlt,1965,4.01995
mlt,1966,3.12112
mlt,1967,3.09004
mlt,1968,2.92861
mlt,1969,3.15152
mlt,1970,3.13447
mlt,1971,2.98145
mlt,1972,2.96094
mlt,1973,2.76611
mlt,1974,2.49513
mlt,1975,1.53753
mlt,1976,1.58516
mlt,1977,1.62143
mlt,1978,1.86891
mlt,1979,1.81974
mlt,1980,1.92607
mlt,1981,2.50595
mlt,1982,2.15792
mlt,1983,2.7119
mlt,1984,3.03297
mlt,1985,3.02469
mlt,1986,2.41813
mlt,1987,2.77625
mlt,1988,3.09577
mlt,1989,3.53519
mlt,1990,3.16156
mlt,1991,3.47167
mlt,1992,4.05221
mlt,1993,4.11856
mlt,1994,4.06668
mlt,1995,4.3004
mlt,1996,4.93397
mlt,1997,4.77238
mlt,1998,4.56071
mlt,1999,2.23994
mlt,2000,2.22902
mlt,2001,3.43185
mlt,2002,2.5191
mlt,2003,3.83061
mlt,2004,3.41396
mlt,2005,3.54407
mlt,2006,12.38584
mlt,2007,16.14108
mlt,2008,17.71129
mlt,2011,8.52744
mlt,2012,5.36509
mlt,2013,5.69901
mlt,2014,6.2729
mlt,2015,4.2447
mlt,2016,1.8046
mlt,2017,9.01124
mlt,2018,8.24812
mlt,2019,8.24812
mmr,2009,4.83021
mmr,2010,11.07898
mmr,2011,6.66559
mmr,2012,1.77365
mmr,2013,1.48245
mmr,2014,11.62723
mmr,2015,12.8219
mmr,2016,7.25143
mmr,2017,21.66159
mmr,2018,24.49661
mne,2010,4.85039
mne,2011,4.17911
mne,2012,4.53863
mne,2013,4.05575
mne,2014,3.42684
mne,2015,4.31826
mne,2016,4.31826
mne,2017,4.31826
mne,2018,4.31826
mne,2019,4.31826
mng,1990,1.38291
mng,1991,1.01519
mng,1992,1.046
mng,1993,0.73458
mng,1994,1.49726
mng,1995,1.50877
mng,1996,2.46703
mng,1997,2.07153
mng,1998,2.38168
mng,1999,3.14113
mng,2000,2.01183
mng,2001,1.98504
mng,2002,3.06958
mng,2003,3.07619
mng,2004,3.32928
mng,2005,3.06813
mng,2006,3.59836
mng,2007,3.20213
mng,2008,4.7093
mng,2009,3.32532
mng,2010,1.6938
mng,2011,4.60046
mng,2012,2.33672
mng,2013,1.91688
mng,2014,3.15954
mng,2015,3.94805
mng,2016,3.88758
mng,2017,3.53518
mng,2018,2.34523
mng,2019,2.34475
moz,1967,2.2595
moz,1968,2.55102
moz,1969,3.44919
moz,1970,3.02428
moz,1971,4.01219
moz,1972,5.5197
moz,1973,5.31111
mus,1968,2.81116
mus,1969,2.52169
mus,1970,2.51021
mus,1971,2.24215
mus,1972,2.45618
mus,1973,2.19796
mus,1974,2.90415
mus,1975,4.27931
mus,1976,6.94043
mus,1977,7.04657
mus,1978,5.61272
mus,1979,5.38817
mus,1980,5.84571
mus,1981,4.947
mus,1982,5.53287
mus,1983,4.27168
mus,1984,3.94694
mus,1985,3.91604
mus,1986,4.81387
mus,1987,3.55479
mus,1988,4.37563
mus,1989,4.17492
mus,1990,4.19639
mus,1991,4.57343
mus,1992,4.10567
mus,1993,4.30512
mus,1994,4.03196
mus,1995,4.63448
mus,1996,4.31358
mwi,1964,9.45163
mwi,1965,11.92214
mwi,1966,7.56705
mwi,1967,11.01399
mwi,1968,8.76921
mwi,1969,8.32713
mwi,1970,9.62912
mwi,1971,10.21781
mwi,1972,9.38386
mwi,1973,9.30196
mwi,1974,10.54987
mwi,1975,10.48512
mwi,1979,13.66189
mwi,1980,5.31078
mwi,1981,6.75362
mwi,1982,11.03931
mwi,1983,16.2873
mwi,1984,19.33771
mwi,1985,21.64836
mwi,1986,37.13152
mwi,1987,17.29977
mwi,1988,19.12804
mwi,1989,23.32431
mwi,1990,17.60488
mwi,1991,8.50273
mwi,1992,9.22989
mwi,1993,21.93921
mwi,1994,24.67946
mwi,1995,20.4515
mwi,1996,20.13447
mwi,1997,15.21057
mwi,1998,15.55286
mwi,1999,7.81457
mwi,2000,9.0146
mwi,2001,8.38998
mwi,2002,7.33944
mwi,2003,6.17255
mwi,2004,5.00711
mwi,2005,4.64489
mwi,2006,10.39301
mwi,2007,4.46696
mwi,2008,10.20151
mwi,2009,11.84905
mwi,2010,10.1554
mwi,2011,10.1554
mwi,2012,10.1554
mys,1968,8.17873
mys,1969,7.52886
mys,1970,8.62482
mys,1971,7.92803
mys,1972,8.9771
mys,1973,7.29207
mys,1974,6.54485
mys,1975,6.15453
mys,1976,5.96756
mys,1977,5.9446
mys,1978,5.48807
mys,1979,5.83747
mys,1980,5.43459
mys,1981,5.01663
mys,1982,5.57172
mys,1983,11.16086
mys,1984,14.53777
mys,1985,15.74707
mys,1986,13.95919
mys,1987,14.67673
mys,1988,14.20198
mys,1989,11.8947
mys,1990,10.80065
mys,1991,12.22351
mys,1992,11.11997
mys,1993,10.28725
mys,1994,8.16987
mys,1995,8.00129
mys,1996,7.79469
mys,1997,8.58876
mys,1998,8.58876
mys,1999,10.57307
mys,2000,7.93466
mys,2001,8.23434
mys,2002,9.21403
mys,2003,10.30839
mys,2004,11.94505
mys,2005,12.73835
mys,2006,14.65689
mys,2007,12.16609
mys,2008,12.22613
mys,2009,11.75583
mys,2010,11.55255
mys,2011,11.55255
mys,2012,10.38243
mys,2013,10.38243
mys,2014,9.08364
mys,2015,9.89875
mys,2016,9.89875
mys,2017,9.51769
mys,2018,9.51769
mys,2019,9.51769
nam,1994,6.83712
nam,2007,6.70158
nam,2008,7.8691
nam,2009,7.08091
nam,2010,7.45197
nam,2011,7.44534
nam,2012,7.88363
nam,2013,7.28755
nam,2014,7.34891
nam,2015,7.34891
ner,1999,39.91107
ner,2000,50.52867
ner,2001,44.91637
ner,2002,24.77169
nga,1963,12.619
nga,1964,17.23263
nga,1965,13.44667
nga,1966,13.51517
nga,1967,8.29569
nga,1968,8.92379
nga,1969,8.35434
nga,1970,6.19276
nga,1971,8.4072
nga,1972,8.61128
nga,1973,9.98814
nga,1974,8.74308
nga,1975,10.94412
nga,1976,13.57873
nga,1977,12.7679
nga,1978,12.37851
nga,1980,12.21677
nga,1981,12.93682
nga,1982,6.50729
nga,1983,8.89867
nga,1984,10.06694
nga,1985,13.52794
nga,1991,4.13821
nga,1992,5.70099
nga,1993,1.89681
nga,1994,1.75966
nga,1995,25.46561
nga,1996,25.70618
nic,1963,5.37459
nic,1964,5.38039
nic,1965,5.32857
nic,1966,5.58939
nic,1967,5.58521
nic,1968,6.14366
nic,1969,7.03684
nic,1970,7.87721
nic,1971,7.0174
nic,1972,8.12617
nic,1973,9.01325
nic,1974,9.81269
nic,1975,8.76221
nic,1976,8.86161
nic,1977,9.44945
nic,1978,8.55192
nic,1979,9.67544
nic,1980,10.4944
nic,1981,10.76929
nic,1982,10.41383
nic,1983,11.57259
nic,1984,9.46261
nic,1985,8.06079
nld,1963,10.10385
nld,1964,10.1077
nld,1965,11.18664
nld,1966,10.66562
nld,1967,11.44723
nld,1968,12.81238
nld,1969,13.91272
nld,1970,12.81198
nld,1971,12.51332
nld,1972,13.0486
nld,1973,14.21344
nld,1974,16.57447
nld,1975,13.1229
nld,1976,13.57518
nld,1977,11.62946
nld,1978,10.93513
nld,1979,11.15979
nld,1980,10.92006
nld,1981,13.80191
nld,1982,12.17906
nld,1983,14.46113
nld,1984,16.80356
nld,1985,16.11403
nld,1986,15.80504
nld,1987,17.44323
nld,1988,20.70218
nld,1989,18.67279
nld,1990,16.49052
nld,1991,14.57323
nld,1992,13.54372
nld,1993,13.38822
nld,1994,13.38822
nld,1995,16.91477
nld,1996,14.66133
nld,1997,15.0868
nld,1998,13.32044
nld,1999,13.15132
nld,2000,13.7362
nld,2001,13.06652
nld,2002,14.87711
nld,2003,15.36168
nld,2004,16.13645
nld,2005,18.27721
nld,2006,14.3209
nld,2007,14.29379
nld,2008,14.64906
nld,2009,15.41115
nld,2010,17.17728
nld,2011,17.05938
nld,2012,17.93811
nld,2013,15.95603
nld,2014,15.20652
nld,2015,16.39682
nld,2016,17.02396
nld,2017,16.69108
nld,2018,17.12836
nld,2019,17.12841
nor,1963,7.85286
nor,1964,7.66633
nor,1965,8.04829
nor,1966,7.61615
nor,1967,6.75958
nor,1968,6.94444
nor,1969,6.78879
nor,1970,6.65989
nor,1971,7.03895
nor,1972,5.6148
nor,1973,6.05683
nor,1974,6.02988
nor,1975,6.18919
nor,1976,5.64114
nor,1977,6.05294
nor,1978,5.79517
nor,1979,7.57451
nor,1980,7.26319
nor,1981,6.99573
nor,1982,6.57437
nor,1983,7.4672
nor,1984,8.61053
nor,1985,7.90864
nor,1986,6.83478
nor,1987,8.21857
