geo,time,gc_dod_totl_cn
ury,2014,590186383919.87903
ury,2015,745197458875.33606
ury,2016,805482973891.57483
usa,1989,2207460000000
usa,1990,2440950000000
usa,1991,2713370000000
usa,1992,3002620000000
usa,1993,3308990000000
usa,1994,3450760000000
usa,1995,3606690000000
usa,1996,3773520000000
usa,1997,3784200000000
usa,1998,3727460000000
usa,1999,3633580000000
usa,2000,3410250000000
usa,2001,1604823000000
usa,2002,5887186000000
usa,2003,6444305000000
usa,2004,6922545000000
usa,2005,7372215000000
usa,2006,7663122000000
usa,2007,8056329000000
usa,2008,9425376000000
usa,2009,11006899000000
usa,2010,12812849000000
usa,2011,13996838000000
usa,2012,15251655000000
usa,2013,16126145000000
usa,2014,16886105000000
usa,2015,17645011000000
usa,2016,18523318000000
vct,1990,204600000
vct,1991,217300000
vct,1992,252400000
vct,1993,314700000
vct,1994,338100000
vct,1995,369900000
vct,1996,372400000
vct,1997,369800000
vct,1998,403900000
vct,1999,548000000
vct,2000,553600000
vct,2001,567800000
vct,2002,652600000
vct,2003,721400000
vct,2004,836100000
vct,2005,849800000
vct,2006,891600000
vct,2007,845000000
vct,2008,860800000
vct,2009,1035630000
vct,2010,1101650000
vct,2011,1067370000
vct,2012,1145100000
vct,2013,1237560000
vct,2014,1350810000
vut,1990,4629300000
vut,1995,6760000000
vut,1996,6523000000
vut,1997,7381000000
vut,1998,9500000000
vut,1999,9445000000
zaf,1990,105656000000
zaf,1991,126613000000
zaf,1992,154665000000
zaf,1993,192161000000
zaf,1994,244294000000
zaf,1995,279487000000
zaf,1996,310407000000
zaf,1997,336184000000
zaf,1998,377656000000
zaf,1999,390438000000
zaf,2000,417454000000
zaf,2008,616394000000
zmb,1990,276980900
zmb,1991,605781500
zmb,1992,938076200
zmb,1993,2397867200
zmb,1994,3652300000
zmb,1995,5108200000
zmb,1996,7644500000
zmb,1997,8489100000
zmb,1998,10621200000
zmb,2011,20582220000
zmb,2012,30834310000
zmb,2013,36658360000
zmb,2014,74164628000
zmb,2015,90603650000
