geo,time,nv_mnf_fbto_zs_un
ecu,1964,46.92331
ecu,1965,44.55985
ecu,1966,43.94584
ecu,1967,44.18611
ecu,1968,41.24572
ecu,1969,38.22022
ecu,1970,42.77854
ecu,1971,42.48613
ecu,1972,40.76613
ecu,1973,38.0081
ecu,1974,42.63864
ecu,1975,39.18151
ecu,1976,39.67284
ecu,1977,36.95687
ecu,1978,33.54394
ecu,1979,36.80661
ecu,1980,33.79569
ecu,1981,34.94479
ecu,1982,32.30894
ecu,1983,38.37609
ecu,1984,31.66856
ecu,1985,30.9408
ecu,1986,29.84882
ecu,1987,33.0537
ecu,1988,35.91711
ecu,1989,33.79721
ecu,1990,21.96886
ecu,1991,25.46268
ecu,1992,21.00322
ecu,1993,24.67557
ecu,1994,14.82153
ecu,1995,26.02981
ecu,1996,26.42212
ecu,1997,45.75441
ecu,1998,22.08982
ecu,1999,38.15785
ecu,2000,19.73794
ecu,2001,28.23053
ecu,2002,30.78425
ecu,2003,27.47283
ecu,2004,32.13717
ecu,2005,29.85251
ecu,2006,26.99388
ecu,2007,40.14819
ecu,2008,35.61103
ecu,2009,35.61103
ecu,2010,41.70005
ecu,2011,41.0539
ecu,2012,27.37058
ecu,2013,25.36239
ecu,2014,27.29116
ecu,2015,34.82782
ecu,2016,46.53886
ecu,2017,52.12306
ecu,2018,57.22216
ecu,2019,49.45117
egy,1964,16.65547
egy,1965,17.81498
egy,1966,16.98388
egy,1967,17.92343
egy,1968,21.49938
egy,1969,19.81085
egy,1970,16.82602
egy,1971,16.94325
egy,1972,21.93781
egy,1973,20.94278
egy,1974,18.06716
egy,1975,18.35238
egy,1976,16.18726
egy,1977,17.67227
egy,1978,18.18182
egy,1979,20.92673
egy,1980,19.3988
egy,1981,18.29643
egy,1982,20.55866
egy,1983,22.46715
egy,1984,27.29733
egy,1985,21.33228
egy,1986,26.11761
egy,1987,13.88046
egy,1988,27.59748
egy,1989,17.56836
egy,1990,18.81962
egy,1991,13.9324
egy,1992,14.28447
egy,1993,19.7688
egy,1994,17.35352
egy,1995,16.84537
egy,1996,17.75067
egy,1997,18.54353
egy,1998,15.7606
egy,1999,15.7606
egy,2000,15.75783
egy,2001,17.40764
egy,2002,19.99932
egy,2003,19.81287
egy,2004,20.95186
egy,2005,19.29817
egy,2006,20.44331
egy,2007,20.44331
egy,2008,20.44331
egy,2009,14.86347
egy,2010,14.98673
egy,2011,12.17532
egy,2012,11.22699
egy,2013,10.74118
egy,2014,13.11985
egy,2015,16.95989
egy,2016,15.32823
egy,2017,16.0974
egy,2018,16.0974
eri,1992,53.05805
eri,1993,52.2231
eri,1994,54.38002
eri,1995,55.11307
eri,1996,62.83236
eri,1997,52.91203
eri,1998,49.32785
eri,1999,54.13758
eri,2000,60.20098
eri,2001,55.07424
eri,2002,48.45855
eri,2003,49.63011
eri,2004,49.53303
eri,2005,42.91069
eri,2006,34.82939
eri,2007,15.99534
eri,2008,0.45789
eri,2009,40.23036
eri,2010,51.91207
eri,2011,34.00038
eri,2012,39.74196
eri,2013,59.28017
eri,2014,54.39748
eri,2015,57.28356
eri,2016,-0.02532
eri,2017,65.63527
eri,2018,65.97941
esp,1963,13.279
esp,1964,14.14818
esp,1965,13.04349
esp,1966,13.19295
esp,1967,13.98841
esp,1968,13.68225
esp,1969,13.20081
esp,1970,12.90918
esp,1971,12.66288
esp,1972,11.55623
esp,1973,11.42856
esp,1974,11.4691
esp,1975,12.67513
esp,1976,12.77011
esp,1977,12.53344
esp,1978,15.68244
esp,1979,15.91864
esp,1980,15.87327
esp,1981,16.73909
esp,1982,17.33118
esp,1983,17.70078
esp,1984,18.04799
esp,1985,18.829
esp,1986,18.39821
esp,1987,17.99327
esp,1988,17.85406
esp,1989,17.97758
esp,1990,17.90469
esp,1991,18.13729
esp,1992,18.79903
esp,1993,18.68588
esp,1994,18.00782
esp,1995,16.47906
esp,1996,16.368
esp,1997,15.74302
esp,1998,15.47443
esp,1999,15.15735
esp,2000,14.13828
esp,2001,14.95875
esp,2002,14.61692
esp,2003,15.04115
esp,2004,14.88211
esp,2005,15.21105
esp,2006,14.54056
esp,2007,15.24473
esp,2008,16.03003
esp,2009,19.75768
esp,2010,19.2365
esp,2011,20.09795
esp,2012,20.44035
esp,2013,20.72225
esp,2014,20.67961
esp,2015,19.3207
esp,2016,19.20704
esp,2017,18.94716
esp,2018,18.92499
esp,2019,19.18031
est,1992,17.99434
est,1993,17.99434
est,1994,17.99434
est,1995,17.99434
est,1997,17.99434
est,1998,17.99434
est,1999,17.99434
est,2000,17.37367
est,2001,16.15957
est,2002,14.52657
est,2003,14.2405
est,2004,12.6253
est,2005,12.64207
est,2006,12.23472
est,2007,12.29093
est,2008,13.81903
est,2009,17.73673
est,2010,13.93426
est,2011,11.9336
est,2012,13.06766
est,2013,13.28976
est,2014,14.53487
est,2015,14.03698
est,2016,13.34055
est,2017,12.9183
est,2018,12.85408
est,2019,12.85447
eth,1990,61.58819
eth,1991,63.90959
eth,1992,61.09158
eth,1993,51.16325
eth,1994,46.85218
eth,1995,50.66053
eth,1996,52.42233
eth,1997,51.01409
eth,1998,54.56631
eth,1999,55.86231
eth,2000,54.23807
eth,2001,54.66438
eth,2002,52.64172
eth,2003,52.69698
eth,2004,49.56003
eth,2005,48.41424
eth,2006,46.58628
eth,2007,41.17798
eth,2008,46.04317
eth,2009,45.34829
eth,2010,46.40097
eth,2011,59.51759
eth,2012,35.23948
eth,2013,38.05593
eth,2014,36.61846
eth,2015,36.61846
fin,1963,16.55762
fin,1964,16.02304
fin,1965,16.25001
fin,1966,16.66668
fin,1967,16.84206
fin,1968,16.1017
fin,1969,15.00511
fin,1970,13.49204
fin,1971,14.00327
fin,1972,14.02905
fin,1973,12.6745
fin,1974,11.262
fin,1975,13.16081
fin,1976,14.39245
fin,1977,14.2073
fin,1978,13.62679
fin,1979,11.93281
fin,1980,11.66356
fin,1981,12.40985
fin,1982,12.81618
fin,1983,12.56434
fin,1984,12.45722
fin,1985,12.48947
fin,1986,13.69487
fin,1987,12.51676
fin,1988,12.67861
fin,1989,11.90386
fin,1990,12.66793
fin,1991,14.65757
fin,1992,14.23301
fin,1993,13.3427
fin,1994,11.42748
fin,1995,9.51387
fin,1996,10.03055
fin,1997,9.00374
fin,1998,7.98314
fin,1999,7.50764
fin,2000,5.92559
fin,2001,6.48596
fin,2002,7.19305
