geo,time,fb_cbk_brwr_p3
ury,2020,570.63
uzb,2006,12.47
uzb,2007,21.32
uzb,2008,24.69
uzb,2009,26.64
uzb,2010,36.19
uzb,2011,39.59
uzb,2012,44.35
uzb,2013,46.69
uzb,2014,49.17
uzb,2015,57.99
uzb,2016,68.32
uzb,2017,88.26
uzb,2018,113.58
uzb,2019,152.92
uzb,2020,177.16
vut,2014,82.75
vut,2015,87.49
vut,2016,87.61
vut,2017,94.13
vut,2018,97.39
vut,2019,100.61
vut,2020,73.22
wsm,2004,178.34
wsm,2005,200.62
wsm,2006,185.41
wsm,2007,171.16
wsm,2008,156.72
wsm,2009,150.64
wsm,2010,150.47
wsm,2011,182.96
wsm,2012,130.82
wsm,2013,119.45
wsm,2014,109.35
wsm,2015,111.72
wsm,2016,127.98
wsm,2017,131.9
wsm,2018,148.31
wsm,2019,147.42
wsm,2020,119.21
yem,2009,1.82
yem,2010,7.4
yem,2011,6.1
yem,2012,9.16
yem,2013,10.72
yem,2014,12.4
yem,2015,13.24
zmb,2004,1.5
zmb,2005,2.82
zmb,2006,4.44
zmb,2007,13.35
zmb,2008,12.17
zmb,2009,17.73
zmb,2010,18.9
zmb,2011,23.48
zmb,2012,38.77
zmb,2013,38.55
zmb,2014,38.39
zmb,2015,33.95
zmb,2016,25.12
zmb,2017,24.48
zmb,2018,22.44
zmb,2019,23.03
zmb,2020,21.59
zwe,2004,2.59
zwe,2005,3.55
zwe,2006,2.99
zwe,2007,3.69
zwe,2008,1.55
zwe,2009,7.37
zwe,2010,12.47
zwe,2011,16.51
zwe,2012,57.33
zwe,2013,59.03
zwe,2014,43.04
zwe,2015,39.91
zwe,2016,40.67
zwe,2017,40.96
zwe,2018,142.53
zwe,2019,90.24
zwe,2020,57.73
