geo,time,gc_tax_gsrv_cn
cri,1972,470000000
cri,1973,650000000
cri,1974,790000000
cri,1975,940000000
cri,1976,1130000000
cri,1977,1440000000
cri,1978,1720000000
cri,1979,1800000000
cri,1980,2290000000
cri,1981,2670000000
cri,1982,4380000000
cri,1983,8800000000
cri,1984,11400000000
cri,1985,12420000000
cri,1986,15460000000
cri,1987,18600000000
cri,1988,15970000000
cri,1989,18040000000
cri,1990,33260000000
cri,1991,45280000000
cri,1992,79290000000
cri,1993,92580000000
cri,1994,105280000000
cri,1995,138690000000
cri,1996,200250000000
cri,1997,241690000000
cri,1998,296580000000
cri,1999,348800000000
cri,2000,408100000000
cri,2001,479700000000
cri,2004,692346000000
cri,2005,827846000000
cri,2006,1021844450389.56995
cri,2007,1287498353020.20996
cri,2008,1485412702151.36011
cri,2009,1361562568108.31006
cri,2010,1498329103548.13989
cri,2011,1695100369954.5
cri,2012,1828096139314.64966
cri,2013,1962940000000
cri,2014,2078647908262.21997
cri,2015,2246269653907.25977
cri,2016,2378366343317.7002
cri,2017,2433875651799.35986
cri,2018,2479912891630.18018
cri,2019,2627740715555.8501
cyp,1972,21357518.0172
cyp,1973,28567816.09981
cyp,1974,25236043.28913
cyp,1975,22673141.12706
cyp,1976,24603860.75582
cyp,1977,30361847.61325
cyp,1978,45004561.96585
cyp,1979,64140898.10926
cyp,1980,67660617.0785
cyp,1981,69010412.21718
cyp,1982,84900405.62198
cyp,1983,99423517.87368
cyp,1984,118611112.06033
cyp,1985,136021760.74796
cyp,1986,138840953.12623
cyp,1987,150049378.58166
cyp,1988,173354702.24203
cyp,1989,205373893.25342
cyp,1990,378606466.25696
cyp,1991,384620263.16103
cyp,1992,560830351.08817
cyp,1993,745973554.80485
cyp,1994,962587016.10693
cyp,1995,1072318264.60769
cyp,1996,1106490293.43521
cyp,1997,1114862440.49795
cyp,1998,1317502571.44517
cyp,1999,1379524803.76712
cyp,2000,1748240994.8161
cyp,2001,1965745958.30329
cyp,2002,2078855373.72239
cyp,2003,2625607834.96277
cyp,2004,3071723671.30609
cyp,2005,3383201714.06897
cyp,2006,3678789763.42704
cyp,2007,4194103958.1461
cyp,2008,4543000372.47511
cyp,2009,2319600000
cyp,2010,2401300000
cyp,2011,2362100000
cyp,2012,2415900000
cyp,2013,2210500000
cyp,2014,2364800000
cyp,2015,2366700000
cyp,2016,2515500000
cyp,2017,2656200000
cyp,2018,2909649000
cyp,2019,2968100000
cze,1993,122059000000
cze,1994,136387000000
cze,1995,161054000000
cze,1996,182868000000
cze,1997,193252000000
cze,1998,204846000000
cze,1999,229057000000
cze,2000,234141000000
cze,2001,218103000000
cze,2002,221493000000
cze,2003,235090000000
cze,2004,277981000000
cze,2005,284990000000
cze,2006,296428000000
cze,2007,334931000000
cze,2008,337210000000
cze,2009,345044000000
cze,2010,358195000000
cze,2011,393960000000
cze,2012,412824000000
cze,2013,425882000000
cze,2014,413466000000
cze,2015,457326000000
cze,2016,470801000000
cze,2017,498064000000
cze,2018,506248000000
cze,2019,537207000000
deu,1972,30161108071.765
deu,1973,32937422986.6604
deu,1974,32753357909.4298
deu,1975,34251443121.3346
deu,1976,36940838416.4268
deu,1977,38771263351.1092
deu,1978,42616178297.7048
deu,1979,46634932483.9071
deu,1980,50306008190.896
deu,1981,52540353711.7234
deu,1982,52555692468.15929
deu,1983,55516072460.2854
deu,1984,62909353062.3828
deu,1985,63231466947.5364
deu,1986,64305179898.0484
deu,1987,67787077608.9946
deu,1988,70271956151.60831
deu,1989,77782833886.38071
deu,1990,85513567130.06758
deu,1991,108756000000
deu,1992,117018000000
deu,1993,121306000000
deu,1994,132748000000
deu,1995,125618000000
deu,1996,118486000000
deu,1997,118779000000
deu,1998,122702000000
deu,1999,134076000000
deu,2000,137775000000
deu,2001,141207000000
deu,2002,143405000000
deu,2003,147802000000
deu,2004,142872000000
deu,2005,148024000000
deu,2006,152393000000
deu,2007,166970000000
deu,2008,170432000000
deu,2009,174437000000
deu,2010,178610000000
deu,2011,190797000000
deu,2012,191875000000
deu,2013,193302000000
deu,2014,197587000000
deu,2015,201422000000
deu,2016,198174000000
deu,2017,206581000000
deu,2018,209301000000
deu,2019,214314000000
dnk,1972,23249000000
dnk,1973,26862000000
dnk,1974,27656000000
dnk,1975,30639000000
dnk,1976,37110000000
dnk,1977,44758000000
dnk,1978,52681000000
dnk,1979,61287000000
dnk,1980,64504000000
dnk,1981,69819000000
dnk,1982,76490000000
dnk,1983,86066000000
dnk,1984,96101000000
dnk,1985,105394000000
dnk,1986,122980000000
dnk,1987,125516000000
dnk,1988,130133000000
dnk,1989,130425000000
dnk,1990,132487000000
dnk,1991,132025000000
dnk,1992,137127000000
dnk,1993,138823000000
dnk,1994,153454000000
dnk,1995,153731000000
dnk,1996,165823000000
dnk,1997,175411000000
dnk,1998,190970000000
dnk,1999,199946000000
dnk,2000,202909000000
dnk,2001,209354000000
dnk,2002,218153000000
dnk,2003,219494000000
dnk,2004,232863000000
dnk,2005,249502000000
dnk,2006,263096000000
dnk,2007,277904000000
dnk,2008,268968000000
dnk,2009,255277000000
dnk,2010,264440000000
dnk,2011,270457000000
dnk,2012,278525000000
dnk,2013,279880000000
dnk,2014,281603000000
dnk,2015,289320000000
dnk,2016,299951000000
dnk,2017,307953000000
dnk,2018,318232000000
dnk,2019,314477000000
dom,1972,67200000
dom,1973,70800000
dom,1974,83600000
dom,1975,110500000
dom,1976,135500000
dom,1977,158700000
dom,1978,162600000
dom,1979,184100000
dom,1980,208700000
dom,1981,256700000
dom,1982,273200000
dom,1983,310800000
dom,1984,428800000
dom,1985,591300000
dom,1986,850300000
dom,1987,797700000
dom,1988,1018000000
dom,1989,1237300000
dom,1990,1679500000
dom,1991,2297500000
dom,1992,4832400000
dom,1993,5968299999.99999
dom,1994,7638800000
dom,1995,8949100000
dom,1996,9480000000
dom,1997,12717900000
dom,1998,14550600000
dom,1999,13832900000
dom,2000,14037800000
dom,2001,22450056820.88
dom,2002,24985779907.31
dom,2003,35292878267.53
dom,2004,54785166742.08
dom,2005,78843889132.30998
dom,2006,105908919206.62
dom,2007,137442908353
dom,2008,150749532101.72299
dom,2009,141945046642.20999
dom,2010,163474040954.10001
dom,2011,181845662473.26999
dom,2012,193340000000
dom,2013,219171207006.54001
dom,2014,233514797799.91
dom,2015,241658942818.32001
dom,2016,261382312074.45001
dom,2017,284087836132.73999
dom,2018,335890594906.67999
dom,2019,366285908514.58002
egy,1975,250000000
egy,1976,285000000
egy,1977,357000000
egy,1978,463000000
egy,1979,696000000
egy,1981,716000000
egy,1982,867000000
egy,1983,1363000000
egy,1984,1492000000
egy,1985,1599000000
egy,1986,1701000000
egy,1987,1940000000
egy,1988,2187000000
egy,1989,2629000000
egy,1990,3112000000
egy,1991,3628000000
egy,1992,6578000000
egy,1993,7532000000
egy,1994,8448000000
egy,1995,9738000000
egy,1996,10901000000
egy,1997,11862000000
egy,2002,21273000000
egy,2003,23443000000
egy,2004,26834000000
egy,2005,31743000000
egy,2006,35026500000
egy,2007,39896700000
egy,2008,50281300000
egy,2009,63196000000
egy,2010,73509500000
egy,2011,83390300000
egy,2012,95169000000
egy,2013,106829000000
egy,2014,106719000000
egy,2015,140559000000
esp,1972,1152741216.20809
esp,1973,1429807796.32902
esp,1974,1494717103.60246
esp,1975,1712283485.38939
esp,1976,1842102099.93629
esp,1977,2193093168.89642
esp,1978,2833171060.06515
esp,1979,3236450182.10667
esp,1980,3494284374.88731
esp,1981,4326686139.45885
esp,1982,4642818506.36471
esp,1983,6213263135.11954
esp,1984,6787830706.91044
esp,1985,9621001766.97558
esp,1986,16196074188.9342
esp,1987,16514610604.2576
esp,1988,17953433582.1524
esp,1989,19900111788.2515
esp,1990,20496315795.80009
esp,1991,22583630834.325
esp,1992,25771399035.9766
esp,1993,24097580325.2678
esp,1994,28408039137.9082
esp,2017,94248000000
esp,2018,98179000000
esp,2019,100278000000
est,1991,744640.59465
est,1992,4460491.11005
est,1993,10076135.04603
est,1994,16977233.70027
est,1995,349340000
est,1996,468810000
est,1997,591100000
est,1998,606850000
est,1999,609420000
est,2000,736630000
est,2001,838890000
est,2002,948380000
est,2003,1029130000
est,2004,1208140000
est,2005,1384820000
est,2006,1762170000
est,2007,2120140000
est,2008,1930540000
est,2009,1996450000
est,2010,1952070000
est,2011,2162440000
est,2012,2391070000
est,2013,2456610000
est,2014,2680860000
est,2015,2864190000
est,2016,3107670000
est,2017,3281220000
est,2018,3506130000
est,2019,3871220000
eth,1990,767900000
eth,1991,735400000
eth,1992,520000000
eth,1993,709100000
eth,1994,771800000
eth,1995,859100000
eth,1996,1053000000
eth,1997,1487800000
eth,1998,1586500000
