geo,time,cm_mkt_trad_gd_zs
cze,2014,5.14762
cze,2020,1.72369
deu,1975,2.13907
deu,1976,2.03268
deu,1977,2.19351
deu,1978,2.53947
deu,1979,1.68166
deu,1980,1.48887
deu,1981,1.71167
deu,1982,1.90519
deu,1983,4.00764
deu,1984,3.71082
deu,1985,11.6866
deu,1986,14.51176
deu,1987,32.69258
deu,1988,24.64408
deu,1989,24.8793
deu,1990,30.61978
deu,1991,23.41306
deu,1992,20.17685
deu,1993,25.56707
deu,1994,27.37791
deu,1995,22.43547
deu,1996,5.999
deu,1997,44.67568
deu,1998,65.59795
deu,1999,59.61395
deu,2000,93.80153
deu,2001,66.86483
deu,2002,41.94197
deu,2003,40.66454
deu,2004,41.97408
deu,2005,45.24517
deu,2006,65.14295
deu,2007,95.01568
deu,2008,111.86499
deu,2009,52.4086
deu,2010,43.96479
deu,2011,41.97045
deu,2012,35.4379
deu,2013,35.15481
deu,2014,32.63143
deu,2015,43.02535
deu,2016,32.39652
deu,2017,42.22874
deu,2018,40.63445
deu,2019,34.72778
deu,2020,47.16312
dnk,1975,0.13342
dnk,1976,0.14582
dnk,1977,0.09842
dnk,1978,0.10271
dnk,1979,0.08938
dnk,1980,0.07671
dnk,1981,0.092
dnk,1982,0.0924
dnk,1983,0.27707
dnk,1984,0.26972
dnk,1985,2.40274
dnk,1986,2.33413
dnk,1987,1.96094
dnk,1988,4.32728
dnk,1989,12.45288
dnk,1990,8.60345
dnk,1991,7.20884
dnk,1992,9.94325
dnk,1993,13.98671
dnk,1994,16.51734
dnk,1995,14.16509
dnk,1996,18.01875
dnk,1997,25.27473
dnk,1998,37.93024
dnk,1999,31.2209
dnk,2000,54.77004
dnk,2001,40.06644
dnk,2002,18.19792
dnk,2003,20.11838
dnk,2004,27.12705
ecu,1994,0.31398
ecu,1995,0.46045
ecu,1996,0.27828
ecu,1997,0.22086
ecu,1998,0.03359
ecu,1999,0.09315
ecu,2000,0.09985
ecu,2001,0.01962
ecu,2002,0.04624
egy,2006,45.02051
egy,2007,47.1626
egy,2008,58.85502
egy,2009,39.32088
egy,2010,16.9946
egy,2011,6.73654
egy,2012,6.1241
egy,2013,4.41526
egy,2014,8.65228
egy,2015,4.48136
egy,2016,3.03216
egy,2017,6.12081
egy,2018,5.7977
egy,2019,3.68372
egy,2020,4.40273
esp,1975,1.57436
esp,1976,1.6556
esp,1978,1.33749
esp,1979,0.52153
esp,1980,0.38139
esp,1981,0.7575
esp,1982,0.61578
esp,1983,0.69581
esp,1984,1.32811
esp,1985,2.06371
esp,1986,6.29015
esp,1987,12.81945
esp,1988,6.98473
esp,1989,9.53422
esp,1990,8.43107
esp,1991,8.35018
esp,1992,6.03562
esp,1993,8.64441
esp,1994,13.05923
esp,1995,10.7274
esp,1996,16.1158
esp,1997,32.22289
esp,1998,60.74386
esp,1999,161.57509
esp,2000,264.64749
esp,2001,237.39089
esp,2002,63.99205
esp,2003,68.13505
esp,2004,80.53307
esp,2005,85.0676
esp,2006,118.89124
esp,2007,154.57204
esp,2008,105.83729
esp,2009,85.68761
esp,2010,96.63621
esp,2011,76.15211
esp,2012,65.24906
esp,2013,67.51787
esp,2014,72.32388
esp,2015,81.83309
esp,2016,52.42016
esp,2017,55.9488
esp,2018,43.89117
esp,2019,35.90578
esp,2020,38.18797
est,1998,12.17818
est,1999,4.87067
est,2000,5.84007
est,2001,4.12973
est,2002,3.12976
est,2003,6.2305
est,2004,7.40331
fin,1982,0.26062
fin,1983,0.46918
fin,1984,0.72605
fin,1985,1.02733
fin,1986,2.68753
fin,1987,7.35384
fin,1988,6.51
fin,1989,6.54129
fin,1990,2.92614
fin,1991,1.18415
fin,1992,1.74005
