geo,time,ic_wrh_durs
hti,2006,121
hti,2007,121
hti,2008,121
hti,2009,121
hti,2010,121
hti,2011,71
hti,2012,88
hti,2013,97
hti,2014,97
hti,2015,97
hti,2016,97
hti,2017,97
hti,2018,97
hti,2019,97
hun,2005,205
hun,2006,205
hun,2007,205
hun,2008,198
hun,2009,198
hun,2010,183
hun,2011,183
hun,2012,183
hun,2013,198
hun,2014,209.5
hun,2015,212.5
hun,2016,212.5
hun,2017,212.5
hun,2018,192.5
hun,2019,192.5
idn,2013,200.24
idn,2014,200.24
idn,2015,200.24
idn,2016,200.24
idn,2017,200.24
idn,2018,200.13
idn,2019,200.13
ind,2013,183.72
ind,2014,183.72
ind,2015,183.72
ind,2016,183.72
ind,2017,143.87
ind,2018,108.01
ind,2019,106.215
irl,2005,144.5
irl,2006,144.5
irl,2007,144.5
irl,2008,144.5
irl,2009,144.5
irl,2010,145.5
irl,2011,145.5
irl,2012,145.5
irl,2013,145.5
irl,2014,164
irl,2015,164
irl,2016,164
irl,2017,164
irl,2018,164
irl,2019,164
irn,2005,402
irn,2006,402
irn,2007,402
irn,2008,402
irn,2009,100
irn,2010,100
irn,2011,100
irn,2012,100
irn,2013,100
irn,2014,100
irn,2015,100
irn,2016,100
irn,2017,130
irn,2018,130
irn,2019,130
irq,2005,229
irq,2006,229
irq,2007,229
irq,2008,229
irq,2009,229
irq,2010,229
irq,2011,229
irq,2012,229
irq,2013,229
irq,2014,229
irq,2015,229
irq,2016,167
irq,2017,167
irq,2018,167
irq,2019,167
isl,2005,115
isl,2006,100
isl,2007,100
isl,2008,84
isl,2009,84
isl,2010,84
isl,2011,84
isl,2012,84
isl,2013,84
isl,2014,84
isl,2015,84
isl,2016,84
isl,2017,84
isl,2018,84
isl,2019,84
isr,2005,207
isr,2006,207
isr,2007,207
isr,2008,207
isr,2009,207
isr,2010,207
isr,2011,207
isr,2012,207
isr,2013,207
isr,2014,207
isr,2015,207
isr,2016,200
isr,2017,200
isr,2018,200
isr,2019,200
ita,2005,219
ita,2006,219
ita,2007,219
ita,2008,219
ita,2009,219
ita,2010,219
ita,2011,219
ita,2012,219
ita,2013,219
ita,2014,219
ita,2015,219
ita,2016,219
ita,2017,189.5
ita,2018,189.5
ita,2019,189.5
jam,2005,260
jam,2006,260
jam,2007,260
jam,2008,180
jam,2009,180
jam,2010,191
jam,2011,180.5
jam,2012,180.5
jam,2013,170.5
jam,2014,170.5
jam,2015,140.5
jam,2016,140.5
jam,2017,140.5
jam,2018,140.5
jam,2019,140.5
jor,2005,95
jor,2006,95
jor,2007,95
jor,2008,95
jor,2009,67
jor,2010,67
jor,2011,67
jor,2012,67
jor,2013,66
jor,2014,66
jor,2015,66
jor,2016,66
jor,2017,66
jor,2018,66
jor,2019,66
jpn,2013,108.35
jpn,2014,108.35
jpn,2015,108.35
jpn,2016,108.35
jpn,2017,108.35
jpn,2018,108.35
jpn,2019,108.35
kaz,2005,264
kaz,2006,264
kaz,2007,264
kaz,2008,264
kaz,2009,241
kaz,2010,220
kaz,2011,220
kaz,2012,220
kaz,2013,210
kaz,2014,190
kaz,2015,173.5
kaz,2016,117.5
kaz,2017,117.5
kaz,2018,117.5
kaz,2019,102.5
ken,2005,158
ken,2006,158
ken,2007,125
ken,2008,125
ken,2009,120
ken,2010,131
ken,2011,131
ken,2012,131
ken,2013,122
ken,2014,131
ken,2015,160
ken,2016,160
ken,2017,159
ken,2018,159
ken,2019,159
kgz,2005,409
kgz,2006,409
kgz,2007,409
kgz,2008,181
kgz,2009,158
kgz,2010,158
kgz,2011,158
kgz,2012,158
kgz,2013,158
kgz,2014,167
kgz,2015,167
kgz,2016,167
kgz,2017,167
kgz,2018,167
kgz,2019,167
khm,2005,714
khm,2006,652
khm,2007,652
khm,2008,652
khm,2009,652
khm,2010,652
khm,2011,652
khm,2012,652
khm,2013,652
khm,2014,652
khm,2015,652
khm,2016,652
khm,2017,652
khm,2018,652
khm,2019,652
kir,2005,184
kir,2006,184
kir,2007,185
kir,2008,185
kir,2009,185
kir,2010,185
kir,2011,185
kir,2012,185
kir,2013,185
kir,2014,185
kir,2015,185
kir,2016,185
kir,2017,185
kir,2018,185
kir,2019,185
kna,2005,105
kna,2006,105
kna,2007,105
kna,2008,105
kna,2009,105
kna,2010,105
kna,2011,105
kna,2012,105
kna,2013,105
kna,2014,105
kna,2015,105
kna,2016,105
kna,2017,105
kna,2018,105
kna,2019,105
kor,2005,43
kor,2006,27
kor,2007,27
kor,2008,27
kor,2009,27
kor,2010,27
kor,2011,28
kor,2012,28
kor,2013,28
kor,2014,28
kor,2015,27.5
kor,2016,27.5
kor,2017,27.5
kor,2018,27.5
kor,2019,27.5
kos,2009,375
kos,2010,375
kos,2011,373
kos,2012,242
kos,2013,240
kos,2014,241
kos,2015,241
kos,2016,241
kos,2017,241
kos,2018,239
kos,2019,237
kwt,2005,183
kwt,2006,183
kwt,2007,183
kwt,2008,183
kwt,2009,183
kwt,2010,183
kwt,2011,183
kwt,2012,183
kwt,2013,183
kwt,2014,199
kwt,2015,199
kwt,2016,199
kwt,2017,199
kwt,2018,194
kwt,2019,103
lao,2005,98
lao,2006,83
lao,2007,83
lao,2008,83
lao,2009,83
lao,2010,83
lao,2011,83
lao,2012,83
lao,2013,92
lao,2014,92
lao,2015,92
lao,2016,92
lao,2017,92
lao,2018,92
lao,2019,92
lbn,2005,273
lbn,2006,273
lbn,2007,273
lbn,2008,273
lbn,2009,273
lbn,2010,273
lbn,2011,273
lbn,2012,273
lbn,2013,276
lbn,2014,276
lbn,2015,276
lbn,2016,276
