geo,time,si_dst_50md
rou,2012,19
rou,2013,20.9
rou,2014,21.3
rou,2015,20.5
rou,2016,18.8
rou,2017,19.2
rou,2018,18.1
rou,2019,18
rus,1997,15.1
rus,1998,15.5
rus,1999,15.5
rus,2000,15.1
rus,2001,14
rus,2002,13.4
rus,2003,15
rus,2004,15.4
rus,2005,15.2
rus,2006,15.5
rus,2007,15.1
rus,2008,14
rus,2009,13.3
rus,2010,13.2
rus,2011,12.9
rus,2012,12.7
rus,2013,12.5
rus,2014,12
rus,2015,11.6
rus,2016,11.8
rus,2017,11.3
rus,2018,10.8
rus,2019,10.9
rus,2020,9.8
rwa,2000,14
rwa,2005,16
rwa,2010,12.5
rwa,2013,12.1
rwa,2016,12.4
sdn,2009,13.7
sdn,2014,9.7
sen,1991,23.6
sen,1994,12.2
sen,2001,11.4
sen,2005,14.1
sen,2011,14.6
sen,2018,10.5
slb,2005,17.3
slb,2012,11.8
sle,2003,11.4
sle,2011,8.3
sle,2018,7.5
slv,1991,24.2
slv,1995,21.2
slv,1996,21.9
slv,1998,26.9
slv,1999,24.4
slv,2000,23.3
slv,2001,23.6
slv,2002,23.6
slv,2003,24.1
slv,2004,20.9
slv,2005,21.4
slv,2006,18.2
slv,2007,16.2
slv,2008,18.6
slv,2009,18.5
slv,2010,18.3
slv,2011,16
slv,2012,15.7
slv,2013,16.3
slv,2014,15.6
slv,2015,14.4
slv,2016,16.3
slv,2017,14.5
slv,2018,15.3
slv,2019,14.6
som,2017,13.9
srb,2012,19.2
srb,2013,19.9
srb,2014,21.1
srb,2015,20.4
srb,2016,19.8
srb,2017,18.2
srb,2018,17
srb,2019,15.3
ssd,2009,23.6
ssd,2016,18.6
stp,2000,10.5
stp,2010,8.5
stp,2017,12.8
sur,1999,31.6
svk,2004,10.6
svk,2005,8.7
svk,2006,8.1
svk,2007,7.9
svk,2008,8.2
svk,2009,9.6
svk,2010,9.8
svk,2011,9.9
svk,2012,10.1
svk,2013,10.6
svk,2014,10.9
svk,2015,10.6
svk,2016,9.2
svk,2017,8.6
svk,2018,9.3
svk,2019,8.8
svn,2004,6.5
svn,2005,6.1
svn,2006,6
svn,2007,6.1
svn,2008,5.7
svn,2009,6.6
svn,2010,7.6
svn,2011,7.1
svn,2012,8.2
svn,2013,8.5
svn,2014,7.6
svn,2015,7.5
svn,2016,7
svn,2017,6.4
svn,2018,5.3
svn,2019,5.6
swe,1967,14.7
swe,1975,5.2
swe,1981,6.5
swe,1987,5.2
swe,1992,6.2
swe,1995,7
swe,2000,6.7
swe,2003,7.2
swe,2004,6.8
swe,2005,8.5
swe,2006,7.3
swe,2007,8.2
swe,2008,8.9
swe,2009,9.2
swe,2010,8.9
swe,2011,9.4
swe,2012,9.6
swe,2013,10.1
swe,2014,9.3
swe,2015,9.6
swe,2016,10.4
swe,2017,10.1
swe,2018,10.8
swe,2019,10.2
swz,1994,25.6
swz,2000,15.2
swz,2009,20.3
swz,2016,19.8
syc,2013,12.6
syc,2018,14.3
syr,1996,8.7
syr,2003,10.1
tcd,2003,13
tcd,2011,20.3
tcd,2018,10.8
tgo,2006,13.4
tgo,2011,19.8
tgo,2015,18
tgo,2018,15.8
tha,1981,18.2
tha,1988,14.7
tha,1990,11.5
tha,1992,13.7
tha,1994,12
tha,1996,12.2
tha,1998,12.1
tha,1999,13.4
tha,2000,12.3
tha,2002,12.9
tha,2004,13.8
tha,2006,15
tha,2007,13.1
tha,2008,13.6
tha,2009,13.4
tha,2010,12.4
tha,2011,10.4
tha,2012,12.7
tha,2013,11.8
tha,2014,11.3
tha,2015,10
tha,2016,10.8
tha,2017,11
tha,2018,11.3
tha,2019,9.6
tha,2020,10.6
tjk,1999,9.5
tjk,2003,10
tjk,2004,10.7
tjk,2007,11
tjk,2009,9.2
tjk,2015,11.7
tkm,1998,14.2
tls,2001,11.9
tls,2007,4.9
tls,2014,5.4
ton,2000,15.8
ton,2009,13.8
ton,2015,12.6
tto,1988,20.8
tto,1992,18.8
tun,1985,17
tun,1990,16.9
tun,1995,17.7
tun,2000,16.4
tun,2005,14.7
tun,2010,14.2
tun,2015,10.5
tur,1987,14.5
tur,1994,16.8
tur,2002,17.1
tur,2003,16.9
tur,2004,19.4
tur,2005,18.5
tur,2006,17.8
tur,2007,17.5
tur,2008,17.6
tur,2009,16.9
tur,2010,16.5
tur,2011,15.9
tur,2012,16
tur,2013,16.3
tur,2014,15.7
tur,2015,15.6
tur,2016,16
tur,2017,15.6
tur,2018,15.6
tur,2019,17.3
tuv,2010,13.9
tza,1991,12.1
tza,2000,12.5
tza,2007,13.2
tza,2011,9
uga,1989,20
uga,1992,13.9
uga,1996,11.2
uga,1999,14
uga,2002,12.9
uga,2005,12.9
uga,2009,12.7
uga,2012,12.2
uga,2016,13.1
uga,2019,13.4
ukr,1992,11.6
ukr,1993,7.7
ukr,1995,15.3
ukr,1996,12.3
ukr,2002,7.7
ukr,2003,6.8
ukr,2004,8.5
ukr,2005,8
ukr,2006,7.8
ukr,2007,6.3
ukr,2008,6
ukr,2009,5.1
ukr,2010,4.4
ukr,2011,4.6
ukr,2012,4.2
ukr,2013,4.6
ukr,2014,4.2
ukr,2015,5
ukr,2016,5.2
ukr,2017,5.9
ukr,2018,5
ukr,2019,6.1
ukr,2020,5.1
ury,2006,19.4
ury,2007,19.7
ury,2008,18.8
ury,2009,19.8
ury,2010,19
ury,2011,18.4
ury,2012,17.8
ury,2013,18.1
ury,2014,17.8
ury,2015,18.2
ury,2016,17.5
ury,2017,17.2
ury,2018,16.9
ury,2019,17.4
ury,2020,18
usa,1974,14.7
usa,1979,15.2
usa,1986,18
usa,1991,18.7
usa,1992,18.7
usa,1993,19
usa,1994,18.2
usa,1995,17.7
usa,1996,18
usa,1997,17.7
usa,1998,18
usa,1999,17.7
usa,2000,17.5
usa,2001,17.7
usa,2002,18.2
usa,2003,18
usa,2004,17.7
usa,2005,17.7
usa,2006,18
usa,2007,18.2
usa,2008,18.2
usa,2009,17.5
usa,2010,18
usa,2011,18
usa,2012,18.2
usa,2013,18
usa,2014,17
usa,2015,17.2
usa,2016,18
usa,2017,18.2
usa,2018,18.2
usa,2019,18.5
uzb,1998,21
uzb,2000,11.4
uzb,2002,8.1
uzb,2003,10.3
ven,1981,25.2
ven,1987,24.9
ven,1989,19.7
ven,1992,16.6
ven,1995,20.6
ven,1998,22.2
ven,1999,21.5
ven,2001,20.8
ven,2002,22.1
ven,2003,22.4
ven,2004,22.3
ven,2005,23.1
ven,2006,19.9
vnm,1992,7.9
vnm,1997,7.1
vnm,2002,8
vnm,2004,10.7
vnm,2006,11.7
vnm,2008,10.8
vnm,2010,13.4
vnm,2012,12.8
vnm,2014,13
vnm,2016,13.4
vnm,2018,14
vut,2010,13.1
vut,2019,12.8
wsm,2002,13.2
wsm,2008,12.2
wsm,2013,11.4
yem,1998,12.8
yem,2005,9.3
yem,2014,10.6
zaf,1993,25.5
zaf,2000,25.5
zaf,2005,20.3
zaf,2008,22.4
zaf,2010,23.5
zaf,2014,23.5
zmb,1991,34.6
zmb,1993,25.9
zmb,1996,19.9
zmb,1998,20.6
zmb,2002,13.2
zmb,2004,22
zmb,2006,22.2
zmb,2010,18.9
zmb,2015,25.3
zwe,2011,16.7
zwe,2017,12.7
zwe,2019,16.8
