geo,time,sh_xpd_chex_pp_cd
gha,2017,167.78508
gha,2018,185.63068
gha,2019,193.22354
gin,2000,53.71787
gin,2001,57.25775
gin,2002,66.64985
gin,2003,60.85735
gin,2004,62.6721
gin,2005,61.35665
gin,2006,53.14137
gin,2007,54.18546
gin,2008,53.43549
gin,2009,57.0597
gin,2010,56.67879
gin,2011,66.08826
gin,2012,60.84527
gin,2013,62.68697
gin,2014,86.40129
gin,2015,105.69034
gin,2016,112.18325
gin,2017,94.66013
gin,2018,103.90693
gin,2019,119.59002
gmb,2000,219.90189
gmb,2001,198.02896
gmb,2002,209.73357
gmb,2003,193.92175
gmb,2004,118.74791
gmb,2005,119.81305
gmb,2006,128.82364
gmb,2007,121.16271
gmb,2008,122.71107
gmb,2009,121.34844
gmb,2010,123.93253
gmb,2011,121.85641
gmb,2012,113.60374
gmb,2013,83.03028
gmb,2014,90.23689
gmb,2015,65.64606
gmb,2016,76.18498
gmb,2017,85.90574
gmb,2018,108.05386
gmb,2019,88.71117
gnb,2000,76.28691
gnb,2001,77.3
gnb,2002,70.18057
gnb,2003,73.65792
gnb,2004,91.14486
gnb,2005,92.41557
gnb,2006,94.0109
gnb,2007,98.18883
gnb,2008,98.78977
gnb,2009,96.72906
gnb,2010,92.73711
gnb,2011,94.12913
gnb,2012,85.45799
gnb,2013,101.8846
gnb,2014,147.85883
gnb,2015,142.79565
gnb,2016,153.63611
gnb,2017,146.73499
gnb,2018,157.08499
gnb,2019,186.42703
gnq,2000,182.89835
gnq,2001,311.65085
gnq,2002,385.25885
gnq,2003,479.21887
gnq,2004,487.05981
gnq,2005,417.70947
gnq,2006,450.194
gnq,2007,526.43524
gnq,2008,702.47571
gnq,2009,690.52563
gnq,2010,599.50623
gnq,2011,532.54309
gnq,2012,474.73352
gnq,2013,652.09479
gnq,2014,738.92963
gnq,2015,700.91888
gnq,2016,643.32788
gnq,2017,667.45746
gnq,2018,638.54236
gnq,2019,607.43268
grc,2000,1418.19727
grc,2001,1678.59814
grc,2002,1864.49756
grc,2003,2019.25281
grc,2004,2061.81714
grc,2005,2194.10547
grc,2006,2357.97217
grc,2007,2462.12866
grc,2008,2728.052
grc,2009,2861.11328
grc,2010,2681.25464
grc,2011,2356.13647
grc,2012,2214.8064
grc,2013,2163.44141
grc,2014,2100.17017
grc,2015,2148.73291
grc,2016,2284.25952
grc,2017,2325.62231
grc,2018,2360.41602
grc,2019,2418.80811
grd,2000,409.46512
grd,2001,428.54727
grd,2002,492.67499
grd,2003,468.44598
grd,2004,483.70001
grd,2005,539.95319
grd,2006,529.3269
grd,2007,589.52991
grd,2008,622.30029
grd,2009,588.90051
grd,2010,588.71307
grd,2011,645.06775
grd,2012,650.12927
grd,2013,668.83618
grd,2014,622.54486
grd,2015,657.64758
grd,2016,666.91718
grd,2017,755.1637
grd,2018,787.51324
grd,2019,879.50641
gtm,2000,273.99973
gtm,2001,315.03134
gtm,2002,321.75153
gtm,2003,335.21851
gtm,2004,349.47803
gtm,2005,354.72064
gtm,2006,389.55109
gtm,2007,401.22015
gtm,2008,406.46799
gtm,2009,410.91309
gtm,2010,403.26456
gtm,2011,405.14838
gtm,2012,426.19485
gtm,2013,414.6004
gtm,2014,439.16339
gtm,2015,471.41632
gtm,2016,476.33374
gtm,2017,485.63901
gtm,2018,502.3175
gtm,2019,529.12036
guy,2000,160.96606
guy,2001,162.47162
guy,2002,177.06998
guy,2003,183.41682
guy,2004,197.27841
guy,2005,217.13811
guy,2006,243.71059
guy,2007,286.27057
guy,2008,294.57233
guy,2009,316.85175
guy,2010,331.39066
guy,2011,375.72614
guy,2012,388.60413
guy,2013,419.1355
guy,2014,432.32339
guy,2015,450.46878
guy,2016,453.94885
guy,2017,518.52423
guy,2018,626.92535
guy,2019,673.56842
hnd,2000,162.42905
hnd,2001,157.07451
hnd,2002,169.87012
hnd,2003,194.61711
hnd,2004,206.10497
hnd,2005,240.80325
hnd,2006,270.79004
hnd,2007,296.82513
hnd,2008,328.38638
hnd,2009,330.53104
hnd,2010,329.68445
hnd,2011,345.36844
hnd,2012,349.08298
hnd,2013,351.14682
hnd,2014,352.40265
hnd,2015,360.97217
hnd,2016,395.87393
hnd,2017,388.78171
hnd,2018,419.45023
hnd,2019,435.68433
hrv,2000,811.4234
hrv,2001,836.53802
hrv,2002,784.14276
hrv,2003,861.04901
hrv,2004,954.65649
hrv,2005,1056.76892
hrv,2006,1215.45007
hrv,2007,1442.97949
hrv,2008,1604.31958
hrv,2009,1634.20166
hrv,2010,1599.9801
hrv,2011,1612.71143
hrv,2012,1644.49487
hrv,2013,1420.10095
hrv,2014,1475.16797
hrv,2015,1553.33972
hrv,2016,1692.24133
hrv,2017,1804.06995
hrv,2018,1989.76575
hrv,2019,2167.81421
hti,2000,82.97578
hti,2001,78.28843
hti,2002,72.03754
hti,2003,74.79762
hti,2004,75.35344
hti,2005,77.40153
hti,2006,83.70174
hti,2007,94.27574
hti,2008,98.62801
hti,2009,98.8517
hti,2010,121.57973
hti,2011,165.87396
hti,2012,153.71915
hti,2013,121.19919
hti,2014,134.05034
hti,2015,147.11043
hti,2016,148.26825
hti,2017,142.71272
hti,2018,140.22513
hti,2019,143.45038
hun,2000,802.92377
hun,2001,900.8573
hun,2002,1032.77502
hun,2003,1254.08337
hun,2004,1259.90405
hun,2005,1364.59937
hun,2006,1427.24817
hun,2007,1372.45386
hun,2008,1467.76758
hun,2009,1496.49512
hun,2010,1618.44214
hun,2011,1720.48938
hun,2012,1722.25781
hun,2013,1773.08557
hun,2014,1808.39722
hun,2015,1834.46179
hun,2016,1949.24939
hun,2017,1988.70203
hun,2018,2083.1875
hun,2019,2155.90942
idn,2000,95.60731
idn,2001,114.20191
idn,2002,111.81038
idn,2003,133.64751
idn,2004,134.10963
idn,2005,172.23744
idn,2006,191.12801
idn,2007,222.0417
idn,2008,215.01021
idn,2009,225.63795
idn,2010,237.38509
idn,2011,271.91037
idn,2012,283.08936
idn,2013,288.87064
idn,2014,304.67969
idn,2015,299.65753
idn,2016,317.08759
idn,2017,317.58957
idn,2018,334.0322
idn,2019,358.28961
ind,2000,86.04083
ind,2001,95.7055
ind,2002,98.70042
ind,2003,100.83159
ind,2004,108.55804
ind,2005,113.84496
ind,2006,118.77687
ind,2007,126.24286
ind,2008,131.01625
ind,2009,138.74918
ind,2010,141.34872
ind,2011,145.87991
ind,2012,161.845
ind,2013,189.618
ind,2014,189.44382
ind,2015,196.49771
ind,2016,204.64664
ind,2017,181.52911
ind,2018,195.565
ind,2019,211.00223
irl,2000,1795.64294
irl,2001,2100.94409
irl,2002,2369.66895
irl,2003,2560.67456
irl,2004,2822.84546
irl,2005,3128.88818
irl,2006,3371.89526
irl,2007,3696.95483
irl,2008,4059.45044
irl,2009,4380.6875
irl,2010,4561.69238
irl,2011,4802.27979
irl,2012,4938.22656
irl,2013,4945.74512
irl,2014,4898.44287
irl,2015,5077.47656
irl,2016,5356.18848
irl,2017,5582.93213
irl,2018,5869.5376
irl,2019,6010.06641
irn,2000,499.14764
irn,2001,550.3324
irn,2002,541.83704
irn,2003,638.59375
irn,2004,675.31665
irn,2005,740.40424
irn,2006,778.32599
irn,2007,817.89453
irn,2008,863.67358
irn,2009,1068.94885
irn,2010,1163.98181
irn,2011,1183.94092
irn,2012,1050.17114
irn,2013,907.06488
irn,2014,1029.78174
irn,2015,1024.30188
irn,2016,1200.91638
irn,2017,1225.07007
irn,2018,1167.86523
irn,2019,868.18445
irq,2003,179.29778
irq,2004,350.52954
irq,2005,278.07153
irq,2006,258.80457
irq,2007,339.7457
irq,2008,360.20493
irq,2009,456.3089
irq,2010,410.37552
irq,2011,377.26193
irq,2012,407.95392
irq,2013,438.00333
irq,2014,398.98904
irq,2015,326.62967
irq,2016,330.96652
irq,2017,452.59564
irq,2018,448.39215
irq,2019,483.3389
isl,2000,2667.52124
isl,2001,2822.07861
isl,2002,3110.1626
isl,2003,3195.44653
isl,2004,3330.78125
isl,2005,3359.11401
isl,2006,3438.62891
isl,2007,3531.83521
isl,2008,3725.51831
isl,2009,3704.71094
isl,2010,3304.67969
isl,2011,3311.72363
isl,2012,3384.37598
isl,2013,3592.75146
isl,2014,3771.12476
isl,2015,3977.29956
isl,2016,4372.5293
isl,2017,4762.73096
isl,2018,5304.01758
isl,2019,5636.4126
isr,2000,1793.57178
isr,2001,1913.08313
isr,2002,1920.09473
isr,2003,1799.22302
isr,2004,1885.40442
isr,2005,1877.49622
isr,2006,1874.47083
isr,2007,1984.44397
isr,2008,1989.98108
isr,2009,2022.1897
isr,2010,2098.89624
isr,2011,2210.54224
isr,2012,2342.50757
isr,2013,2518.75244
isr,2014,2560.20972
isr,2015,2645.22339
isr,2016,2857.23315
isr,2017,2992.02417
isr,2018,3220.52783
isr,2019,3326.25293
ita,2000,2050.03662
ita,2001,2170.5896
ita,2002,2263.52441
ita,2003,2291.93726
ita,2004,2419.23169
ita,2005,2516.80322
ita,2006,2738.11572
ita,2007,2784.61719
ita,2008,3040.1228
ita,2009,3104.78296
ita,2010,3141.75342
ita,2011,3211.95605
ita,2012,3212.6355
ita,2013,3216.07178
ita,2014,3210.07373
ita,2015,3264.64282
ita,2016,3481.57349
ita,2017,3616.67285
ita,2018,3855.10205
ita,2019,3998.01196
jam,2000,358.7634
jam,2001,336.89505
jam,2002,319.06741
jam,2003,297.77954
jam,2004,350.72025
jam,2005,343.35391
jam,2006,335.17871
jam,2007,439.22314
jam,2008,466.11261
jam,2009,410.01749
jam,2010,418.32126
jam,2011,427.4147
jam,2012,399.95407
jam,2013,418.30179
jam,2014,441.40906
jam,2015,494.52768
jam,2016,524.14905
jam,2017,590.258
jam,2018,595.94653
jam,2019,597.85394
jor,2000,572.10028
jor,2001,619.83954
jor,2002,638.40955
jor,2003,625.78827
jor,2004,672.4295
jor,2005,712.8526
jor,2006,694.41461
jor,2007,761.30219
jor,2008,811.9884
jor,2009,888.09454
jor,2010,772.9303
jor,2011,766.1283
jor,2012,718.42529
jor,2013,668.03931
jor,2014,661.85901
jor,2015,706.16119
jor,2016,675.99658
jor,2017,798.47498
jor,2018,798.10645
jor,2019,797.45197
jpn,2000,1908.95996
jpn,2001,2012.8175
jpn,2002,2097.13428
jpn,2003,2195.60718
jpn,2004,2315.77515
jpn,2005,2453.00952
jpn,2006,2572.18848
jpn,2007,2711.88184
jpn,2008,2842.77124
jpn,2009,2995.3418
jpn,2010,3191.90723
jpn,2011,3778.41431
jpn,2012,3988.36353
jpn,2013,4177.43408
jpn,2014,4214.34863
jpn,2015,4367.50146
jpn,2016,4303.91992
jpn,2017,4398.02441
jpn,2018,4531.74756
jpn,2019,4587.03467
kaz,2000,320.90683
kaz,2001,310.80408
kaz,2002,359.43585
kaz,2003,408.79468
kaz,2004,487.35565
kaz,2005,534.66583
kaz,2006,526.02991
kaz,2007,463.41852
kaz,2008,545.00342
kaz,2009,630.49579
kaz,2010,528.33032
kaz,2011,542.93903
kaz,2012,670.79486
kaz,2013,652.89099
kaz,2014,734.92535
kaz,2015,704.95807
kaz,2016,813.48047
kaz,2017,757.15509
kaz,2018,735.60107
kaz,2019,765.48962
ken,2000,72.85281
ken,2001,78.32298
ken,2002,80.61993
ken,2003,86.06487
ken,2004,93.09206
ken,2005,98.21632
ken,2006,118.44418
ken,2007,129.07022
ken,2008,129.41605
ken,2009,130.58205
ken,2010,141.41635
ken,2011,141.68237
ken,2012,142.0459
ken,2013,152.74432
ken,2014,164.95001
ken,2015,175.47472
ken,2016,186.88612
ken,2017,167.55388
ken,2018,185.41142
ken,2019,207.6185
kgz,2000,81.89558
kgz,2001,84.6817
kgz,2002,91.81471
kgz,2003,126.38219
kgz,2004,147.19524
kgz,2005,180.67706
kgz,2006,212.07085
kgz,2007,194.85332
kgz,2008,199.96748
kgz,2009,215.90186
kgz,2010,215.47371
kgz,2011,234.21231
kgz,2012,307.10468
kgz,2013,330.3342
kgz,2014,314.55539
kgz,2015,301.21863
kgz,2016,300.43484
kgz,2017,312.60864
kgz,2018,264.23648
kgz,2019,260.34903
khm,2000,70.34795
khm,2001,81.65952
