geo,time,gc_tax_gsrv_va_zs
cri,1999,10.71368
cri,2000,10.84477
cri,2001,11.14679
cri,2004,10.36369
cri,2005,10.53371
cri,2006,10.74378
cri,2007,11.32272
cri,2008,11.04392
cri,2009,9.13271
cri,2010,8.87773
cri,2011,9.13952
cri,2012,8.89841
cri,2013,8.86955
cri,2014,8.53118
cri,2015,8.53129
cri,2016,8.51768
cri,2017,8.08468
cri,2018,7.80452
cri,2019,7.90968
cyp,1995,16.14721
cyp,1996,15.9155
cyp,1997,15.07514
cyp,1998,16.4251
cyp,1999,15.97776
cyp,2000,18.86471
cyp,2001,19.85239
cyp,2002,20.27379
cyp,2003,23.94339
cyp,2004,26.11365
cyp,2005,26.97103
cyp,2006,27.10632
cyp,2007,28.4121
cyp,2008,28.36079
cyp,2009,14.45404
cyp,2010,14.37141
cyp,2011,13.75869
cyp,2012,14.33845
cyp,2013,14.14715
cyp,2014,15.82055
cyp,2015,15.44895
cyp,2016,15.57161
cyp,2017,15.35634
cyp,2018,15.76637
cyp,2019,15.033
cze,1993,11.99665
cze,1994,11.55833
cze,1995,11.62075
cze,1996,11.50964
cze,1997,11.19026
cze,1998,10.82769
cze,1999,11.60615
cze,2000,11.16963
cze,2001,9.60295
cze,2002,9.27085
cze,2003,9.35774
cze,2004,10.24411
cze,2005,9.83915
cze,2006,9.46219
cze,2007,9.80848
cze,2008,9.39214
cze,2009,9.83426
cze,2010,10.08428
cze,2011,10.97881
cze,2012,11.51383
cze,2013,11.78082
cze,2014,10.80761
cze,2015,11.25616
cze,2016,11.1707
cze,2017,11.09902
cze,2018,10.6126
cze,2019,10.4842
deu,1991,7.62917
deu,1992,7.64754
deu,1993,7.7188
deu,1994,8.12515
deu,1995,7.39947
deu,1996,6.88218
deu,1997,6.75323
deu,1998,6.79333
deu,1999,7.29911
deu,2000,7.32523
deu,2001,7.28232
deu,2002,7.28932
deu,2003,7.47185
deu,2004,7.04443
deu,2005,7.21005
deu,2006,7.12328
deu,2007,7.49295
deu,2008,7.51396
deu,2009,8.01704
deu,2010,7.81638
deu,2011,7.97117
deu,2012,7.85561
deu,2013,7.72781
deu,2014,7.57354
deu,2015,7.45648
deu,2016,7.07626
deu,2017,7.0838
deu,2018,6.949
deu,2019,6.90533
dnk,1972,17.29941
dnk,1973,17.30413
dnk,1974,15.78347
