geo,time,se_adt_litr_fe_zs
svn,2004,99.6
svn,2014,99.6
swz,1976,53.66596
swz,1986,65.22288
swz,2000,80.32875
swz,2010,82.44755
swz,2018,88.54269
syc,1987,85.4893
syc,1994,88.5866
syc,2002,92.25898
syc,2010,94.44898
syc,2018,96.3502
syr,1981,37.05916
syr,2002,74.24044
syr,2004,73.62656
tcd,1993,4.59183
tcd,2000,12.79642
tcd,2004,17.98058
tcd,2015,13.93341
tcd,2016,13.95523
tgo,2000,38.45329
tgo,2006,44.37663
tgo,2009,43.6069
tgo,2011,47.97739
tgo,2015,51.24178
tgo,2019,55.0515
tha,1980,83.89335
tha,2000,90.51602
tha,2005,91.52957
tha,2010,96.42705
tha,2013,92.24916
tha,2015,91.19193
tha,2018,92.42856
tjk,1989,96.6418
tjk,2000,99.22123
tjk,2014,99.7
tkm,1995,98.26177
tkm,2014,99.6
tls,2001,30
tls,2007,42.5
tls,2010,52.959
tls,2018,64.21094
ton,1976,99.52553
ton,1996,98.97555
ton,2006,99.08251
ton,2011,99.43422
ton,2018,99.47503
tto,1980,93.46417
tto,1990,95.66179
tto,2000,97.1
tto,2010,98.3
tun,1984,35.76757
tun,2004,65.34786
tun,2007,68.50938
tun,2008,69.20937
tun,2010,71.08821
tun,2011,71.7296
tun,2012,72.16065
tun,2014,72.22377
tur,1975,45.09892
tur,1980,49.80641
tur,1985,64.23172
tur,1990,68.51966
tur,2004,79.58169
tur,2005,80.54895
tur,2006,80.38516
tur,2007,81.26383
tur,2009,85.34716
tur,2010,88.07317
tur,2011,90.3101
tur,2012,91.60452
tur,2013,92.13808
tur,2014,92.40182
tur,2015,92.64581
tur,2016,93.56301
tur,2017,93.49827
tur,2019,94.42404
tza,1988,48.08802
tza,2002,62.17232
tza,2010,60.75262
tza,2012,73.34718
tza,2015,73.09383
uga,1991,44.82669
uga,2002,58.90988
uga,2006,62.07897
uga,2010,64.59145
uga,2012,61.97043
uga,2018,70.83806
ukr,2001,99.17157
ukr,2012,99.9582
ury,1975,94.30452
ury,1985,95.88154
ury,1996,97.27096
ury,2006,98.08436
ury,2007,98.24193
ury,2008,98.46366
ury,2009,98.53372
ury,2010,98.49095
ury,2011,98.61908
ury,2012,98.66055
ury,2013,98.63643
ury,2014,98.80905
ury,2015,98.86746
ury,2016,98.85032
ury,2017,98.96391
ury,2018,99.00774
ury,2019,99.03526
uzb,2000,98.13858
uzb,2013,99.99587
uzb,2014,99.97599
uzb,2015,99.97577
uzb,2016,99.97841
uzb,2018,99.98587
uzb,2019,99.99995
vct,1970,95.5
ven,1981,83.00466
ven,1990,89.00485
ven,2001,92.71598
ven,2007,94.92964
ven,2009,95.3504
ven,2011,95.02888
ven,2015,96.56007
ven,2016,97.21371
vnm,1979,78.14039
vnm,1989,82.82939
vnm,1999,86.92008
vnm,2000,86.61011
vnm,2009,91.37909
vnm,2019,94.56566
vut,1979,47.78259
vut,1984,53.7
vut,1994,65.6
vut,2004,76.2
vut,2014,83.2
vut,2018,86.70609
wsm,1991,97.42174
wsm,2011,99.06953
wsm,2018,99.24504
yem,1994,17.05956
yem,2004,35
zaf,1980,74.80719
zaf,1996,80.92863
zaf,2007,87.0431
zaf,2009,91.76816
zaf,2010,91.71399
zaf,2011,92.04789
zaf,2012,92.58625
zaf,2014,93.07306
zaf,2015,93.40803
zaf,2017,86.45863
zaf,2019,94.53317
zmb,1990,57.35776
zmb,1999,59.80285
zmb,2002,61.83928
zmb,2007,51.78697
zmb,2010,77.74664
zmb,2018,83.08344
zwe,1982,71.85393
zwe,1992,78.51702
zwe,2011,80.06566
zwe,2014,88.28383
