geo,time,sm_pop_totl
moz,1985,60894
moz,1990,122332
moz,1995,168256
moz,2000,195702
moz,2005,204830
moz,2010,214612
moz,2015,222928
mrt,1960,12058
mrt,1965,15592
mrt,1970,20163
mrt,1975,26073
mrt,1980,33716
mrt,1985,43599
mrt,1990,111650
mrt,1995,89562
mrt,2000,57366
mrt,2005,58119
mrt,2010,84679
mrt,2015,138162
mus,1960,10238
mus,1965,10507
mus,1970,10517
mus,1975,10199
mus,1980,9686
mus,1985,9198
mus,1990,3613
mus,1995,7493
mus,2000,15543
mus,2005,19647
mus,2010,24836
mus,2015,28585
mwi,1960,297710
mwi,1965,295078
mwi,1970,292470
mwi,1975,289884
mwi,1980,287322
mwi,1985,284782
mwi,1990,1127724
mwi,1995,241624
mwi,2000,232620
mwi,2005,221661
mwi,2010,217722
mwi,2015,215158
mys,1960,56895
mys,1965,204679
mys,1970,736323
mys,1975,717901
mys,1980,789130
mys,1985,908395
mys,1990,695920
mys,1995,937368
mys,2000,1277223
mys,2005,1722344
mys,2010,2406011
mys,2015,2514243
nam,1960,27218
nam,1965,34460
nam,1970,43628
nam,1975,55236
nam,1980,69932
nam,1985,88539
nam,1990,120641
nam,1995,115372
nam,2000,134403
nam,2005,106274
nam,2010,102405
nam,2015,93888
ncl,1960,10979
ncl,1965,17630
ncl,1970,23392
ncl,1975,32108
ncl,1980,33811
ncl,1985,34648
ncl,1990,37673
ncl,1995,43662
ncl,2000,49651
ncl,2005,55405
ncl,2010,61158
ncl,2015,64290
ner,1960,55008
ner,1965,63911
ner,1970,74254
ner,1975,86271
ner,1980,100233
ner,1985,116455
ner,1990,115464
ner,1995,145999
ner,2000,122260
ner,2005,124461
ner,2010,126464
ner,2015,189255
nga,1960,94133
nga,1965,121891
nga,1970,157835
nga,1975,704377
nga,1980,1314845
nga,1985,347909
nga,1990,456621
nga,1995,462999
nga,2000,487882
nga,2005,648019
nga,2010,920118
nga,2015,1199115
nic,1960,12384
nic,1965,15079
nic,1970,20896
nic,1975,22675
nic,1980,25533
nic,1985,42205
nic,1990,41421
nic,1995,26619
nic,2000,30389
nic,2005,34918
nic,2010,37333
nic,2015,40262
nld,1960,446620
nld,1965,341683
nld,1970,261402
nld,1975,343752
nld,1980,490976
nld,1985,761421
nld,1990,1182263
nld,1995,1346164
nld,2000,1556337
nld,2005,1736127
nld,2010,1832510
nld,2015,1979486
nld_curacao,2010,34627
nld_curacao,2015,37611
nor,1960,61591
nor,1965,69216
nor,1970,78507
nor,1975,98597
nor,1980,123248
nor,1985,147660
nor,1990,192587
nor,1995,233302
nor,2000,292440
nor,2005,361144
nor,2010,526799
nor,2015,741813
npl,1960,337636
npl,1965,344550
npl,1970,345489
npl,1975,299373
npl,1980,251180
npl,1985,313922
npl,1990,429974
npl,1995,690225
npl,2000,717900
npl,2005,679457
npl,2010,578657
npl,2015,518278
nru,1960,410
nru,1965,951
nru,1970,1596
nru,1975,2634
nru,1980,3217
nru,1985,3645
nru,1990,2815
nru,1995,2605
nru,2000,2394
nru,2005,2253
nru,2010,2112
nru,2015,3178
nzl,1960,333859
nzl,1965,386145
nzl,1970,409446
nzl,1975,492857
nzl,1980,470394
nzl,1985,480043
nzl,1990,518047
nzl,1995,588617
nzl,2000,678813
nzl,2005,839952
nzl,2010,947443
nzl,2015,1039736
omn,1960,43656
omn,1965,52362
omn,1970,62804
omn,1975,75328
omn,1980,146043
omn,1985,282251
omn,1990,304000
omn,1995,539643
omn,2000,623608
omn,2005,666160
omn,2010,816221
omn,2015,1844978
pak,1960,6350296
pak,1965,5698452
pak,1970,5105556
pak,1975,4574348
pak,1980,5012524
pak,1985,6288210
pak,1990,6208204
pak,1995,3669308
pak,2000,4181912
pak,2005,3171132
pak,2010,3941586
pak,2015,3628956
pan,1960,68320
pan,1965,63026
pan,1970,58561
pan,1975,52791
pan,1980,47894
pan,1985,54321
pan,1990,62744
pan,1995,70848
pan,2000,83410
pan,2005,117563
pan,2010,157309
pan,2015,184710
per,1960,66524
per,1965,66892
per,1970,67104
per,1975,67097
per,1980,66954
per,1985,61845
per,1990,65025
per,1995,56732
per,2000,66293
per,2005,77541
per,2010,84066
per,2015,90881
phl,1960,219676
phl,1965,219555
phl,1970,217435
phl,1975,162045
phl,1980,134439
phl,1985,145508
phl,1990,154071
phl,1995,207345
phl,2000,318095
phl,2005,257468
phl,2010,208599
phl,2015,211862
plw,1960,318
plw,1965,370
plw,1970,430
plw,1975,500
plw,1980,581
plw,1985,1310
plw,1990,2801
plw,1995,4749
plw,2000,6310
plw,2005,6043
plw,2010,5787
plw,2015,5664
png,1960,20189
png,1965,31694
png,1970,49755
png,1975,43690
png,1980,34088
png,1985,40373
png,1990,32720
png,1995,33526
png,2000,25101
png,2005,29967
png,2010,25424
png,2015,25782
pol,1960,2424881
pol,1965,2249668
pol,1970,2088027
pol,1975,1807979
pol,1980,1544789
pol,1985,1319912
pol,1990,1127771
pol,1995,964725
pol,2000,825251
pol,2005,722509
pol,2010,642417
pol,2015,619403
pri,1960,64063
pri,1965,111040
pri,1970,188959
pri,1975,227027
pri,1980,271449
pri,1985,295869
pri,1990,321909
pri,1995,338067
pri,2000,355038
pri,2005,352144
pri,2010,304969
pri,2015,274972
prk,1960,25072
prk,1965,26596
prk,1970,28568
prk,1975,30345
prk,1980,31588
prk,1985,32859
prk,1990,34103
prk,1995,35143
prk,2000,36183
prk,2005,40097
prk,2010,44010
prk,2015,48458
prt,1960,38899
prt,1965,62876
prt,1970,101633
prt,1975,164280
prt,1980,265543
prt,1985,346232
prt,1990,435782
prt,1995,532822
prt,2000,651472
prt,2005,771184
prt,2010,762825
prt,2015,837257
pry,1960,50010
pry,1965,56449
pry,1970,73061
pry,1975,100929
pry,1980,145743
pry,1985,174301
pry,1990,195884
pry,1995,186570
pry,2000,176608
pry,2005,168243
pry,2010,160299
pry,2015,156462
pse,1990,288332
pse,1995,281767
pse,2000,275202
pse,2005,266617
pse,2010,258032
pse,2015,255507
pyf,1960,3665
pyf,1965,5480
pyf,1970,8194
pyf,1975,12252
pyf,1980,18015
pyf,1985,23734
pyf,1990,25830
pyf,1995,28360
pyf,2000,30329
pyf,2005,32286
pyf,2010,31640
pyf,2015,30058
qat,1960,14400
qat,1965,34091
qat,1970,68339
qat,1975,119182
qat,1980,165426
qat,1985,281907
qat,1990,309753
qat,1995,361673
qat,2000,359697
qat,2005,646026
qat,2010,1456413
qat,2015,1687640
rou,1960,330878
rou,1965,329228
rou,1970,283837
rou,1975,239035
rou,1980,201305
rou,1985,169530
rou,1990,135825
rou,1995,135037
rou,2000,126949
rou,2005,145162
rou,2010,155982
rou,2015,226943
rus,1990,11524948
rus,1995,11928927
rus,2000,11900297
rus,2005,11667588
rus,2010,11194710
rus,2015,11643276
rwa,1960,28531
rwa,1965,33441
rwa,1970,35759
rwa,1975,46732
rwa,1980,53094
rwa,1985,81111
rwa,1990,159869
rwa,1995,233200
rwa,2000,347076
rwa,2005,432797
rwa,2010,436787
rwa,2015,441525
sau,1960,63389
sau,1965,155823
sau,1970,356996
sau,1975,928827
sau,1980,1920478
sau,1985,3401020
sau,1990,4998445
sau,1995,5122702
sau,2000,5263387
sau,2005,6501819
sau,2010,8429956
sau,2015,10185945
sdn,1960,241992
sdn,1965,236369
sdn,1970,279972
sdn,1975,321780
sdn,1980,718515
sdn,1985,1407776
sdn,1990,1402896
sdn,1995,1053396
sdn,2000,801883
sdn,2005,541994
sdn,2010,578363
sdn,2015,503477
sen,1960,168020
sen,1965,174824
sen,1970,175917
sen,1975,154812
sen,1980,119128
sen,1985,170026
sen,1990,270410
sen,1995,287654
sen,2000,231901
sen,2005,238298
sen,2010,256092
sen,2015,263242
sgp,1960,519246
sgp,1965,525047
sgp,1970,530873
sgp,1975,529006
sgp,1980,527453
sgp,1985,619330
sgp,1990,727262
sgp,1995,991492
sgp,2000,1351691
sgp,2005,1710594
sgp,2010,2164794
sgp,2015,2543638
slb,1960,3715
slb,1965,3895
slb,1970,4084
slb,1975,4282
slb,1980,4289
slb,1985,4270
slb,1990,4226
slb,1995,4178
slb,2000,3981
slb,2005,3271
slb,2010,2760
slb,2015,2585
sle,1960,45915
sle,1965,58809
sle,1970,75574
sle,1975,93741
sle,1980,93033
sle,1985,92441
sle,1990,222242
sle,1995,105374
sle,2000,98241
sle,2005,149615
sle,2010,97452
sle,2015,91213
slv,1960,34446
slv,1965,34453
slv,1970,32534
slv,1975,30963
slv,1980,29719
slv,1985,28258
slv,1990,47360
slv,1995,39537
slv,2000,31713
slv,2005,36019
slv,2010,40324
slv,2015,42045
smr,1960,7527
smr,1965,7718
smr,1970,7914
smr,1975,8115
smr,1980,8320
smr,1985,8530
smr,1990,3310
smr,1995,3659
smr,2000,4045
smr,2005,4218
smr,2010,4399
smr,2015,4717
som,1960,11356
som,1965,12136
som,1970,13041
som,1975,14048
som,1980,1605620
som,1985,774569
som,1990,478294
som,1995,19527
som,2000,20087
som,2005,20670
som,2010,23995
som,2015,25291
srb,1990,99269
srb,1995,630221
srb,2000,856763
srb,2005,845120
srb,2010,826066
srb,2015,807441
ssd,2010,257905
ssd,2015,824122
stp,1960,7436
stp,1965,7253
stp,1970,7074
stp,1975,6900
stp,1980,6730
stp,1985,6252
stp,1990,5582
stp,1995,4936
stp,2000,4365
stp,2005,3433
stp,2010,2700
stp,2015,2394
sur,1960,22463
sur,1965,19132
sur,1970,16294
sur,1975,13878
sur,1980,11820
sur,1985,14598
sur,1990,18031
sur,1995,22270
sur,2000,27506
sur,2005,33664
sur,2010,39713
sur,2015,46836
svk,1990,41295
svk,1995,69323
svk,2000,116376
svk,2005,130491
svk,2010,146319
svk,2015,177190
svn,1990,178077
svn,1995,174419
svn,2000,171018
svn,2005,197276
svn,2010,253786
svn,2015,235966
swe,1960,295618
swe,1965,393687
swe,1970,527153
swe,1975,578054
swe,1980,624824
swe,1985,654158
swe,1990,788767
swe,1995,936022
swe,2000,1003798
swe,2005,1125790
swe,2010,1384929
swe,2015,1639771
swz,1960,16944
swz,1965,34813
swz,1970,33766
swz,1975,27735
swz,1980,33740
swz,1985,40960
swz,1990,72085
swz,1995,25031
swz,2000,22855
swz,2005,27097
swz,2010,30476
swz,2015,31579
sxm,2005,13100
sxm,2010,26200
sxm,2015,27295
syc,1960,845
syc,1965,1455
syc,1970,2506
syc,1975,2934
syc,1980,3176
syc,1985,3438
syc,1990,3721
syc,1995,5148
syc,2000,6574
syc,2005,8997
syc,2010,11420
syc,2015,12791
syr,1960,276050
syr,1965,319431
syr,1970,367760
syr,1975,429290
syr,1980,497764
syr,1985,627729
syr,1990,714140
syr,1995,830610
syr,2000,832273
syr,2005,876410
syr,2010,1661922
syr,2015,875189
tca,1960,180
tca,1965,291
tca,1970,469
tca,1975,756
tca,1980,1225
tca,1985,2506
tca,1990,5062
tca,1995,7039
tca,2000,9015
tca,2005,9945
tca,2010,10875
tca,2015,11688
tcd,1960,55072
tcd,1965,57896
tcd,1970,60865
tcd,1975,63986
tcd,1980,67267
tcd,1985,70716
tcd,1990,74342
tcd,1995,89584
tcd,2000,104825
tcd,2005,352062
tcd,2010,416924
tcd,2015,516968
tgo,1960,101291
tgo,1965,121155
tgo,1970,144915
tgo,1975,148584
tgo,1980,152345
tgo,1985,156202
tgo,1990,84844
tgo,1995,101583
tgo,2000,137891
tgo,2005,203379
tgo,2010,255262
tgo,2015,276844
tha,1960,484839
tha,1965,409954
tha,1970,347394
tha,1975,344715
tha,1980,479387
tha,1985,406658
tha,1990,528693
tha,1995,809720
tha,2000,1257821
tha,2005,2163447
tha,2010,3224131
tha,2015,3913258
tjk,1990,428900
tjk,1995,348347
tjk,2000,299266
tjk,2005,280444
tjk,2010,278152
tjk,2015,275059
tkm,1990,306500
tkm,1995,273565
tkm,2000,218498
tkm,2005,213051
tkm,2010,197979
tkm,2015,196386
tls,1960,7148
tls,1965,7705
tls,1970,8306
tls,1975,8953
tls,1980,7706
tls,1985,8307
tls,1990,8954
tls,1995,9743
tls,2000,10602
tls,2005,11286
tls,2010,10983
tls,2015,10834
ton,1960,121
ton,1965,236
ton,1970,460
ton,1975,895
ton,1980,1741
ton,1985,3386
ton,1990,2911
ton,1995,3274
ton,2000,3684
ton,2005,4301
ton,2010,5022
ton,2015,5731
tto,1960,81018
tto,1965,70004
tto,1970,60495
tto,1975,61092
tto,1980,61514
tto,1985,55736
tto,1990,50666
tto,1995,45994
tto,2000,41753
tto,2005,44812
tto,2010,48226
tto,2015,49883
tun,1960,169202
tun,1965,76356
tun,1970,51436
tun,1975,37912
tun,1980,37985
tun,1985,38029
tun,1990,37984
tun,1995,37867
tun,2000,36446
tun,2005,35040
tun,2010,43172
tun,2015,56701
tur,1960,947635
tur,1965,926865
tur,1970,376394
tur,1975,144529
tur,1980,784193
tur,1985,933014
tur,1990,1163686
tur,1995,1216173
tur,2000,1280963
tur,2005,1319236
tur,2010,1367034
tur,2015,2964916
tuv,1960,372
tuv,1965,363
tuv,1970,355
tuv,1975,347
tuv,1980,339
tuv,1985,331
tuv,1990,318
tuv,1995,263
tuv,2000,217
tuv,2005,183
tuv,2010,154
tuv,2015,141
tza,1960,477027
tza,1965,486241
tza,1970,505143
tza,1975,607887
tza,1980,557173
tza,1985,547608
tza,1990,574025
tza,1995,1106043
tza,2000,928180
tza,2005,770846
tza,2010,308600
tza,2015,261222
uga,1960,771730
uga,1965,907723
uga,1970,948875
uga,1975,774582
uga,1980,676609
uga,1985,633291
uga,1990,558307
uga,1995,634620
uga,2000,634703
uga,2005,652968
uga,2010,529160
uga,2015,749471
ukr,1990,6892920
ukr,1995,6172338
ukr,2000,5527087
ukr,2005,5050302
ukr,2010,4818767
ukr,2015,4834898
ury,1960,192155
ury,1965,195019
ury,1970,159962
ury,1975,131446
ury,1980,116786
ury,1985,103762
ury,1990,98116
ury,1995,93428
ury,2000,88871
ury,2005,82318
ury,2010,76263
ury,2015,71799
usa,1960,10825599
usa,1965,11354439
usa,1970,11973787
usa,1975,13991349
usa,1980,16364410
usa,1985,19491741
usa,1990,23251026
usa,1995,28451053
usa,2000,34814053
usa,2005,39258293
usa,2010,44183643
usa,2015,46627102
uzb,1990,1653000
uzb,1995,1512577
uzb,2000,1405250
uzb,2005,1329345
uzb,2010,1220149
uzb,2015,1170899
vct,1960,2494
vct,1965,2391
vct,1970,2293
vct,1975,2199
vct,1980,2129
vct,1985,2920
vct,1990,3970
vct,1995,4135
vct,2000,4307
vct,2005,4395
vct,2010,4485
vct,2015,4577
ven,1960,509504
ven,1965,563247
ven,1970,589283
ven,1975,731423
ven,1980,966364
ven,1985,1032566
ven,1990,1025009
ven,1995,1019996
ven,2000,1013663
ven,2005,1070562
ven,2010,1331488
ven,2015,1404448
vgb,1960,651
vgb,1965,1464
vgb,1970,3180
vgb,1975,3513
vgb,1980,3906
vgb,1985,5444
vgb,1990,8035
vgb,1995,10046
vgb,2000,12058
vgb,2005,13808
vgb,2010,15558
vgb,2015,17308
vir,1960,12069
vir,1965,20342
vir,1970,33704
vir,1975,40390
vir,1980,48065
vir,1985,50029
vir,1990,51970
vir,1995,54241
vir,2000,56611
vir,2005,56647
vir,2010,56684
vir,2015,56721
vnm,1960,4010
vnm,1965,4216
vnm,1970,4433
vnm,1975,4661
vnm,1980,38901
vnm,1985,28153
vnm,1990,28118
vnm,1995,51262
vnm,2000,56754
vnm,2005,51768
vnm,2010,61756
vnm,2015,72793
vut,1960,2832
vut,1965,3059
vut,1970,3304
vut,1975,3569
vut,1980,3511
vut,1985,2752
vut,1990,2308
vut,1995,2461
vut,2000,2626
vut,2005,2800
vut,2010,2991
vut,2015,3187
wsm,1960,3430
wsm,1965,3442
wsm,1970,3373
wsm,1975,3742
wsm,1980,4347
wsm,1985,2422
wsm,1990,3357
wsm,1995,4694
wsm,2000,5998
wsm,2005,5746
wsm,2010,5122
wsm,2015,4929
yem,1960,159146
yem,1965,177076
yem,1970,197025
yem,1975,219222
yem,1980,259374
yem,1985,276039
yem,1990,118863
yem,1995,136515
yem,2000,143495
yem,2005,171073
yem,2010,285837
yem,2015,344131
zaf,1960,927656
zaf,1965,945162
zaf,1970,961496
zaf,1975,962371
zaf,1980,983303
zaf,1985,1808198
zaf,1990,1163883
zaf,1995,1003807
zaf,2000,1001825
zaf,2005,1210936
zaf,2010,1943099
zaf,2015,3142511
zmb,1960,360835
zmb,1965,325507
zmb,1970,303465
zmb,1975,297072
zmb,1980,278798
zmb,1985,281906
zmb,1990,279029
zmb,1995,244338
zmb,2000,321167
zmb,2005,252749
zmb,2010,149637
zmb,2015,127915
zwe,1960,387173
zwe,1965,448754
zwe,1970,499069
zwe,1975,484678
zwe,1980,470728
zwe,1985,513780
zwe,1990,626821
zwe,1995,431226
zwe,2000,410041
zwe,2005,392693
zwe,2010,397891
zwe,2015,398866
