geo,time,bn_trf_curr_cd
bmu,2019,-184279860.67773
bmu,2020,-220578492.17822
bol,1976,14000000
bol,1977,15000000
bol,1978,27000000
bol,1979,51200000
bol,1980,59500000
bol,1981,36655063.20001
bol,1982,44775000
bol,1983,103466000
bol,1984,84891000
bol,1985,76600000
bol,1986,95537000
bol,1987,111764000
bol,1988,135304000
bol,1989,149900000
bol,1990,159200000
bol,1991,182500000
bol,1992,242600000
bol,1993,236900000
bol,1994,264000000
bol,1995,244200000
bol,1996,247000000
bol,1997,291500000
bol,1998,340600000
bol,1999,386100000
bol,2000,386760000
bol,2001,396080000
bol,2002,369430000
bol,2003,465113020.44211
bol,2004,491091754.85247
bol,2005,584000695.20463
bol,2006,822259892.39424
bol,2007,1266153395.09437
bol,2008,1284125350.4257
bol,2009,1213160000
bol,2010,1081276641.46672
bol,2011,1177192687.70468
bol,2012,1260233345.52779
bol,2013,1269799697.13631
bol,2014,1181230940.56852
bol,2015,1170625541.30287
bol,2016,1227665883.0329
bol,2017,1384624710.44709
bol,2018,1243087787.59132
bol,2019,1134218513.80436
bol,2020,1025260249.09272
bra,1975,43000000
bra,1976,38000000
bra,1977,63000000
bra,1978,112000000
bra,1979,-21000000
bra,1980,144000000
bra,1981,186000000
bra,1982,-13000000
bra,1983,111000000
bra,1984,162000000
bra,1985,148000000
bra,1986,80000000
bra,1987,68000000
bra,1988,91000000
bra,1989,221000000
bra,1990,799000000
bra,1991,1514000000
bra,1992,2189000000
bra,1993,1603000000
bra,1994,2423000000
bra,1995,3621000000
bra,1996,2441000000
bra,1997,1822910606.51938
bra,1998,1457993730.1
bra,1999,1689397000
bra,2000,1521065000
bra,2001,1637524000
bra,2002,2389815000
bra,2003,2866589000
bra,2004,3236348735.21737
bra,2005,3557768431.24804
bra,2006,4306333184.52889
bra,2007,4028989566.17
bra,2008,4223866470.7
bra,2009,3337512200
bra,2010,2895971484.64
bra,2011,2984297477.32
bra,2012,2837910324.29
bra,2013,3682945025.49
bra,2014,2724950193.45
bra,2015,2751204156.55
bra,2016,3125773154.41
bra,2017,2135464181.17
bra,2018,-15020890.61
bra,2019,1184144765.94
bra,2020,2343874521.95
bra,2021,3293732302.17
brb,1967,3276545.3673
brb,1968,2681128.59066
brb,1969,4272792.54826
brb,1970,4269202.07467
brb,1971,4426408.96832
brb,1972,5440044.19118
brb,1973,5988506.69509
brb,1974,1165038.78869
brb,1975,668913.03368
brb,1976,-3595162.675
brb,1977,9789441.7
brb,1978,11606223.3
brb,1979,19836260
brb,1980,20939457.5
brb,1981,26042055
brb,1982,19835845
brb,1983,19123917.5
brb,1984,3137085
brb,1985,2635882.5
brb,1986,23593230
brb,1987,-730030
brb,1988,10956412.5
brb,1989,-1861172.5
brb,1990,27434415
brb,1991,20502552.5
brb,1992,26622272.5
brb,1993,-2704747.5
brb,1994,-4417400
brb,1995,-3786867.5
brb,1996,16872275
brb,1997,20120730
brb,1998,27026237.5
brb,1999,42955740
brb,2000,52746312.5
brb,2001,63827197.5
brb,2002,62642872.525
brb,2003,72873015
brb,2004,31513091.78928
brb,2005,-51875438.48566
brb,2006,-21638024.29525
brb,2007,-10727952.69825
brb,2008,-82783127.3935
brb,2009,-54168478.3265
brb,2010,-36633864.71425
brb,2011,-60367897.28308
brb,2012,-12762454.25821
brb,2013,10429419.1593
brb,2014,19565742.9341
brb,2015,8796717.47153
brb,2016,-42333380.8785
brn,2001,-97911281.87605
brn,2002,-89225732.06477
brn,2003,-96975673.5483
brn,2004,-353781659.80079
brn,2005,-375574678.93288
brn,2006,-405466493.67828
brn,2007,-430285346.64969
brn,2008,-420360159.04957
brn,2009,-444817438.55759
brn,2010,-308690564.64288
brn,2011,-374911854.72591
brn,2012,-475551881.518
brn,2013,-576596940.93791
brn,2014,-543161595.61689
brn,2015,-396430642.01041
brn,2016,-403559105.80182
brn,2017,-442775151.9196
brn,2018,-506105970.12223
brn,2019,-489695175.96279
brn,2020,-349909477.32626
btn,2006,104749547.66479
btn,2007,34808970.06408
btn,2008,34473137.48193
