geo,time,nv_ind_totl_cd
syc,1987,39124941.77859
syc,1988,46753391.49358
syc,1989,48213542.41978
syc,1990,59922426.87703
syc,1991,67702720.58685
syc,1992,78720787.20787
syc,1993,89047573.09659
syc,1994,94900905.89026
syc,1995,115206115.20612
syc,1996,119479265.17636
syc,1997,137078964.64596
syc,1998,157180593.29925
syc,1999,169021993.44876
syc,2000,178427666.35164
syc,2001,174767392.23218
syc,2002,211113138.68613
syc,2003,193382339.32638
syc,2004,124158454.54545
syc,2005,150695309.09091
syc,2006,165042719.71303
syc,2007,166215860.08267
syc,2008,151178467.19959
syc,2009,118875715.47183
syc,2010,135969406.18837
syc,2011,146097092.31888
syc,2012,150991719.36384
syc,2013,167642261.79122
syc,2014,163225662.71015
syc,2015,162849728.47926
syc,2016,156029092.46524
syc,2017,169265509.48484
syc,2018,176106221.47144
syc,2019,186453842.59094
syc,2020,145284090.90909
syr,1970,406806282.72251
syr,1971,487958115.18325
syr,1972,511780104.71204
syr,1973,550840253.71085
syr,1974,1024400043.7331
syr,1975,1287837837.83784
syr,1976,1537895828.39774
syr,1977,1588535031.84713
syr,1978,2000000000
syr,1979,2607133757.96178
syr,1980,2958980891.71975
syr,1981,4317452229.29936
syr,1982,4100382165.6051
syr,1983,4249936305.73248
syr,1984,4402802547.7707
syr,1985,4714649681.52866
syr,1986,5762547770.70064
syr,1987,6344713375.79618
syr,1988,3308685968.8196
syr,1989,4427616926.50334
syr,1990,5773006681.51448
syr,1991,6042583518.93096
syr,1992,5745211581.29176
syr,1993,6671893095.76837
syr,1994,8086681514.47661
syr,1995,9209977728.28508
syr,1996,15722583518.931
syr,1997,18979064587.9733
syr,1998,18633140311.804
syr,1999,21865033407.5724
syr,2000,26851848552.3385
syr,2001,26138975501.1136
syr,2002,26392249443.2071
syr,2003,27044187082.4053
syr,2004,33885523385.3007
syr,2005,41854432071.2695
syr,2006,53803830734.9666
syr,2007,61314298440.98
syr,2008,74639732739.4209
syr,2009,61299242761.6926
syr,2010,76832516703.78619
syr,2011,21695664346.2289
syr,2012,10722724300.8245
syr,2013,4718846090.39361
syr,2014,4140591559.59009
syr,2015,2518753623.69344
syr,2016,1991250542.54671
syr,2017,2728272759.34411
syr,2018,3989191813.37353
syr,2019,4118268467.9796
tca,2001,50250600
tca,2002,51687400
tca,2003,60542700
tca,2004,81174900
tca,2005,105308400
tca,2006,145994700
tca,2007,154496500
tca,2008,168594700
tca,2009,113911600
tca,2010,81977300
tca,2011,68414100
tca,2012,69094000
tca,2013,74155200
tca,2014,78203500
tca,2015,91053000
tca,2016,97719000
tca,2017,111805000
tca,2018,122021000
tca,2019,142093000
tca,2020,144724000
tcd,1960,28833361.27027
tcd,1961,32653058.93621
tcd,1962,31733572.93155
tcd,1963,34871016.87592
tcd,1964,38700469.23831
tcd,1965,46562267.20465
tcd,1966,53649235.90642
tcd,1967,57420953.45988
tcd,1968,63043351.87362
tcd,1969,60450833.89749
tcd,1970,59017689.43533
tcd,1971,63260222.0761
tcd,1972,75634955.54799
tcd,1973,95624606.39874
tcd,1974,97673360.5988
tcd,1975,129303646.4715
tcd,1976,129178679.01749
tcd,1977,127964505.89527
tcd,1978,146786264.56079
tcd,1979,105598684.9758
tcd,1980,93372405.86898
tcd,1981,104256279.99304
tcd,1982,104709266.84258
tcd,1983,109750020.06555
tcd,1984,142798999.27256
tcd,1985,131384198.34063
tcd,1986,155441843.60556
tcd,1987,162531395.87969
tcd,1988,191730964.60458
tcd,1989,227762479.27291
tcd,1990,293397014.35567
tcd,1991,242210132.40016
tcd,1992,245532678.76073
tcd,1993,199096310.7416
tcd,1994,138373954.50723
tcd,1995,192928595.98468
tcd,1996,200065489.47869
tcd,1997,211114201.12139
tcd,1998,224592652.8235
tcd,1999,187451063.35221
tcd,2000,151523042.12287
tcd,2001,223832317.05943
tcd,2002,284769832.97997
tcd,2003,642189178.98235
tcd,2004,2033420690.33523
tcd,2005,614340141.38039
tcd,2006,745436287.96139
tcd,2007,839500868.82725
tcd,2008,1088095308.07175
tcd,2009,1227295208.48049
tcd,2010,1276765206.67275
tcd,2011,1534807047.27823
tcd,2012,1599549354.30236
tcd,2013,1726669954.78433
tcd,2014,2022961685.83229
tcd,2015,1494962281.36216
tcd,2016,1379278680.62671
tcd,2017,1462912595.34248
tcd,2018,1615014227.29282
tcd,2019,1614649323.87342
tcd,2020,1709906558.35965
tgo,1960,18760560.06013
tgo,1961,19571046.81927
tgo,1962,18774432.38935
tgo,1963,26120681.71763
tgo,1964,31833181.78553
tgo,1965,39173944.1094
tgo,1966,47623233.0559
tgo,1967,54064841.63269
tgo,1968,52915461.29153
tgo,1969,56931704.26595
tgo,1970,53544985.56637
tgo,1971,64643469.46595
tgo,1972,68246497.60582
tgo,1973,82103575.67796
tgo,1974,185704725.74902
tgo,1975,163779223.27587
tgo,1976,126804506.79115
tgo,1977,151416657.54232
tgo,1978,187896695.80986
tgo,1979,225176946.29976
tgo,1980,281617341.19148
tgo,1981,216390079.91344
tgo,1982,192023093.28823
tgo,1983,164013582.16162
tgo,1984,145094471.60325
tgo,1985,165159379.91778
tgo,1986,210796297.4353
tgo,1987,249553674.32785
tgo,1988,297131260.15198
tgo,1989,329021527.0261
tgo,1990,366860334.1306
tgo,1991,403067700.57733
tgo,1992,402468065.87888
tgo,1993,255047807.51413
tgo,1994,208588288.42767
tgo,1995,290430676.92895
tgo,1996,308630546.54812
tgo,1997,301638039.2736
tgo,1998,267648979.459
tgo,1999,255575666.2393
tgo,2000,237688737.38398
tgo,2001,228744844.91145
tgo,2002,272506096.61168
tgo,2003,308837383.81997
tgo,2004,332741668.34175
tgo,2005,363732932.65693
tgo,2006,406186919.43886
tgo,2007,409651433.02697
tgo,2008,577234623.5426
tgo,2009,507594595.20376
tgo,2010,513699531.30018
tgo,2011,663044940.61096
tgo,2012,712779178.3198
tgo,2013,761909505.49464
tgo,2014,739944503.09899
tgo,2015,651911997.00547
tgo,2016,1302930650.67222
tgo,2017,1363724899.75574
tgo,2018,1493575798.92933
tgo,2019,1528321229.67481
tgo,2020,1719435410.17328
tha,1960,511193586.00308
tha,1961,581463938.38088
tha,1962,692983711.68582
tha,1963,744440724.91599
tha,1964,843942302.88461
tha,1965,1004423091.34615
tha,1966,1188120221.15385
tha,1967,1407216346.15385
tha,1968,1514519235.57692
tha,1969,1669591432.69231
tha,1970,1793269168.26923
tha,1971,1995192322.11538
tha,1972,2230769230.76923
tha,1973,2903628764.95735
tha,1974,3651515722.62222
tha,1975,3837226813.48231
tha,1976,4691153513.95336
tha,1977,5803893118.17099
tha,1978,7095755784.04906
tha,1979,8306029795.92436
tha,1980,9278339756.98853
tha,1981,10488396257.6305
tha,1982,10797561836.6877
tha,1983,12246381259.2119
tha,1984,13364932959.3814
tha,1985,12387026470.1442
tha,1986,14257669054.5992
tha,1987,16850109731.4445
tha,1988,21324508695.7725
tha,1989,26192048097.4243
tha,1990,31768737050.2824
tha,1991,37975452219.7141
tha,1992,42414321971.17329
tha,1993,47501974754.7355
tha,1994,54265844930.4175
tha,1995,63103767980.9915
tha,1996,67871773725.7672
tha,1997,54912942421.798
tha,1998,41050208658.733
tha,1999,46080811980.8429
tha,2000,46347284340.2689
tha,2001,43692887317.4454
tha,2002,49549535499.219
tha,2003,57742053677.7503
tha,2004,65531470026.6518
tha,2005,72897506470.64529
tha,2006,86811361596.53661
tha,2007,103681825819.423
tha,2008,115036877163.175
tha,2009,108764444755.55499
tha,2010,136174930646.948
tha,2011,140842294788.418
tha,2012,148462926799.45099
tha,2013,155097018811.42999
tha,2014,149750367920.98499
tha,2015,145185749699.98001
tha,2016,147103642297.798
tha,2017,159810546909.52802
tha,2018,176053289673.23001
tha,2019,182881865264.948
tha,2020,166038212164.10999
tjk,1990,988277727.6826
tjk,1991,492000000
tjk,1992,1070000000
tjk,1993,689325581.39535
tjk,1994,510451127.81955
tjk,1995,462386243.38624
tjk,1996,304491032.1489
tjk,1997,238908411.87978
tjk,1998,329447978.36724
tjk,1999,298381402.48829
tjk,2000,303568848.43231
tjk,2001,391071579.12486
tjk,2002,429108932.38305
tjk,2003,515058469.98105
tjk,2004,641878471.63777
tjk,2005,632804979.78566
tjk,2006,774466407.95537
tjk,2007,983006535.94771
tjk,2008,1267496429.30014
tjk,2009,1220411808.72378
tjk,2010,1409225850.65083
tjk,2011,1465576330.74487
tjk,2012,1682525275.9778
tjk,2013,1952877712.94236
tjk,2014,2059867141.9313
tjk,2015,2499651149.58381
tjk,2016,2252485419.29885
tjk,2017,2400119302.43166
tjk,2018,2671037678.11872
tjk,2019,2744417862.83892
tjk,2020,2690522093.80056
tkm,1987,932543527.90394
tkm,1988,1115178671.94209
tkm,1989,1073924363.05385
tkm,1990,956861892.39475
tkm,1991,978742043.0892
tkm,1992,390065790.08232
tkm,1993,1900555232.73463
tkm,1994,1148391486.08586
tkm,1995,1466875180.70833
tkm,1996,1551289134.43831
tkm,1997,1103341051.43307
tkm,1998,1057170191.75016
tkm,1999,1069670473.65858
tkm,2000,1192674597.41492
tkm,2001,1483627450.98039
tkm,2002,1798106322.1225
tkm,2003,2324411350.37231
tkm,2004,2589810097.26725
tkm,2005,3003629764.06534
tkm,2006,3678039260.96998
tkm,2007,4775609756.09756
tkm,2008,11668095052.5906
tkm,2009,12312631578.9474
tkm,2010,13353684210.5263
tkm,2011,19255789473.6842
tkm,2012,23412280701.7544
tkm,2013,24862105263.1579
tkm,2014,26405964912.2807
tkm,2015,19436857142.8571
tkm,2016,18602857142.8571
tkm,2017,17842000000
tkm,2018,18306285714.2857
tkm,2019,19006285714.2857
tls,2000,59024800
tls,2001,62922700
tls,2002,55967100
tls,2003,49916500
tls,2004,24280800
tls,2005,24526900
tls,2006,22915000
tls,2007,28876300
tls,2008,49954200
tls,2009,72926300
tls,2010,80542000
tls,2011,135305500
tls,2012,148340900
tls,2013,280489800
tls,2014,245631300
tls,2015,292007400
tls,2016,315338400
tls,2017,250023500
tls,2018,256677200
tls,2019,617602300
tls,2020,483183000
ton,1975,2851551.25016
ton,1976,2772088.47611
ton,1977,3365380.35041
ton,1978,4965548.81538
ton,1979,5873351.21842
ton,1980,6677636.07379
ton,1981,6969662.14663
ton,1982,6613246.77959
ton,1983,8180180.18018
ton,1984,9008336.98991
ton,1985,7545918.01103
ton,1986,8407085.5615
ton,1987,8843999.43985
ton,1988,11530376.82645
ton,1989,13504966.22964
