geo,time,sh_sta_stnt_me_zs
cmr,2018,28.9
cmr,2019,28.1
cmr,2020,27.2
cod,2000,47.8
cod,2001,47.5
cod,2002,47.3
cod,2003,46.9
cod,2004,46.3
cod,2005,45.8
cod,2006,45.2
cod,2007,44.6
cod,2008,44.2
cod,2009,43.9
cod,2010,43.6
cod,2011,43.1
cod,2012,42.8
cod,2013,42.4
cod,2014,42
cod,2015,41.7
cod,2016,41.7
cod,2017,41.6
cod,2018,41.5
cod,2019,41.2
cod,2020,40.8
cog,2000,36.4
cog,2001,36.1
cog,2002,34.7
cog,2003,33.3
cog,2004,31.9
cog,2005,30.7
cog,2006,29.5
cog,2007,28.3
cog,2008,27.2
cog,2009,26.2
cog,2010,25.1
cog,2011,24.1
cog,2012,23.4
cog,2013,22.7
cog,2014,22
cog,2015,21.5
cog,2016,21
cog,2017,20.3
cog,2018,19.6
cog,2019,18.8
cog,2020,18
col,2000,17.5
col,2001,17.1
col,2002,16.8
col,2003,16.3
col,2004,15.9
col,2005,15.4
col,2006,14.8
col,2007,14.3
col,2008,13.9
col,2009,13.6
col,2010,13.3
col,2011,13.1
col,2012,12.9
col,2013,12.8
col,2014,12.6
col,2015,12.4
col,2016,12.2
col,2017,12
col,2018,11.8
col,2019,11.6
col,2020,11.5
com,2000,42.4
com,2001,41.8
com,2002,40.9
com,2003,40.2
com,2004,39.5
com,2005,38.8
com,2006,38.2
com,2007,37.5
com,2008,36.7
com,2009,35.8
com,2010,34.7
com,2011,33.5
com,2012,32.3
com,2013,31
com,2014,29.8
com,2015,28.7
com,2016,27.4
com,2017,26.2
com,2018,24.9
com,2019,23.7
com,2020,22.6
cpv,2000,18
cpv,2001,17.2
cpv,2002,16.4
cpv,2003,15.7
cpv,2004,15.2
cpv,2005,14.8
cpv,2006,14.6
cpv,2007,14.3
cpv,2008,14.1
cpv,2009,13.7
cpv,2010,13.2
cpv,2011,12.6
cpv,2012,12.2
cpv,2013,11.7
cpv,2014,11.4
cpv,2015,11
cpv,2016,10.7
cpv,2017,10.5
cpv,2018,10.2
cpv,2019,9.9
cpv,2020,9.7
cri,2000,7.7
cri,2001,7.4
cri,2002,7.2
cri,2003,7
cri,2004,6.8
cri,2005,6.6
cri,2006,6.5
cri,2007,6.6
cri,2008,6.6
cri,2009,6.6
cri,2010,6.7
cri,2011,6.8
cri,2012,7
cri,2013,7.1
cri,2014,7.3
cri,2015,7.5
cri,2016,7.7
cri,2017,7.9
cri,2018,8.2
cri,2019,8.4
cri,2020,8.6
cub,2000,7.2
cub,2001,7.2
cub,2002,7.2
cub,2003,7.3
cub,2004,7.4
cub,2005,7.3
cub,2006,7.2
cub,2007,7.3
cub,2008,7.2
cub,2009,7.1
cub,2010,7.1
cub,2011,7.1
cub,2012,7.1
cub,2013,7.1
cub,2014,7.1
cub,2015,7.1
cub,2016,7.1
cub,2017,7.1
cub,2018,7.1
cub,2019,7
cub,2020,7
cze,2000,2.7
cze,2001,2.7
cze,2002,2.7
cze,2003,2.6
cze,2004,2.6
cze,2005,2.6
cze,2006,2.6
cze,2007,2.5
cze,2008,2.5
cze,2009,2.5
cze,2010,2.5
cze,2011,2.5
cze,2012,2.4
cze,2013,2.4
cze,2014,2.4
cze,2015,2.5
cze,2016,2.5
cze,2017,2.5
cze,2018,2.5
cze,2019,2.5
cze,2020,2.5
deu,2000,1.5
deu,2001,1.5
deu,2002,1.5
deu,2003,1.4
deu,2004,1.4
deu,2005,1.4
deu,2006,1.4
deu,2007,1.4
deu,2008,1.4
deu,2009,1.4
deu,2010,1.4
deu,2011,1.4
deu,2012,1.5
deu,2013,1.5
deu,2014,1.5
deu,2015,1.5
deu,2016,1.5
deu,2017,1.5
deu,2018,1.6
deu,2019,1.6
deu,2020,1.6
dji,2000,30
dji,2001,29.9
dji,2002,29.9
dji,2003,29.9
dji,2004,29.8
dji,2005,29.8
dji,2006,29.9
dji,2007,30
dji,2008,30.2
dji,2009,30.5
dji,2010,30.8
dji,2011,31.2
dji,2012,31.7
dji,2013,32.2
dji,2014,32.7
dji,2015,33.1
dji,2016,33.5
dji,2017,33.7
dji,2018,33.9
dji,2019,34
dji,2020,34
dom,2000,10.6
dom,2001,10.1
dom,2002,9.7
dom,2003,9.4
dom,2004,9.2
dom,2005,9
dom,2006,8.8
dom,2007,8.7
dom,2008,8.6
dom,2009,8.5
dom,2010,8.4
dom,2011,8.2
dom,2012,8
dom,2013,7.8
