geo,time,se_adt_1524_lt_fe_zs
mkd,2002,98.48539
mkd,2014,98.5
mkd,2020,99.16211
mli,1976,13.47465
mli,1998,16.86067
mli,2006,30.79846
mli,2010,33.94571
mli,2011,29.69539
mli,2015,39.20776
mli,2018,43.39811
mli,2020,38.45202
mlt,1985,98.87076
mlt,1995,97.80653
mlt,2005,99.11073
mlt,2011,99.38657
mlt,2018,99.56088
mmr,1983,81.3442
mmr,2000,93.47118
mmr,2016,84.41379
mmr,2019,95.5529
mne,1981,98.28521
mne,1991,98.98921
mne,2003,99.3606
mne,2011,99.05261
mne,2018,98.97
mng,2000,98.43194
mng,2010,98.90874
mng,2018,99.08
mng,2020,99.22561
moz,1980,25.11539
moz,1997,36.55311
moz,2003,50.03891
moz,2009,56.54005
moz,2015,62.66699
moz,2017,65.48977
mrt,2000,55.48371
mrt,2007,47.71239
mrt,2013,68.05106
mrt,2017,56.76072
mus,1990,91.7059
mus,2000,95.3619
mus,2011,98.57592
mus,2018,99.35342
mwi,1987,49.12807
mwi,1998,70.70072
mwi,2010,69.98174
mwi,2014,73.33242
mwi,2015,73.3858
mys,1980,86.53148
mys,1991,95.22214
mys,2000,97.26772
mys,2010,98.45826
mys,2016,97.85761
mys,2017,97.43844
mys,2018,97.01853
mys,2019,96.97591
nam,1991,90.41716
nam,2001,93.63254
nam,2007,90.61543
nam,2011,95.34632
nam,2018,96.19844
ncl,1976,97.96158
ncl,1989,98.86099
ncl,1996,99.14204
ncl,2014,99.3
ner,2001,14.23355
ner,2005,23.19743
ner,2012,31.64391
ner,2018,35.56
nga,1991,62.48778
nga,2003,60.50937
nga,2006,74.5044
nga,2008,57.95389
nga,2018,68.26263
nic,2001,88.81788
nic,2005,88.84248
nic,2015,93.60194
npl,1981,14.96661
npl,1991,32.66644
npl,2001,60.14379
npl,2011,80.20683
npl,2018,90.88347
omn,2003,96.66145
omn,2008,97.62498
omn,2010,98.16507
omn,2014,99.05662
omn,2015,98.75332
omn,2016,98.9804
omn,2017,98.95638
omn,2018,98.97943
pak,1981,23.83296
pak,1998,43.11405
pak,2005,53.08856
pak,2006,58.37056
pak,2007,56.78496
pak,2008,61.24992
pak,2009,61.46266
pak,2010,62.29837
pak,2011,63.13681
pak,2012,64.4741
pak,2013,63.438
pak,2014,65.54779
pak,2017,67.53713
pak,2018,64.35005
pak,2019,65.18558
pan,1980,96.28396
pan,1990,94.77776
pan,2000,95.62273
pan,2010,97.33687
pan,2018,98.87429
pan,2019,98.85901
per,1981,89.76372
per,1993,93.78625
per,2004,95.65602
per,2005,96.28778
per,2006,96.95764
per,2007,96.70523
per,2012,98.67575
per,2014,98.78966
per,2015,98.7729
per,2016,98.6722
per,2017,98.85308
per,2018,98.96697
per,2020,99.35149
phl,1980,92.46903
