geo,time,gc_tax_gsrv_rv_zs
bwa,2010,15.38801
bwa,2011,13.3064
bwa,2012,13.31021
bwa,2013,10.56784
bwa,2014,10.73206
bwa,2015,13.13976
bwa,2016,12.11888
bwa,2017,14.52496
bwa,2018,14.6586
bwa,2019,15.7893
caf,2004,24.78054
caf,2008,33.6292
caf,2009,28.68888
caf,2010,31.29743
caf,2011,35.77901
caf,2012,14.62619
caf,2014,6.22487
caf,2015,21.25012
caf,2016,10.70663
caf,2017,8.37433
caf,2018,11.61539
can,1995,17.51485
can,1996,17.46045
can,1997,17.18514
can,1998,16.78747
can,1999,16.28819
can,2000,15.49747
can,2001,15.931
can,2002,17.32518
can,2003,17.5699
can,2004,17.43521
can,2005,17.12193
can,2006,16.09467
can,2007,14.95505
can,2008,13.56218
can,2009,14.6681
can,2010,15.27219
can,2011,14.46211
can,2012,14.05229
can,2013,13.92467
can,2014,13.96116
can,2015,13.77033
can,2016,13.89856
can,2017,13.94917
can,2018,13.50081
can,2019,13.42187
che,1972,23.06448
che,1973,21.02692
che,1974,19.82592
che,1975,18.67158
che,1976,18.07142
che,1977,19.13407
che,1978,19.52156
che,1979,20.18623
che,1980,20.33717
che,1981,20.73375
che,1982,20.60774
che,1983,21.37034
che,1984,21.17735
che,1990,31.6115
che,1991,30.80063
che,1992,29.25292
che,1993,29.51298
che,1994,28.20777
che,1995,30.95466
che,1996,29.87944
che,1997,30.96484
che,1998,31.70708
che,1999,34.08138
che,2000,33.45226
che,2001,34.10534
che,2002,32.75946
che,2003,33.3036
che,2004,34.16788
che,2005,33.45743
che,2006,33.13438
che,2007,32.7654
che,2008,31.83716
che,2009,31.6387
che,2010,32.41498
che,2011,32.03196
che,2012,31.79212
che,2013,31.24935
che,2014,31.2667
che,2015,30.23331
che,2016,29.96279
che,2017,29.51196
che,2018,29.01578
che,2019,28.32811
chl,1973,31.5625
chl,1974,31.71206
chl,1975,31.0778
chl,1976,36.7995
chl,1977,37.07057
chl,1978,36.20971
chl,1979,33.51424
chl,1980,34.61099
chl,1981,39.48813
chl,1982,42.73961
chl,1983,39.34598
chl,1984,40.28413
chl,1985,39.96514
chl,1986,43.62648
chl,1987,43.47108
chl,1988,42.30235
chl,1989,40.26767
chl,1990,43.48605
chl,1991,43.82825
chl,1992,44.94573
chl,1993,45.73767
chl,1994,46.30862
chl,1995,45.44284
chl,1996,46.34065
chl,1997,46.29948
chl,1998,46.51834
chl,1999,46.94778
chl,2000,47.08563
chl,2001,46.891
chl,2002,49.15025
chl,2003,49.04405
chl,2004,45.25747
chl,2005,41.27135
chl,2006,34.36519
chl,2007,34.34202
chl,2008,39.07812
chl,2009,45.83743
chl,2010,45.05876
chl,2011,43.96869
chl,2012,43.27938
chl,2013,48.86353
chl,2014,49.22282
chl,2015,48.53018
chl,2016,49.69777
chl,2017,50.13239
chl,2018,46.89706
chl,2019,47.2149
chn,2005,77.68766
chn,2006,56.78959
chn,2007,37.73708
chn,2008,56.86333
chn,2009,60.11021
chn,2010,63.37455
chn,2011,62.13175
chn,2012,61.32764
chn,2013,57.97895
chn,2014,38.42375
chn,2015,35.31051
chn,2016,34.74632
chn,2017,32.87672
chn,2018,32.63842
civ,1995,14.38109
civ,2001,23.40712
civ,2002,22.05807
civ,2003,19.6611
civ,2004,18.26944
civ,2005,19.48661
civ,2006,18.41263
civ,2007,15.76068
civ,2008,17.33709
civ,2009,22.90712
civ,2010,21.18655
civ,2011,21.53298
civ,2012,23.64232
civ,2013,20.81588
civ,2014,21.0136
civ,2015,33.72491
civ,2016,36.46789
civ,2017,36.46496
civ,2018,37.18497
civ,2019,38.37073
cmr,1990,22.24476
cmr,1991,19.09522
cmr,1992,17.52737
cmr,1993,20.67657
cmr,1994,23.94238
cmr,1995,25.78
cmr,1998,21.76016
cmr,1999,26.62832
cmr,2012,29.90753
cmr,2013,32.56268
cmr,2014,33.51344
cmr,2015,34.56536
cmr,2016,38.63261
cmr,2017,41.09023
cmr,2018,42.67229
cog,2001,22.60828
cog,2002,21.05837
cog,2003,16.69112
cog,2004,10.04821
cog,2005,7.07643
cog,2006,5.15845
cog,2007,6.9341
cog,2008,4.63856
cog,2009,12.72779
cog,2010,5.48092
cog,2011,9.70887
cog,2012,9.84327
cog,2013,9.81738
cog,2014,12.58461
cog,2015,22.95173
cog,2016,26.8109
cog,2017,25.35633
cog,2018,12.36639
col,1998,27.58832
col,2003,23.99611
col,2008,28.73449
col,2009,26.93813
col,2010,27.29317
col,2011,26.14733
col,2012,24.43426
col,2013,21.97238
col,2014,24.88542
col,2015,25.95165
col,2016,24.25583
col,2017,24.43139
col,2018,24.36345
col,2019,26.4926
cpv,2005,41.09008
cpv,2006,29.92276
cpv,2007,32.36966
cpv,2008,31.78406
cpv,2009,27.33158
cpv,2010,27.18942
cpv,2011,30.74732
cpv,2012,25.92417
cpv,2013,28.11202
cpv,2014,29.81946
cpv,2015,27.06078
cpv,2016,24.92186
cpv,2017,29.50751
cri,1972,37.30159
cri,1973,40.12346
