geo,time,bm_gsr_insf_zs
che,2020,4.54502
chl,1976,4.46602
chl,1977,3.81471
chl,1978,2.26365
chl,1979,2.48092
chl,1980,2.65319
chl,1981,2.19101
chl,1982,1.63121
chl,1983,1.13269
chl,1984,1.07705
chl,1985,3.59093
chl,1986,3.81294
chl,1987,3.88978
chl,1988,4.07774
chl,1989,3.31895
chl,1990,3.10695
chl,1991,2.43658
chl,1992,1.2776
chl,1993,3.82763
chl,1994,5.18907
chl,1995,3.93765
chl,1996,6.42003
chl,1997,6.87259
chl,1998,6.70094
chl,1999,8.46872
chl,2000,8.50998
chl,2001,8.19046
chl,2002,11.3537
chl,2003,6.67474
chl,2004,6.66476
chl,2005,9.53523
chl,2006,10.6157
chl,2007,10.15862
chl,2008,9.9874
chl,2009,11.92426
chl,2010,11.15018
chl,2011,9.48247
chl,2012,7.96642
chl,2013,7.71409
chl,2014,7.52255
chl,2015,9.02878
chl,2016,8.64616
chl,2017,9.18051
chl,2018,8.57071
chl,2019,8.96801
chl,2020,11.41463
chn,1982,4.39723
chn,1983,5.51655
chn,1984,4.23521
chn,1985,2.73376
chn,1986,3.60281
chn,1987,5.71429
chn,1988,5.91174
chn,1989,4.78261
chn,1990,2.15993
chn,1991,5.19291
chn,1992,2.90439
chn,1993,3.00764
chn,1994,11.53445
chn,1995,16.94228
chn,1996,1.03166
chn,1997,4.84476
chn,1998,7.06146
chn,1999,6.50325
chn,2000,7.08287
chn,2001,7.06592
chn,2002,7.13298
chn,2003,8.63551
chn,2004,8.59168
chn,2005,8.76381
chn,2006,9.64175
chn,2007,8.62296
chn,2008,8.3728
chn,2009,7.52047
chn,2010,8.86337
chn,2011,8.26512
chn,2012,8.00776
chn,2013,7.79896
chn,2014,6.32833
chn,2015,2.62529
chn,2016,3.38494
chn,2017,2.77128
chn,2018,2.59497
chn,2019,2.65513
chn,2020,4.11374
civ,2005,8.06562
civ,2006,8.15719
civ,2007,8.19845
civ,2008,7.60083
civ,2009,7.87688
civ,2010,7.30962
civ,2011,7.74121
civ,2012,7.70613
civ,2013,3.44404
civ,2014,4.42747
civ,2015,3.68126
civ,2016,3.13533
civ,2017,4.23761
civ,2018,4.85495
civ,2019,3.8184
civ,2020,4.9345
cmr,1977,7.76388
cmr,1978,7.5573
cmr,1979,7.15254
cmr,1980,5.41433
cmr,1981,5.13127
cmr,1982,6.27888
cmr,1983,4.64071
cmr,1984,4.71992
cmr,1985,5.48433
cmr,1986,8.06901
cmr,1987,5.53209
cmr,1988,3.89615
cmr,1989,4.25383
cmr,1990,7.02864
cmr,1991,3.70172
cmr,1992,6.82045
cmr,1993,5.89945
cmr,1994,6.52301
cmr,1995,7.03094
cmr,1996,2.90358
cmr,1997,3.74282
cmr,1998,8.36719
cmr,1999,6.03854
cmr,2000,3.78788
cmr,2001,3.39307
cmr,2002,2.14325
cmr,2003,7.59835
cmr,2004,7.06419
cmr,2005,7.82207
cmr,2006,5.88962
cmr,2007,5.9619
cmr,2008,6.22031
cmr,2009,7.59987
cmr,2010,6.98018
cmr,2011,8.00743
cmr,2012,7.25747
cmr,2013,6.28037
cmr,2014,6.64073
cmr,2015,7.22068
cmr,2016,8.2226
cmr,2017,7.16409
cmr,2018,6.99628
cmr,2019,6.76129
cmr,2020,7.18347
cod,2005,9.66473
cod,2006,13.3142
cod,2007,14.96662
cod,2008,14.11221
cod,2009,14.80931
cod,2010,13.49758
cod,2011,13.17851
cod,2012,20.4671
cod,2013,18.43974
cod,2014,15.65624
cod,2015,20.07042
cod,2016,16.6174
cod,2017,23.09202
cod,2018,21.39471
cod,2019,22.92646
cod,2020,21.79193
cog,1978,4.4166
cog,1979,5.35519
cog,1980,3.46483
cog,1981,3.86093
cog,1982,3.13731
cog,1983,4.0792
cog,1984,6.2612
cog,1985,5.00718
cog,1986,4.12078
cog,1987,4.56745
cog,1988,4.36978
cog,1989,2.30964
cog,1990,1.50907
cog,1991,1.40153
cog,1992,1.3166
cog,1993,1.32832
cog,1994,1.40893
cog,1995,7.2546
cog,1996,4.8632
cog,1997,5.84056
cog,1998,3.51457
cog,1999,3.44318
cog,2000,4.58305
cog,2001,4.33477
cog,2002,3.81719
cog,2003,7.88129
cog,2004,6.25815
cog,2005,8.96321
cog,2006,6.19629
cog,2007,5.47641
cog,2008,5.9911
cog,2009,5.64185
cog,2010,4.44035
cog,2011,2.96116
cog,2012,3.11027
cog,2013,5.04128
cog,2014,4.50003
cog,2015,3.50941
cog,2016,7.38144
col,1968,9.17695
col,1969,8.93993
col,1970,8.02395
col,1971,9.05773
col,1972,8.16046
col,1973,7.91665
col,1974,7.1397
col,1975,7.14082
col,1976,6.98215
col,1977,8.21221
col,1978,9.01474
col,1979,9.52247
col,1980,10.20196
col,1981,11.27204
col,1982,12.13159
col,1983,12.06605
col,1984,14.02928
col,1985,12.82411
col,1986,11.79929
col,1987,12.01287
col,1988,13.60479
col,1989,13.99361
col,1990,13.16
col,1991,12.79249
col,1992,12.35517
col,1993,12.31525
col,1994,11.37592
col,1995,11.71707
col,1996,12.43392
col,1997,14.26842
col,1998,11.09632
col,1999,10.02006
col,2000,13.1291
col,2001,14.95304
col,2002,17.91919
col,2003,14.94484
col,2004,13.54283
col,2005,11.59697
col,2006,11.02408
col,2007,9.5146
col,2008,9.57982
col,2009,11.57677
col,2010,13.59338
col,2011,13.97113
col,2012,13.44482
col,2013,13.09434
col,2014,12.69531
col,2015,11.79155
col,2016,11.37943
col,2017,14.67901
col,2018,14.40371
col,2019,15.86627
col,2020,25.5679
col,2021,19.40228
com,1980,5.63145
com,1981,2.95041
com,1982,2.96372
com,1983,3.95293
com,1984,2.60058
com,1985,2.35845
com,1986,2.02569
com,1987,2.85839
com,1988,2.86656
com,1989,2.47962
com,1990,2.70926
com,1991,2.93392
com,2003,8.80106
com,2004,9.52381
com,2005,9.99669
com,2006,9.92999
com,2007,10.24002
com,2008,10.58511
com,2009,11.5812
com,2010,11.47632
com,2011,11.84106
com,2012,12.10395
com,2014,9.29544
com,2015,8.14819
com,2016,8.16424
com,2017,7.98849
com,2018,8.24229
com,2019,7.54905
com,2020,8.38038
cpv,1977,0.55422
cpv,1978,1.55488
cpv,1979,0.15115
cpv,1980,1.01966
cpv,1981,0.53349
cpv,1982,0.52202
cpv,1983,0.20805
cpv,1984,2.44026
cpv,1985,1.25777
cpv,1986,0.63444
cpv,1987,0
cpv,1988,0
cpv,1989,0
cpv,1990,0
cpv,1991,0
cpv,1992,0
cpv,1993,0
cpv,1994,0
cpv,1995,0
cpv,1996,0
cpv,1997,0
cpv,1998,2.60381
cpv,1999,5.20032
cpv,2000,3.20336
cpv,2001,5.22435
cpv,2002,3.72798
cpv,2003,3.68612
cpv,2004,4.68033
cpv,2005,5.29777
cpv,2006,4.79199
cpv,2007,4.84962
cpv,2008,5.13527
cpv,2009,5.36542
cpv,2010,5.95741
cpv,2011,6.87804
cpv,2012,5.57269
cpv,2013,4.68469
cpv,2014,6.65927
cpv,2015,5.05157
cpv,2016,2.57478
cpv,2017,3.17788
cpv,2018,2.00043
cpv,2019,2.36751
cpv,2020,4.91115
cri,1977,7.8392
cri,1978,7.60822
cri,1979,7.38381
