geo,time,nv_agr_totl_cd
eri,2006,297945821.13821
eri,2007,319819434.14634
eri,2008,231544715.44715
eri,2009,262243902.43902
esp,1995,23875100080.06409
esp,1996,28203073689.7412
esp,1997,25386363636.3636
esp,1998,25699966588.707
esp,1999,24236822201.1584
esp,2000,22410534889.4118
esp,2001,23089329220.4725
esp,2002,24728644069.0197
esp,2003,31137452114.9019
esp,2004,33443557684.17
esp,2005,31946994104.2801
esp,2006,30396791918.8235
esp,2007,36967274629.804
esp,2008,38649982963.2812
esp,2009,33788604169.9219
esp,2010,34573364950.0001
esp,2011,35141302315.1752
esp,2012,31903872300
esp,2013,35536454375.2942
esp,2014,34778822032.5489
esp,2015,32704001964.0625
esp,2016,34838668573.5409
esp,2017,36600540436.4706
esp,2018,39185251589.8039
esp,2019,36144473498.0392
esp,2020,40341224371.9846
est,1995,186001573.56412
est,1996,197573156.45728
est,1997,210750676.28494
est,1998,286644788.07431
est,1999,208869250.42589
est,2000,220924168.43269
est,2001,218535493.68902
est,2002,261822548.74258
est,2003,341659891.59892
est,2004,439621118.01242
est,2005,463734610.12312
est,2006,535256555.01192
est,2007,881249657.81549
est,2008,827966896.14765
est,2009,485165323.70103
est,2010,619103536.50877
est,2011,854244330.67121
est,2012,763191451.65586
est,2013,775602341.24941
est,2014,842774327.55294
est,2015,654228714.00859
est,2016,508805726.26693
est,2017,642471149.00118
est,2018,677174668.3302
est,2019,779608765.47451
est,2020,664037409.66382
eth,1981,4009588743.96135
eth,1982,4104840289.85507
eth,1983,4658969855.07246
eth,1984,3877987826.08696
eth,1985,4984878792.27053
eth,1986,5021443719.80676
eth,1987,5171530869.56522
eth,1988,5300985024.15459
eth,1989,5553624347.82609
eth,1990,6025641980.67633
eth,1991,7898721400.96618
eth,1992,6697817698.4835
eth,1993,5293597069.08257
eth,1994,3650991925.0255
eth,1995,3979501295.33679
eth,1996,4373584856.68613
eth,1997,4640664101.93278
eth,1998,3835770299.33159
eth,1999,3502759775.79251
eth,2000,3681548336.42199
eth,2001,3485190446.45645
eth,2002,3037664391.81992
eth,2003,3215348079.94872
eth,2004,3918718405.94002
eth,2005,5106106985.99103
eth,2006,6498059682.75179
eth,2007,8329426631.7944
eth,2008,12230064939.4202
eth,2009,14883148075.6311
eth,2010,12406604219.9984
eth,2011,13180503225.8064
eth,2012,19200051115.61869
eth,2013,19649886667.1797
eth,2014,21422080397.5843
eth,2015,23288960618.2448
eth,2016,25780094191.6715
eth,2017,27621585325.0467
eth,2018,26217819956.9484
eth,2019,32150928559.7165
eth,2020,38161685598.8171
fin,1975,2888070147.08259
fin,1976,2963542083.39745
fin,1977,2901491810.53564
fin,1978,2992376895.30686
fin,1979,3615759426.04183
fin,1980,4603124003.82531
fin,1981,4019013502.34224
fin,1982,4102627359.07241
fin,1983,3856746370.6234
fin,1984,3830629204.59042
fin,1985,3843054489.63929
fin,1986,4821721792.16514
fin,1987,4837007980.52212
fin,1988,5665955934.61265
fin,1989,6213107939.58709
fin,1990,7633338516.56041
fin,1991,6165269813.26276
fin,1992,4814175736.66047
fin,1993,3901321952.74279
fin,1994,4324416619.23734
fin,1995,5095315904.13943
fin,1996,4557338855.81155
fin,1997,4344290459.28301
fin,1998,3886292834.89097
fin,1999,3903939128.57144
fin,2000,3722158572.54903
fin,2001,3580726851.18111
fin,2002,3752036542.7451
fin,2003,4352705189.0196
fin,2004,4699462952.12356
fin,2005,4667826701.94552
fin,2006,4344371929.41176
fin,2007,6102738708.62747
fin,2008,6300716428.125
fin,2009,5713028800
fin,2010,6033336550.00001
fin,2011,6397426342.41246
fin,2012,5978121690.23438
fin,2013,6424106955.68629
fin,2014,6592020891.76468
fin,2015,5285719410.9375
fin,2016,5563295045.1362
fin,2017,5920659045.88236
fin,2018,6580278528.62745
fin,2019,6308238862.74509
fin,2020,6613315470.81714
fji,1963,48986273.76905
fji,1964,46215841.83352
fji,1965,44578768.41708
fji,1966,43784599.89935
fji,1967,43143105.80629
fji,1968,44085652.12413
fji,1969,44373284.53797
fji,1970,55256219.19065
fji,1971,53431544.48731
fji,1972,69801260.30053
fji,1973,95316041.29942
fji,1974,130337636.54419
fji,1975,160603479.74206
fji,1976,163751810.18158
fji,1977,154022236.75605
fji,1978,166627302.78696
fji,1979,201029077.42013
fji,1980,243887530.56235
fji,1981,221975193.07278
fji,1982,221844701.8447
fji,1983,186734513.27434
fji,1984,163749307.22335
fji,1985,186977288.48821
fji,1986,244607644.09921
fji,1987,246133129.6728
fji,1988,195707194.2949
fji,1989,232314434.03223
fji,1990,240102032.54778
fji,1991,252644280.29276
fji,1992,269334730.53892
fji,1993,278333246.85433
fji,1994,327145550.16734
fji,1995,338406456.65932
fji,1996,368417302.07368
fji,1997,309690378.88758
fji,1998,237567948.45983
fji,1999,317678716.49066
fji,2000,251526825.14329
fji,2001,215032065.36062
fji,2002,244026247.19923
fji,2003,287886907.90168
fji,2004,334444893.2487
fji,2005,359873625.07392
fji,2006,380620725.50832
fji,2007,401442091.53574
fji,2008,376892639.76909
fji,2009,289601370.35333
fji,2010,294639316.0611
fji,2011,347925496.31943
fji,2012,384323146.5445
fji,2013,423753665.68915
fji,2014,393342269.78913
fji,2015,368592486.65141
fji,2016,525773428.17587
fji,2017,563811311.62611
fji,2018,608735939.4462
fji,2019,651258887.2431
fji,2020,422589358.36551
fra,1960,6556833367.51834
fra,1961,6125025698.9381
fra,1962,7433735094.48128
fra,1963,7482894736.75041
fra,1964,7508138877.3751
fra,1965,7906730571.44917
fra,1966,8355810546.77261
fra,1967,9001529091.17259
fra,1968,9503754625.70591
fra,1969,9479063360.04131
fra,1970,9839376402.50384
fra,1971,10068663430.8038
fra,1972,13789336801.0403
fra,1973,17915439010.0177
fra,1974,15454173486.0884
fra,1975,17367293865.6876
fra,1976,16974870254.029
fra,1977,17706606044.3969
fra,1978,21132267441.8605
fra,1979,25377736663.5831
fra,1980,25298044085.68769
fra,1981,21739287869.6439
fra,1982,23702964367.7014
fra,1983,20129959549.0145
fra,1984,17825564812.7299
fra,1985,18461819243.6852
fra,1986,24954067620.0398
fra,1987,28848630361.2354
fra,1988,29030943728.6642
fra,1989,32037836726.3006
fra,1990,39812070834.8392
fra,1991,33183350773.1659
fra,1992,36337050805.4523
fra,1993,30368311327.3106
fra,1994,33465264650.2836
fra,1995,39143119989.4861
fra,1996,38604949352.4811
fra,1997,34059339177.3432
fra,1998,35510340226.8179
fra,1999,33390776111.9692
fra,2000,28656002945.8824
fra,2001,29027352988.189
fra,2002,30191223481.17649
fra,2003,34127109031.3725
fra,2004,38634362051.3515
fra,2005,36910914291.0506
fra,2006,35237125383.5294
fra,2007,42915149320.0001
fra,2008,44400636846.0937
fra,2009,35737115213.2812
fra,2010,42429561916.6667
fra,2011,47283327986.3814
fra,2012,43792021880.8594
fra,2013,41014941287.0589
fra,2014,44448979241.5685
fra,2015,39164695526.1719
fra,2016,35539338243.969
fra,2017,40027993125.8824
fra,2018,46019435338.0392
fra,2019,41545938007.8431
fra,2020,42001977514.397
fro,1998,198603151.86246
fro,1999,182563573.29205
fro,2000,192228229.26847
fro,2001,208163118.18138
fro,2002,196739584.78473
fro,2003,180047664.58703
fro,2004,203501861.09396
fro,2005,201270656.50586
fro,2006,278872671.01635
fro,2007,291364329.40831
fro,2008,236911790.66711
fro,2009,229103322.20336
fro,2010,341139026.68871
fro,2011,359658762.82899
fro,2012,295537332.75788
fro,2013,399302031.58663
fro,2014,430449888.64142
fro,2015,399500587.10742
