geo,time,se_adt_1524_lt_ma_zs
zaf,2012,98.49655
zaf,2014,98.68172
zaf,2015,98.68459
zaf,2017,93.75609
zaf,2019,97.98624
zmb,1990,67.26935
zmb,1999,72.6156
zmb,2002,77.72512
zmb,2007,70.30841
zmb,2010,91.19563
zmb,2018,92.55964
zwe,1982,93.82696
zwe,1992,96.54062
zwe,2011,89.59058
zwe,2014,87.59186
