geo,time,bm_trf_prvt_cd
bwa,2014,79738559.0674
bwa,2015,54023541.71227
bwa,2016,38832547.11108
bwa,2017,43970333.85184
bwa,2018,66257711.2059
bwa,2019,142506689.97188
bwa,2020,224697650.08084
caf,1977,13708907.10204
caf,1978,15585679.87711
caf,1979,10995590.07317
caf,1980,21753169.59078
caf,1981,20766826.75869
caf,1982,20997774.51989
caf,1983,20705072.75408
caf,1984,19576311.95435
caf,1985,19102398.17723
caf,1986,27464157.85113
caf,1987,30385654.00173
caf,1988,34356425.02937
caf,1989,33083778.75103
caf,1990,39781126.60611
caf,1991,36869001.34391
caf,1992,35724567.11234
caf,1993,37395477.95721
caf,1994,28277858.82008
can,1961,124650210.58287
can,1962,117139078.22169
can,1963,124160917.4653
can,1964,124881913.94746
can,1965,157806530.50922
can,1966,164370263.06814
can,1967,196863181.88493
can,1968,174774019.76063
can,1969,230510421.63636
can,1970,234825629.23226
can,1971,254746097.87059
can,1972,303868681.78658
can,1973,335184367.28836
can,1974,374255930.88551
can,1975,381036385.69335
can,1976,407667796.38302
can,1977,429426771.4894
can,1978,420993105.65408
can,1979,515025953.41178
can,1980,533528672.83404
can,1981,622569091.40578
can,1982,643739098.63445
can,1983,682783284.82642
can,1984,721847412.16441
can,1985,785805516.46384
can,1986,829168927.44285
can,1987,900018038.18244
can,1988,1089812921.91221
can,1989,1241306868.76776
can,1990,1265758860.11361
can,1991,1388728213.44161
can,1992,1277945980.35781
can,1993,1379275493.31304
can,1994,1384291420.06858
can,1995,1499067210.63629
can,1996,1751409574.93862
can,1997,1793846058.86884
can,1998,1811188894.5459
can,1999,2073339036.56654
can,2000,1935176036.25497
can,2001,2152205192.8176
can,2002,2341391597.71203
can,2003,2661940152.29076
can,2004,3382021864.32359
can,2005,4733510922.85911
can,2006,6276593543.40227
can,2007,6834508847.21628
can,2008,6702276139.20485
can,2009,7040629476.18236
can,2010,7565690353.25864
can,2011,8105513061.02631
can,2012,8001905385.40867
can,2013,8309678185.59513
can,2014,8489150966.41809
can,2015,7804612444.57895
can,2016,7596054829.73162
can,2017,8503321943.90007
can,2018,9007975497.10616
can,2019,9402256570.3816
can,2020,9087181201.29886
can,2021,9992040407.63532
che,1977,586638375.0496
che,1978,766208526.48853
che,1979,854019757.19548
che,1980,904095283.49389
che,1981,1053841813.82487
che,1982,1088522491.28705
che,1983,1070437520.56495
che,1984,977152949.89619
che,1985,993844432.00895
che,1986,1420299254.31235
che,1987,1808620622.2093
che,1988,1974988040.72986
che,1989,2192704433.2717
che,1990,2884552396.83502
che,1991,3058176767.64741
che,1992,3286189555.67593
che,1993,3170240364.55102
che,1994,3435201991.67576
che,1995,4121545100.18935
che,1996,3946003673.10944
che,1997,3557125016.14918
che,1998,3698752087.02878
che,1999,9280429258.36848
che,2000,7320483450.28374
che,2001,11312828748.2441
che,2002,12138950326.4645
che,2003,13304323787.1967
che,2004,14029970189.1078
che,2005,19565574921.9118
che,2006,19782973350.0346
che,2007,24565091102.3514
che,2008,31495689764.7112
che,2009,28670256622.2895
che,2010,26318134207.1981
che,2011,31020910142.1092
che,2012,35205217722.6925
che,2013,38869805779.0644
che,2014,48032357946.18
che,2015,40111916328.2219
che,2016,42203786597.2091
che,2017,51102735793.1746
che,2018,43089680942.5146
che,2019,48172543188.4937
che,2020,51285807266.9272
chl,1975,4000000
chl,1976,4000000
chl,1977,5000000
chl,1978,30000000
chl,1979,38000000
chl,1980,52000000
chl,1981,69000000
chl,1982,53000000
chl,1983,48000000
chl,1984,49000000
chl,1985,48200000
chl,1986,12600000
chl,1987,24100000
chl,1988,16500000
chl,1989,150400000
chl,1990,139800000
chl,1991,167100000
chl,1992,132000000
chl,1993,189700000
chl,1994,88300000
chl,1995,136000000
chl,1996,127600000
chl,1997,269600000
chl,1998,302400000
chl,1999,155600000
chl,2000,162200000
chl,2001,246700000
chl,2002,330120000
chl,2003,244100000
chl,2004,302300000
chl,2005,380900000
chl,2006,575400000
chl,2007,694200000
chl,2008,915390000
chl,2009,919834171.9
chl,2010,1187784703
chl,2011,1419896331.5
chl,2012,1631250297.91488
chl,2013,1754329220.97663
chl,2014,1735152219.96527
chl,2015,1811636393.53104
chl,2016,1950044463.47089
chl,2017,2366319117.19704
chl,2018,2882140591.31954
chl,2019,3040716312.76614
chl,2020,3422669304.9012
chn,1982,13000000
chn,1983,10000000
chn,1984,12000000
chn,1985,9000000
chn,1986,11000000
chn,1987,11000000
chn,1988,12000000
chn,1989,9000000
chn,1990,11000000
chn,1991,40000000
chn,1992,17000000
chn,1993,18000000
chn,1994,259000000
chn,1995,360000000
chn,1996,161000000
chn,1997,333000000
chn,1998,290000000
chn,1999,331000000
chn,2000,455685000
chn,2001,428000000
chn,2002,650786230.1243
chn,2003,927798513.108
chn,2004,1241554263.5192
chn,2017,40024026000.7962
chn,2018,30166507873.8634
chn,2019,15657363519.3556
chn,2020,28126815868.8406
civ,2005,635623868.18454
civ,2006,713448924.09285
civ,2007,765213535.65709
civ,2008,846817920.57585
civ,2009,833639985.96323
civ,2010,811377097.82095
civ,2011,838187250.8822
