geo,time,sh_sta_smss_ur_zs
mar,2016,40.55553
mar,2017,40.79068
mar,2018,41.02556
mar,2019,41.26017
mar,2020,41.49452
mco,2000,100
mco,2001,100
mco,2002,100
mco,2003,100
mco,2004,100
mco,2005,100
mco,2006,100
mco,2007,100
mco,2008,100
mco,2009,100
mco,2010,100
mco,2011,100
mco,2012,100
mco,2013,100
mco,2014,100
mco,2015,100
mco,2016,100
mco,2017,100
mco,2018,100
mco,2019,100
mco,2020,100
mda,2000,71.52373
mda,2001,72.19758
mda,2002,72.87283
mda,2003,73.54947
mda,2004,73.80459
mda,2005,74.05336
mda,2006,74.29576
mda,2007,74.53176
mda,2008,74.76135
mda,2009,74.98449
mda,2010,75.20117
mda,2011,75.41135
mda,2012,75.61502
mda,2013,75.81215
mda,2014,76.00272
mda,2015,76.65263
mda,2016,77.30385
mda,2017,77.95637
mda,2018,78.61021
mda,2019,78.77428
mda,2020,78.93835
mdg,2000,7.41469
mdg,2001,7.80904
mdg,2002,8.2034
mdg,2003,8.56476
mdg,2004,8.92309
mdg,2005,9.2784
mdg,2006,9.63067
mdg,2007,9.97993
mdg,2008,10.32615
mdg,2009,10.66935
mdg,2010,11.00952
mdg,2011,11.34667
mdg,2012,11.68079
mdg,2013,12.01188
mdg,2014,12.33994
mdg,2015,12.66498
mdg,2016,12.98699
mdg,2017,13.30598
mdg,2018,13.62193
mdg,2019,13.93486
mdg,2020,14.24477
mex,2000,18.04521
mex,2001,18.08216
mex,2002,18.11916
mex,2003,20.19609
mex,2004,22.29972
mex,2005,24.43012
mex,2006,26.58737
mex,2007,28.77155
mex,2008,30.98274
mex,2009,33.221
mex,2010,35.48642
mex,2011,37.77908
mex,2012,40.09906
mex,2013,42.44642
mex,2014,44.82125
mex,2015,47.22362
mex,2016,49.65362
mex,2017,52.11132
mex,2018,54.59679
mex,2019,57.11012
mex,2020,59.65138
mkd,2000,10.10309
mkd,2001,10.10309
mkd,2002,10.10309
mkd,2003,10.10309
mkd,2004,10.10309
mkd,2005,9.97879
mkd,2006,9.85381
mkd,2007,9.72813
mkd,2008,9.60175
mkd,2009,9.47469
mkd,2010,9.34693
mkd,2011,9.21847
mkd,2012,9.08933
mkd,2013,8.95949
mkd,2014,8.82896
mkd,2015,8.69773
mkd,2016,8.56581
mkd,2017,8.4332
mkd,2018,8.16734
mkd,2019,8.13577
mkd,2020,8.15422
mli,2000,7.00456
mli,2001,7.13393
mli,2002,7.26411
mli,2003,7.39509
mli,2004,7.52688
mli,2005,7.65948
mli,2006,7.79289
mli,2007,7.92711
mli,2008,8.06213
mli,2009,8.18882
mli,2010,8.31607
mli,2011,8.44391
mli,2012,8.57232
mli,2013,8.7013
mli,2014,8.83086
mli,2015,8.96099
