geo,time,fm_ast_cgov_zg_m3
bhr,2009,9.64436
bhr,2010,-0.516
bhr,2011,4.37186
bhr,2012,0.75074
bhr,2013,9.69672
bhr,2014,4.09414
bhr,2015,4.76961
bhs,1970,8.41633
bhs,1971,72.27669
bhs,1972,-67.07188
bhs,1973,-0.978
bhs,1974,17.88814
bhs,1975,1.72662
bhs,1976,11.63605
bhs,1977,-0.7318
bhs,1978,4.52602
bhs,1979,-4.42978
bhs,1980,-3.59379
bhs,1981,4.34473
bhs,1982,2.37484
bhs,1983,8.33179
bhs,1984,-3.06206
bhs,1985,-1.37766
bhs,1986,-5.82991
bhs,1987,7.14654
bhs,1988,6.34603
bhs,1989,3.81099
bhs,1990,3.37966
bhs,1991,2.97449
bhs,1992,2.03286
bhs,1993,6.21604
bhs,1994,-1.37251
bhs,1995,0.64838
bhs,1996,-0.08458
bhs,1997,0.81063
bhs,1998,1.39836
bhs,1999,1.07737
bhs,2000,0.64016
bhs,2001,3.32622
bhs,2002,0.80845
bhs,2003,-4.30441
bhs,2004,-0.64903
bhs,2005,3.86729
bhs,2006,0.9106
bhs,2007,3.77098
bhs,2008,1.05925
bhs,2009,1.36105
bhs,2010,6.978
bhs,2011,0.43876
bhs,2012,2.59484
bhs,2013,5.62119
bhs,2014,1.22178
bhs,2015,3.48879
bhs,2016,5.60819
bhs,2017,-2.39063
bhs,2018,2.30983
bih,1998,-0.55114
bih,1999,-0.54617
bih,2000,-0.42262
bih,2001,-13.94237
bih,2002,-1.10276
bih,2003,-2.04122
bih,2004,-0.12681
bih,2005,-1.5261
bih,2006,-3.93201
bih,2007,-14.20375
bih,2008,6.04477
bih,2009,2.90364
bih,2010,2.34238
bih,2011,4.08487
bih,2012,1.78707
bih,2013,1.09696
bih,2014,0.55956
bih,2015,0.51579
bih,2016,-0.31233
bih,2017,-1.24036
bih,2018,-1.42447
bih,2019,-0.89114
bih,2020,1.68256
blr,1995,44.72921
blr,1996,15.24742
blr,1997,21.26775
blr,1998,63.48657
blr,1999,45.27052
blr,2000,22.22489
blr,2001,12.71319
blr,2002,5.84769
blr,2003,24.10443
blr,2004,-18.17721
blr,2005,-2.08631
blr,2006,-6.07238
blr,2007,-32.45284
blr,2008,-4.30255
blr,2009,-49.735
blr,2010,-4.73305
blr,2011,-82.89886
blr,2012,0.48726
blr,2013,7.72989
blr,2014,4.34599
blr,2015,7.91418
blr,2016,-1.7336
blr,2017,-15.68096
blr,2018,-5.17525
blr,2019,-4.68489
blr,2020,-4.21689
blz,1977,5.71808
blz,1978,6.07517
blz,1979,0.44227
blz,1980,7.90936
blz,1981,6.32371
blz,1982,14.16918
blz,1983,15.80647
blz,1984,8.40516
blz,1985,4.66016
blz,1986,-10.92934
blz,1987,-6.33513
blz,1988,-26.96669
blz,1989,-8.1559
blz,1990,-7.36209
blz,1991,7.6032
blz,1992,9.36172
blz,1993,10.08081
blz,1994,3.08154
blz,1995,9.4911
blz,1996,-8.23739
blz,1997,3.39528
blz,1998,2.02802
blz,1999,1.33839
blz,2000,-8.35027
blz,2001,4.82566
blz,2002,-5.40454
blz,2003,6.25905
blz,2004,8.91898
blz,2005,-4.55744
blz,2006,2.02741
blz,2007,2.60018
blz,2008,-0.30031
blz,2009,-0.82232
blz,2010,1.01006
blz,2011,-1.25073
blz,2012,0.47934
blz,2013,-6.06694
blz,2014,-0.73227
blz,2015,10.96703
blz,2016,7.57363
blz,2017,2.85028
blz,2018,-0.06053
blz,2019,1.49602
blz,2020,4.00828
bol,1961,10.24166
bol,1962,5.76886
bol,1963,2.99248
bol,1964,3.30673
bol,1965,10.53002
bol,1966,7.00503
bol,1967,13.58921
bol,1968,0.89385
bol,1969,0.24463
bol,1970,9.58551
bol,1971,12.70646
bol,1972,14.40209
bol,1973,1.2235
bol,1974,-39.42476
bol,1975,15.23582
bol,1976,11.84416
bol,1977,3.19212
bol,1978,11.95006
bol,1979,27.65298
bol,1980,31.42809
bol,1981,15.4078
bol,1982,235.89914
bol,1983,191.74815
bol,1984,970.98251
bol,1985,-5379.35067
bol,1986,-113.40063
bol,1987,-30.14688
bol,1988,-8.30037
bol,1989,-13.61917
bol,1990,-9.34277
bol,1991,-10.02222
bol,1992,-7.94966
bol,1993,28.45414
bol,1994,-1.48881
bol,1995,1.19546
bol,1996,-6.4647
bol,1997,1.45564
bol,1998,4.26174
bol,1999,0.11749
bol,2000,3.1115
bol,2001,4.98128
bol,2002,7.33686
bol,2003,1.57318
bol,2004,2.39937
bol,2005,-0.18187
bol,2006,-10.91179
bol,2007,-4.3654
bol,2008,-2.03988
bol,2009,-2.83817
bol,2010,-6.16059
bol,2011,-4.53037
bol,2012,-5.58784
bol,2013,-2.6662
bol,2014,0.77062
bol,2015,3.42252
bol,2016,-1.21865
bol,2017,0.00484
bol,2018,3.35414
bol,2019,2.64874
bol,2020,10.44179
bra,1961,19.34097
bra,1962,26.54867
bra,1963,28.08921
bra,1964,28.96956
bra,1965,9.05916
bra,1966,3.73788
bra,1967,14.57601
bra,1968,9.02827
bra,1969,6.40704
bra,1970,2.45093
bra,1971,-20.48896
bra,1972,23.07692
bra,1973,3.07692
bra,1974,-9.67742
bra,1975,0.79365
bra,1976,13.88889
bra,1977,18
bra,1978,-143.09392
bra,1979,-22.01139
bra,1980,-34.32018
bra,1981,-73.30163
bra,1982,-52.11268
bra,1983,-76.02041
bra,1984,-283.32362
bra,1985,-267.31867
bra,1989,889.67348
bra,1990,615.00832
bra,1991,335.2724
bra,1992,682.20996
bra,1993,736.92735
bra,1994,88.85177
bra,1995,14.84625
bra,1996,5.44754
bra,1997,20.93597
bra,1998,46.28
bra,1999,23.07169
bra,2000,13.45956
bra,2001,15.64973
bra,2002,13.95536
bra,2003,15.12646
bra,2004,5.56055
bra,2005,7.00279
bra,2006,8.76433
bra,2007,3.35836
bra,2008,-3.82016
bra,2009,7.90006
bra,2010,3.06746
bra,2011,-0.53892
bra,2012,4.70025
bra,2013,-0.59221
bra,2014,3.41463
bra,2015,2.9432
bra,2016,12.91551
bra,2017,8.72543
bra,2018,4.28475
bra,2019,6.98515
bra,2020,10.48276
brb,1967,2.43604
brb,1968,1.03256
brb,1969,-3.90724
brb,1970,-3.87181
brb,1971,5.13314
brb,1972,-7.78842
brb,1973,4.82931
brb,1974,13.17511
brb,1975,-2.92307
brb,1976,13.21731
brb,1977,8.37515
brb,1978,2.32331
brb,1979,2.15421
brb,1980,-1.59709
brb,1981,7.42935
brb,1982,0.61663
brb,1983,0.88072
brb,1984,0.67845
brb,1985,-3.827
brb,1986,1.27262
brb,1987,6.39112
brb,1988,4.16065
brb,1989,-1.84302
brb,1990,7.36191
brb,1991,4.82836
brb,1992,2.64451
brb,1993,3.57645
brb,1994,-5.77585
brb,1995,0.03122
brb,1996,4.00583
brb,1997,0.29783
brb,1998,-0.17742
brb,1999,-1.55262
brb,2000,-2.77828
brb,2001,-0.61634
brb,2002,8.5144
brb,2003,2.56033
brb,2004,0.89155
brb,2005,-2.23283
brb,2006,-1.47635
brb,2007,1.62589
brb,2008,2.15438
brb,2009,1.57549
brb,2013,5.30996
brb,2014,2.31843
brb,2015,6.64785
brb,2016,6.01216
brb,2017,2.28085
brb,2018,-18.80633
brb,2019,0.03955
brn,2000,4.72884
brn,2001,-6.72487
brn,2002,1.69103
brn,2003,-10.25884
brn,2004,-12.52731
brn,2005,-13.40435
brn,2006,15.25592
brn,2007,-1.69819
brn,2008,-18.02101
brn,2009,31.02726
brn,2010,-6.40032
brn,2011,-17.76043
brn,2012,7.19226
brn,2013,5.93487
brn,2014,9.10775
brn,2015,8.08855
brn,2016,-5.99163
brn,2017,-2.7932
brn,2018,0.56881
brn,2019,1.68892
brn,2020,6.63921
btn,1984,-19.71657
btn,1985,20.08174
btn,1986,-11.35776
btn,1987,-54.49258
btn,1988,-17.03167
btn,1989,16.85781
btn,1990,-8.66359
btn,1991,-6.20133
btn,1992,15.04399
btn,1993,-2.69061
btn,1994,4.94336
btn,1995,-6.52945
btn,1996,-11.43068
btn,1997,19.9757
btn,1998,-26.55753
btn,1999,-9.6437
btn,2000,7.06877
btn,2001,1.37026
btn,2002,29.26581
btn,2003,-11.78511
btn,2004,7.2913
btn,2005,-7.52017
btn,2006,-5.25788
btn,2007,-5.34248
btn,2008,-17.40184
btn,2009,29.62304
btn,2010,-2.54087
btn,2011,-0.86828
btn,2012,5.48212
btn,2013,-4.21681
btn,2014,-2.9953
btn,2015,3.87212
btn,2016,2.1891
btn,2017,5.72307
btn,2018,-1.91364
btn,2019,-5.3852
btn,2020,1.12615
bwa,1977,0.40731
bwa,1978,-15.85816
bwa,1979,-17.74054
bwa,1980,-4.37549
bwa,1981,12.30769
bwa,1982,-16.40765
bwa,1983,-30.97623
bwa,1984,-55.91779
bwa,1985,-71.96183
bwa,1986,-111.57517
bwa,1987,-91.36711
bwa,1988,-53.11492
bwa,1989,-56.02765
bwa,1990,-53.16289
bwa,1991,-19.84617
bwa,1992,-37.02661
bwa,1993,-21.82233
bwa,1994,-51.36183
bwa,1995,9.97939
bwa,1996,-28.45366
bwa,1997,-255.6744
bwa,1998,-87.35503
bwa,1999,-22.39042
bwa,2000,-56.16471
bwa,2001,-55.44541
bwa,2002,90.01557
bwa,2003,42.88234
bwa,2004,4.65324
bwa,2005,-18.52516
bwa,2006,-35.76196
bwa,2007,-26.89945
bwa,2008,-5.87365
bwa,2009,18.67555
bwa,2010,20.20641
bwa,2011,-19.00558
bwa,2012,3.69806
bwa,2013,-11.81308
bwa,2014,-19.24511
bwa,2015,2.88317
bwa,2016,9.10501
bwa,2017,0.7435
bwa,2018,3.29873
bwa,2019,9.95786
bwa,2020,21.27924
caf,1964,-24.69734
caf,1965,8.81671
caf,1966,7.19424
caf,1967,4.37828
caf,1968,14.34295
caf,1969,-1.30016
caf,1970,2.10581
caf,1971,19.0667
caf,1972,10.39598
caf,1973,-6.37141
caf,1974,43.4862
caf,1975,4.44169
caf,1976,16.69955
caf,1977,4.08841
caf,1978,13.06345
caf,1979,-0.91146
caf,1980,12.69243
caf,1981,15.91634
caf,1982,-5.65815
caf,1983,9.09925
caf,1984,-3.55353
caf,1985,-0.87425
caf,1986,5.4017
caf,1987,-6.14819
caf,1988,-7.51901
caf,1989,-2.08125
caf,1990,-5.06418
caf,1991,21.78996
caf,1992,6.55669
caf,1993,0.81758
caf,1994,18.16352
caf,1995,-7.88367
caf,1996,-1.73269
caf,1997,-1.27155
caf,1998,1.11753
caf,1999,2.04523
caf,2000,6.80838
caf,2001,7.84932
caf,2002,-0.77547
caf,2003,2.49845
caf,2004,10.747
caf,2005,9.80132
caf,2006,9.52661
caf,2007,1.91433
caf,2008,9.42379
caf,2009,15.24705
caf,2010,10.43103
caf,2011,12.78128
caf,2012,-1.78974
caf,2013,4.3428
caf,2014,1.54879
caf,2015,9.37541
caf,2016,-4.93086
caf,2017,-0.13975
caf,2018,12.60417
caf,2019,3.63012
can,1961,2.13849
can,1962,0.81141
can,1963,-0.72727
can,1964,0.53009
can,1965,1.6675
can,1966,3.55728
can,1967,13.50644
can,1968,2.79852
can,1969,-2.18767
can,1970,3.83944
can,1971,0.90895
can,1972,0.81808
can,1973,1.61832
can,1974,-0.91882
can,1975,1.53952
can,1976,2.0441
can,1977,1.49109
can,1978,0.74595
can,1979,4.07305
can,1980,0.38711
can,1981,-1.39454
can,1982,0.48734
can,1983,3.10148
can,1984,0.76498
can,1985,-0.98566
can,1986,2.90911
can,1987,-0.39928
can,1988,1.85563
can,1989,0.45755
can,1990,0.75229
can,1991,3.50827
can,1992,2.45289
can,1993,3.1168
can,1994,1.60376
can,1995,0.23898
can,1996,0.23098
can,1997,-1.85313
can,1998,0.16111
can,1999,-0.14888
can,2000,2.3825
can,2001,2.69656
can,2002,0.21342
can,2003,0.21868
can,2004,0.27077
can,2005,0.52509
can,2006,1.30594
can,2007,-0.57656
can,2008,4.61992
