geo,time,sp_pop_65up_to_zs
bel,1994,15.7725
bel,1995,15.92898
bel,1996,16.14473
bel,1997,16.35244
bel,1998,16.54797
bel,1999,16.72104
bel,2000,16.86649
bel,2001,17.00843
bel,2002,17.12132
bel,2003,17.20652
bel,2004,17.26269
bel,2005,17.29106
bel,2006,17.31498
bel,2007,17.29509
bel,2008,17.2625
bel,2009,17.26515
bel,2010,17.33403
bel,2011,17.43376
bel,2012,17.59302
bel,2013,17.78717
bel,2014,17.97717
bel,2015,18.14231
bel,2016,18.37186
bel,2017,18.58408
bel,2018,18.78874
bel,2019,19.00657
bel,2020,19.25423
ben,1960,5.02138
ben,1961,4.98441
ben,1962,4.92286
ben,1963,4.83759
ben,1964,4.73096
ben,1965,4.60504
ben,1966,4.64682
ben,1967,4.6714
ben,1968,4.68009
ben,1969,4.67351
ben,1970,4.65272
ben,1971,4.6696
ben,1972,4.67235
ben,1973,4.6606
ben,1974,4.63332
ben,1975,4.59027
ben,1976,4.57063
ben,1977,4.53522
ben,1978,4.48703
ben,1979,4.42829
ben,1980,4.36085
ben,1981,4.31323
ben,1982,4.25708
ben,1983,4.19255
ben,1984,4.11986
ben,1985,4.03973
ben,1986,3.99302
ben,1987,3.93999
ben,1988,3.88146
ben,1989,3.81789
ben,1990,3.75021
ben,1991,3.697
ben,1992,3.64123
ben,1993,3.58489
ben,1994,3.53007
ben,1995,3.47838
ben,1996,3.43285
ben,1997,3.38714
ben,1998,3.34209
ben,1999,3.29857
ben,2000,3.25731
ben,2001,3.23322
ben,2002,3.20771
ben,2003,3.18407
ben,2004,3.16626
ben,2005,3.15605
ben,2006,3.17398
ben,2007,3.19431
ben,2008,3.21329
ben,2009,3.22574
ben,2010,3.22989
ben,2011,3.23678
ben,2012,3.23623
ben,2013,3.232
ben,2014,3.2283
ben,2015,3.22772
ben,2016,3.23552
ben,2017,3.24395
ben,2018,3.25361
ben,2019,3.26488
ben,2020,3.27847
bfa,1960,2.33163
bfa,1961,2.39312
bfa,1962,2.44411
bfa,1963,2.48483
bfa,1964,2.51568
bfa,1965,2.53732
bfa,1966,2.60536
bfa,1967,2.66243
bfa,1968,2.70828
bfa,1969,2.74322
bfa,1970,2.76814
bfa,1971,2.83189
bfa,1972,2.88534
bfa,1973,2.92856
bfa,1974,2.96137
bfa,1975,2.98368
bfa,1976,3.04646
bfa,1977,3.09647
bfa,1978,3.13435
bfa,1979,3.16094
bfa,1980,3.1769
bfa,1981,3.22472
bfa,1982,3.26448
bfa,1983,3.29547
bfa,1984,3.31676
bfa,1985,3.32831
bfa,1986,3.33906
bfa,1987,3.33993
bfa,1988,3.33104
bfa,1989,3.31196
bfa,1990,3.28291
bfa,1991,3.25588
bfa,1992,3.21772
bfa,1993,3.1703
bfa,1994,3.11467
bfa,1995,3.0521
bfa,1996,3.00602
bfa,1997,2.95211
bfa,1998,2.89259
bfa,1999,2.82962
