geo,time,dc_dac_isll_cd
pse,2009,1100000.02384
pse,2010,850000.02384
pse,2011,800000.01192
pse,2012,1169999.95708
pse,2013,1769999.98093
pse,2014,1809999.94278
pse,2015,730000.01907
pse,2016,479999.98927
pse,2017,810000.00238
pse,2018,1049999.95232
pse,2019,569999.99285
rus,1992,300000.01192
rwa,2018,50000.00075
sdn,2005,159999.99642
sdn,2006,140000.0006
sdn,2007,100000.00149
sdn,2008,409999.99642
sdn,2009,469999.99881
sdn,2011,59999.99866
sle,2009,59999.99866
sle,2011,90000.00358
sle,2012,109999.9994
sle,2014,209999.99344
sle,2018,1159999.96662
sle,2019,2299999.95232
slv,2018,360000.01431
slv,2019,90000.00358
som,2011,259999.99046
som,2012,39999.99911
som,2013,250000
som,2015,129999.99523
som,2017,349999.99404
som,2018,159999.99642
srb,2006,180000.00715
srb,2007,219999.99881
srb,2008,319999.99285
srb,2009,70000.0003
srb,2014,70000.0003
srb,2015,109999.9994
ssd,2012,50000.00075
ssd,2014,100000.00149
ssd,2019,330000.01311
syr,2009,140000.0006
syr,2012,200000.00298
syr,2013,589999.97377
syr,2014,600000.02384
syr,2015,1000000
syr,2016,4639999.86649
syr,2017,1210000.03815
syr,2018,1429999.94755
syr,2019,1710000.03815
tgo,2009,119999.99732
tgo,2013,100000.00149
tgo,2015,9999.99978
tgo,2017,0
tgo,2018,19999.99955
tgo,2019,119999.99732
tls,2001,59999.99866
tur,2017,159999.99642
tur,2018,129999.99523
tur,2019,100000.00149
tza,2018,59999.99866
uga,2001,360000.01431
uga,2002,479999.98927
uga,2003,959999.97854
uga,2004,1220000.02861
uga,2005,1610000.01431
uga,2006,2279999.97139
uga,2007,2559999.94278
uga,2008,3200000.04768
uga,2009,3170000.07629
uga,2010,3069999.93324
uga,2011,3319999.93324
uga,2012,2970000.02861
uga,2013,4170000.07629
uga,2014,3329999.92371
uga,2015,3380000.11444
uga,2016,4920000.07629
uga,2017,5170000.07629
uga,2018,8149999.61853
uga,2019,6380000.11444
ukr,2014,250000
ukr,2015,300000.01192
ukr,2016,0
ukr,2018,79999.99821
ven,2019,239999.99464
vnm,2018,59999.99866
vnm,2019,90000.00358
yem,2010,70000.0003
yem,2011,19999.99955
yem,2015,79999.99821
yem,2017,280000.00119
yem,2018,1259999.99046
yem,2019,819999.99285
zaf,2008,70000.0003
zaf,2009,50000.00075
zaf,2012,39999.99911
zaf,2013,109999.9994
zaf,2014,59999.99866
zaf,2015,59999.99866
zaf,2017,39999.99911
zaf,2018,70000.0003
zwe,2018,9999.99978
