geo,time,ep_pmp_desl_cd
prk,2016,0.73
prt,1998,0.71
prt,2000,0.54
prt,2002,0.71
prt,2004,1.08
prt,2006,1.1
prt,2008,1.47
prt,2010,1.58
prt,2012,1.89
prt,2014,1.64
prt,2016,1.3
pry,1992,0.27
pry,1995,0.28
pry,1998,0.24
pry,2000,0.34
pry,2002,0.34
pry,2004,0.51
pry,2006,0.77
pry,2008,0.96
pry,2010,1.01
pry,2012,1.31
pry,2014,1.16
pry,2016,0.74
pse,1998,0.31
pse,2000,0.61
pse,2002,0.52
pse,2004,0.7
pse,2006,0.98
pse,2008,1.25
pse,2010,1.54
pse,2012,1.68
pse,2014,1.63
pse,2016,1.41
pyf,2006,1.19
pyf,2008,1.39
pyf,2010,1.56
qat,1998,0.15
qat,2004,0.16
qat,2006,0.19
qat,2010,0.19
qat,2012,0.27
qat,2014,0.41
qat,2016,0.38
rou,1995,0.19
rou,1998,0.4
rou,2000,0.35
rou,2002,0.57
rou,2004,0.91
rou,2006,1.24
rou,2008,1.22
rou,2010,1.46
rou,2012,1.73
rou,2014,1.71
rou,2016,1.14
rus,1995,0.28
rus,1998,0.18
rus,2000,0.29
rus,2002,0.25
rus,2004,0.45
rus,2006,0.66
rus,2008,0.86
rus,2010,0.72
rus,2012,1
rus,2014,0.75
rus,2016,0.55
rwa,1991,0.79
rwa,1992,0.88
rwa,1998,0.72
rwa,2000,0.84
rwa,2002,0.84
rwa,2004,0.99
rwa,2006,1.08
rwa,2008,1.37
rwa,2010,1.62
rwa,2012,1.73
rwa,2014,1.41
rwa,2016,1.13
sau,1995,0.09
sau,1998,0.1
sau,2000,0.1
sau,2002,0.1
sau,2004,0.1
sau,2006,0.07
sau,2008,0.09
sau,2010,0.067
sau,2012,0.067
sau,2014,0.07
sau,2016,0.12
sdn,1991,0.06
sdn,1992,0.58
sdn,1995,0.25
sdn,1998,0.26
sdn,2000,0.24
sdn,2002,0.24
sdn,2004,0.29
sdn,2006,0.49
sdn,2008,0.45
sdn,2010,0.43
sdn,2012,0.42
sdn,2014,0.55
sdn,2016,0.61
sen,1991,0.74
sen,1992,0.88
sen,1995,0.62
sen,1998,0.48
sen,2000,0.52
sen,2002,0.53
sen,2004,0.9
sen,2006,1.09
sen,2008,1.26
sen,2010,1.34
sen,2012,1.53
sen,2014,1.51
sen,2016,0.97
sgp,1991,0.28
sgp,1995,0.33
sgp,1998,0.36
sgp,2000,0.38
sgp,2002,0.38
sgp,2004,0.55
sgp,2006,0.63
sgp,2008,0.9
sgp,2010,1.04
sgp,2012,1.26
sgp,2014,1.16
sgp,2016,0.77
sle,1991,0.43
sle,1992,0.44
sle,1998,0.53
sle,2002,0.5
sle,2004,0.89
sle,2006,0.98
sle,2008,0.91
sle,2010,0.94
sle,2012,1.05
sle,2014,1.04
sle,2016,1.08
slv,1998,0.3
slv,2000,0.4
slv,2002,0.33
slv,2004,0.58
slv,2006,0.8
slv,2008,0.81
slv,2010,0.89
slv,2012,1.17
slv,2014,1.02
slv,2016,0.7
som,2002,0.29
som,2004,0.89
som,2006,0.67
som,2008,1.15
som,2016,1.18
srb,1995,0.84
srb,1998,0.43
srb,2000,0.56
srb,2002,0.66
srb,2004,0.85
srb,2006,1.35
srb,2008,1.14
srb,2010,1.48
srb,2012,1.8
srb,2014,1.66
srb,2016,1.21
ssd,2006,1.22
ssd,2008,1.25
ssd,2010,1.07
ssd,2012,1.97
ssd,2014,1.98
ssd,2016,0.28
sur,1998,0.41
sur,2000,0.41
sur,2002,0.41
sur,2004,0.5
sur,2006,0.94
sur,2010,1.12
sur,2012,1.52
sur,2014,1.34
svk,1995,0.4
svk,1998,0.54
svk,2000,0.68
svk,2002,0.7
svk,2004,1.19
svk,2006,1.43
svk,2008,1.68
svk,2010,1.53
svk,2012,1.85
svk,2014,1.61
svk,2016,1.16
svn,1995,0.5
svn,1998,0.64
svn,2000,0.66
svn,2002,0.67
svn,2004,1.11
svn,2006,1.21
svn,2008,1.26
svn,2010,1.62
svn,2012,1.77
svn,2014,1.68
svn,2016,1.21
swe,1995,1.01
swe,1998,0.84
swe,2000,0.8
swe,2002,0.96
swe,2004,1.37
swe,2006,1.44
swe,2008,1.52
swe,2010,1.82
swe,2012,2.16
swe,2014,1.82
swe,2016,1.42
swz,1991,0.41
swz,1992,0.4
swz,1998,0.36
swz,2000,0.44
swz,2004,0.73
swz,2006,0.85
swz,2008,0.93
swz,2010,1.1
swz,2012,1.34
swz,2014,1.16
swz,2016,0.77
syr,1998,0.14
syr,2000,0.13
syr,2002,0.18
syr,2004,0.13
syr,2006,0.13
syr,2008,0.53
syr,2010,0.45
syr,2012,0.36
syr,2014,0.47
tcd,1991,0.97
tcd,1992,0.95
tcd,1995,0.7
tcd,1998,0.61
tcd,2000,0.6
tcd,2002,0.77
tcd,2004,1.01
tcd,2006,1.2
tcd,2008,1.32
tcd,2010,1.31
tcd,2012,1.16
tcd,2014,0.99
tcd,2016,0.85
tgo,1991,0.66
tgo,1992,0.63
tgo,1995,0.4
tgo,1998,0.37
tgo,2000,0.4
tgo,2002,0.46
tgo,2004,0.83
tgo,2006,1.01
tgo,2008,0.88
tgo,2010,1.17
tgo,2012,1.22
tgo,2014,1.29
tgo,2016,0.71
tha,1991,0.26
tha,1995,0.3
tha,1998,0.27
tha,2000,0.35
tha,2002,0.32
tha,2004,0.37
tha,2006,0.65
tha,2008,0.64
tha,2010,0.95
tha,2012,0.97
tha,2014,0.9
tha,2016,0.68
tjk,1998,0.13
tjk,2000,0.55
tjk,2002,0.24
tjk,2004,0.59
tjk,2006,0.74
tjk,2008,1
tjk,2010,0.91
tjk,2014,1.18
tjk,2016,0.69
tkm,1998,0.05
tkm,2000,0.02
tkm,2002,0.01
tkm,2004,0.01
tkm,2006,0.01
tkm,2008,0.2
tkm,2010,0.2
tkm,2012,0.2
tkm,2014,0.2
tkm,2016,0.27
tls,2004,0.65
tls,2006,0.88
tls,2008,1.35
tls,2010,0.9
tls,2012,1.43
tls,2014,1.6
tls,2016,0.8
tto,1998,0.2
tto,2000,0.2
tto,2002,0.21
tto,2004,0.24
tto,2006,0.24
tto,2016,0.3
tun,1991,0.33
tun,1992,0.31
tun,1995,0.44
tun,1998,0.33
tun,2000,0.29
tun,2002,0.19
tun,2004,0.39
tun,2006,0.57
tun,2008,0.84
tun,2010,0.82
tun,2012,0.69
tun,2014,0.68
tun,2016,0.62
tur,1995,0.37
tur,1998,0.47
tur,2000,0.66
tur,2002,0.78
tur,2004,1.12
tur,2006,1.62
tur,2008,1.63
tur,2010,2.03
tur,2012,2.33
tur,2014,1.9
tur,2016,1.23
tza,1991,0.25
tza,1992,0.3
tza,1995,0.44
tza,1998,0.57
tza,2000,0.73
tza,2002,0.61
tza,2004,0.87
tza,2006,0.99
tza,2008,1.3
tza,2010,1.19
tza,2012,1.27
tza,2014,1.2
tza,2016,0.8
uga,1991,0.55
uga,1992,0.71
uga,1995,0.85
uga,1998,0.68
uga,2000,0.75
uga,2002,0.7
uga,2004,0.88
uga,2006,1.01
uga,2008,1.22
uga,2010,1.11
uga,2012,1.35
uga,2014,1.11
uga,2016,0.79
ukr,1998,0.25
ukr,2000,0.3
ukr,2002,0.34
ukr,2004,0.44
ukr,2006,0.87
ukr,2008,0.96
ukr,2010,0.92
ukr,2012,1.25
ukr,2014,1.16
ukr,2016,0.73
ury,1995,0.38
ury,1998,0.42
ury,2000,0.53
ury,2002,0.2
ury,2004,0.71
ury,2006,0.94
ury,2008,1.17
ury,2010,1.44
ury,2012,1.88
ury,2014,1.72
ury,2016,1.36
usa,1992,0.28
usa,1995,0.33
usa,1998,0.27
usa,2000,0.48
usa,2002,0.39
usa,2004,0.57
usa,2006,0.69
usa,2008,0.78
usa,2010,0.84
usa,2012,1.05
usa,2014,0.97
usa,2016,0.65
uzb,1995,0.31
uzb,1998,0.09
uzb,2000,0.09
uzb,2002,0.26
uzb,2004,0.3
uzb,2006,0.54
uzb,2008,0.75
uzb,2010,0.83
uzb,2012,0.87
uzb,2014,1.93
uzb,2016,1.28
ven,1995,0.01
ven,1998,0.08
ven,2000,0.06
ven,2002,0.05
ven,2004,0.02
ven,2006,0.02
ven,2008,0.01
ven,2010,0.011
ven,2012,0.011
ven,2014,0.008
vnm,1995,0.25
vnm,1998,0.26
vnm,2000,0.27
vnm,2002,0.27
vnm,2004,0.32
vnm,2006,0.53
vnm,2008,0.77
vnm,2010,0.77
vnm,2012,1.06
vnm,2014,0.91
vnm,2016,0.59
vut,2016,1.2
wsm,2010,1.06
wsm,2016,0.87
yem,1998,0.07
yem,2000,0.06
yem,2002,0.1
yem,2004,0.09
yem,2006,0.28
yem,2008,0.17
yem,2010,0.23
yem,2012,0.47
yem,2014,0.7
yem,2016,0.76
zaf,1992,0.52
zaf,1995,0.46
zaf,1998,0.39
zaf,2000,0.5
zaf,2002,0.4
zaf,2004,0.8
zaf,2006,0.84
zaf,2008,0.95
zaf,2010,1.14
zaf,2012,1.42
zaf,2014,1.17
zaf,2016,0.9
zmb,1991,0.24
zmb,1992,0.66
zmb,1995,0.57
zmb,1998,0.49
zmb,2002,0.6
zmb,2004,0.98
zmb,2006,1.22
zmb,2008,1.61
zmb,2010,1.52
zmb,2012,1.48
zmb,2014,1.59
zmb,2016,1.16
zwe,1991,0.37
zwe,1992,0.28
zwe,1995,0.29
zwe,1998,0.22
zwe,2000,0.72
zwe,2002,0.05
zwe,2004,0.65
zwe,2008,1.05
zwe,2010,1.15
zwe,2012,1.4
zwe,2014,1.48
zwe,2016,1.18
