geo,time,sl_tlf_advn_zs
per,2003,82.37
per,2004,84.22
per,2005,81.12
per,2006,83.89
per,2007,87.74
per,2008,86.52
per,2009,86.79
per,2010,86.9
per,2011,87.14
per,2012,87.82
per,2013,87.04
per,2014,86.93
per,2015,85.86
per,2016,86.63
per,2017,86.01
per,2018,87.19
per,2019,85.82
per,2020,74.21
phl,2009,64.82
phl,2010,65.05
phl,2011,65.13
phl,2012,64.04
phl,2014,63.49
phl,2015,63.16
phl,2016,63.3
plw,2000,76.67
plw,2014,82.13
png,2010,70.31
pol,1997,82.82
pol,1998,81.82
pol,1999,81.38
pol,2000,81.03
pol,2001,79.84
pol,2002,79.81
pol,2003,79.47
pol,2004,78.23
pol,2005,79.42
pol,2006,79.62
pol,2007,79.66
pol,2008,80.04
pol,2009,80.89
pol,2010,80.37
pol,2011,80.01
pol,2012,79.95
pol,2013,80.12
pol,2014,80.26
pol,2015,80.42
pol,2016,80.41
pol,2017,80.14
pol,2018,80.38
pol,2019,80.25
pol,2020,79.81
pri,2015,58.99
prt,1992,89.84
prt,1993,88.24
prt,1994,88.72
prt,1995,88.31
prt,1996,86.66
prt,1997,84.97
prt,1998,86.26
prt,1999,88.12
prt,2000,87.62
prt,2001,87.03
prt,2002,87.53
prt,2003,87.29
prt,2004,86.14
prt,2005,86.23
prt,2006,84.54
prt,2007,85.25
prt,2008,85.66
prt,2009,84.43
prt,2010,83.54
prt,2011,82.59
prt,2012,81.86
prt,2013,80.95
prt,2014,81.77
prt,2015,82.2
prt,2016,82.76
prt,2017,82.13
prt,2018,83.27
prt,2019,83.66
prt,2020,81.66
pry,1998,89.8
pry,1999,90.21
pry,2001,91.74
pry,2002,84.61
pry,2003,87.3
pry,2004,87.87
pry,2005,89.06
pry,2006,87.67
pry,2007,87.53
pry,2008,89.79
pry,2009,85.95
pry,2010,85.85
pry,2011,88.01
pry,2012,87.72
pry,2013,88.7
pry,2014,85.09
pry,2015,86.94
pry,2016,85.96
pry,2017,86.78
pse,2000,81.73
pse,2001,79.49
pse,2002,77.98
pse,2003,80.3
pse,2004,79.27
pse,2005,79.9
pse,2006,77.14
pse,2007,78.38
pse,2008,77.09
pse,2009,77.66
pse,2010,77.39
pse,2011,76.48
pse,2012,75.18
pse,2013,75.1
pse,2014,72.81
pse,2015,77.15
pse,2016,76.97
pse,2017,77.24
pse,2018,74.08
pse,2019,74.07
pse,2020,68.9
qat,2013,84.44
qat,2014,100
qat,2015,83.31
qat,2017,84.43
qat,2019,85.14
qat,2020,88.02
rou,1997,81.62
rou,1998,80.81
rou,1999,79.6
rou,2000,78.85
rou,2001,77.71
rou,2002,76.74
rou,2003,75.56
rou,2004,80.05
rou,2005,79.5
rou,2006,82.21
rou,2007,81.5
rou,2008,81.17
rou,2009,81.26
rou,2010,80.7
rou,2011,80.54
rou,2012,80.29
rou,2013,80.42
rou,2014,80.23
rou,2015,81.84
rou,2016,81.59
rou,2017,82.67
rou,2018,82.51
rou,2019,82.47
rou,2020,82.06
rus,2010,68.86
rus,2011,69.34
rus,2012,69.28
rus,2013,69.54
rus,2014,70.65
rus,2015,70.77
rus,2016,71.33
rus,2017,66.64
rus,2018,66.94
rus,2019,67.07
rus,2020,66.73
rwa,2014,93.17
rwa,2017,70.55
rwa,2018,72.19
rwa,2019,70.44
rwa,2020,77.27
sau,2014,80.13
sau,2016,79.65
sau,2017,76.01
sau,2018,77.16
sau,2019,74.81
sau,2020,75.43
sdn,2011,63.67
sen,2011,56.32
sen,2015,67.79
sen,2016,62.97
sen,2017,56.22
sen,2018,75.5
sen,2019,51.46
sgp,2009,87.95
sgp,2010,88.65
sgp,2014,88.9
slb,2013,94.66
sle,2014,69.98
sle,2018,73.47
slv,2010,88.49
slv,2011,86.66
slv,2012,86.05
slv,2013,88.69
slv,2014,87.39
slv,2015,84.2
slv,2016,84.35
slv,2017,82.34
slv,2018,85.49
slv,2019,82.69
slv,2020,80.3
smr,2016,60.86
smr,2019,90
som,2019,62.92
srb,2008,68.61
srb,2009,65.31
srb,2010,64.6
srb,2011,63.33
srb,2012,62.13
srb,2013,63.38
srb,2014,69.01
srb,2015,69.61
srb,2016,70.29
srb,2017,71.94
srb,2018,72.49
srb,2019,71.75
srb,2020,70.36
sur,2014,74.63
sur,2016,81.64
svk,1998,86.56
svk,1999,83.4
svk,2000,82.93
svk,2001,83.46
svk,2002,83.26
svk,2003,84.35
svk,2004,81.19
svk,2005,81.2
svk,2006,80.13
svk,2007,79.96
svk,2008,80.31
svk,2009,77.07
svk,2010,76.92
svk,2011,75.66
svk,2012,74.3
svk,2013,74.24
svk,2014,74.36
svk,2015,74.11
svk,2016,74.33
svk,2017,74.01
svk,2018,73.63
svk,2019,74.72
svk,2020,74.64
svn,1996,80.3
svn,1997,80.35
svn,1998,78.01
svn,1999,79.17
svn,2000,77.97
svn,2001,77.98
svn,2002,79.45
svn,2003,79.84
svn,2004,79.79
svn,2005,79.44
svn,2006,80.34
svn,2007,81.38
svn,2008,80.38
svn,2009,80.18
svn,2010,80.08
svn,2011,80.24
svn,2012,78.58
svn,2013,77.24
svn,2014,76.93
svn,2015,76.87
svn,2016,77.97
svn,2017,79.7
svn,2018,79.81
svn,2019,80.24
svn,2020,79.96
swe,1995,86.56
swe,1996,88.6
swe,1997,82.3
swe,1998,80.98
swe,1999,81.92
swe,2000,80.72
swe,2001,82.2
swe,2002,82.66
swe,2003,83.72
swe,2004,83.33
swe,2005,83.63
swe,2006,83.31
swe,2007,83.83
swe,2008,84.11
swe,2009,83.8
swe,2010,83.21
swe,2011,82.68
swe,2012,82.97
swe,2013,83.25
swe,2014,83.28
swe,2015,83.39
swe,2016,83.54
swe,2017,83.58
swe,2018,83.57
swe,2019,83.94
swe,2020,83.53
swz,2016,82.56
syc,2014,88.11
syc,2015,88.69
syc,2016,87.7
syc,2017,87.33
syc,2018,86.65
syc,2019,84.86
syc,2020,84.25
tcd,2018,67.77
tgo,2006,65.59
tgo,2011,64.48
tgo,2015,65.86
tgo,2017,78.29
tha,2010,87.76
tha,2011,87.66
tha,2012,87.75
tha,2013,85.69
tha,2014,85.69
tha,2015,85.17
tha,2016,84.23
tha,2017,83.91
tha,2018,83.81
tha,2019,82.8
tha,2020,81.57
tjk,2003,78.1
tjk,2007,76
tjk,2009,72.78
tjk,2016,65.77
tls,2010,58.85
tls,2013,62.39
tls,2016,70.83
ton,2018,67.93
tto,2010,71.95
tto,2011,70.51
tto,2012,71.73
tto,2013,72.5
tto,2014,73.07
tto,2015,71.43
tto,2016,71.39
tun,2005,63.49
tun,2006,64.6
tun,2007,64.75
tun,2008,65.47
tun,2009,67.28
tun,2010,67.43
tun,2011,69.8
tun,2012,63.57
tun,2013,63.49
tun,2015,67.23
tun,2016,66.09
tun,2017,66.58
tur,2004,78.89
tur,2005,77.88
tur,2006,75.92
tur,2007,76.23
tur,2008,76.51
tur,2009,76.82
tur,2010,77.72
tur,2011,78.37
tur,2012,78.09
tur,2013,79.18
tur,2014,79.04
tur,2015,79.59
tur,2016,79.54
tur,2017,80.01
tur,2018,79.28
tur,2019,79.16
tur,2020,74.88
tuv,2016,87.33
tza,2001,100
tza,2006,96.36
tza,2011,79.44
tza,2012,93.23
tza,2013,65.75
tza,2014,94.33
uga,2012,90.28
uga,2013,93.94
uga,2017,62.78
ukr,2014,73.13
ukr,2015,73.54
ukr,2016,72.51
ukr,2017,72.15
ukr,2018,72.93
ukr,2019,67.69
ukr,2020,66.55
ury,1998,75.25
ury,1999,75.06
ury,2000,75.04
ury,2001,79.88
ury,2002,78.8
ury,2003,78.8
ury,2004,78.46
ury,2005,79.39
ury,2006,80.85
ury,2007,82.48
ury,2008,82.48
ury,2009,81.72
ury,2010,81.67
ury,2011,83.99
ury,2012,83
ury,2013,82.77
ury,2014,83.93
ury,2015,82.8
ury,2016,83.16
ury,2017,83.26
ury,2018,83.05
ury,2019,82.15
usa,1994,81.13
usa,1995,80.86
usa,1996,80.53
usa,1997,80.49
usa,1998,80.25
usa,1999,79.75
usa,2000,79.31
usa,2001,78.87
usa,2002,78.49
usa,2003,78.09
usa,2004,77.87
usa,2005,77.9
usa,2006,77.78
usa,2007,77.73
usa,2008,77.73
usa,2009,77.33
usa,2010,76.51
usa,2011,76.01
usa,2012,75.59
usa,2013,74.97
usa,2014,74.35
usa,2015,73.84
usa,2016,73.56
usa,2017,73.25
usa,2018,73.17
usa,2019,73.13
usa,2020,71.64
usa,2021,71.38
uzb,2020,72.69
ven,2005,72.83
ven,2006,73.17
ven,2007,71.82
ven,2008,70.74
ven,2009,70.59
ven,2010,70.88
ven,2011,70.28
ven,2012,70.12
ven,2016,69.08
ven,2017,74.14
vnm,2010,86.67
vnm,2011,86.75
vnm,2012,87.12
vnm,2013,87.27
vnm,2014,87.78
vnm,2015,87.74
vnm,2016,87.53
vnm,2017,87.64
vnm,2018,87.65
vnm,2019,87.15
vnm,2020,87.42
vut,2006,83.63
vut,2010,80.56
vut,2019,79.21
wsm,2012,67.11
wsm,2017,73.82
yem,2010,89.69
yem,2014,85.36
zaf,2000,83.08
zaf,2001,85.09
zaf,2002,85.95
zaf,2003,85.9
zaf,2004,83.98
zaf,2005,82.43
zaf,2006,83.49
zaf,2007,84.31
zaf,2008,86.52
zaf,2009,85.84
zaf,2010,84.61
zaf,2011,84.22
zaf,2013,84.69
zaf,2014,84.15
zaf,2015,83.57
zaf,2016,83.07
zaf,2017,83.81
zaf,2018,82.88
zaf,2019,82.02
zaf,2020,78.07
zmb,2017,73.63
zmb,2018,76.85
zmb,2019,74.65
zwe,2011,91.45
zwe,2014,94.03
zwe,2019,39.97
