geo,time,sl_tlf_intm_ma_zs
pan,2017,84.65
pan,2018,84.41
pan,2019,83.76
pan,2020,81.77
pan,2021,80.15
per,2002,83.86
per,2003,84.57
per,2004,82.1
per,2005,80.18
per,2006,82.67
per,2007,84.45
per,2008,84.86
per,2009,85.24
per,2010,85.31
per,2011,84.7
per,2012,84.86
per,2013,84.12
per,2014,83.18
per,2015,82.64
per,2016,83.71
per,2017,83.3
per,2018,82.89
per,2019,83.65
per,2020,72.72
phl,2014,88.3
phl,2015,87.62
phl,2016,87.78
plw,2000,72.53
plw,2014,76.81
png,2010,49.33
pol,1997,79.44
pol,1998,77.41
pol,1999,76.97
pol,2000,75.96
pol,2001,75.19
pol,2002,74.07
pol,2003,72.86
pol,2004,72.27
pol,2005,72.09
pol,2006,70.84
pol,2007,70.14
pol,2008,70.82
pol,2009,71.08
pol,2010,71.14
pol,2011,71.14
pol,2012,70.73
pol,2013,70.41
pol,2014,70.24
pol,2015,69.69
pol,2016,69.68
pol,2017,69.49
pol,2018,68.74
pol,2019,68.28
pol,2020,68.1
pri,2015,46.52
prt,1992,73.48
prt,1993,71.84
prt,1994,69.61
prt,1995,67.31
prt,1996,65.7
prt,1997,68
prt,1998,67.2
prt,1999,71.46
prt,2000,70.04
prt,2001,69.93
prt,2002,71.59
prt,2003,68.29
prt,2004,68.42
prt,2005,69.46
prt,2006,70.76
prt,2007,69.82
prt,2008,70.98
prt,2009,72.29
prt,2010,73.26
prt,2011,74.88
prt,2012,74.76
prt,2013,74.32
prt,2014,76.36
prt,2015,75.88
prt,2016,76.33
prt,2017,76.77
prt,2018,77.32
prt,2019,77.09
prt,2020,74.17
pry,1998,91.19
pry,1999,87.24
pry,2001,84.36
pry,2002,87.6
pry,2003,87.97
pry,2004,87.61
pry,2005,86.22
pry,2006,85.32
pry,2007,85.82
pry,2008,90.39
pry,2009,89.46
pry,2010,87.64
pry,2011,87.64
pry,2012,88.53
pry,2013,86.86
pry,2014,88.67
pry,2015,87.09
pry,2016,88.97
pry,2017,88.84
pse,2000,68.75
pse,2001,63.37
pse,2002,60.76
pse,2003,62.57
pse,2004,60.66
pse,2005,60.63
pse,2006,59.88
pse,2007,61.56
pse,2008,59.59
pse,2009,59.66
pse,2010,58.83
pse,2011,60.35
pse,2012,61.22
pse,2013,62.12
pse,2014,62.17
pse,2015,65.06
pse,2016,65.72
pse,2017,64.66
pse,2018,64.71
pse,2019,65.68
pse,2020,61.02
qat,2013,94.87
qat,2014,100
qat,2015,93.93
qat,2019,92.95
qat,2020,91.78
rou,1997,81.55
rou,1998,78.73
rou,1999,79
rou,2000,78.04
rou,2001,76.63
rou,2002,73.89
rou,2003,73.08
rou,2004,73.08
rou,2005,71.06
rou,2006,71.38
rou,2007,69.93
rou,2008,69.59
rou,2009,69.66
rou,2010,72.07
rou,2011,71.13
rou,2012,71.89
rou,2013,71.27
rou,2014,71.79
rou,2015,71.85
rou,2016,70.56
rou,2017,71.55
rou,2018,72.12
rou,2019,71.17
rou,2020,70.42
rus,2010,84.53
rus,2011,84.52
rus,2012,84.59
rus,2013,84.42
rus,2014,84.43
rus,2015,84.05
rus,2016,83.78
rus,2017,79.44
rus,2018,79
rus,2019,77.91
rus,2020,77.32
rwa,2014,80.17
rwa,2017,53.64
rwa,2018,53.41
rwa,2019,53.72
rwa,2020,60.98
sau,2014,76.61
sau,2016,76.93
sau,2017,91.01
sau,2018,92.14
sau,2019,92.34
sau,2020,91.28
sdn,2011,56.56
sen,2011,47.88
sen,2015,42.19
sen,2016,38.91
sen,2017,34.45
sen,2018,55.5
sen,2019,42.81
sgp,2009,87.9
sgp,2010,86.91
sgp,2014,87.66
slb,2013,96.32
sle,2014,50.61
sle,2018,66.55
slv,2010,78.86
slv,2011,77.64
slv,2012,78.11
slv,2013,78.22
slv,2014,78.42
slv,2015,78.19
slv,2016,79.13
slv,2017,78.27
slv,2018,78.81
slv,2019,79.48
slv,2020,79.91
smr,2019,99.33
som,2019,58.16
srb,2008,66.38
srb,2009,64.19
srb,2010,63.01
srb,2011,62.31
srb,2012,64.23
srb,2013,64.32
srb,2014,67.36
srb,2015,66.54
srb,2016,67.55
srb,2017,67.61
srb,2018,68.53
srb,2019,68.02
srb,2020,67.38
sur,2014,79.89
sur,2016,85.16
svk,1998,81.19
svk,1999,80.69
svk,2000,80.61
svk,2001,80.76
svk,2002,79.44
svk,2003,79.51
svk,2004,79.75
svk,2005,78.86
svk,2006,78.12
svk,2007,77.67
svk,2008,77.18
svk,2009,76.82
svk,2010,75.91
svk,2011,75.77
svk,2012,76.15
svk,2013,74.98
svk,2014,74.81
svk,2015,73.77
svk,2016,74.11
svk,2017,73.37
svk,2018,72.64
svk,2019,71.81
svk,2020,71.01
svn,1996,74.73
svn,1997,73.65
svn,1998,74.05
svn,1999,72.45
svn,2000,71.49
svn,2001,70.83
svn,2002,70.77
svn,2003,68.76
svn,2004,71.07
svn,2005,71
svn,2006,70.36
svn,2007,70.28
svn,2008,69.79
svn,2009,68.84
svn,2010,67.86
svn,2011,66.59
svn,2012,66.12
svn,2013,65.78
svn,2014,66
svn,2015,65.31
svn,2016,63.76
svn,2017,65.13
svn,2018,65.88
svn,2019,65.18
svn,2020,63.95
swe,1995,83.2
swe,1996,85.48
swe,1997,79.21
swe,1998,79.36
swe,1999,79.69
swe,2000,78.76
swe,2001,81.43
swe,2002,81
swe,2003,81.13
swe,2004,81.46
swe,2005,81.75
swe,2006,81.95
swe,2007,82.07
swe,2008,82.05
swe,2009,80.72
swe,2010,80.47
swe,2011,80.63
swe,2012,80.46
swe,2013,80.3
swe,2014,80.21
swe,2015,79.73
swe,2016,78.75
swe,2017,79.47
swe,2018,79.12
swe,2019,79.17
swe,2020,79.85
swz,2016,61.47
syc,2014,74.07
syc,2015,76.3
syc,2016,70.67
syc,2017,70.55
syc,2018,69.76
syc,2019,65.96
syc,2020,64.32
tcd,2018,57.55
tgo,2006,80.66
tgo,2011,83.6
tgo,2015,76.9
tgo,2017,54.85
tha,2010,81.82
tha,2011,83.38
tha,2012,83.21
tha,2013,81.38
tha,2014,80.34
tha,2015,80.38
tha,2016,79.3
tha,2017,78.58
tha,2018,80.08
tha,2019,79.74
tha,2020,79.5
tjk,2003,74.26
tjk,2007,65.65
tjk,2009,60.2
tls,2010,60.78
tls,2013,50.25
tls,2016,72.52
ton,2018,58.36
tto,2010,82.44
tto,2011,82.34
tto,2012,82.86
tto,2013,83.11
tto,2014,82.16
tto,2015,82.91
tto,2016,82.1
tun,2005,64.21
tun,2006,63.56
tun,2007,62.58
tun,2008,62.69
tun,2009,63.39
tun,2010,64.87
tun,2011,65.1
tun,2012,70.06
tun,2013,70.61
tun,2015,68.41
tun,2016,69.46
tun,2017,69.39
tur,2000,70.77
tur,2001,71.55
tur,2002,69.7
tur,2003,68.98
tur,2004,71.64
tur,2005,72.32
tur,2006,71
tur,2007,70.71
tur,2008,71.51
tur,2009,73.29
tur,2010,73.07
tur,2011,74.16
tur,2012,73.64
tur,2013,74.63
tur,2014,75.43
tur,2015,75.88
tur,2016,76.23
tur,2017,76.19
tur,2018,76.62
tur,2019,75.87
tur,2020,71.98
tuv,2016,82.2
tza,2001,93.81
tza,2006,91.74
tza,2011,85.77
tza,2012,91.97
tza,2013,66.77
tza,2014,81.8
uga,2012,66.43
uga,2013,85.1
uga,2017,18.96
ukr,2014,67.67
ukr,2015,67.34
ukr,2016,67.17
ukr,2017,22.99
ukr,2018,75.15
ukr,2019,71.88
ukr,2020,70.58
ury,1998,89.07
ury,1999,87.62
ury,2000,87.25
ury,2001,86.51
ury,2002,85.82
ury,2003,84.45
ury,2004,84.72
ury,2005,83.9
ury,2006,81.99
ury,2007,82.85
ury,2008,84.27
ury,2009,84.35
ury,2010,83.37
ury,2011,89.85
ury,2012,88.44
ury,2013,87.03
ury,2014,88.17
ury,2015,87.31
ury,2016,84.92
ury,2017,85.12
ury,2018,83.94
ury,2019,82.66
usa,1994,75.02
usa,1995,74.82
usa,1996,74.77
usa,1997,74.63
usa,1998,74.07
usa,1999,73.7
usa,2000,73.58
usa,2001,72.75
usa,2002,72.21
usa,2003,71.55
usa,2004,71.04
usa,2005,71.01
usa,2006,70.97
usa,2007,70.4
usa,2008,70.03
usa,2009,68.72
usa,2010,67.73
usa,2011,66.76
usa,2012,66.2
usa,2013,65.63
usa,2014,64.99
usa,2015,64.7
usa,2016,64.89
usa,2017,64.85
usa,2018,64.63
usa,2019,64.61
usa,2020,62.64
usa,2021,62.76
uzb,2020,38.27
ven,2005,75.38
ven,2012,78.14
ven,2016,77.77
ven,2017,78.73
vnm,2010,77.31
vnm,2011,77.6
vnm,2012,79.37
vnm,2013,80.06
vnm,2014,80.22
vnm,2015,79.68
vnm,2016,80.04
vnm,2017,80.21
vnm,2018,80.25
vnm,2019,81.15
vnm,2020,77.68
vut,2006,73.67
vut,2010,67.7
vut,2019,60.55
wsm,2012,48.21
wsm,2017,61.78
yem,2010,76.65
yem,2014,71.15
zaf,2000,67.12
zaf,2001,68.8
zaf,2002,69.14
zaf,2003,68.69
zaf,2004,67.04
zaf,2005,67.67
zaf,2006,68.16
zaf,2007,67.69
zaf,2008,80.03
zaf,2009,77.85
zaf,2010,76.21
zaf,2011,75.6
zaf,2013,75.59
zaf,2014,75.18
zaf,2015,76.2
zaf,2016,76.54
zaf,2017,76.8
zaf,2018,75.71
zaf,2019,75.67
zaf,2020,69
zmb,2017,54.6
zmb,2018,52.9
zmb,2019,53.2
zwe,2011,70.93
zwe,2014,84.41
zwe,2019,58.76
