geo,time,er_gdp_fwtl_m3_kd
lka,1992,2.27703
lka,1997,2.59192
lka,2002,2.84709
lka,2007,3.89698
lka,2012,5.4635
lka,2017,6.7383
lso,1987,15.85882
lso,1992,23.5981
lso,1997,31.39977
lso,2002,34.61495
lso,2007,41.35475
lso,2012,50.45882
lso,2017,54.05556
ltu,1997,5.35439
ltu,2002,9.8667
ltu,2007,17.0986
ltu,2012,70.53991
ltu,2017,170.96767
lux,1972,327.23981
lux,1977,329.00187
lux,1982,290.53943
lux,1987,290.79842
lux,1992,437.09945
lux,1997,523.66151
lux,2002,721.53424
lux,2007,1017.2334
lux,2012,1148.16899
lux,2017,1348.10742
lva,1997,37.9179
lva,2002,73.37861
lva,2007,139.38982
lva,2012,102.04249
lva,2017,158.9869
mar,1977,2.32184
mar,1982,2.49275
mar,1987,3.05781
mar,1992,3.66354
mar,1997,3.98755
mar,2002,3.83484
mar,2007,5.96613
mar,2012,8.52949
mar,2017,10.08198
mco,1992,506.26641
mco,1997,586.37609
mco,2002,695.74248
mco,2007,937.56722
mco,2012,1016.09901
mco,2017,1252.08648
mda,1997,2.84978
mda,2002,5.16777
mda,2007,6.96196
mda,2012,7.98542
mda,2017,10.07862
mdg,1987,0.37134
mdg,1992,0.41485
mdg,1997,0.48603
mdg,2002,0.53247
mdg,2007,0.71009
mdg,2012,0.76606
mdg,2017,0.90274
mdv,1997,333.64863
mdv,2002,396.03734
mdv,2007,616.77832
mdv,2012,738.0617
mdv,2017,996.80306
mex,1982,9.82039
mex,1987,9.37455
mex,1992,10.67746
mex,1997,11.65
mex,2002,12.0684
mex,2007,12.79003
mex,2012,13.15526
mex,2017,13.9812
mkd,1997,4.40824
mkd,2002,10.34413
mkd,2007,14.90581
mkd,2012,14.36752
mkd,2017,10.02887
mli,1987,2.83047
mli,1992,1.67249
mli,1997,1.35774
mli,2002,1.45869
mli,2007,1.83568
mli,2012,2.17273
mli,2017,2.81675
mlt,1982,103.68278
mlt,1987,109.32706
mlt,1992,162.80058
mlt,1997,193.09095
mlt,2002,199.90055
mlt,2007,213.73285
mlt,2012,222.28501
mlt,2017,290.29251
mmr,1987,0.25715
mmr,1992,0.24801
mmr,1997,0.3197
mmr,2002,0.51429
mmr,2007,0.95625
mmr,2012,1.44823
mmr,2017,2.04154
mne,2007,21.07535
mne,2012,23.12597
mne,2017,27.16705
mng,1997,7.74721
mng,2002,8.23264
mng,2007,11.63204
mng,2012,19.43261
mng,2017,27.07896
moz,1992,4.28005
moz,1997,5.3111
moz,2002,6.72915
moz,2007,7.96475
moz,2012,9.57953
moz,2017,11.66366
mrt,1982,2.20952
mrt,1987,1.65007
mrt,1992,1.80351
mrt,1997,2.07557
mrt,2002,2.33096
mrt,2007,3.58724
mrt,2012,3.99691
mrt,2017,4.7938
mus,1977,5.85816
mus,1982,5.37342
mus,1987,6.2736
mus,1992,7.47837
mus,1997,9.09805
mus,2002,10.04508
mus,2007,13.65334
mus,2012,18.0923
mus,2017,20.66247
mwi,1997,2.77843
mwi,2002,2.37016
mwi,2007,3.08655
