geo,time,sl_tlf_cact_fe_zs
brb,2009,62.142
brb,2010,61.922
brb,2011,63.032
brb,2012,61.039
brb,2013,61.953
brb,2014,60.464
brb,2015,60.82
brb,2016,61.881
brb,2017,60.506
brb,2018,59.466
brb,2019,59.027
brb,2020,55.562
brb,2021,56.055
brn,1990,46.133
brn,1991,46.457
brn,1992,47.422
brn,1993,48.398
brn,1994,49.391
brn,1995,50.4
brn,1996,51.44
brn,1997,52.488
brn,1998,53.525
brn,1999,54.536
brn,2000,55.511
brn,2001,56.415
brn,2002,56.414
brn,2003,56.403
brn,2004,56.388
brn,2005,56.376
brn,2006,56.375
brn,2007,56.374
brn,2008,56.375
brn,2009,56.381
brn,2010,56.391
brn,2011,56.405
brn,2012,56.352
brn,2013,56.311
brn,2014,56.283
brn,2015,56.27
brn,2016,56.273
brn,2017,56.288
brn,2018,57.347
brn,2019,55.184
brn,2020,54.357
brn,2021,54.069
btn,1990,58.691
btn,1991,58.576
btn,1992,58.473
btn,1993,58.379
btn,1994,58.284
btn,1995,58.198
btn,1996,58.591
btn,1997,59.088
btn,1998,59.652
btn,1999,60.263
btn,2000,60.911
btn,2001,61.65
btn,2002,62.415
btn,2003,63.179
btn,2004,63.902
btn,2005,64.557
btn,2006,64.863
btn,2007,65.161
btn,2008,65.443
btn,2009,65.697
btn,2010,63.415
btn,2011,62.409
btn,2012,63.061
btn,2013,58.319
btn,2014,54.076
btn,2015,55.106
btn,2016,54.925
btn,2017,54.643
btn,2018,54.291
btn,2019,53.917
btn,2020,50.902
btn,2021,51.625
bwa,1990,46.189
bwa,1991,46.302
bwa,1992,46.412
bwa,1993,46.529
bwa,1994,46.666
bwa,1995,46.83
bwa,1996,46.965
bwa,1997,47.137
bwa,1998,47.336
bwa,1999,47.887
bwa,2000,48.462
bwa,2001,49.115
bwa,2002,49.772
bwa,2003,50.43
bwa,2004,51.086
bwa,2005,51.741
bwa,2006,52.394
bwa,2007,53.452
bwa,2008,54.508
bwa,2009,55.567
bwa,2010,52.685
bwa,2011,53.122
bwa,2012,53.565
bwa,2013,54.007
bwa,2014,54.442
bwa,2015,54.867
bwa,2016,55.272
bwa,2017,55.672
bwa,2018,56.068
bwa,2019,56.466
bwa,2020,56.423
bwa,2021,56.282
caf,1990,64.052
caf,1991,64.044
caf,1992,64.05
caf,1993,64.066
caf,1994,64.092
caf,1995,64.128
caf,1996,64.12
caf,1997,64.119
caf,1998,64.127
caf,1999,64.145
caf,2000,64.172
caf,2001,64.13
caf,2002,64.105
caf,2003,64.092
caf,2004,64.086
caf,2005,64.084
caf,2006,64.028
caf,2007,63.979
caf,2008,63.943
caf,2009,63.923
caf,2010,63.924
caf,2011,63.83
caf,2012,63.753
caf,2013,63.695
caf,2014,63.654
caf,2015,63.627
caf,2016,63.687
caf,2017,63.764
caf,2018,63.853
caf,2019,63.948
caf,2020,62.916
caf,2021,63.312
can,1990,58.492
can,1991,58.421
can,1992,57.835
can,1993,57.659
can,1994,57.516
can,1995,57.472
can,1996,57.459
can,1997,57.784
can,1998,58.384
can,1999,58.909
can,2000,59.397
can,2001,59.755
can,2002,60.91
can,2003,61.894
can,2004,61.99
can,2005,61.658
can,2006,61.88
can,2007,62.501
can,2008,62.546
can,2009,62.42
can,2010,62.402
can,2011,62.158
can,2012,62.121
can,2013,62.174
can,2014,61.551
can,2015,61.219
can,2016,61.28
can,2017,61.481
can,2018,61.298
can,2019,61.444
can,2020,59.515
can,2021,60.801
chanisl,1990,45.534
chanisl,1991,45.535
chanisl,1992,45.642
chanisl,1993,45.315
chanisl,1994,45.21
chanisl,1995,45.541
chanisl,1996,46.143
chanisl,1997,46.459
chanisl,1998,46.768
chanisl,1999,47.286
chanisl,2000,47.402
chanisl,2001,48.791
chanisl,2002,50.549
chanisl,2003,51.362
chanisl,2004,51.364
chanisl,2005,50.948
chanisl,2006,50.466
chanisl,2007,49.914
chanisl,2008,50.626
chanisl,2009,51.546
chanisl,2010,51.391
chanisl,2011,50.402
chanisl,2012,50.636
chanisl,2013,50.804
chanisl,2014,50.95
chanisl,2015,51.211
chanisl,2016,51.564
chanisl,2017,51.895
chanisl,2018,52.149
chanisl,2019,52.415
chanisl,2020,51.776
chanisl,2021,51.625
che,1990,56.981
che,1991,56.801
che,1992,57.126
che,1993,56.942
che,1994,56.228
che,1995,55.853
che,1996,57.029
che,1997,56.949
che,1998,58.175
che,1999,58.178
che,2000,57.637
che,2001,58.822
che,2002,59.298
che,2003,59.462
che,2004,59.105
che,2005,59.34
che,2006,59.75
che,2007,59.931
che,2008,61.291
che,2009,61.573
che,2010,59.986
che,2011,60.528
che,2012,60.828
che,2013,61.138
che,2014,61.898
che,2015,62.279
che,2016,62.833
che,2017,62.6
che,2018,62.898
che,2019,62.971
che,2020,62.504
che,2021,61.728
chl,1990,31.637
chl,1991,32.486
chl,1992,33.803
chl,1993,34.528
chl,1994,35.051
