geo,time,se_xpd_cprm_zs
ssd,2016,100
stp,2012,50.19947
stp,2013,88.3615
stp,2014,89.77319
svk,1999,97.05628
svk,2000,96.7712
svk,2001,96.17209
svk,2002,96.911
svk,2003,94.61226
svk,2004,95.73118
svk,2005,91.73796
svk,2006,95.71586
svk,2007,96.78192
svk,2008,96.7161
svk,2009,95.34823
svk,2010,88.08241
svk,2011,91.88282
svk,2012,95.88217
svk,2013,97.10573
svk,2014,97.01327
svk,2015,95.39519
svk,2016,95.63785
svk,2017,95.65292
svk,2018,95.19443
svn,2003,88.65533
svn,2004,89.40325
svn,2010,91.48257
svn,2011,92.35894
svn,2012,93.06276
svn,2013,90.83511
svn,2014,89.05095
svn,2015,92.31357
svn,2016,79.98181
svn,2017,93.72801
svn,2018,90.88007
swe,1998,100
swe,1999,100
swe,2000,100
swe,2001,100
swe,2002,92.28722
swe,2003,92.82201
swe,2004,92.7272
swe,2005,92.53374
swe,2006,92.82432
swe,2007,92.96335
swe,2008,93.537
swe,2009,93.06161
swe,2010,93.51509
swe,2011,93.54808
swe,2012,93.41437
swe,2013,94.06902
swe,2014,94.29446
swe,2015,94.45156
swe,2016,94.99207
swe,2017,95.92061
swe,2018,95.67688
swz,2014,98.38237
syc,2002,84.74178
syc,2003,85.26782
syc,2006,87.17767
syc,2011,99.73676
syc,2012,99.41817
syc,2013,93.11061
syc,2014,96.85685
syc,2016,92.46681
syr,1999,86.28808
syr,2000,87.14436
syr,2002,82.53278
syr,2015,91.63502
tca,1998,86.66666
tca,1999,65.10604
tca,2000,65.34755
tca,2001,61.36738
tca,2002,87.7758
tca,2005,85.87471
tca,2015,94.91295
tca,2018,100
tcd,2009,60.55704
tcd,2010,66.41247
tcd,2011,73.04786
tcd,2012,90.64444
tcd,2020,95.57135
tgo,1998,71.3815
tgo,1999,81.68003
tgo,2000,82.52137
tgo,2007,98.62672
tgo,2008,98.4601
tgo,2009,98.77539
tgo,2010,84.99861
tgo,2011,88.92652
tgo,2012,80.84456
tgo,2013,97.93184
tgo,2014,99.5867
tgo,2015,99.25062
tgo,2016,99.21453
tha,2008,97.31598
tha,2010,97.20229
tha,2011,96.27606
tha,2012,93.31365
tha,2013,97.09613
tha,2014,99.88334
tls,2007,62.8682
tls,2011,82.7382
tls,2012,96.10477
tls,2013,97.17988
tls,2014,96.97573
tun,1999,98.64177
tun,2000,98.28493
tun,2002,98.72204
tun,2012,96.20701
tur,2010,96.10637
tur,2018,88.90242
tuv,2017,80.51123
uga,2004,74.24144
uga,2009,98.78659
uga,2010,99.22417
uga,2011,96.35135
uga,2012,97.28083
uga,2013,95.02004
uga,2014,93.39759
ukr,2011,96.32779
ukr,2012,96.89012
ukr,2013,97.44318
ukr,2014,97.77136
ukr,2016,90.71684
ukr,2017,90.79078
ukr,2018,92.40423
ukr,2019,92.42283
ury,1999,92.92085
ury,2000,95.57223
ury,2002,93.95259
ury,2003,93.9529
ury,2004,86.2936
ury,2005,95.75929
ury,2006,95.41553
ury,2011,95.50056
ury,2015,95.60351
ury,2016,95.51177
ury,2017,96.96183
ury,2018,96.38669
ury,2019,96.57085
usa,2015,91.93204
usa,2016,91.43026
usa,2017,90.9884
usa,2018,90.49283
uzb,2018,100
uzb,2020,100
vct,2000,71.14994
vct,2002,93.82586
vct,2004,84.27286
vct,2005,82.55916
vct,2007,100
vct,2009,100
vct,2010,100
vct,2011,100
vct,2016,99.67739
vct,2017,98.57818
vct,2018,100
ven,2006,99.53809
ven,2007,99.36869
ven,2009,97.43429
ven,2015,98.63426
ven,2016,99.22782
ven,2017,95.39456
vgb,2001,74.77848
vgb,2004,87.87427
vgb,2005,100
vgb,2007,87.43973
vgb,2009,94.72836
vgb,2010,100
vnm,2009,80.08655
vnm,2010,77.87389
vnm,2011,81.16573
vnm,2012,83.69303
vnm,2013,82.32023
vut,1998,100
vut,1999,92.33123
vut,2000,90.72453
vut,2001,92.08689
vut,2008,98.48224
vut,2009,97.94456
vut,2017,100
vut,2019,99.99428
vut,2020,99.98435
yem,2013,89.74143
zaf,2001,96.30666
zaf,2003,99.96543
zaf,2004,95.2478
zaf,2005,95.59209
zaf,2006,95.80903
zaf,2007,95.66271
zaf,2008,96.00037
zaf,2009,94.73353
zaf,2010,94.42212
zaf,2011,95.03106
zaf,2012,92.86324
zaf,2013,94.05866
zaf,2014,96.01944
zaf,2015,95.73712
zaf,2017,94.71408
zaf,2018,94.96443
zaf,2019,96.08824
zaf,2020,96.15559
zmb,2000,96.43753
zmb,2004,98.65463
zmb,2015,96.12991
zmb,2016,99.48398
zmb,2017,98.64072
zwe,2012,99.66895
zwe,2013,99.37896
zwe,2014,99.77793
