geo,time,sl_uem_advn_fe_zs
nzl,2015,2.8
nzl,2016,2.77
nzl,2017,2.49
nzl,2018,2.3
nzl,2019,2.39
nzl,2020,3.08
omn,1996,2.96
omn,2008,4.13
omn,2016,16.86
pak,2002,20.68
pak,2004,20.22
pak,2006,2.73
pak,2007,1.69
pak,2008,3.52
pak,2009,1.96
pak,2010,4.31
pak,2011,3.72
pak,2013,17.43
pak,2014,16.59
pak,2015,40.19
pak,2018,13.35
pak,2019,28.37
pan,1997,4.1
pan,2003,16.91
pan,2004,16.27
pan,2005,14.59
pan,2006,11.05
pan,2007,7.9
pan,2008,6.79
pan,2010,5.24
pan,2011,2.86
pan,2012,2.71
pan,2013,2.38
pan,2014,3.56
pan,2015,2.47
pan,2016,4.46
pan,2017,3.56
pan,2018,4.31
pan,2019,5.67
pan,2020,15.09
pan,2021,8.52
per,1997,8.67
per,1998,9.58
per,1999,11.14
per,2000,8.63
per,2001,9.56
per,2002,6.81
per,2003,5.89
per,2004,8.51
per,2005,8.12
per,2006,6.65
per,2007,6
per,2008,6.22
per,2009,4.3
per,2010,5.73
per,2011,4.79
per,2012,3.59
per,2013,4.59
per,2014,4.18
per,2015,4.46
per,2016,4.43
per,2017,4.89
per,2018,5.81
per,2019,4.29
per,2020,9.31
phl,2004,14.47
phl,2006,10
phl,2007,9.05
phl,2008,9.5
phl,2009,9.83
phl,2010,9.32
phl,2011,8.9
phl,2012,8.08
phl,2014,8.15
phl,2015,7.28
phl,2016,6.51
plw,2000,2.38
png,2010,1.74
pol,1994,5.96
pol,1995,4.92
pol,1996,5.15
pol,1998,2.49
pol,1999,3.5
pol,2000,5.9
pol,2001,6.89
pol,2002,7.44
pol,2003,7.69
pol,2004,8.12
pol,2005,7.99
pol,2006,6.4
pol,2007,5.25
pol,2008,4.23
pol,2009,4.72
pol,2010,5.33
pol,2011,5.83
pol,2012,6.22
pol,2013,6.36
pol,2014,5.3
pol,2015,4.33
pol,2016,3.56
pol,2017,2.64
pol,2018,1.97
pol,2019,2.16
pol,2020,2.07
prt,1998,3.17
prt,1999,3.14
prt,2000,2.94
prt,2001,3.16
prt,2002,5.3
prt,2003,6.23
prt,2004,4.47
prt,2005,6.72
prt,2006,7.24
prt,2007,8.71
prt,2008,8.06
prt,2009,6.47
prt,2010,7.64
prt,2011,8.63
prt,2012,11.96
prt,2013,13.89
prt,2014,11.17
prt,2015,9.63
prt,2016,8.59
prt,2017,6.47
prt,2018,5.53
prt,2019,5.62
prt,2020,5.34
pry,1998,1.41
pry,1999,4.1
pry,2001,5.92
pry,2002,5.78
pry,2003,6.57
pry,2004,5.99
pry,2005,5.71
pry,2006,3.94
pry,2007,2.41
pry,2008,3.99
pry,2009,3.83
pry,2010,2.77
pry,2011,2.5
pry,2012,3.66
pry,2013,3.32
pry,2014,3.94
pry,2015,3.29
pry,2016,4.48
pry,2017,3.02
pse,2000,16.33
pse,2001,20.65
pse,2002,19.36
pse,2003,25.34
pse,2004,25.27
pse,2005,28.1
pse,2006,24.67
pse,2007,28.68
pse,2008,31.36
pse,2009,30.34
pse,2010,31.15
pse,2011,32.4
pse,2012,36.66
pse,2013,39.05
pse,2014,38.68
pse,2015,45.34
pse,2016,47.82
pse,2017,52.32
pse,2018,49.63
pse,2019,46.94
pse,2020,45.76
qat,2013,1.87
qat,2014,1.06
qat,2015,1.54
qat,2016,1.23
qat,2017,1.1
qat,2019,0.74
qat,2020,0.86
rou,1995,1.37
rou,1996,1.9
rou,1998,3.59
rou,1999,3.02
rou,2000,3.11
rou,2001,4.21
rou,2002,4.31
rou,2003,2.86
rou,2004,2.96
rou,2005,4.25
rou,2006,4.27
rou,2007,3.11
rou,2008,2.87
rou,2009,4.35
rou,2010,4.86
rou,2011,5.11
rou,2012,5.4
rou,2013,5.65
rou,2014,5.89
rou,2015,4.35
rou,2016,3.16
rou,2017,2.06
rou,2018,2.02
rou,2019,1.55
rou,2020,2.4
rus,1998,10.07
rus,2002,12.3
rus,2003,12.72
rus,2004,5.11
rus,2006,4.49
rus,2007,3.77
rus,2008,4.05
rus,2009,5.28
rus,2010,6.78
rus,2011,6
rus,2012,5.11
rus,2013,5.18
rus,2014,4.73
rus,2015,5.2
rus,2016,5.4
rus,2017,4.91
rus,2018,4.81
rus,2019,4.32
rus,2020,5.54
rwa,2014,12.96
rwa,2017,23.91
rwa,2018,21.96
rwa,2019,19.23
rwa,2020,21.27
sau,2009,31.06
sau,2014,31.13
sau,2016,34.91
sau,2017,30.84
sau,2018,29.45
sau,2019,28.95
sau,2020,30.25
sdn,2011,48.91
sen,2015,20.5
sen,2016,25.49
sen,2017,28.38
sen,2018,15.73
sen,2019,20.43
sgp,1994,4.01
sgp,1995,3.15
sgp,1996,4.38
sgp,1997,0.96
sgp,1998,1.2
sgp,2001,1.09
sgp,2002,2.2
sgp,2003,2.41
sgp,2006,4.28
sgp,2007,4.32
sgp,2008,4.66
sgp,2009,4.07
sgp,2010,3.22
sgp,2011,2.99
sgp,2012,3.09
sgp,2013,2.87
sgp,2015,4.05
sgp,2017,4.6
sgp,2020,5.23
sle,2014,11.87
slv,1996,2.95
slv,2010,5.48
slv,2011,4.24
slv,2012,6.64
slv,2013,4.81
slv,2014,3.66
slv,2015,5.01
slv,2016,8.86
slv,2017,5.64
slv,2018,5.29
slv,2019,7.68
slv,2020,7.55
smr,2009,10.3
smr,2010,11.88
smr,2016,10.97
som,2019,27.85
srb,2008,9.72
srb,2009,10.68
srb,2010,12.86
srb,2011,15.96
srb,2012,17.88
srb,2013,18.78
srb,2014,16.81
srb,2015,16.39
srb,2016,14.78
srb,2017,13.26
srb,2018,12.26
srb,2019,8.94
srb,2020,8.31
sur,2016,3.98
svk,1994,1.09
svk,1995,0.87
svk,1997,0.91
svk,1998,4.19
svk,1999,4.34
svk,2000,4.32
svk,2001,4.37
svk,2002,4.45
svk,2003,5.08
svk,2004,6.03
svk,2005,5.69
svk,2006,4.32
svk,2007,5.18
svk,2008,4.27
svk,2009,4.64
svk,2010,5.51
svk,2011,6.58
svk,2012,7.62
svk,2013,8.19
svk,2014,7.66
svk,2015,6.92
svk,2016,6.33
svk,2017,4.9
svk,2018,3.57
svk,2019,2.74
svk,2020,3.63
svn,1998,2.2
svn,1999,2.93
svn,2000,2.89
svn,2001,2.23
svn,2002,2.89
svn,2003,3.68
svn,2004,3.21
svn,2005,3.15
svn,2006,3.84
svn,2007,3.84
svn,2008,3.63
svn,2009,3.33
svn,2010,4.44
svn,2011,4.94
svn,2012,7.07
svn,2013,7.01
svn,2014,7.61
svn,2015,6.65
svn,2016,6.5
svn,2017,5.98
svn,2018,4.35
svn,2019,3.6
svn,2020,3.31
swe,1998,3.79
swe,1999,2.99
swe,2000,2.31
swe,2001,2.14
swe,2002,2.11
swe,2003,2.5
swe,2004,3.33
swe,2005,4.03
swe,2006,4.22
swe,2007,3.35
swe,2008,3.32
swe,2009,4.1
swe,2010,4.41
swe,2011,3.9
swe,2012,3.92
swe,2013,4.15
swe,2014,4
swe,2015,3.83
swe,2016,3.51
swe,2017,3.56
swe,2018,3.18
swe,2019,3.39
swe,2020,4.42
swz,2016,12.83
syc,2014,3.09
syc,2015,4.44
syc,2016,3.59
syc,2017,3.52
syc,2018,2.68
syc,2019,1.96
syc,2020,4.31
tcd,2018,14.2
tgo,2006,15.53
tgo,2011,10.7
tgo,2015,12.06
tgo,2017,18.51
tha,2010,1.94
tha,2011,1.86
tha,2012,1.4
tha,2013,0.72
tha,2014,1.33
tha,2015,1.48
tha,2016,1.64
tha,2017,1.73
tha,2018,1.7
tha,2019,1.61
tha,2020,2.22
tjk,2003,4
tjk,2007,1.89
tjk,2009,6.13
tls,2010,4.33
tls,2013,3.49
tls,2016,9.22
ton,2018,3.78
tto,2010,1.95
tto,2011,1.69
tto,2012,2.17
tto,2013,2.41
tto,2014,1.82
tto,2015,2.12
tto,2016,2.34
tun,1994,5.02
tun,1997,9.98
tun,2005,20.97
tun,2006,25.49
tun,2007,26.36
tun,2008,28.92
tun,2009,30.83
tun,2010,32.37
tun,2011,41.82
tun,2012,39.1
tun,2013,42
tun,2015,37.36
tun,2016,38.37
tun,2017,39.1
tur,2004,16.98
tur,2005,14.09
tur,2006,10.8
tur,2007,11.92
tur,2008,12.58
tur,2009,14.4
tur,2010,14.13
tur,2011,13.67
tur,2012,13.04
tur,2013,13.4
tur,2014,15.16
tur,2015,15.98
tur,2016,16.62
tur,2017,17.91
tur,2018,16.8
tur,2019,18.26
tur,2020,16.47
tza,2006,14.35
tza,2011,4.05
tza,2013,7.91
tza,2014,8.46
uga,2012,14.63
uga,2017,25.33
ukr,2011,6.52
ukr,2012,6.12
ukr,2013,6.4
ukr,2014,6.72
ukr,2015,7.66
ukr,2016,7.04
ukr,2017,6.76
ukr,2018,6.81
ukr,2019,6.95
ukr,2020,7.76
ury,1998,7.24
ury,1999,7.85
ury,2000,9.86
ury,2001,4.85
ury,2002,5.29
ury,2003,5.56
ury,2004,4.14
ury,2005,3.43
ury,2006,3.53
ury,2007,3.17
ury,2008,4.08
ury,2009,2.35
ury,2010,1.84
ury,2011,2
ury,2012,2.22
ury,2013,2.02
ury,2014,1.89
ury,2015,2.48
ury,2016,2.59
ury,2017,2.4
ury,2018,3.06
ury,2019,3.04
usa,1994,3.17
usa,1995,3.04
usa,1996,2.86
usa,1997,2.46
usa,1998,2.28
usa,1999,2.15
usa,2000,2.09
usa,2001,2.59
usa,2002,3.17
usa,2003,3.25
usa,2004,3.06
usa,2005,2.79
usa,2006,2.52
usa,2007,2.5
usa,2008,3.1
usa,2009,5.03
usa,2010,5.26
usa,2011,5.17
usa,2012,4.99
usa,2013,4.45
usa,2014,3.82
usa,2015,3.15
usa,2016,2.96
usa,2017,2.79
usa,2018,2.48
usa,2019,2.41
usa,2020,5.96
usa,2021,3.58
uzb,2020,1.69
ven,2005,11.61
ven,2006,9.83
ven,2007,8.87
ven,2008,7.51
ven,2009,7.24
ven,2010,8.75
ven,2011,9.49
ven,2012,8.99
ven,2016,6.05
ven,2017,6.1
vnm,2010,2.65
vnm,2011,2.9
vnm,2012,3.1
vnm,2013,4.17
vnm,2014,4.41
vnm,2015,5.06
vnm,2016,5.06
vnm,2017,4.45
vnm,2018,2.31
vnm,2019,2.84
vnm,2020,5.91
wsm,2012,3.81
wsm,2017,8.07
yem,2010,33.23
yem,2014,31.92
zaf,2000,6.65
zaf,2001,8.21
zaf,2002,8.81
zaf,2003,6.53
zaf,2004,4.75
zaf,2005,3.42
zaf,2006,2.8
zaf,2007,4.73
zaf,2008,6.82
zaf,2009,6.83
zaf,2010,7.61
zaf,2011,6.87
zaf,2013,8.5
zaf,2014,9.61
zaf,2015,9.58
zaf,2016,11.22
zaf,2017,14.59
zaf,2018,13.17
zaf,2019,15.03
zaf,2020,15.9
zmb,2017,11.46
zmb,2018,12.01
zmb,2019,13.02
zwe,2011,9.42
zwe,2014,15.77
zwe,2019,15.54
