geo,time,sm_pop_netm
moz,2012,-25000
moz,2017,-25000
mrt,1962,-1820
mrt,1967,-2760
mrt,1972,-5950
mrt,1977,-9700
mrt,1982,-16100
mrt,1987,-39998
mrt,1992,-44622
mrt,1997,-44003
mrt,2002,-10004
mrt,2007,10001
mrt,2012,25002
mrt,2017,25002
mus,1962,-30869
mus,1967,-29156
mus,1972,-20463
mus,1977,-20617
mus,1982,-21632
mus,1987,-35977
mus,1992,-5611
mus,1997,-8858
mus,2002,-19372
mus,2007,-12079
mus,2012,-12079
mus,2017,0
mwi,1962,0
mwi,1967,0
mwi,1972,-15002
mwi,1977,13999
mwi,1982,0
mwi,1987,877076
mwi,1992,-861893
mwi,1997,-59163
mwi,2002,-59163
mwi,2007,-59163
mwi,2012,-80263
mwi,2017,-80263
mys,1962,-58601
mys,1967,-139279
mys,1972,-135303
mys,1977,-5443
mys,1982,-77285
mys,1987,425455
mys,1992,292354
mys,1997,516689
mys,2002,671473
mys,2007,761878
mys,2012,249999
mys,2017,249999
nam,1962,0
nam,1967,-1078
nam,1972,-2696
nam,1977,-44298
nam,1982,-29069
nam,1987,38106
nam,1992,-17280
nam,1997,-21174
nam,2002,-941
nam,2007,8713
nam,2012,-37034
nam,2017,-24030
ncl,1962,3347
ncl,1967,1406
ncl,1972,8190
ncl,1977,30
ncl,1982,-3292
ncl,1987,-488
ncl,1992,6328
ncl,1997,7075
ncl,2002,4000
ncl,2007,1705
ncl,2012,3003
ncl,2017,2510
ner,1962,-11545
ner,1967,-11545
ner,1972,-13763
ner,1977,-18138
ner,1982,-92946
ner,1987,-77917
ner,1992,-2679
ner,1997,-9944
ner,2002,-9497
ner,2007,-20001
ner,2012,18911
ner,2017,20001
nga,1962,1021
nga,1967,-43347
nga,1972,-38526
nga,1977,820713
nga,1982,-677063
nga,1987,-91407
nga,1992,-95769
nga,1997,-95027
nga,2002,-170000
nga,2007,-300000
nga,2012,-300000
nga,2017,-300000
nic,1962,-14020
nic,1967,-19010
nic,1972,-37980
nic,1977,-58030
nic,1982,-110020
nic,1987,-150030
nic,1992,-120040
nic,1997,-145020
nic,2002,-174010
nic,2007,-155010
nic,2012,-135020
nic,2017,-106360
nld,1962,11589
nld,1967,54636
nld,1972,186745
nld,1977,145804
nld,1982,71525
nld,1987,139748
nld,1992,186409
nld,1997,178553
nld,2002,146020
nld,2007,65713
nld,2012,62687
nld,2017,80000
nld_curacao,1962,-7752
nld_curacao,1967,-4526
nld_curacao,1972,-5000
nld_curacao,1977,-13251
nld_curacao,1982,-8464
nld_curacao,1987,-14547
nld_curacao,1992,-11517
nld_curacao,1997,-17077
nld_curacao,2002,-6070
nld_curacao,2007,15363
nld_curacao,2012,6817
nld_curacao,2017,2573
nor,1962,-2274
nor,1967,4178
nor,1972,15870
nor,1977,20728
nor,1982,24805
nor,1987,38715
nor,1992,46903
nor,1997,58773
nor,2002,67400
nor,2007,163433
nor,2012,221814
nor,2017,140000
npl,1962,-70000
npl,1967,-21075
npl,1972,-5799
npl,1977,-41002
npl,1982,-101147
npl,1987,-216407
npl,1992,76064
npl,1997,-464703
npl,2002,-772525
npl,2007,-971580
npl,2012,-2040239
npl,2017,208549
nzl,1962,54391
nzl,1967,-2624
nzl,1972,76678
nzl,1977,-74794
nzl,1982,-2908
nzl,1987,-9418
nzl,1992,118016
nzl,1997,42584
nzl,2002,134629
nzl,2007,62413
nzl,2012,90895
nzl,2017,74403
omn,1962,-10000
omn,1967,-5000
omn,1972,25470
omn,1977,76409
omn,1982,81500
omn,1987,11169
omn,1992,104700
omn,1997,-193372
omn,2002,15000
omn,2007,267000
omn,2012,885782
omn,2017,437000
pak,1962,-93268
pak,1967,-209978
pak,1972,-138106
pak,1977,672203
pak,1982,1387118
pak,1987,139790
pak,1992,-1023387
pak,1997,470909
pak,2002,-650182
pak,2007,-339805
pak,2012,-1079167
pak,2017,-1166895
pan,1962,-11928
pan,1967,-12692
pan,1972,-12288
pan,1977,-14077
pan,1982,-12704
pan,1987,-9395
pan,1992,1954
pan,1997,9797
pan,2002,16119
pan,2007,22244
pan,2012,28105
pan,2017,56000
per,1962,-29300
per,1967,-48900
per,1972,-82600
per,1977,-94100
per,1982,-175500
per,1987,-280600
per,1992,-354600
per,1997,-255800
per,2002,-909782
per,2007,-1202758
per,2012,-624809
per,2017,495345
phl,1962,-218063
phl,1967,-470430
phl,1972,-375090
phl,1977,-476561
phl,1982,-292444
phl,1987,-314676
phl,1992,-698877
phl,1997,-949346
phl,2002,-1244356
phl,2007,-1548077
phl,2012,-834619
phl,2017,-335758
png,1962,5860
png,1967,9476
png,1972,-6419
png,1977,-8646
png,1982,10704
png,1987,4723
png,1992,-21116
png,1997,-26081
png,2002,-84417
png,2007,38578
png,2012,-3999
png,2017,-3999
pol,1962,-62544
pol,1967,-143114
pol,1972,-170903
pol,1977,-106595
pol,1982,-119193
pol,1987,-304973
pol,1992,-159999
pol,1997,-85199
pol,2002,-183471
pol,2007,-178456
pol,2012,-320806
pol,2017,-146976
pri,1962,-91587
pri,1967,-134255
pri,1972,-41031
pri,1977,-19579
pri,1982,-48420
pri,1987,-55192
pri,1992,-296
pri,1997,-30450
pri,2002,-145704
pri,2007,-138043
pri,2012,-242701
pri,2017,-489932
prk,1962,0
prk,1967,0
prk,1972,0
prk,1977,0
prk,1982,0
prk,1987,0
prk,1992,0
prk,1997,-13932
prk,2002,-17190
prk,2007,-24681
prk,2012,-27013
prk,2017,-27013
prt,1962,-545329
prt,1967,-697165
prt,1972,108187
prt,1977,198629
prt,1982,-66894
prt,1987,-147873
prt,1992,149122
prt,1997,173604
prt,2002,178353
prt,2007,92133
prt,2012,-140000
prt,2017,-30001
pry,1962,-70930
pry,1967,-66170
pry,1972,-59110
pry,1977,-46560
pry,1982,-21310
pry,1987,-17340
pry,1992,-31180
pry,1997,-44090
pry,2002,-47150
pry,2007,-117900
pry,2012,-87130
pry,2017,-82780
pse,1962,-77646
pse,1967,-281841
pse,1972,-32255
pse,1977,-83697
pse,1982,-61453
pse,1987,-39345
pse,1992,35005
pse,1997,69998
pse,2002,-190001
pse,2007,-103670
pse,2012,-157065
pse,2017,-52816
pyf,1962,3190
pyf,1967,3344
pyf,1972,5001
pyf,1977,4674
pyf,1982,3650
pyf,1987,-359
pyf,1992,-3424
pyf,1997,3483
pyf,2002,77
pyf,2007,-9019
pyf,2012,-8016
pyf,2017,-5000
qat,1962,16393
qat,1967,21061
qat,1972,34368
qat,1977,28387
qat,1982,102097
qat,1987,57517
qat,1992,-10132
qat,1997,29506
qat,2002,213916
qat,2007,914602
qat,2012,604852
qat,2017,200000
rou,1962,-2001
rou,1967,-2001
rou,1972,-2001
rou,1977,-99999
rou,1982,-200000
rou,1987,-200000
rou,1992,-520001
rou,1997,-580778
rou,2002,-468204
rou,2007,-774651
rou,2012,-300001
rou,2017,-369997
rus,1962,-1387844
rus,1967,-549722
rus,1972,-296861
rus,1977,614394
rus,1982,1100559
rus,1987,890253
rus,1992,2490121
rus,1997,2374657
rus,2002,1778101
rus,2007,2326672
rus,2012,1800600
rus,2017,912279
rwa,1962,-140001
rwa,1967,20000
rwa,1972,-20000
rwa,1977,-20000
rwa,1982,-50002
rwa,1987,29999
rwa,1992,-1374270
rwa,1997,1244966
rwa,2002,-72601
rwa,2007,-79767
rwa,2012,-108094
rwa,2017,-44998
sau,1962,125989
sau,1967,187007
sau,1972,483318
sau,1977,788719
sau,1982,1383529
sau,1987,716825
sau,1992,-110000
sau,1997,-350000
sau,2002,747996
sau,2007,1073093
sau,2012,1722804
sau,2017,674895
sdn,1962,0
sdn,1967,0
sdn,1972,20002
sdn,1977,180000
sdn,1982,219998
sdn,1987,150000
sdn,1992,645810
sdn,1997,-602679
sdn,2002,-546005
sdn,2007,-982687
sdn,2012,-538145
sdn,2017,-250001
sen,1962,50002
sen,1967,86522
sen,1972,65586
sen,1977,-134783
sen,1982,-85108
sen,1987,-60291
sen,1992,-77004
sen,1997,-227553
sen,2002,-202487
sen,2007,-218014
sen,2012,-214002
sen,2017,-100001
sgp,1962,428
sgp,1967,-365
sgp,1972,5881
sgp,1977,14273
sgp,1982,137812
sgp,1987,119802
sgp,1992,297845
sgp,1997,321578
sgp,2002,92772
sgp,2007,721338
sgp,2012,317028
sgp,2017,135142
slb,1962,2359
slb,1967,1461
slb,1972,431
slb,1977,-2416
slb,1982,-3420
slb,1987,-8504
slb,1992,-6682
slb,1997,-5285
slb,2002,-8445
slb,2007,-14256
slb,2012,-7998
slb,2017,-7998
sle,1962,0
sle,1967,0
sle,1972,0
sle,1977,0
sle,1982,0
sle,1987,62745
sle,1992,-450000
sle,1997,-150000
sle,2002,500000
sle,2007,60000
sle,2012,-21000
sle,2017,-21000
slv,1962,-24031
slv,1967,-44306
slv,1972,-90977
slv,1977,-164230
slv,1982,-231749
slv,1987,-256685
slv,1992,-265152
slv,1997,-326853
slv,2002,-312786
slv,2007,-285671
slv,2012,-240415
slv,2017,-202694
som,1962,-1328
som,1967,1910
som,1972,0
som,1977,1796103
som,1982,-454532
som,1987,-410787
som,1992,-822004
som,1997,0
som,2002,0
som,2007,-199997
som,2012,-233405
som,2017,-200002
srb,1962,-88140
srb,1967,-89744
srb,1972,-20651
srb,1977,7680
srb,1982,-10360
srb,1987,-27488
srb,1992,178348
srb,1997,-495902
srb,2002,-276331
srb,2007,-119556
srb,2012,29559
srb,2017,20000
ssd,1962,0
ssd,1967,0
ssd,1972,25000
ssd,1977,60000
ssd,1982,150000
ssd,1987,-416233
ssd,1992,-1097076
ssd,1997,300000
ssd,2002,432000
ssd,2007,846611
ssd,2012,-100000
ssd,2017,-870998
stp,1962,-9152
stp,1967,-744
stp,1972,-2509
stp,1977,-1221
stp,1982,-5999
stp,1987,-2190
stp,1992,-5599
stp,1997,-9551
stp,2002,-8400
stp,2007,-3391
stp,2012,-8400
stp,2017,-8401
sur,1962,-11050
sur,1967,-13862
sur,1972,-56820
sur,1977,-40352
sur,1982,-31771
sur,1987,-4845
sur,1992,-5195
sur,1997,-10189
sur,2002,-9124
sur,2007,-6485
sur,2012,-5000
sur,2017,-4999
svk,1962,-26427
svk,1967,-57838
svk,1972,-15254
svk,1977,-9696
svk,1982,-34777
svk,1987,-35312
svk,1992,-15108
svk,1997,-2964
svk,2002,1199
svk,2007,-8855
svk,2012,11346
svk,2017,7423
svn,1962,-22059
svn,1967,-14950
svn,1972,17942
svn,1977,34686
svn,1982,68363
svn,1987,32609
svn,1992,-17461
svn,1997,1487
svn,2002,14998
svn,2007,39348
svn,2012,16571
svn,2017,9999
swe,1962,80351
swe,1967,130980
swe,1972,18798
swe,1977,88567
swe,1982,29799
swe,1987,134569
swe,1992,156460
swe,1997,58470
swe,2002,141723
swe,2007,262453
swe,2012,253958
swe,2017,200000
swz,1962,-12011
swz,1967,-3966
swz,1972,-11426
swz,1977,-10100
swz,1982,-9310
swz,1987,-2218
swz,1992,-23252
swz,1997,-25847
swz,2002,-47814
swz,2007,-38219
swz,2012,-41764
swz,2017,-41764
syc,1962,-984
syc,1967,-1110
syc,1972,168
syc,1977,-299
syc,1982,-3186
syc,1987,-5196
syc,1992,503
syc,1997,-255
syc,2002,2634
syc,2007,-2725
syc,2012,-1000
syc,2017,-1000
syr,1962,-16000
syr,1967,-16000
syr,1972,-81501
syr,1977,-161672
syr,1982,-87001
syr,1987,-146501
syr,1992,-70000
syr,1997,-130000
syr,2002,-379910
syr,2007,370000
syr,2012,-5386986
syr,2017,-2136954
tcd,1962,-5000
tcd,1967,-40950
tcd,1972,-49050
tcd,1977,-175500
tcd,1982,-131245
tcd,1987,1418
tcd,1992,-10374
tcd,1997,69444
tcd,2002,218966
tcd,2007,75000
tcd,2012,100000
tcd,2017,10000
tgo,1962,-77885
tgo,1967,138923
tgo,1972,-49999
tgo,1977,-100000
tgo,1982,50001
tgo,1987,-20000
tgo,1992,-116499
tgo,1997,80000
tgo,2002,-33000
tgo,2007,-10598
tgo,2012,-9994
tgo,2017,-9999
tha,1962,0
tha,1967,0
tha,1972,395572
tha,1977,287226
tha,1982,339923
tha,1987,504404
tha,1992,-607538
tha,1997,715832
tha,2002,373746
tha,2007,59008
tha,2012,167314
tha,2017,97222
tjk,1962,53337
tjk,1967,65780
tjk,1972,28033
tjk,1977,22800
tjk,1982,12417
tjk,1987,-31508
tjk,1992,-232301
tjk,1997,-237255
tjk,2002,-144939
tjk,2007,-145788
tjk,2012,-136974
tjk,2017,-99999
tkm,1962,26783
tkm,1967,28147
tkm,1972,25346
tkm,1977,-5070
tkm,1982,-35795
tkm,1987,-39702
tkm,1992,43633
tkm,1997,-64674
tkm,2002,-125883
tkm,2007,-62717
tkm,2012,-50002
tkm,2017,-25001
tls,1962,0
tls,1967,0
tls,1972,0
tls,1977,-51400
tls,1982,0
tls,1987,0
tls,1992,0
tls,1997,-81574
tls,2002,-27870
tls,2007,-38074
tls,2012,-28030
tls,2017,-26924
ton,1962,424
ton,1967,-2881
ton,1972,-7485
ton,1977,-7815
ton,1982,-12375
ton,1987,-10786
ton,1992,-10980
ton,1997,-8435
ton,2002,-7835
ton,2007,-7761
ton,2012,-12992
ton,2017,-3999
tto,1962,-56797
tto,1967,-61309
tto,1972,-28896
tto,1977,-29937
tto,1982,-33669
tto,1987,-45387
tto,1992,-32813
tto,1997,-34262
tto,2002,-17490
tto,2007,-18605
tto,2012,-3999
tto,2017,-3999
tun,1962,-142495
tun,1967,-96523
tun,1972,-97065
tun,1977,-72068
tun,1982,85582
tun,1987,48999
tun,1992,140341
tun,1997,-39804
tun,2002,-143045
tun,2007,-40641
tun,2012,-150000
tun,2017,-20000
tur,1962,-149999
tur,1967,-180001
tur,1972,-240000
tur,1977,-259998
tur,1982,-70001
tur,1987,-100001
tur,1992,-120000
tur,1997,-99999
tur,2002,-39998
tur,2007,-50000
tur,2012,1763078
tur,2017,1419610
tza,1962,25040
tza,1967,36058
tza,1972,120202
tza,1977,-25040
tza,1982,35062
tza,1987,68117
tza,1992,584095
tza,1997,-400706
tza,2002,-300523
tza,2007,-500853
tza,2012,-250435
tza,2017,-200381
uga,1962,124999
uga,1967,50004
uga,1972,-276112
uga,1977,-179999
uga,1982,-120001
uga,1987,200002
uga,1992,109998
uga,1997,-180002
uga,2002,-250002
uga,2007,-500000
uga,2012,-299994
uga,2017,843469
ukr,1962,455769
ukr,1967,268767
ukr,1972,206203
ukr,1977,104383
ukr,1982,189092
ukr,1987,0
ukr,1992,74421
ukr,1997,-462264
ukr,2002,-165445
ukr,2007,269541
ukr,2012,132154
ukr,2017,50001
ury,1962,-6000
ury,1967,-34000
ury,1972,-136000
ury,1977,-60000
ury,1982,-30000
ury,1987,-30000
ury,1992,-20000
ury,1997,-26000
ury,2002,-104000
ury,2007,-50000
ury,2012,-30000
ury,2017,-15000
usa,1962,1835728
usa,1967,1556054
usa,1972,2889346
usa,1977,3770881
usa,1982,3382460
usa,1987,3366853
usa,1992,4463754
usa,1997,8859954
usa,2002,5334893
usa,2007,5428756
usa,2012,4961716
usa,2017,4774029
uzb,1962,161627
uzb,1967,446173
uzb,1972,70667
uzb,1977,72079
uzb,1982,-185170
uzb,1987,-356031
uzb,1992,-322777
uzb,1997,-242636
uzb,2002,-242297
uzb,2007,-140130
uzb,2012,-66469
uzb,2017,-44314
vct,1962,-9356
vct,1967,-9706
vct,1972,-8448
vct,1977,-7246
vct,1982,-7350
vct,1987,-7183
vct,1992,-8721
vct,1997,-7971
vct,2002,-5298
vct,2007,-5696
vct,2012,-2934
vct,2017,-1000
ven,1962,18870
ven,1967,3160
ven,1972,940
ven,1977,1120
ven,1982,1380
ven,1987,920
ven,1992,-2270
ven,1997,-4540
ven,2002,-22740
ven,2007,-200220
ven,2012,-431040
ven,2017,-3266243
vir,1962,10270
vir,1967,3245
vir,1972,9407
vir,1977,1961
vir,1982,-3492
vir,1987,-11156
vir,1992,-4618
vir,1997,-3936
vir,2002,-5272
vir,2007,-6267
vir,2012,-4501
vir,2017,-2254
vnm,1962,0
vnm,1967,0
vnm,1972,0
vnm,1977,-858895
vnm,1982,-327564
vnm,1987,-332327
vnm,1992,-394236
vnm,1997,-216001
vnm,2002,-650999
vnm,2007,-799969
vnm,2012,-399999
vnm,2017,-399999
vut,1962,-652
vut,1967,-1213
vut,1972,776
vut,1977,-435
vut,1982,-4003
vut,1987,-3616
vut,1992,-948
vut,1997,-7385
vut,2002,-2574
vut,2007,-3275
vut,2012,1785
vut,2017,600
wsm,1962,-3402
wsm,1967,-6803
wsm,1972,-14914
wsm,1977,-18979
wsm,1982,-18695
wsm,1987,-19526
wsm,1992,-13998
wsm,1997,-17141
wsm,2002,-15641
wsm,2007,-15085
wsm,2012,-12189
wsm,2017,-14013
yem,1962,-100000
yem,1967,-245662
yem,1972,-360993
yem,1977,-75000
yem,1982,-50000
yem,1987,-50000
yem,1992,607781
yem,1997,-100000
yem,2002,-112150
yem,2007,-65768
yem,2012,-75010
yem,2017,-150000
zaf,1962,106550
zaf,1967,199359
zaf,1972,222659
zaf,1977,73316
zaf,1982,180998
zaf,1987,-118001
zaf,1992,852860
zaf,1997,639902
zaf,2002,788982
zaf,2007,862221
zaf,2012,919697
zaf,2017,727026
zmb,1962,-35328
zmb,1967,-22042
zmb,1972,-20000
zmb,1977,-25000
zmb,1982,10000
zmb,1987,-75000
zmb,1992,-150000
zmb,1997,20000
zmb,2002,-150000
zmb,2007,-175000
zmb,2012,-50000
zmb,2017,-40000
zwe,1962,-15009
zwe,1967,-42001
zwe,1972,-45547
zwe,1977,-152283
zwe,1982,99068
zwe,1987,84354
zwe,1992,-298236
zwe,1997,-524671
zwe,2002,-697817
zwe,2007,-512676
zwe,2012,-622997
zwe,2017,-584288
