geo,time,se_prm_gint_fe_zs
bol,2006,125.16385
bol,2007,123.76346
bol,2008,115.25272
bol,2009,96.31061
bol,2010,90.10806
bol,2011,88.22746
bol,2012,88.95897
bol,2013,90.17001
bol,2014,91.65255
bol,2015,94.67028
bol,2016,95.3854
bol,2017,99.9063
bol,2018,98.50134
bra,2001,113.42723
bra,2004,118.18779
brb,1999,98.13696
brb,2000,89.59799
brb,2001,92.00201
brb,2002,89.02001
brb,2003,95.64076
brb,2004,96.01937
brb,2005,102.24535
brb,2006,102.69675
brb,2007,108.55881
brb,2008,99.88987
brb,2009,102.73823
brb,2010,95.14722
brb,2011,96.89034
brb,2014,94.01267
brb,2017,91.38252
brb,2018,99.10657
brn,1972,108.34181
brn,1973,109.30465
brn,1974,104.08063
brn,1975,101.68027
brn,1976,101.28617
brn,1977,105.6165
brn,1978,100.83963
brn,1979,32.51212
brn,1980,95.21193
brn,1981,96.78899
brn,1982,91.15672
brn,1983,95.91241
brn,1984,99.14194
brn,1986,104.37522
brn,1997,103.11765
brn,1998,108.85084
brn,1999,107.2317
brn,2000,106.18978
brn,2001,102.23967
brn,2002,103.11047
brn,2003,104.1048
brn,2004,102.77291
brn,2005,104.07386
brn,2006,110.58824
brn,2007,105.78635
brn,2008,107.20288
brn,2009,100.63733
brn,2010,104.43561
brn,2011,106.43657
brn,2012,106.00763
brn,2013,107.28455
brn,2014,103.54187
brn,2015,103.66178
brn,2016,104.73996
brn,2017,101.02139
brn,2018,101.04487
btn,1978,50.30902
btn,1979,51.85249
btn,1991,62.48881
btn,1992,55.56968
btn,1993,56.49639
btn,1994,51.50404
btn,1995,56.26418
btn,1996,67.80917
btn,1997,74.30642
btn,1998,68.27354
btn,1999,72.63315
btn,2000,77.56281
btn,2001,79.12088
btn,2002,83.34185
btn,2003,89.96755
btn,2004,96.62921
btn,2005,92.10668
btn,2006,104.39245
btn,2007,104.44815
btn,2008,108.25921
btn,2009,116.18406
btn,2010,115.6937
btn,2011,107.90368
btn,2012,92.28815
btn,2013,87.93598
btn,2014,95.52945
btn,2016,98.46443
btn,2017,99.37878
btn,2018,104.59994
bwa,1970,68.46865
bwa,1971,54.38527
bwa,1972,68.7369
bwa,1979,101.14294
bwa,1981,104.22593
bwa,1982,101.35624
bwa,1983,105.14078
bwa,1984,112.23987
bwa,1985,113.64149
bwa,1986,110.80631
bwa,1987,114.69367
bwa,1988,121.68913
bwa,1989,120.08945
bwa,1990,118.17718
bwa,1991,121.43534
bwa,1992,119.94572
bwa,1993,113.5082
bwa,1994,114.82244
bwa,1995,119.42593
bwa,1996,118.85745
bwa,1998,116.31297
bwa,1999,117.46684
bwa,2000,116.76336
bwa,2001,120.0988
bwa,2002,115.5914
bwa,2003,113.50033
bwa,2004,107.40459
bwa,2005,113.83487
bwa,2006,112.55144
bwa,2007,107.92901
bwa,2008,100.54209
bwa,2012,104.30058
bwa,2013,101.86754
bwa,2014,93.8753
caf,1971,56.73791
caf,1972,57.40383
caf,1973,63.72485
caf,1974,54.74267
caf,1975,58.48711
caf,1976,49.53426
caf,1978,54.82644
caf,1981,55.08372
caf,1982,55.27632
caf,1983,52.06547
caf,1986,58.44763
caf,1987,46.65585
caf,1988,48.09567
caf,1989,51.73566
caf,1990,58.3149
caf,1991,52.34508
caf,1992,46.15814
caf,2002,54.98104
caf,2004,50.65919
caf,2005,57.36592
caf,2006,53.21944
caf,2007,62.27975
caf,2008,79.63676
caf,2009,81.55719
caf,2010,88.54212
caf,2011,78.64652
caf,2012,80.61318
