geo,time,is_air_psgr
btn,2002,40859
btn,2003,36365
btn,2004,45456
btn,2005,49092
btn,2006,51056
btn,2007,53609
btn,2008,52805
btn,2009,49056
btn,2010,181537.37172
btn,2011,226153.12662
btn,2012,193405
btn,2013,207996
btn,2014,302160
btn,2015,162864
btn,2016,224101
btn,2017,254643
btn,2018,275849
btn,2019,276092
btn,2020,48825
bwa,1979,10400
bwa,1980,39000
bwa,1981,50000
bwa,1982,46700
bwa,1983,50300
bwa,1984,54500
bwa,1985,58900
bwa,1986,54000
bwa,1987,60100
bwa,1988,57700
bwa,1989,82100
bwa,1990,101300
bwa,1991,102300
bwa,1992,111200
bwa,1993,122600
bwa,1994,100500
bwa,1995,99900
bwa,1996,104000
bwa,1997,116400
bwa,1998,123700
bwa,1999,144100
bwa,2000,163909
bwa,2001,169526
bwa,2002,179041
bwa,2003,188842
bwa,2004,212951
bwa,2005,229987
bwa,2006,213587
bwa,2007,227624
bwa,2008,236182
bwa,2009,233515
bwa,2010,290195
bwa,2011,415864.0844
bwa,2012,415130.02098
bwa,2013,270996
bwa,2014,205992
bwa,2015,226549
bwa,2016,254396
bwa,2017,223673
bwa,2018,253417
bwa,2019,254439
caf,1970,69500
caf,1971,71800
caf,1972,68900
caf,1973,74100
caf,1974,79500
caf,1975,88000
caf,1976,98400
caf,1977,103400
caf,1978,117200
caf,1979,122300
caf,1980,136100
caf,1981,129100
caf,1982,112300
caf,1983,114400
caf,1984,117700
caf,1985,123500
caf,1986,128400
caf,1987,122100
caf,1988,123700
caf,1989,128000
caf,1990,130300
caf,1991,120300
caf,1992,66300
caf,1993,68200
caf,1994,69200
caf,1995,74100
caf,1996,75100
caf,1997,85500
caf,1998,90500
caf,1999,83900
caf,2000,77273
caf,2001,46364
can,1970,10180300
can,1971,10247300
can,1972,11628500
can,1973,14626800
can,1974,16367500
can,1975,16712900
can,1976,16833100
can,1977,17466400
can,1978,18472000
can,1979,20846400
can,1980,22453000
can,1981,22097100
can,1982,19653800
can,1983,18107900
can,1984,19382600
can,1985,19688400
can,1986,20378500
can,1987,19946500
can,1988,22379400
can,1989,21273800
can,1990,20601400
can,1991,16586500
can,1992,16818300
can,1993,17516500
can,1994,18104800
can,1995,20291100
can,1996,22856000
can,1997,23981500
can,1998,24653300
can,1999,24602000
can,2000,41767974
can,2001,40451914
can,2002,23323029
can,2003,35884417
can,2004,40701307
can,2005,45229860
can,2006,46726978
can,2007,52103547
can,2008,53718757
can,2009,52583516
can,2010,63277409.37534
can,2011,66078011.95474
can,2012,70467400.79287
can,2013,71526725.91843
can,2014,75528607
can,2015,80228302
can,2016,85406425
can,2017,91404001
can,2018,91504000
can,2019,93352000
can,2020,27620000
che,1970,3397400
che,1971,3926200
che,1972,4054100
che,1973,4514400
che,1974,4575000
che,1975,4691800
che,1976,5084900
che,1977,5437100
che,1978,5686800
che,1979,5887400
che,1980,5930100
che,1981,6220600
che,1982,6252200
che,1983,6266800
che,1984,6254500
che,1985,6506200
che,1986,6707800
che,1987,7213900
che,1988,7483500
che,1989,8229500
che,1990,8603400
che,1991,7973600
che,1992,8255700
che,1993,9152000
che,1994,9338200
che,1995,9859000
che,1996,10468300
che,1997,12481600
che,1998,14298900
che,1999,16209000
che,2000,17268093
che,2001,16914823
che,2002,13295500
che,2003,10118096
che,2004,9287315
che,2005,9662619
che,2006,10647142
che,2007,12298456
che,2008,14352757
che,2009,14701206
che,2010,22146864
che,2011,24866065
che,2012,26386306.60347
che,2013,27503416
che,2014,27923164
che,2015,27011762
che,2016,25859918
che,2017,26732570
che,2018,28857994
che,2019,30339654
che,2020,9009607.2
chl,1970,574700
chl,1971,690600
chl,1972,730000
chl,1973,636200
chl,1974,505200
chl,1975,509700
chl,1976,489900
chl,1977,589400
chl,1978,552700
chl,1979,558900
chl,1980,668800
chl,1981,885700
chl,1982,822400
chl,1983,651900
chl,1984,730800
chl,1985,825200
chl,1986,875200
chl,1987,992400
chl,1988,1144100
chl,1989,1263800
chl,1990,1363600
chl,1991,1405900
chl,1992,1905800
chl,1993,2360000
chl,1994,2961700
chl,1995,3197200
chl,1996,3621900
chl,1997,4610000
chl,1998,5149800
chl,1999,5187700
chl,2000,5174876
chl,2001,5315623
chl,2002,4986727
chl,2003,5246787
chl,2004,5463753
chl,2005,5939020
chl,2006,6016649
chl,2007,7190963
chl,2008,8021939
chl,2009,8097314
chl,2010,9269026
chl,2011,10949863
chl,2012,12892856
chl,2013,13806283
chl,2014,14347893
chl,2015,15006762
chl,2016,16362437
chl,2017,17664974
chl,2018,19517185
chl,2019,21197759
chl,2020,8019753
chn,1974,710000
chn,1975,1000000
chn,1976,1050000
chn,1977,1110000
chn,1978,1540000
chn,1979,2519000
chn,1980,2568000
chn,1981,3236000
chn,1982,3942000
chn,1983,3836000
chn,1984,5000000
chn,1985,7300000
chn,1986,10000000
chn,1987,12500000
chn,1988,17000000
chn,1989,11080000
chn,1990,16596100
chn,1991,19520000
chn,1992,27345000
chn,1993,31312500
chn,1994,37601000
chn,1995,47564500
chn,1996,51770100
chn,1997,52277000
