geo,time,dt_nfl_nifc_cd
mex,2003,-39539600
mex,2004,227292100
mex,2005,-71422536.76
mex,2006,56449884.35
mex,2007,-346097182.47
mex,2008,38417989.76
mex,2009,-25419905.7
mex,2010,44966995.55
mex,2011,-9592060.42
mex,2012,258308474.91
mex,2013,173496182
mex,2014,51204496
mex,2015,144853984
mex,2016,153421280
mex,2017,-126505549
mex,2018,107829523
mex,2019,274573676
mex,2020,60705519
mkd,1993,0
mkd,1994,0
mkd,1995,0
mkd,1996,0
mkd,1997,0
mkd,1998,0
mkd,1999,0
mkd,2000,0
mkd,2001,-2166100
mkd,2002,-7724500
mkd,2003,252500
mkd,2004,-4876100
mkd,2005,-2961144.55
mkd,2006,-2140010.78
mkd,2007,-1004328
mkd,2008,45051552
mkd,2009,-502164.04
mkd,2010,37330370
mkd,2011,-2814680.28
mkd,2012,-4986851.06
mkd,2013,-11874236
mkd,2014,-19682190
mkd,2015,1425676
mkd,2016,-16489945
mkd,2017,-12133421
mkd,2018,-7335725
mkd,2019,0
mkd,2020,0
mli,1970,0
mli,1971,0
mli,1972,0
mli,1973,0
mli,1974,0
mli,1975,0
mli,1976,0
mli,1977,0
mli,1978,0
mli,1979,0
mli,1980,0
mli,1981,0
mli,1982,0
mli,1983,0
mli,1984,0
mli,1985,0
mli,1986,0
mli,1987,0
mli,1988,0
mli,1989,0
mli,1990,0
mli,1991,0
mli,1992,0
mli,1993,0
mli,1994,0
mli,1995,0
mli,1996,0
mli,1997,0
mli,1998,0
mli,1999,0
mli,2000,0
mli,2001,-12674300
mli,2002,-3455800
mli,2003,537600
mli,2004,-552400
mli,2005,-951988.46
mli,2006,-600483.55
mli,2007,-165459.95
mli,2008,0
mli,2009,12025600
mli,2010,12614576.18
mli,2011,-1438003.7
mli,2012,-3535906.56
mli,2013,-2851375
mli,2014,-4058610
mli,2015,-3093711
mli,2016,-774082
mli,2017,-2240531
mli,2018,-2445113
mli,2019,-974644
mli,2020,1569089
mmr,1970,0
mmr,1971,0
mmr,1972,0
mmr,1973,0
mmr,1974,0
mmr,1975,0
mmr,1976,0
mmr,1977,0
mmr,1978,0
mmr,1979,0
mmr,1980,0
mmr,1981,0
mmr,1982,0
mmr,1983,0
mmr,1984,0
mmr,1985,0
mmr,1986,0
mmr,1987,0
mmr,1988,0
mmr,1989,0
mmr,1990,0
mmr,1991,0
mmr,1992,0
mmr,1993,0
mmr,1994,0
mmr,1995,0
mmr,1996,0
mmr,1997,0
mmr,1998,0
mmr,1999,0
mmr,2000,0
mmr,2001,0
mmr,2002,0
mmr,2003,0
mmr,2004,0
mmr,2005,0
mmr,2006,0
mmr,2007,0
mmr,2008,0
mmr,2009,0
mmr,2010,0
mmr,2011,0
mmr,2012,0
mmr,2013,0
mmr,2014,80000000
mmr,2015,0
mmr,2016,136692308
mmr,2017,21342508
mmr,2018,-581974
mmr,2019,-28401371
mmr,2020,-16424266
mne,2006,-525184.66
mne,2007,-7813357.09
mne,2008,-1196061.38
mne,2009,20437380.36
mne,2010,9454184.81
mne,2011,-6635946.61
mne,2012,7045645.74
mne,2013,-5809313
mne,2014,-2912217
mne,2015,-2317228
mne,2016,2070702
mne,2017,-8971077
mne,2018,-1346943
mne,2019,-1303246
mne,2020,-259757
mng,1992,0
mng,1993,0
mng,1994,0
mng,1995,0
mng,1996,0
mng,1997,0
mng,1998,0
mng,1999,0
mng,2000,0
mng,2001,0
mng,2002,400000
mng,2003,0
mng,2004,0
mng,2005,-40000
mng,2006,-60493.1
mng,2007,394347
mng,2008,34920000
mng,2009,-3410000
mng,2010,-4410000
mng,2011,-7330000
mng,2012,22670000
mng,2013,82019653
mng,2014,6895947
mng,2015,-19470366
mng,2016,430988636
mng,2017,-20347868
mng,2018,32066832
mng,2019,-31651000
mng,2020,-33248499
moz,1984,0
moz,1985,0
moz,1986,0
moz,1987,0
moz,1988,0
moz,1989,0
moz,1990,0
moz,1991,0
moz,1992,0
moz,1993,0
moz,1994,0
moz,1995,0
moz,1996,0
moz,1997,0
moz,1998,0
moz,1999,0
moz,2000,0
moz,2001,-186000
moz,2002,3087800
moz,2003,907500
moz,2004,-5484300
moz,2005,-6582539.8
moz,2006,-6548500.8
moz,2007,-7688880.18
moz,2008,832094.62
moz,2009,54316.85
moz,2010,10198539.08
moz,2011,-801460.92
moz,2012,-10272560.73
moz,2013,35688453
moz,2014,9820868
moz,2015,24282109
moz,2016,-18036082
moz,2017,-12675033
moz,2018,52778930
moz,2019,-8725966
