person,time,daily_income
alberto_bailleres_gonzalez,2015,871035
alberto_bailleres_gonzalez,2016,577898
alberto_bailleres_gonzalez,2017,887671
alberto_bailleres_gonzalez,2018,839876
alberto_bailleres_gonzalez,2019,568684
alberto_bailleres_gonzalez,2020,482367
alberto_bailleres_gonzalez,2021,665424
alberto_benavides,2013,168986
alberto_bombassei,2014,99813
alberto_bombassei,2015,125630
alberto_bombassei,2016,134005
alberto_bombassei,2021,173589
alberto_bombassei,2022,148438
alberto_chiesi,2017,115068
alberto_chiesi,2018,109890
alberto_chiesi,2019,122958
alberto_chiesi,2020,135665
alberto_chiesi,2021,166356
alberto_chiesi,2022,183780
alberto_cortina,2008,109578
alberto_cortina,2009,99632
alberto_cortina,2010,107605
alberto_cortina,2011,105336
alberto_cortina,2012,85479
alberto_cortina,2013,84493
alberto_cortina,2014,116449
alberto_cortina,2015,117254
alberto_cortina,2017,90410
alberto_cortina,2018,109890
alberto_cortina,2019,115273
alberto_cortina,2020,82906
alberto_cortina,2021,108493
alberto_cortina,2022,91890
alberto_j_safra,2022,127232
alberto_palatchi,2018,86342
alberto_palatchi,2019,84534
alberto_palatchi,2020,90443
alberto_palatchi,2021,108493
alberto_palatchi,2022,120164
alberto_prada,2015,150756
alberto_prada,2016,83753
alberto_prada,2017,115068
alberto_prada,2018,109890
alberto_prada,2019,92219
alberto_prada,2021,144657
alberto_prada,2022,120164
alberto_roemmers,2013,92942
alberto_roemmers,2014,99813
alberto_roemmers,2015,92128
alberto_roemmers,2016,83753
alberto_roemmers,2017,164383
alberto_roemmers,2018,141287
alberto_roemmers,2019,230547
alberto_roemmers,2020,180887
alberto_roemmers,2021,159123
alberto_roemmers,2022,169643
alberto_siccardi,2020,97980
alberto_siccardi,2021,159123
alberto_siccardi,2022,169643
albrecht_knauf,2022,77753
alceu_elias_feldmann,2019,169068
alceu_elias_feldmann,2020,158276
alceu_elias_feldmann,2021,390575
alceu_elias_feldmann,2022,183780
aldo_bensadoun,2015,142380
aldo_bensadoun,2016,92128
aldo_bensadoun,2017,82191
aldo_bensadoun,2020,82906
alec_gores,2003,168197
alec_gores,2004,158071
alec_gores,2005,124158
alec_gores,2006,122021
alec_gores,2007,112142
alec_gores,2008,136972
alec_gores,2009,117747
alec_gores,2010,143473
alec_gores,2011,140449
alec_gores,2012,162410
alec_gores,2013,160536
alec_gores,2014,166356
alec_gores,2015,175882
alec_gores,2016,175882
alec_gores,2017,172602
alec_gores,2018,164835
alec_gores,2019,169068
alec_gores,2020,150739
alec_gores,2021,216986
alec_gores,2022,183780
alejandro_bailleres_gual,2022,473589
alejandro_bulgheroni,2011,447682
alejandro_bulgheroni,2012,435945
alejandro_bulgheroni,2013,464712
alejandro_bulgheroni,2014,457479
alejandro_bulgheroni,2015,443893
alejandro_bulgheroni,2016,376890
alejandro_bulgheroni,2017,271232
alejandro_bulgheroni,2018,235479
alejandro_bulgheroni,2019,238232
alejandro_bulgheroni,2020,203498
alejandro_bulgheroni,2021,238684
alejandro_bulgheroni,2022,134301
alejandro_santo_domingo,2012,812054
alejandro_santo_domingo,2013,988569
alejandro_santo_domingo,2014,923276
alejandro_santo_domingo,2015,368515
alejandro_santo_domingo,2016,410391
alejandro_santo_domingo,2017,386301
alejandro_santo_domingo,2018,337520
alejandro_santo_domingo,2019,261287
alejandro_santo_domingo,2020,158276
alejandro_santo_domingo,2021,209753
alejandro_santo_domingo,2022,183780
alessandra_garavoglia,2020,150739
alessandra_garavoglia,2021,253150
alessandra_garavoglia,2022,219123
alex_atallah,2022,155506
alex_beard,2012,179506
alex_beard,2013,177435
alex_beard,2014,162197
alex_beard,2015,134005
alex_beard,2017,115068
alex_beard,2018,141287
alex_beard,2019,115273
alex_beard,2021,108493
alex_beard,2022,162575
alex_birkenstock,2021,122958
alex_birkenstock,2022,120164
alex_chesterman,2022,70684
alex_shevchenko,2022,282739
alexander_abramov,2004,98794
alexander_abramov,2005,219665
alexander_abramov,2006,459928
alexander_abramov,2007,523331
alexander_abramov,2008,1050123
alexander_abramov,2009,398531
alexander_abramov,2010,546994
alexander_abramov,2011,658356
alexander_abramov,2012,461589
alexander_abramov,2013,388668
alexander_abramov,2014,316076
alexander_abramov,2015,376890
alexander_abramov,2016,301512
alexander_abramov,2017,369863
alexander_abramov,2018,408164
alexander_abramov,2019,476465
alexander_abramov,2020,414534
alexander_abramov,2021,549698
alexander_abramov,2022,388767
alexander_dzhaparidze,2008,155235
alexander_dzhaparidze,2010,98638
alexander_dzhaparidze,2011,184339
alexander_dzhaparidze,2012,153863
alexander_dzhaparidze,2013,194334
alexander_dzhaparidze,2014,174673
alexander_dzhaparidze,2015,125630
alexander_dzhaparidze,2016,100504
alexander_dzhaparidze,2017,106849
alexander_dzhaparidze,2018,125589
alexander_dzhaparidze,2019,76849
alexander_dzhaparidze,2020,90443
alexander_frolov,2006,215884
alexander_frolov,2007,224284
alexander_frolov,2008,502232
alexander_frolov,2009,163035
alexander_frolov,2010,251079
alexander_frolov,2011,289676
alexander_frolov,2012,205150
alexander_frolov,2013,168986
alexander_frolov,2014,124767
alexander_frolov,2015,150756
alexander_frolov,2016,125630
alexander_frolov,2017,147945
alexander_frolov,2018,172684
alexander_frolov,2019,207493
alexander_frolov,2020,180887
alexander_frolov,2021,245917
alexander_frolov,2022,162575
alexander_girda,2011,87780
alexander_karp,2015,100504
alexander_karp,2016,134005
alexander_karp,2017,131506
alexander_karp,2018,102041
alexander_karp,2019,99904
alexander_karp,2020,97980
alexander_karp,2021,151890
alexander_karp,2022,77753
alexander_klyachin,2017,106849
alexander_klyachin,2018,117739
alexander_klyachin,2019,130643
alexander_klyachin,2020,120591
alexander_klyachin,2021,115726
alexander_knaster,2007,102797
alexander_knaster,2008,164367
alexander_knaster,2010,98638
alexander_knaster,2011,114115
alexander_knaster,2012,119671
alexander_knaster,2013,143638
alexander_knaster,2014,174673
alexander_knauf,2021,79561
alexander_knauf,2022,77753
alexander_lebedev,2005,152810
alexander_lebedev,2006,328520
alexander_lebedev,2007,345772
alexander_lebedev,2008,283076
alexander_lebedev,2010,179342
alexander_lebedev,2011,184339
alexander_lebedev,2012,94027
alexander_lutsenko,2013,92942
alexander_lutsenko,2015,92128
alexander_lutsenko,2021,86794
alexander_machkevich,2005,95506
alexander_machkevich,2006,187726
alexander_machkevich,2007,177558
alexander_machkevich,2008,301339
alexander_machkevich,2009,108690
alexander_machkevich,2010,295915
alexander_machkevich,2011,324789
alexander_machkevich,2012,239342
alexander_machkevich,2013,177435
alexander_machkevich,2014,141402
alexander_machkevich,2015,184257
alexander_machkevich,2016,125630
alexander_machkevich,2017,156164
alexander_machkevich,2018,180534
alexander_machkevich,2019,184438
alexander_machkevitch,2017,106849
alexander_machkevitch,2018,133438
alexander_machkevitch,2019,138328
alexander_machkevitch,2020,135665
alexander_machkevitch,2021,108493
alexander_machkevitch,2022,84821
alexander_mamut,2008,109578
alexander_mamut,2010,134506
alexander_mamut,2011,201895
alexander_mamut,2012,179506
alexander_mamut,2013,194334
alexander_mamut,2014,191309
alexander_mamut,2015,209383
alexander_mamut,2016,201008
alexander_mamut,2017,205479
alexander_mamut,2018,188383
alexander_mamut,2019,192123
alexander_mamut,2020,173350
alexander_mamut,2021,166356
alexander_mamut,2022,148438
alexander_nesis,2010,125539
alexander_nesis,2011,219452
alexander_nesis,2012,264986
alexander_nesis,2013,278827
alexander_nesis,2014,249534
alexander_nesis,2015,209383
alexander_nesis,2016,242884
alexander_nesis,2017,197260
alexander_nesis,2018,149136
alexander_nesis,2019,153698
alexander_nesis,2020,165813
alexander_nesis,2021,209753
alexander_nesis,2022,134301
alexander_otto,2018,926219
alexander_otto,2019,822287
alexander_otto,2020,376849
alexander_otto,2021,853479
alexander_otto,2022,770465
alexander_ponomarenko,2008,127841
alexander_ponomarenko,2010,98638
alexander_ponomarenko,2011,149227
alexander_ponomarenko,2012,145315
alexander_ponomarenko,2013,177435
alexander_ponomarenko,2014,191309
alexander_ponomarenko,2015,201008
alexander_ponomarenko,2016,192632
alexander_ponomarenko,2017,246575
alexander_ponomarenko,2018,266876
alexander_ponomarenko,2019,245917
alexander_ponomarenko,2020,248720
alexander_ponomarenko,2021,209753
alexander_ponomarenko,2022,134301
alexander_putilov,2011,96558
alexander_putilov,2013,114065
alexander_putilov,2014,99813
alexander_rovt,2009,90575
alexander_rovt,2010,125539
alexander_rovt,2011,149227
alexander_rovt,2012,102575
alexander_rovt,2013,101391
alexander_rovt,2014,91495
alexander_rovt,2015,100504
alexander_rovt,2016,108879
alexander_rovt,2017,106849
alexander_rovt,2018,102041
alexander_rovt,2019,99904
alexander_rovt,2020,97980
alexander_samwer,2015,142380
alexander_samwer,2018,86342
alexander_samwer,2021,86794
alexander_shchukin,2011,158005
alexander_shnaider,2010,116572
alexander_sixt,2022,91890
alexander_skorobogatko,2008,127841
alexander_skorobogatko,2010,98638
alexander_skorobogatko,2011,149227
alexander_skorobogatko,2012,145315
alexander_skorobogatko,2013,177435
alexander_skorobogatko,2014,191309
alexander_skorobogatko,2015,201008
alexander_skorobogatko,2016,192632
alexander_skorobogatko,2017,246575
alexander_skorobogatko,2018,266876
alexander_skorobogatko,2019,245917
alexander_skorobogatko,2020,248720
alexander_skorobogatko,2021,209753
alexander_skorobogatko,2022,141369
alexander_spanos,2005,105057
alexander_spanos,2006,122021
alexander_spanos,2007,102797
alexander_spanos,2008,100446
alexander_spanos,2009,90575
alexander_spanos,2010,98638
alexander_spanos,2011,96558
alexander_spanos,2012,94027
alexander_spanos,2013,84493
alexander_spanos,2014,91495
alexander_spanos,2015,104691
alexander_spanos,2016,142380
alexander_spanos,2017,197260
alexander_spanos,2018,188383
alexander_svetakov,2012,145315
alexander_svetakov,2013,236580
alexander_svetakov,2014,257852
alexander_svetakov,2015,259635
alexander_svetakov,2016,242884
alexander_svetakov,2017,271232
alexander_svetakov,2018,259027
alexander_svetakov,2019,192123
alexander_svetakov,2020,150739
alexander_svetakov,2021,144657
alexander_svetakov,2022,155506
alexander_tedja,2013,84493
alexander_tedja,2017,82191
alexander_tedja,2018,102041
alexander_tedja,2019,122958
alexander_tedja,2021,101260
alexander_tedja,2022,84821
alexander_vagin,2011,114115
alexander_vik,2014,83178
alexander_vik,2015,87941
alexander_vik,2016,83753
alexander_vik,2017,82191
alexander_vik,2018,78493
alexander_vik,2019,76849
alexandra_andresen,2016,100504
alexandra_andresen,2017,98630
alexandra_andresen,2018,109890
alexandra_andresen,2019,107589
alexandra_andresen,2020,82906
alexandra_andresen,2021,101260
alexandra_andresen,2022,91890
alexandra_daitch,2015,134005
alexandra_daitch,2016,125630
alexandra_daitch,2017,156164
alexandra_daitch,2018,156986
alexandra_daitch,2019,146013
alexandra_daitch,2020,97980
alexandra_daitch,2021,122958
alexandra_daitch,2022,169643
alexandra_schoerghuber,2009,181150
alexandra_schoerghuber,2010,197276
alexandra_schoerghuber,2011,201895
alexandra_schoerghuber,2012,188054
alexandra_schoerghuber,2013,202783
alexandra_schoerghuber,2014,232898
alexandra_schoerghuber,2015,201008
alexandra_schoerghuber,2016,234509
alexandra_schoerghuber,2017,287671
alexandra_schoerghuber,2018,368917
alexandra_schoerghuber,2019,361191
alexandra_schoerghuber,2020,271331
