un_sdg_region,time,income_mountain_50bracket_shape_for_log
un_australia_and_new_zealand,1859,"0,0,0,0,4,8,12,20,32,53,93,170,338,709,1541,3441,7555,16275,33965,66320,115346,167825,199384,199220,173384,131888,90297,56378,33709,19845,11549,6675,3866,2250,1311,776,464,284,177,113,74,50,34,23,16,11,7,4,3,2"
un_australia_and_new_zealand,1860,"0,0,0,1,10,19,31,49,75,119,195,325,577,1076,2114,4380,9212,19215,39003,74532,127115,180997,210886,208294,179056,134684,91514,57052,34306,20310,11874,6902,4033,2366,1399,841,511,320,203,133,88,59,40,27,18,13,8,5,3,2"
un_australia_and_new_zealand,1861,"0,0,0,5,12,19,27,38,54,80,130,223,431,878,1879,4122,8971,19131,39757,78261,136438,195264,226108,220833,186927,138481,93349,58335,35137,20806,12179,7099,4162,2440,1441,860,520,321,202,130,86,58,39,27,18,12,7,5,3,2"
un_australia_and_new_zealand,1862,"0,0,0,9,24,37,55,80,118,179,289,486,884,1678,3342,6812,13759,26960,51063,91633,147658,200976,227543,220306,186025,138206,93372,59632,36438,21521,12400,7086,4056,2338,1368,813,494,306,193,124,80,53,33,22,13,8,4,2,1,1"
un_australia_and_new_zealand,1863,"0,0,1,14,33,52,77,112,163,242,378,612,1069,1964,3810,7606,15155,29408,55102,96720,152322,204848,231283,224206,190322,143363,98556,63470,38618,22609,12902,7318,4170,2392,1394,824,498,307,193,123,80,52,34,21,13,8,4,2,1,1"
un_australia_and_new_zealand,1864,"0,0,0,12,32,53,78,111,161,236,359,567,969,1754,3373,6762,13591,26697,50776,91057,147036,204420,238083,236163,203792,156009,109195,71479,44071,26091,15066,8634,4963,2866,1669,987,592,362,225,143,92,60,38,24,15,9,6,3,1,1"
un_australia_and_new_zealand,1865,"0,0,0,14,33,53,78,111,161,238,369,596,1055,1963,3865,7794,15660,30588,57697,102092,161832,219337,248705,240983,203506,153311,106334,68987,42299,25040,14482,8320,4786,2769,1627,973,595,372,237,154,101,66,43,27,17,10,6,3,1,1"
un_australia_and_new_zealand,1866,"0,0,0,6,19,32,50,76,116,181,293,493,900,1719,3450,7120,14640,29237,56289,101387,162705,223535,257272,252292,214911,162348,112947,74115,46106,27576,16039,9242,5345,3120,1847,1115,685,430,274,179,117,77,51,33,20,12,7,3,2,1"
un_australia_and_new_zealand,1867,"0,0,0,25,51,79,114,160,226,320,467,702,1127,1923,3476,6733,13273,26044,49755,90658,149855,215163,259545,265669,235023,182484,129468,86430,54588,32961,19261,11069,6343,3659,2136,1275,773,483,306,198,130,86,56,37,23,14,9,5,2,1"
un_australia_and_new_zealand,1868,"0,0,1,25,50,80,115,161,225,317,462,694,1114,1911,3465,6729,13267,26068,49875,91102,151217,218933,266853,275567,245187,191703,137349,92367,58636,35615,20921,12046,6892,3957,2292,1356,814,502,315,203,132,87,57,37,23,14,9,5,2,1"
un_australia_and_new_zealand,1869,"0,0,1,50,89,136,188,256,348,478,677,988,1533,2517,4351,7978,15001,28477,53534,96965,160198,231205,279557,284837,250421,194039,137299,91058,57339,34828,20599,11988,6963,4055,2382,1428,867,541,341,221,145,95,63,40,26,16,9,5,2,1"
un_australia_and_new_zealand,1870,"0,0,1,40,82,129,180,246,334,458,646,938,1441,2348,4026,7355,13781,26167,49253,90046,151642,225833,282829,296510,267146,211201,152141,102368,65077,39670,23490,13631,7861,4541,2637,1564,940,580,364,235,153,101,66,43,28,17,10,6,3,1"
