g77_and_oecd_countries,time,income_mountain_50bracket_shape_for_log
g77,1965,"42100,76217,117203,168894,237587,337238,493460,759993,1249526,2222142,4351297,9190724,20249256,44243393,90125308,158720079,246720010,309879960,314410599,288850598,229254042,158118504,104431185,69744835,47864086,33571254,23982227,17190029,12007875,8012679,5144660,3234131,2019910,1270189,786152,481787,292115,181801,114789,69925,40185,23095,13490,7954,4613,2635,1472,766,400,200"
g77,1966,"42890,76821,117346,168770,236698,336047,492416,761009,1259493,2255926,4466231,9545880,21214041,46554306,94469866,165103084,255927502,318204489,321234119,293167036,230968343,159105132,105532564,70971984,49159163,34829824,25086104,18090869,12682729,8487529,5459474,3435429,2149681,1358631,848974,525701,320852,199895,126837,78553,45164,25437,14616,8536,4963,2847,1594,844,439,228"
g77,1967,"43982,79797,121555,174838,244609,346455,506171,781813,1299339,2355059,4772815,10471981,23606427,51882335,103179939,175401204,265019387,319195682,319212023,295214795,234831853,162445146,108041065,73189277,51050308,36398653,26314471,19022967,13347661,8934892,5745429,3613877,2267482,1438009,908006,570544,352513,220258,139952,87636,50704,28074,15748,9045,5227,2974,1656,870,453,234"
g77,1968,"45013,80842,122784,176146,246202,348227,507791,784730,1305945,2405699,5000599,11300256,25871766,57408559,113315249,191157243,279399070,320441041,316550783,292097826,232796195,164109544,110942847,76086952,53552944,38408919,27840329,20182699,14240242,9582256,6190173,3897629,2442031,1549491,987372,628521,394054,246648,156289,97917,57017,31151,17047,9601,5490,3098,1714,911,450,232"
g77,1969,"43489,77724,118997,170411,238096,335492,486740,745613,1226071,2206766,4476186,9919381,22661275,50778823,103823274,180981951,274631910,328825106,329053506,307839992,250235505,177937507,120148323,82224692,57813412,41396813,29965719,21745918,15444322,10469526,6805694,4291786,2689849,1705202,1094725,705701,449851,282589,178002,110739,64518,34917,18797,10432,5909,3316,1829,981,475,245"
g77,1970,"42881,76874,117673,167591,233747,327538,472144,713256,1153810,2019758,3948302,8457087,19071787,42962293,90802987,165593716,264626376,339246760,347225031,326781991,269793785,193060292,130005525,88570597,62162680,44566976,32327621,23502195,16768148,11441887,7474280,4721305,2955337,1868499,1203954,785010,511388,327678,207646,128923,75003,40169,21300,11652,6524,3658,2012,1094,520,263"
g77,1971,"44323,77742,119259,168631,234255,326592,468775,704276,1134340,1980153,3860903,8286085,18756374,42476030,90537780,167011627,270200806,350343485,359308879,336113679,275206311,195506584,132549405,91208541,64451886,46554001,34056559,24958793,17951205,12375165,8126044,5164335,3238037,2045921,1318974,859593,559416,359187,228927,144390,85839,45672,23611,12641,7033,3944,2173,1183,576,282"
g77,1972,"43427,78128,120044,170617,236752,330093,472845,710679,1145400,2007460,3960057,8650164,19805654,45209598,96246058,176998061,285313833,362362279,368712182,340973372,271536155,190083836,130677689,91946869,66310458,48647352,35967562,26604125,19296448,13438522,8865169,5669884,3557072,2244744,1446077,941858,609563,389781,246568,153531,88062,46090,24142,13095,7367,4122,2273,1236,622,279"
g77,1973,"42342,77484,119153,170650,236560,328927,469032,699831,1116403,1931820,3743783,8034665,18301314,41871343,90187597,169014477,280065419,369193740,382550766,355556533,285138890,200225565,137885964,97206472,70239777,51631366,38352798,28567444,20959535,14794773,9860137,6343988,4007002,2538276,1632758,1049050,663566,415097,260938,162601,92047,47876,25131,13802,7868,4422,2448,1328,690,277"
g77,1974,"39654,76236,117406,169050,235012,327925,469197,704322,1130990,1974368,3877796,8434614,19345208,44328655,94992982,176532700,290432061,375144850,385729200,356905066,286820498,203481508,141374921,100655349,73300620,54107859,40352234,30202826,22368301,16007655,10791488,6983080,4438314,2818650,1796802,1130417,699245,433658,275677,174671,99954,51357,26477,14455,8261,4660,2586,1402,733,297"
g77,1975,"42115,78826,120507,172256,238909,332159,473085,705942,1127062,1953601,3806924,8225474,18885979,43399289,93541336,174818671,287752011,377412136,391567613,367775649,302182943,216230483,149707720,106059192,76860984,56542012,42089424,31368133,23036522,16301564,10931599,7058664,4517009,2866314,1808079,1123175,692701,433011,276555,170810,93145,47711,25388,14320,8239,4652,2570,1382,712,285"
g77,1976,"39740,78112,119632,171093,237529,330431,471002,707884,1145663,2038295,4142264,9317427,21764033,49975943,104827546,189681322,302605224,376747274,387554237,364026782,296903343,215457703,152556504,110571333,81401605,60281150,44916229,33483490,24591883,17463120,11760383,7615700,4890245,3112991,1974166,1235437,769347,483442,311072,191939,104114,52883,27932,15755,9018,5111,2823,1528,795,335"
g77,1977,"44510,81970,124497,176045,242878,335611,475233,708596,1137466,2003247,4037227,9019550,21058215,48410627,102181106,185555728,298766314,377207812,392180538,374629476,311475405,228593501,161822281,116994499,86070163,63745822,47477967,35381032,25996470,18554019,12591785,8190086,5258690,3329008,2096765,1305319,815220,515818,334607,208708,113126,56254,29092,16209,9276,5261,2919,1586,828,370"
g77,1978,"41044,79738,122547,173351,239066,329044,464258,685235,1084701,1866984,3638681,7882980,18251262,42194234,91637128,172147478,287671317,384759026,408679997,392495070,331448797,244437694,172035265,123853882,91212891,67540610,50055308,36954129,26812615,18888945,12718826,8255687,5304338,3375166,2144920,1345120,845982,533722,337895,195697,101211,51921,28368,16315,9379,5326,2967,1612,851,398"
g77,1979,"43203,82108,125538,176512,242769,332565,467342,684337,1073686,1829838,3508733,7523281,17388371,40515799,89397306,172113359,294551225,404790486,431391169,405182616,332318871,241414115,171097817,124736337,93039102,69490839,51555398,38046214,27662161,19596338,13287293,8680820,5598895,3579511,2285397,1443841,916994,586961,380097,232478,122040,59552,30848,17188,9869,5633,3137,1721,908,444"
g77,1980,"43040,83299,127888,179231,246381,337446,474133,693979,1087755,1846997,3521068,7502858,17241996,39992684,88129148,169881942,290811703,404183890,436074421,416490008,347313295,254293359,180492105,131547191,97713258,72608473,53581934,39395353,28660900,20368950,13918600,9132752,5883212,3728771,2340707,1458407,924444,601954,403947,266139,150529,71904,34384,18057,10303,5925,3321,1832,980,493"
g77,1981,"53368,91288,138262,192441,263665,362237,511596,755118,1194634,2046454,3936990,8422032,19312000,44569370,97092909,183637168,310667057,420270137,446797820,423218347,347267900,251845546,178341247,129402301,95751336,71033855,52310920,38378709,27794974,19573152,13239297,8589198,5469457,3429001,2134421,1327952,849753,561168,380968,244167,129765,60681,29894,16281,9362,5343,2967,1621,847,417"
g77,1982,"52423,89493,135739,189124,259838,357528,505720,743424,1169639,1981795,3705481,7698772,17332349,39392744,86908328,170446994,294343786,425954477,476568242,454085558,369528909,264089373,185070013,133447430,98205781,72492779,52992440,38772411,28050424,19770818,13359563,8643354,5497737,3433806,2139167,1347043,867275,571130,375872,222740,112005,55230,29735,17301,10269,6064,3526,2022,1111,578"
g77,1983,"54350,92670,140874,196678,270606,373532,529250,777051,1210292,2002568,3584174,7145144,15572744,34870754,76433777,152811231,272099971,418546499,502636353,492110863,402453108,285305057,195761592,138312641,100284022,73408774,53420792,38788411,27888291,19374127,12982116,8444317,5354961,3337945,2078322,1322920,861864,569159,365777,205322,103503,54868,31591,19060,11364,6661,3843,2175,1179,603"
g77,1984,"55413,94684,143883,200577,275145,378730,534957,782037,1204008,1960225,3382915,6417600,13279917,29047167,63757623,130275602,240848675,398329559,524207518,536411285,442461962,310910484,210273229,146168545,104807038,76492182,55694615,40531968,29096455,20198926,13541950,8861480,5641142,3509667,2184816,1388513,905209,597103,379566,209524,104779,54896,31336,18609,10877,6227,3488,1910,1001,488"
g77,1985,"55931,95646,145682,202888,276977,380361,535633,779711,1193326,1927936,3305230,6199529,12666655,27350100,59107617,120673895,224626119,380458878,522229043,556938665,475310283,338455028,227046961,156492980,111775682,81426590,59301054,43101203,30723533,21077051,13997910,9047829,5666617,3465809,2133898,1340887,864779,554504,334577,171224,82807,42503,23644,13405,7444,4093,2195,1174,609,306"
g77,1986,"55584,95316,145721,203765,279415,385485,545190,795892,1220315,1969262,3367248,6311855,12775107,27192405,57784706,115330655,213783638,367493111,518042563,567643382,496139480,358067936,239821841,165855044,119407151,88117880,64989089,47715750,34311597,24030395,16345997,10940835,7172226,4533093,2863079,1816284,1151364,703461,390094,208647,115088,67800,40226,24279,14386,8765,5305,3238,1909,1065"
g77,1987,"60916,104547,159759,223775,307725,424343,597735,866647,1312305,2081393,3493218,6404744,12758067,26999654,56873637,112212567,204918917,356396421,515896988,582443844,525839640,388474207,259960969,177257923,124938671,89659595,64696645,46446597,32985294,22886817,15517042,10247456,6624624,4229663,2686612,1718480,1086609,659743,366022,194225,109169,64843,39590,24182,14746,9010,5458,3299,1874,1004"
g77,1988,"69304,118357,181243,254146,349719,481803,675990,975310,1457892,2277212,3730935,6577308,12578413,25802130,52603465,102555350,189527107,332312387,501327432,595178155,560755497,430897918,288919734,193306645,133928650,94556880,66934320,47158444,32908457,22479731,15064458,9934931,6430067,4138768,2654314,1711021,1082057,649484,357169,195589,113582,69452,42250,26051,15647,9464,5658,3308,1836,957"
g77,1989,"70817,120746,184510,258247,355134,489383,687071,991737,1483666,2314107,3848724,7181937,14778994,31448407,64315514,124726723,231644001,392600044,552919476,586954306,510276756,382057619,268528094,190683429,137219800,98738238,70033085,48889756,33706012,22949229,15445445,10262463,6715996,4371158,2829755,1846556,1196811,741282,422641,237203,140665,88072,55549,35488,22296,14126,8863,5464,3181,1742"
g77,1990,"72504,123303,188698,264940,365756,506238,713807,1033194,1549260,2420281,4011254,7342031,14736457,30691226,62122662,121242277,225962793,385916659,556112258,604775946,532636570,402513038,283561441,200952348,143637722,102233433,71846797,49554690,33714765,22567139,14830231,9566266,6099237,3874684,2496271,1635716,1085450,699072,408060,220283,125286,75535,47666,29925,18647,11504,6933,4098,2297,1206"
g77,1991,"80126,136635,209442,294983,408919,566045,795632,1145173,1702459,2634388,4355830,8009607,16143279,33514106,66524388,124362874,226076727,387580943,562278060,610536731,545276068,414052802,291791784,205611792,146628512,105227872,74579040,51720249,35224165,23413583,15161470,9608023,6047804,3804043,2423127,1578140,1032226,651410,365940,193546,108673,65898,41079,25680,15783,9653,5826,3445,1930,1001"
g77,1992,"70430,121333,188060,271501,385150,547286,788944,1165508,1771720,2775103,4570518,8065607,15400838,30723055,61088234,119068679,219519961,377802420,561066077,616999476,566276738,439147864,312650985,218828361,154425506,109713652,77277502,53711119,36809770,24516607,15770067,9879259,6141955,3787119,2360991,1503585,966021,594666,317977,158332,84342,48602,29050,17322,10201,5974,3447,1961,1062,541"
g77,1993,"55494,96795,151936,225083,326446,475849,704934,1073670,1691010,2741541,4584421,7936679,14624685,28873339,58676642,117007109,216447853,372871613,554414885,626502955,578210243,459043714,332680937,231915016,161441054,113409152,79309560,54989610,37930714,25657282,16952898,10960414,7046538,4530142,2908235,1882384,1218650,753068,416022,224324,127672,76941,47038,29175,17935,11220,7011,4318,2519,1375"
g77,1994,"52461,91518,143607,213523,310908,457163,688426,1069136,1726148,2865638,4887790,8508876,15368696,29037477,55804933,108260703,200835211,347860916,537742129,640059577,603072195,485435362,356642343,248963595,172336487,120800797,84462728,58520961,40220710,27204987,17996522,11690394,7587107,4926332,3201936,2084599,1357279,839640,467968,251494,142272,84546,51593,31365,19396,11950,7422,4580,2682,1459"
g77,1995,"45297,80918,128587,193170,281994,415935,626897,973584,1572014,2627983,4550411,8030643,14602368,27514782,53143513,103307082,190092719,327865307,516746037,644319458,626009571,510594651,380578244,267955790,185070824,129395901,90298013,62636242,43020778,29097175,19386781,12735331,8372900,5482803,3588561,2343018,1529159,951856,533218,288469,162147,96140,57808,34931,21028,12671,7697,4550,2603,1378"
g77,1996,"39817,71934,115764,175630,258762,384929,586244,923929,1511719,2559085,4467356,7841478,13922667,25538699,48723414,95273729,179422301,313079951,498294539,640592839,647182061,540087772,407237154,288563656,198463991,137166600,95470697,66483379,45849436,31128425,20759706,13511548,8798297,5739905,3759408,2461195,1604240,1001191,557866,302291,169412,100919,60949,37380,22725,14058,8637,5268,3066,1664"
g77,1997,"37838,68456,111412,167749,248485,372247,571767,908882,1502506,2569872,4528193,8029799,14360898,26373202,50190051,97724418,183317496,318697498,504362002,643448337,647958305,543028782,414232681,297350375,206148415,143126611,100194676,69966102,48385975,32868341,21933612,14319704,9337125,6083412,3948528,2558315,1664321,1038036,582179,311991,175200,104605,64367,39842,24621,15226,9439,5698,3309,1769"
g77,1998,"37674,67911,110443,165214,243438,362617,555777,884966,1470790,2532943,4486751,8037899,14540887,27029140,52005689,101888327,192637913,331125563,512162814,646648469,643454889,539974283,417504060,305883741,214685355,149607839,104667443,72961782,50393318,34347409,23010657,15016106,9740756,6332431,4125445,2687326,1740296,1073355,598327,324994,184773,111660,68315,42167,25833,15853,9775,5866,3384,1809"
g77,1999,"39158,71039,116376,177080,263448,394953,605929,958936,1580899,2691360,4705848,8348141,14968123,27351301,51510644,99055638,184717755,314426355,498529863,649017036,660926285,561328447,436798974,324802755,229498564,158599191,109305120,75333864,51645208,35035697,23323889,15043365,9680796,6272560,4076267,2645840,1701837,1029006,557856,296047,166096,99481,60764,37581,23232,14424,9003,5464,3185,1710"
g77,2000,"38515,69611,114527,174372,259200,390296,603465,963293,1608449,2755034,4846403,8611828,15191515,26997705,49761357,94839126,177429841,306217223,490180437,646682556,667568701,572614760,450997603,343393980,247043869,170546209,117099064,80338605,54967972,37388834,25140900,16340195,10498557,6746779,4346780,2812571,1809529,1113179,605222,312565,170707,98989,59273,35694,21519,13046,7911,4817,2778,1533"
g77,2001,"37622,68050,112267,171931,256390,387527,601801,963373,1612287,2773010,4900493,8687071,15228151,26765683,48613166,91712590,172418638,299677290,484018874,644882111,674870930,585931337,465234248,357704293,261474287,181596770,124443912,85098220,57953174,39320321,26351248,17127695,10941654,6955947,4435780,2894065,1953607,1361621,931363,560808,274021,125783,64127,36671,21938,12963,7665,4448,2479,1313"
g77,2002,"29954,54928,91628,141587,212133,320784,500875,804622,1350581,2334827,4127965,7352689,12853829,22718906,42529938,84160326,165253240,294561076,478016620,638709898,678239961,600568108,485282051,377940066,281389445,197959414,134760635,91243672,61473984,41177940,27297976,17680620,11327764,7264695,4674281,3070119,2083489,1454477,997131,604819,297341,135132,68726,38926,23101,13589,8064,4719,2671,1446"
g77,2003,"30487,55707,94185,146391,219378,330171,508166,803933,1326040,2255462,3949140,7028064,12212495,21267355,39152604,76642747,153051778,284054248,471677931,639733022,690577228,618612574,503441517,393260108,294594462,208778745,142582731,96554433,65306268,43948440,29375689,19257202,12295977,7769155,4950763,3214119,2165367,1495842,1010155,594379,286138,133784,69365,40073,23603,13858,8075,4724,2608,1393"
g77,2004,"25493,46833,79943,126946,191496,291024,450920,718477,1193398,2051788,3616854,6525753,11494834,19911135,35816739,68970687,137530257,262324527,453786538,626476383,695557187,641084342,529841236,417264640,316498797,227118977,155798771,104988665,70473160,47358459,31670953,20777844,13378553,8434346,5318354,3431730,2300338,1597260,1088641,649009,314337,145960,75502,44272,26792,16035,9574,5615,3145,1678"
g77,2005,"24254,44442,74976,120367,182234,277629,432456,695029,1157601,1994348,3510691,6301761,11057627,18961631,33104931,61620068,121089776,234656995,420693638,605367556,693531600,662186849,558591555,444501390,341432424,250287986,174374323,118262279,79583265,53625688,35912601,23621296,15299509,9698127,6130447,3964814,2650236,1801456,1184071,658400,320238,160105,90413,54888,33629,20291,12073,6990,3857,1989"
g77,2006,"20080,37245,63339,105725,162384,249870,389750,625881,1039990,1788892,3142477,5687635,10294086,18235468,32547256,61007032,119257020,230453956,413614709,602731517,690901301,660748370,564500133,455734820,356633666,266952612,188029741,127988315,86796474,59027743,39853825,26456203,17235741,10989035,6914177,4450007,2962103,2002758,1307553,715004,334130,161653,88838,54131,33187,20476,12454,7473,4251,2268"
g77,2007,"20472,37179,61789,101069,151430,226632,344773,544923,894801,1537118,2723487,4981711,9218006,16872516,30932280,58014626,113365215,218289367,394103159,586056397,684574075,663457647,577666383,475440052,379048072,290004424,207584592,142139237,96491895,65473882,44216938,29382033,19079441,12150784,7613333,4863411,3224834,2164781,1385883,733399,336154,162465,89333,54491,33184,20279,12168,7187,4005,2089"
g77,2008,"16938,30959,51683,86066,131544,199328,306794,487345,806431,1391640,2474171,4527774,8485814,16096985,30443755,58111941,113314914,215005355,385043941,579781834,682036613,663979248,582310786,484740584,391187759,304028322,224244184,157049542,106274255,71587777,47844843,31717653,20684982,13158891,8284963,5295516,3493557,2325194,1449391,734675,322169,152485,84354,51473,31889,19712,12099,7273,4152,2197"
g77,2009,"16407,29694,49999,83929,127867,193715,299057,478748,797444,1384116,2477270,4545099,8508204,16062690,30126867,56746645,109594152,206660548,371214760,567357455,680740963,670280684,594413601,499595424,407154609,320323480,239666201,169765341,115329401,77539534,51384457,33796605,21993723,14022372,8835395,5538496,3397017,1882092,919730,452250,237746,137241,82352,50344,31469,19701,12338,7618,4456,2399"
g77,2010,"14410,26142,44832,76779,117460,178181,274396,435726,722827,1248160,2221968,4053424,7598438,14472214,27675402,52123278,100552560,189811525,343084537,539829960,668537445,673437191,609690112,523611228,434928311,348072468,264956247,190072666,129372182,86041075,56986576,37377945,24289917,15472977,9554283,5654396,3093081,1597750,834286,454048,255042,146718,87529,52800,32574,20100,12347,7472,4256,2231"
g77,2011,"12551,22989,39857,69444,107809,165452,256877,411822,683818,1172381,2075656,3769800,6954663,12983068,24476778,45716176,86725599,163305557,299727615,495955751,655917200,694829808,648788753,562728968,470120404,381132622,289781612,203828241,136843730,90341281,59861223,39590915,25871805,16578746,10272974,6139259,3396579,1742030,899409,483032,268883,153799,91158,54595,33394,20391,12376,7396,4176,2189"
g77,2012,"8154,15411,27939,51786,83252,130306,206097,335596,571814,1005178,1822667,3353094,6265992,11780888,22350170,42277851,80756481,153238508,283527925,474071164,642840327,694613989,659349033,577776674,487847921,402257938,313887353,225445765,152363659,100807474,66324110,43551648,28270057,17991608,11007699,6362323,3447307,1805232,953093,519142,288813,162735,95073,56560,33920,20420,12112,7069,3917,2012"
g77,2013,"8693,16374,28916,51222,82797,129594,205234,331488,560353,981812,1779587,3282227,6120863,11402970,21258111,39551514,73847292,137058685,251306102,430021231,613647237,693981039,676275144,608322821,522217699,433197492,342166652,250526995,170466395,112837639,73332566,46739246,29419193,18405919,11285881,6672170,3718897,2015082,1101651,615114,351174,200061,115314,67022,39263,22841,13259,7572,4151,2123"
g77,2014,"8977,16618,29028,50280,80637,125057,196566,316036,533156,932913,1690892,3129234,5864022,10973190,20412583,37925661,70587947,131153867,239053894,409912058,596806058,689184030,681742075,623723408,542863887,455795036,364533911,270971717,184784289,120394510,78021716,50249098,32070217,20025759,12203260,7141724,3926469,2030616,1038994,543931,299574,167015,95878,56823,34060,20632,12404,7388,4189,2226"
g77,2015,"9419,17459,30872,53216,84923,130936,204953,327989,549776,956996,1726737,3181317,5936540,11043990,20416438,37761917,69985860,128907920,229291546,391191822,578358259,687286964,688856794,636221248,559909755,475815377,384410890,289129170,198821082,130076496,83752505,52815348,32925062,20167625,12064292,6837750,3748428,2068751,1151017,647147,370466,210700,120339,69594,39784,22871,13075,7404,4063,2091"
g77,2016,"9922,18467,32610,54869,85894,132113,206272,330301,554412,969711,1761556,3273353,6135937,11422766,21045298,38798019,70798171,127690961,222437275,373473432,559504314,682706951,693761344,647357729,575962191,494469340,401791539,303612271,212058570,140847840,91246630,57082596,34957128,21106666,12457935,7003796,3823011,2106038,1157513,637979,356790,199727,112528,64918,37491,21766,12717,7349,4120,2160"
g77,2017,"9660,17872,32418,54137,84146,129679,203708,328015,554728,976456,1782327,3320361,6217588,11581713,21314603,39179152,70660441,125386339,214225721,356193237,538395069,674432869,694793701,650993098,583457592,508932636,422642971,328067355,234776534,156750613,101577288,63014308,37677478,22449765,13128993,7381623,4003477,2170331,1181546,648496,364937,207652,119139,69014,40259,23540,13694,8018,4488,2363"
g77,2018,"10151,18330,33333,53813,83079,127864,201076,324562,550405,973302,1785095,3324653,6209488,11532052,21137286,38449616,68449994,118184408,195872274,318862512,496461490,662453925,712903288,675693755,607403528,532072182,445658983,350838780,255260128,171509889,111598285,69432471,41446464,24452818,14258032,7964193,4302755,2350917,1308666,733916,419868,240659,137791,78560,44907,25818,14857,8604,4898,2581"
g77,2019,"10194,18271,33605,53792,82930,127642,200919,324772,552599,979552,1802715,3363347,6281347,11644481,21323414,38636134,68354509,117138513,192765144,311351475,487984643,659163784,717677090,681116309,613989977,540624541,457438201,365912619,271015400,183547797,119099376,74296995,44211615,25703512,15023466,8541811,4614709,2493766,1374751,765288,434876,246289,139679,78979,44752,25832,15004,8792,5099,2731"
g77,2020,"10943,20517,37696,60187,93105,143230,225165,363921,617483,1092032,1999464,3710813,6893920,12732090,23232303,42055064,74408369,128136533,212283346,344071816,526688237,677695822,711847148,664780516,597389713,529661925,451324523,363973117,271374457,184360308,119158554,74115373,43786326,25093504,14453654,8055213,4321912,2341576,1297743,729444,418952,238911,136074,77371,43629,25057,14446,8392,4788,2440"
g77,2021,"11244,21619,40062,63682,98087,150657,236634,381069,644109,1134200,2069373,3829408,7099404,13072733,23750937,42614508,74180366,123614086,197554754,311514722,483911414,657486753,723711459,685957943,617200395,546711970,470310582,385478357,293804688,203951393,132477634,83498429,49782762,28226980,16046742,8852664,4739413,2567345,1423061,801584,461748,264685,151225,86090,48498,27570,15893,9169,5283,2783"
g77,2022,"11069,22239,41334,66153,101996,156204,244340,391228,657267,1151243,2091037,3860487,7144865,13129841,23795207,42506606,73627568,121081282,190445202,294777027,456951582,638597366,729530852,702408586,634059665,561606349,486164981,402168386,310938880,219262108,143015673,90509195,54250535,30830619,17435678,9549022,5104799,2773103,1541129,871901,503780,290470,166285,94829,53500,30255,17448,10041,5804,3128"
g77,2023,"10586,22988,43413,71389,110425,168541,260971,413801,687196,1190584,2139602,3929896,7238449,13251962,23949788,42584072,73386758,119264564,184740846,280207566,430650625,615774796,730527649,718777514,652494298,577389652,501785255,418149986,327616659,234782089,154151213,97733696,58864864,33620047,18867757,10262825,5451648,2952908,1638222,930039,539668,314260,181194,104535,59606,33997,19818,11526,6745,3756"
g77,2024,"10338,23930,46427,82110,127787,193276,293579,456876,742117,1260124,2228116,4047123,7389880,13447568,24181233,42703503,73115536,117713068,179776014,267885606,406034005,590435735,726195550,734121265,671677263,594327212,517384785,433769510,343836917,250162813,165872133,105396109,63865684,36609549,20383723,11031776,5842336,3166595,1757603,997944,579925,339480,196262,113912,65202,37238,21782,12690,7450,4213"
g77,2025,"10083,25025,46368,79252,123158,187266,287592,452269,739434,1261609,2236321,4068637,7428630,13520370,24267509,42646244,72661946,116257372,175483926,257346961,383679300,564255154,717403027,747752664,691017279,612028584,532978903,449268818,359766271,265508254,178191716,113560449,69354153,39932611,22089601,11880210,6240331,3363485,1859575,1052963,611943,359815,208742,121686,69867,39919,23295,13582,7958,4534"
g77,2026,"10589,26851,48130,78893,122110,186077,288581,457604,751692,1289228,2288161,4163063,7592026,13795228,24638504,42987352,72643729,115300226,171831967,248108954,363294457,536549521,703652510,758479410,710410280,630823646,549109660,464967044,375484490,280719041,190775430,121892534,75016041,43366191,23868588,12782215,6679602,3589053,1980102,1117356,648402,381972,222268,129840,74807,42789,24889,14554,8524,4909"
g77,2027,"10679,28626,50925,83039,128228,195434,303251,480324,786574,1346671,2379789,4305683,7826052,14136919,25050914,43342868,72596415,114405173,168591652,240280932,345715356,509705723,687130372,766284725,729094655,649574669,564756474,480081576,390434024,295501646,203719275,130768035,81024532,47045771,25845774,13794346,7177138,3840800,2115346,1189876,688999,405668,236446,137975,79571,45415,26215,15293,8904,5120"
g77,2028,"11308,29852,52860,85327,131678,201287,312806,495793,813016,1391650,2453793,4422972,8022476,14404544,25342989,43531601,72398149,113562841,166096124,234333275,331764335,485872126,668460067,769528686,746104067,668093561,580377487,494855288,404901908,309891220,216501948,139742097,87056250,50859204,27968781,14861322,7698007,4091841,2244620,1256259,726184,427863,250645,146677,85235,48804,28211,16532,9666,5596"
g77,2029,"11835,31064,55240,89212,137430,210115,325834,514707,842716,1437695,2522433,4530896,8187937,14609313,25539702,43602930,72148481,112797932,164206699,229668138,320921625,465420570,650531204,769995447,761504839,685752596,595542698,508663686,418372086,323378183,228634732,148468574,92841960,54586462,30119632,15940945,8246996,4362093,2387206,1331192,768083,452634,266179,156002,91200,52354,30296,17801,10430,6072"
g77,2030,"11920,31706,56328,90949,140416,215014,333482,526351,861405,1466731,2562900,4593986,8275096,14691512,25553031,43420316,71624733,111878939,162672760,226230360,312838792,448978817,634545626,769206288,774905335,702229132,610016360,521475322,430631697,335586355,239817122,156887177,98459729,58291777,32323731,17080348,8827285,4643616,2531823,1406150,808297,475950,280504,164377,96444,55401,32003,18800,10998,6393"
g77,2031,"11598,31798,57031,92491,143314,219348,338913,532996,869844,1476959,2570845,4600429,8267709,14631905,25368669,42994784,70859849,110860668,161522690,224113631,307668438,436563328,620145528,766009899,786245399,717494078,624121619,533737471,442223984,347030337,250333221,164836346,103651481,61736797,34422618,18204331,9419710,4941912,2690184,1490561,853399,502028,296412,173687,102323,58902,34046,20024,11737,6850"
g77,2032,"11357,31705,57807,93641,144966,221460,341207,534741,869510,1471447,2551852,4556360,8173973,14437850,24995457,42325474,69830155,109667625,160489574,222633696,303967995,426850362,607938666,763790607,796685140,731725414,637097342,544940867,452912088,357585832,260064740,172351460,108560926,65038515,36472320,19309696,9982756,5209766,2825064,1560504,890062,523280,309594,181613,107370,61990,35875,21115,12411,7258"
g77,2033,"10333,29662,55131,89794,140759,216323,334220,524779,853818,1445222,2507404,4475951,8035271,14198022,24593307,41671918,68846189,108519040,159494633,221470508,301427115,419629309,597780058,760864500,805543252,744828424,649518729,555540611,462874563,367336121,269218356,179721486,113360436,68329270,38579120,20476487,10580367,5495528,2967017,1633481,927509,544244,322057,188974,111866,64736,37496,22039,12987,7609"
g77,2034,"9882,28831,54653,89165,139885,214913,331604,519703,842988,1422281,2463653,4389079,7881721,13938484,24170135,41014078,67888760,107427158,158613168,220510231,299549542,413939961,588877699,757960486,813680211,757298790,661590056,565802043,472356916,376408526,277709148,186650816,117979642,71466159,40555144,21604864,11185397,5799110,3125074,1718079,972861,570027,337549,198208,117464,68150,39521,23219,13714,8050"
g77,2035,"9486,27640,54102,88614,139082,213577,328854,514191,830826,1396457,2414271,4291279,7707385,13646452,23697379,40282595,66839986,106253836,157717445,219664596,297987229,409030508,580620916,755420381,821354686,769323550,673200889,575565851,481406725,385096705,285954975,193528070,122640389,74644265,42573158,22777188,11821555,6119750,3290641,1806827,1020445,596502,353391,207650,123121,71613,41595,24431,14459,8506"
g77,2036,"9152,26234,52088,85785,134907,207979,320735,502104,810528,1361205,2353441,4179473,7514327,13333202,23199418,39520699,65737685,104995643,156737610,218928989,296825924,405048275,573094837,751999474,827859096,780911724,684727564,585305615,490345445,393545941,294021259,200413690,127399526,77907633,44672071,24016651,12495320,6459153,3464411,1899725,1070120,624304,369780,217522,128937,75210,43693,25654,15195,8957"
g77,2037,"8428,25118,51346,84923,133532,205971,316987,495089,796236,1332708,2300027,4075461,7328504,13027762,22714054,38778095,64665730,103718066,155666930,218063373,295570101,401201294,565507646,747761801,833747029,792450728,696498627,595325566,499399514,402044655,302114416,207294154,132133820,81134755,46760715,25262197,13180347,6808392,3644441,1996645,1122096,653563,387099,228017,135150,79084,45997,27026,16043,9486"
g77,2038,"8057,23968,50562,84092,132218,204079,313388,488328,782299,1304729,2247031,3971703,7141535,12717295,22216253,38008969,63541258,102351792,154501788,217187580,294358109,397568102,557897756,743238741,839096511,803790860,708267787,605246870,508353952,410457813,310178882,214246492,137004360,84465364,48908291,26543503,13885694,7172788,3830881,2097692,1176050,683439,404475,238413,141204,82825,48176,28312,16822,9959"
