STAFF_NAME;College Name;Department;TEACH_TIME;TOTAL_VALID_TIME;PU 2012;PU 2013;PU 2014
anonymous teacher 31681445;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";287.99;377.99;20;27;306
anonymous teacher 31714052;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;149.92;307.92;59.4;163;121
anonymous teacher 31721560;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1226.25;1226.25;;;
anonymous teacher 31726390;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;303.75;303.75;15;;60
anonymous teacher 31745001;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";617.24;617.24;;;
anonymous teacher 31777464;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;302.5;302.5;;;
anonymous teacher 31861597;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;480.74;480.74;;;
anonymous teacher 31936584;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";161.16;161.16;;;
anonymous teacher 31946512;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;572.8;572.8;;;
anonymous teacher 31950254;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 31977739;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;128.82;128.82;;;
anonymous teacher 32035839;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";320.25;320.25;;;
anonymous teacher 32086605;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1585;1585;42.08;30;
anonymous teacher 32108308;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 32119100;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;2944.5;2944.5;;;
anonymous teacher 32166500;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;304.75;304.75;;;
anonymous teacher 32175962;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1009.5;1009.5;;;
anonymous teacher 32185995;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;85.11;85.11;;;
anonymous teacher 3221774;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";407.7;407.7;;;
anonymous teacher 3222088;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;642.5;642.5;8;;15
anonymous teacher 32260074;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;426.25;426.25;;;
anonymous teacher 32266399;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";463;463;;;
anonymous teacher 32275011;COLLEGE OF HEALTH SCIENCES;SCHOOL OF LAB MED & MEDICAL SC;1463.12;1639.12;;28;12
anonymous teacher 32294054;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;12;147;15;;
anonymous teacher 32301614;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;771;771;;;
anonymous teacher 32325558;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;169.5;169.5;;;
anonymous teacher 32346491;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;512.25;512.25;;;
anonymous teacher 32354681;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";3236.62;3236.62;;;
anonymous teacher 32366066;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 32400713;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1648;1648;;;
anonymous teacher 32413014;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;116.5;116.5;;;
anonymous teacher 32450375;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;526.89;526.89;;;
anonymous teacher 32477315;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;812.24;812.24;;;
anonymous teacher 32491413;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;220.75;220.75;;;
anonymous teacher 32525912;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";2840.75;2840.75;;;
anonymous teacher 32532325;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;43;43;;;
anonymous teacher 32596088;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;630;630;;;
anonymous teacher 32598078;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;629.33;1394.33;307.1;135;307.75
anonymous teacher 32604931;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;735.99;735.99;;;
anonymous teacher 32622206;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;1344.75;1344.75;;;
anonymous teacher 32628724;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;545.75;725.75;60;;120
anonymous teacher 32667093;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1867.25;2093.25;21.6;38;49.8
anonymous teacher 3272224;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";353.87;353.87;;;
anonymous teacher 32775615;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;32.46;32.46;;;
anonymous teacher 32789442;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;2206.74;2251.74;;;22.2
anonymous teacher 32859438;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";751.12;1146.12;;38;61
anonymous teacher 32860414;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";579.37;579.37;;;30
anonymous teacher 3287279;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";441.4;936.4;459.5;257;106
anonymous teacher 32893943;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";111.5;111.5;;;
anonymous teacher 32896081;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";287.75;287.75;;;
anonymous teacher 32900341;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;29.55;29.55;;4.95;15
anonymous teacher 32954639;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";280.5;280.5;;;
anonymous teacher 32979955;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1182.24;1380.24;175;96.8;194.4
anonymous teacher 32993543;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;435;435;;;
anonymous teacher 33086569;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;758;758;150;;60
anonymous teacher 33086892;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";2557.87;2557.87;;;
anonymous teacher 33105437;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;36;36;;;
anonymous teacher 33153359;COLLEGE OF HUMANITIES;SCHOOL OF APPLIED HUMAN SC;848.65;1097.65;54;310.6;24
anonymous teacher 33161676;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";478.23;643.23;;68;139.8
anonymous teacher 33222944;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;169.5;169.5;;;
anonymous teacher 33274283;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;865.5;865.5;;;
anonymous teacher 33282950;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;745.5;745.5;;;
anonymous teacher 33378222;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";394.48;969.48;683.4;353.4;647.4
anonymous teacher 33433851;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;399.62;1637.62;35.8;90;427.5
anonymous teacher 33443879;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;852;852;;;
anonymous teacher 33500410;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;542.81;621.81;81.95;192.68;368.4
anonymous teacher 33515494;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;291.75;291.75;;;
anonymous teacher 33527393;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 33545969;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;73.87;73.87;;;
anonymous teacher 3364366;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";986.74;1206.74;5.28;16;
anonymous teacher 33646627;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;959.05;1083.05;15;95.4;43.8
anonymous teacher 33658498;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;67.5;67.5;;;
anonymous teacher 33665774;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;564.25;564.25;;;
anonymous teacher 33696387;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;181.16;226.16;;;34
anonymous teacher 33736956;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;701.04;701.04;;;
anonymous teacher 33761161;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 33792666;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;75;75;;;
anonymous teacher 33814876;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;136.96;136.96;;;
anonymous teacher 33836266;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;1837.5;1882.5;30;;
anonymous teacher 33912441;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;7.4;7.4;;;
anonymous teacher 33929591;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;42;42;;;
anonymous teacher 33954091;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;895;963;;;
anonymous teacher 33970574;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;498.32;498.32;;;
anonymous teacher 3402089;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";243.5;243.5;;;
anonymous teacher 34038895;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;667.61;825.61;132;84;36
anonymous teacher 34043071;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;210;210;;;
anonymous teacher 34081176;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1170.37;1306.37;;;
anonymous teacher 34138502;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;257.88;1237.88;76;124;180
anonymous teacher 34154858;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";128.25;128.25;;;
anonymous teacher 34175477;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 34210756;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;424.73;1506.73;445;92;240
anonymous teacher 34407461;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;188.7;404.7;20;60;
anonymous teacher 34425818;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;411.23;411.23;;;120
anonymous teacher 34450723;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;538.46;606.46;8;30;16
anonymous teacher 34457665;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";879;879;;;
anonymous teacher 34497072;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;554.49;742.49;;;65
anonymous teacher 34513469;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;234;234;;;
anonymous teacher 34525447;COLLEGE OF LAW & MANAGEMENT STUDIES;GRAD SCHOOL OF BUS &LEADERSHIP;441.87;666.87;;;8
anonymous teacher 34599417;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;56.25;56.25;;;
anonymous teacher 3468220;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;40;40;;;
anonymous teacher 34685251;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;98;324;212;96.95;72
anonymous teacher 34734021;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;850.58;918.58;;;12
anonymous teacher 34741082;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";117.52;117.52;;;
anonymous teacher 34782002;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";41.5;41.5;;;
anonymous teacher 34805199;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;693.83;716.83;;;
anonymous teacher 34863671;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;435.74;435.74;;;
anonymous teacher 34948886;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;1463.49;1463.49;;;
anonymous teacher 34965246;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";170.85;170.85;;;
anonymous teacher 35004906;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";793.5;793.5;;;
anonymous teacher 35005503;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";199.12;424.12;;27.8;19.8
anonymous teacher 35016750;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";150;1473;;122;32
anonymous teacher 35038364;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";441;543;;0.6;63
anonymous teacher 3507618;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;1059;1059;;;
anonymous teacher 35113714;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;467.73;557.73;;;60
anonymous teacher 35115993;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";1178.24;1238.24;115.6;76;287.4
anonymous teacher 35191311;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;149.5;149.5;;;
anonymous teacher 35211753;COLLEGE OF HEALTH SCIENCES;SCHOOL OF LAB MED & MEDICAL SC;1214.98;1214.98;;;
anonymous teacher 35232726;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;41.52;41.52;;;
anonymous teacher 35276087;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;248;248;;;
anonymous teacher 35298633;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;449.05;989.05;;3.6;105
anonymous teacher 35333451;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";720.25;1350.25;;60;393.6
anonymous teacher 35346802;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;33.15;33.15;;;
anonymous teacher 3542360;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;292.12;292.12;;;
anonymous teacher 35428626;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;346.33;976.33;24;19.8;24
anonymous teacher 35452010;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;116.17;116.17;;;
anonymous teacher 35489484;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;295.5;295.5;;;
anonymous teacher 35494603;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;168.85;168.85;;7.5;
anonymous teacher 35514015;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";424;790;16;;19.8
anonymous teacher 35576710;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;113.5;113.5;;;
anonymous teacher 35597339;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";265;265;;;
anonymous teacher 35645995;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;711.5;711.5;;;
anonymous teacher 35658297;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1025.12;1105.12;60;60;64
anonymous teacher 35715357;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;520.5;520.5;;;
anonymous teacher 35762906;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;312;312;;;
anonymous teacher 35765354;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;263.27;263.27;;;
anonymous teacher 35770732;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;92.62;92.62;;;
anonymous teacher 35772159;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 35773700;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";90.52;90.52;;;
anonymous teacher 35827534;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;54;54;;;
anonymous teacher 3587038;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;203.25;203.25;;;
anonymous teacher 35914854;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;67.5;67.5;;;
anonymous teacher 36015499;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;90;90;;;
anonymous teacher 3602621;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";407.7;407.7;;;
anonymous teacher 36046226;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;355.5;355.5;;;
anonymous teacher 36053129;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;711;711;;;
anonymous teacher 36119624;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;170.75;170.75;;;
anonymous teacher 36140817;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;45;45;;;
anonymous teacher 36151364;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;701.5;701.5;;;
anonymous teacher 36185954;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;443.12;443.12;;;
anonymous teacher 36186490;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 36206319;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1237;1237;;;
anonymous teacher 36226992;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF LIFE SCIENCES;309.36;445.06;1134.6;627.4;555.9
anonymous teacher 36262893;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;135.5;135.5;;;
anonymous teacher 36318287;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";1039.5;1039.5;;;
anonymous teacher 36387569;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;879.13;1327.13;;;60
anonymous teacher 36389608;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;608.24;608.24;;30;30
anonymous teacher 36422581;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";2098.86;2098.86;;;
anonymous teacher 36512478;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;551.89;835.89;;;
anonymous teacher 36539623;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;27.75;27.75;;;
anonymous teacher 36554944;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";351.58;1116.58;60;8;76
anonymous teacher 36566622;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";310.5;310.5;;;
anonymous teacher 36573570;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";369;369;;;
anonymous teacher 36600890;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;674.62;1607.62;729.8;558.8;485.4
anonymous teacher 36605896;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;207;207;;;
anonymous teacher 36622149;COLLEGE OF HEALTH SCIENCES;SCHOOL OF HEALTH SCIENCES;76.5;346.5;38.4;170.4;175.2
anonymous teacher 36643343;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";403.78;403.78;;;
anonymous teacher 36646143;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;1573.5;1573.5;;;
anonymous teacher 36647848;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1109.25;1109.25;;;
anonymous teacher 36650875;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";409.95;409.95;;;
anonymous teacher 3668478;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;456.94;681.94;17.6;72;46
anonymous teacher 36742937;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;90;90;;;
anonymous teacher 36759803;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;1070.62;1235.62;60;60;30
anonymous teacher 36790215;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;1211.75;1211.75;;;
anonymous teacher 36821268;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";374.37;819.87;174.6;102;159.6
anonymous teacher 36861115;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;19.87;19.87;;;
anonymous teacher 36902922;COLLEGE OF HUMANITIES;SCHOOL OF ARTS;1288.25;1619.25;120;15;136
anonymous teacher 36902943;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;130.12;130.12;;;
anonymous teacher 36947942;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 36951508;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;1274.45;1274.45;;30;
anonymous teacher 3696899;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";390.87;390.87;;;
anonymous teacher 37017600;COLLEGE OF LAW & MANAGEMENT STUDIES;SCHOOL OF LAW;911.25;1137.25;;;
anonymous teacher 37019453;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;241.62;421.62;;;
anonymous teacher 37021677;COLLEGE OF HEALTH SCIENCES;SCHOOL OF NURS & PUBLIC HEALTH;87.45;87.45;;;
anonymous teacher 37021874;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;383.46;383.46;;;
anonymous teacher 37047719;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF MAN; INFO TECH &GOV";898.75;1453.75;60;;150
anonymous teacher 37051161;COLLEGE OF HUMANITIES;SCHOOL OF SOCIAL SCIENCES;590.62;590.62;;;
anonymous teacher 37070078;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;242.52;242.52;;;
anonymous teacher 37100494;COLLEGE OF HUMANITIES;SCHOOL OF EDUCATION;2068.9;2068.9;;;
anonymous teacher 37101929;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;572.5;572.5;;;
anonymous teacher 37118631;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;42;42;129.6;30;
anonymous teacher 37163744;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;151.98;151.98;;;
anonymous teacher 37166717;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF MATHS;STATS &COMP SC";572.45;640.45;16;68;
anonymous teacher 3722392;COLLEGE OF HUMANITIES;SCHOOL OF BUILT ENV & DEV STUD;683.19;1242.19;378;357.6;256
anonymous teacher 37295002;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;296.87;296.87;;;
anonymous teacher 37323753;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";472.87;472.87;;;
anonymous teacher 37353330;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";565;1515;142.4;122.6;222.8
anonymous teacher 37411821;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF CHEMISTRY & PHYSICS;2511.75;2511.75;;;
anonymous teacher 37413314;COLLEGE OF LAW & MANAGEMENT STUDIES;COLLEGE ADMIN OFFICE:L&MS;45;45;;;
anonymous teacher 37428633;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";52.5;52.5;;8;
anonymous teacher 37462276;COLLEGE OF HUMANITIES;"SCHOOL OF REL; PHIL & CLASSICS";117.52;117.52;;;
anonymous teacher 3749339;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";"SCHOOL OF AGRI; EARTH & ENV SC";127;127;;;
anonymous teacher 37528551;COLLEGE OF HEALTH SCIENCES;SCHOOL OF CLINICAL MEDICINE;76;76;109.8;75;87.6
anonymous teacher 37529734;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;126.5;126.5;;;
anonymous teacher 37537290;COLLEGE OF LAW & MANAGEMENT STUDIES;"SCHOOL OF ACC; ECONOMICS&FIN";36;36;;;
anonymous teacher 37566832;"COLLEGE OF AGRICULTURE; ENGINEERING & SCIENCE";SCHOOL OF ENGINEERING;300.5;300.5;;;
