country,time,six_vacc_rate
sdn,2019,90
sdn,2020,86
sen,2005,18
sen,2006,80
sen,2007,84
sen,2008,77
sen,2009,79
sen,2010,76
sen,2011,84
sen,2012,83
sen,2013,84
sen,2014,80
sen,2015,80
sen,2016,92
sen,2017,90
sen,2018,85
sen,2019,89
sen,2020,84
sgp,2013,85
sgp,2014,86
sgp,2015,95
sgp,2016,95
sgp,2017,95
sgp,2018,95
sgp,2019,95
slb,2008,71
slb,2009,69
slb,2010,74
slb,2011,77
slb,2012,85
slb,2013,76
slb,2014,76
slb,2015,75
slb,2016,80
slb,2017,78
slb,2018,83
slb,2019,77
slb,2020,81
sle,2007,60
sle,2008,73
sle,2009,80
sle,2010,82
sle,2011,84
sle,2012,86
sle,2013,85
sle,2014,80
sle,2015,78
sle,2016,84
sle,2017,80
sle,2018,87
sle,2019,86
sle,2020,72
slv,2002,81
slv,2003,90
slv,2004,90
slv,2005,84
slv,2006,93
slv,2007,99
slv,2008,95
slv,2009,91
slv,2010,89
slv,2011,89
slv,2012,90
slv,2013,90
slv,2014,85
slv,2015,91
slv,2016,87
slv,2017,83
slv,2018,81
slv,2019,78
slv,2020,64
som,2013,37
som,2014,37
som,2015,37
som,2016,37
som,2017,37
som,2018,37
som,2019,37
som,2020,37
srb,2006,42
srb,2007,89
srb,2008,92
srb,2009,93
srb,2010,89
srb,2011,93
srb,2012,87
srb,2013,91
srb,2014,86
srb,2015,86
srb,2016,82
srb,2017,86
srb,2018,91
srb,2019,87
ssd,2015,31
ssd,2016,45
ssd,2017,47
ssd,2018,49
ssd,2019,49
ssd,2020,49
stp,2010,92
stp,2011,91
stp,2012,92
stp,2013,91
stp,2014,92
stp,2015,93
stp,2016,92
stp,2017,90
stp,2018,95
stp,2019,95
svk,2000,59
svk,2001,70
svk,2002,92
svk,2003,98
svk,2004,98
svk,2005,98
svk,2006,98
svk,2007,98
svk,2008,98
svk,2009,97
svk,2010,98
svk,2011,97
svk,2012,90
swe,2011,23
swe,2012,24
swe,2013,27
swe,2014,26
swe,2015,24
swe,2016,26
swe,2017,25
swe,2018,26
swe,2019,25
swe,2020,26
swz,2009,88
swz,2010,89
swz,2011,85
swz,2012,88
swz,2013,96
swz,2014,97
swz,2015,84
swz,2016,89
swz,2017,89
swz,2018,85
swz,2019,81
swz,2020,76
syc,2010,99
syc,2011,99
syc,2012,98
syc,2013,97
syc,2014,98
syc,2015,97
syc,2016,96
syc,2017,97
syc,2018,96
syc,2019,98
syc,2020,97
syr,2001,80
syr,2002,80
syr,2003,81
syr,2004,81
syr,2005,80
syr,2006,80
syr,2007,80
syr,2008,79
syr,2009,80
syr,2010,80
syr,2011,60
syr,2012,43
syr,2013,41
syr,2014,43
syr,2015,41
syr,2016,42
syr,2017,48
syr,2018,47
syr,2019,54
syr,2020,49
tcd,2008,17
tcd,2009,24
tcd,2010,39
tcd,2011,33
tcd,2012,40
tcd,2013,39
tcd,2014,36
tcd,2015,42
tcd,2016,37
tcd,2017,37
tcd,2018,26
tcd,2019,41
tcd,2020,47
tgo,2008,24
tgo,2009,66
tgo,2010,68
tgo,2011,72
tgo,2012,72
tgo,2013,72
tgo,2014,77
tgo,2015,75
tgo,2016,73
tgo,2017,76
tgo,2018,58
tgo,2019,75
tgo,2020,69
tjk,2008,46
tjk,2009,82
tjk,2010,93
tjk,2011,96
tjk,2012,94
tjk,2013,92
tjk,2014,94
tjk,2015,96
tjk,2016,96
tjk,2017,96
tjk,2018,96
tjk,2019,97
tjk,2020,97
tkm,2010,58
tkm,2011,71
tkm,2012,97
tkm,2013,97
tkm,2014,97
tkm,2015,99
tkm,2016,98
tkm,2017,98
tkm,2018,98
tkm,2019,98
tkm,2020,98
tls,2013,70
tls,2014,74
tls,2015,70
tls,2016,73
tls,2017,77
tls,2018,77
tls,2019,85
tls,2020,79
ton,2005,99
ton,2006,99
ton,2007,99
ton,2008,98
ton,2009,99
ton,2010,99
ton,2011,99
ton,2012,95
ton,2013,99
ton,2014,98
ton,2015,91
ton,2016,91
ton,2017,99
ton,2018,99
ton,2019,99
ton,2020,99
tun,2003,90
tun,2004,95
tun,2005,80
tun,2011,43
tun,2012,93
tun,2013,92
tun,2014,91
tun,2015,93
tun,2016,90
tun,2017,84
tun,2018,84
tun,2019,83
tun,2020,85
tur,2007,76
tur,2008,92
tur,2009,94
tur,2010,96
tur,2011,96
tur,2012,96
tur,2013,96
tur,2014,94
tur,2015,96
tur,2016,96
tur,2017,93
tur,2018,96
tur,2019,96
tur,2020,95
tuv,2009,84
tuv,2010,85
tuv,2011,96
tuv,2012,97
tuv,2013,90
tuv,2014,89
tuv,2015,94
tuv,2016,94
tuv,2017,95
tuv,2018,88
tuv,2019,92
tuv,2020,90
tza,2009,85
tza,2010,91
tza,2011,88
tza,2012,90
tza,2013,91
tza,2014,97
tza,2015,93
tza,2016,83
tza,2017,89
tza,2018,82
tza,2019,88
tza,2020,65
uga,2002,29
uga,2003,44
uga,2004,58
uga,2005,59
uga,2006,62
uga,2007,70
uga,2008,69
uga,2009,77
uga,2010,73
uga,2011,75
uga,2012,79
uga,2013,78
uga,2014,78
uga,2015,79
uga,2016,79
uga,2017,83
uga,2018,86
uga,2019,87
uga,2020,87
ukr,2006,11
ukr,2007,46
ukr,2008,81
ukr,2009,66
ukr,2010,48
ukr,2011,21
ukr,2012,46
ukr,2013,46
ukr,2014,22
ukr,2015,22
ukr,2016,19
ukr,2017,39
ukr,2018,58
ukr,2019,76
ukr,2020,81
ury,1999,91
ury,2000,88
ury,2001,90
ury,2002,93
ury,2003,91
ury,2004,94
ury,2005,95
ury,2006,94
ury,2007,94
ury,2008,94
ury,2009,94
ury,2010,95
ury,2011,95
ury,2012,95
ury,2013,94
ury,2014,95
ury,2015,95
ury,2016,95
ury,2017,93
ury,2018,91
ury,2019,93
ury,2020,91
uzb,2009,95
uzb,2010,98
uzb,2011,99
uzb,2012,99
uzb,2013,97
uzb,2014,99
uzb,2015,99
uzb,2016,99
uzb,2017,99
uzb,2018,96
uzb,2019,96
uzb,2020,95
vct,2003,27
vct,2004,99
vct,2005,93
vct,2006,99
vct,2007,93
vct,2008,87
vct,2009,80
vct,2010,90
vct,2011,96
vct,2012,94
vct,2013,96
vct,2014,97
vct,2015,99
vct,2016,99
vct,2017,99
vct,2018,97
vct,2019,97
vct,2020,97
ven,2000,2
ven,2001,34
ven,2002,59
ven,2003,54
ven,2004,60
ven,2005,76
ven,2006,71
ven,2007,62
ven,2008,50
ven,2009,75
ven,2010,74
ven,2011,78
ven,2012,73
ven,2013,82
ven,2014,78
ven,2015,87
ven,2016,82
ven,2017,66
ven,2018,53
ven,2019,62
ven,2020,54
vnm,2010,63
vnm,2011,95
vnm,2012,96
vnm,2013,59
vnm,2014,95
vnm,2015,97
vnm,2016,95
vnm,2017,94
vnm,2018,75
vnm,2019,89
vnm,2020,80
vut,2011,64
vut,2012,64
vut,2013,78
vut,2014,80
vut,2015,76
vut,2016,81
vut,2017,80
vut,2018,75
vut,2019,80
vut,2020,76
wsm,2008,26
wsm,2009,45
wsm,2010,56
wsm,2011,59
wsm,2012,76
wsm,2013,82
wsm,2014,78
wsm,2015,69
wsm,2016,68
wsm,2017,58
wsm,2018,31
wsm,2019,55
wsm,2020,57
yem,2005,43
yem,2006,65
yem,2007,64
yem,2008,60
yem,2009,58
yem,2010,65
yem,2011,59
yem,2012,63
yem,2013,67
yem,2014,67
yem,2015,47
yem,2016,65
yem,2017,62
yem,2018,59
yem,2019,67
yem,2020,66
zaf,2000,71
zaf,2001,69
zaf,2002,65
zaf,2003,62
zaf,2004,63
zaf,2005,64
zaf,2006,69
zaf,2007,68
zaf,2008,73
zaf,2009,74
zaf,2010,71
zaf,2011,71
zaf,2012,69
zaf,2013,73
zaf,2014,84
zaf,2015,83
zaf,2016,79
zaf,2017,75
zaf,2018,70
zaf,2019,83
zaf,2020,84
zmb,2005,82
zmb,2006,81
zmb,2007,77
zmb,2008,87
zmb,2009,90
zmb,2010,80
zmb,2011,81
zmb,2012,70
zmb,2013,74
zmb,2014,78
zmb,2015,90
zmb,2016,91
zmb,2017,92
zmb,2018,90
zmb,2019,88
zmb,2020,83
zwe,2008,70
zwe,2009,69
zwe,2010,89
zwe,2011,92
zwe,2012,95
zwe,2013,93
zwe,2014,91
zwe,2015,86
zwe,2016,90
zwe,2017,89
zwe,2018,88
zwe,2019,85
zwe,2020,85
