country,time,cliberties_idea
gtm,2019,61.012
hnd,1975,33.15334
hnd,1976,33.54172
hnd,1977,33.27476
hnd,1978,32.53794
hnd,1979,31.38147
hnd,1980,39.73667
hnd,1981,43.82372
hnd,1982,45.32179
hnd,1983,45.81083
hnd,1984,45.60161
hnd,1985,45.40196
hnd,1986,47.2032
hnd,1987,47.59826
hnd,1988,48.246
hnd,1989,49.40384
hnd,1990,51.6208
hnd,1991,53.55069
hnd,1992,55.32594
hnd,1993,53.17921
hnd,1994,56.61801
hnd,1995,58.83264
hnd,1996,59.21825
hnd,1997,59.29618
hnd,1998,60.30031
hnd,1999,60.24542
hnd,2000,59.61269
hnd,2001,59.20178
hnd,2002,58.45596
hnd,2003,59.51981
hnd,2004,58.95035
hnd,2005,58.90433
hnd,2006,60.6046
hnd,2007,61.04248
hnd,2008,60.10347
hnd,2009,51.4115
hnd,2010,55.93036
hnd,2011,57.09626
hnd,2012,58.0695
hnd,2013,62.1199
hnd,2014,61.85017
hnd,2015,60.12433
hnd,2016,60.24451
hnd,2017,60.13347
hnd,2018,60.99729
hnd,2019,57.30203
hrv,1991,45.63632
hrv,1992,46.7487
hrv,1993,48.22222
hrv,1994,48.29369
hrv,1995,48.34407
hrv,1996,53.06687
hrv,1997,53.18291
hrv,1998,52.16933
hrv,1999,54.48258
hrv,2000,73.60183
hrv,2001,74.89376
hrv,2002,75.19691
hrv,2003,75.0431
hrv,2004,75.46415
hrv,2005,74.12018
hrv,2006,74.41028
hrv,2007,74.88059
hrv,2008,74.37572
hrv,2009,75.05955
hrv,2010,74.85082
hrv,2011,77.79144
hrv,2012,76.82346
hrv,2013,73.85573
hrv,2014,75.21995
hrv,2015,74.25059
hrv,2016,68.00466
hrv,2017,65.26666
hrv,2018,64.89568
hrv,2019,64.2513
hti,1975,20.14331
hti,1976,20.11391
hti,1977,19.71947
hti,1978,19.35733
hti,1979,19.65454
hti,1980,18.25186
hti,1981,21.37245
hti,1982,21.03859
hti,1983,20.39713
hti,1984,20.73172
hti,1985,21.22161
hti,1986,34.6928
hti,1987,47.08627
hti,1988,49.07583
hti,1989,49.64266
hti,1990,47.80619
hti,1991,47.14034
hti,1992,36.36715
hti,1993,37.83861
hti,1994,42.171
hti,1995,57.26817
hti,1996,57.05106
hti,1997,59.97624
hti,1998,60.56714
hti,1999,59.84309
hti,2000,59.04671
hti,2001,55.26451
hti,2002,54.20756
hti,2003,51.95038
hti,2004,53.74192
hti,2005,56.97428
hti,2006,61.60854
hti,2007,64.28284
hti,2008,63.99955
hti,2009,62.70484
