country,time,judicindep_idea
chn,1992,23.30694
chn,1993,23.44157
chn,1994,23.44157
chn,1995,23.44157
chn,1996,23.44157
chn,1997,23.44157
chn,1998,23.44157
chn,1999,23.44157
chn,2000,23.30694
chn,2001,23.30694
chn,2002,24.52081
chn,2003,24.52081
chn,2004,24.52081
chn,2005,24.52081
chn,2006,24.52081
chn,2007,24.52081
chn,2008,24.52081
chn,2009,24.52081
chn,2010,24.52081
chn,2011,24.28418
chn,2012,24.28418
chn,2013,23.07075
chn,2014,23.07075
chn,2015,22.45639
chn,2016,22.45639
chn,2017,23.07075
chn,2018,21.78429
chn,2019,21.78429
civ,1975,49.4363
civ,1976,49.4363
civ,1977,49.4363
civ,1978,49.4363
civ,1979,49.4363
civ,1980,49.4363
civ,1981,50.63581
civ,1982,50.63581
civ,1983,49.37332
civ,1984,50.43729
civ,1985,50.79605
civ,1986,50.79605
civ,1987,49.5427
civ,1988,50.79605
civ,1989,50.79605
civ,1990,47.74087
civ,1991,48.02029
civ,1992,48.79291
civ,1993,48.10263
civ,1994,48.10263
civ,1995,46.66341
civ,1996,49.54033
civ,1997,49.54033
civ,1998,50.29788
civ,1999,52.25522
civ,2000,49.5166
civ,2001,49.08127
civ,2002,51.12909
civ,2003,51.12909
civ,2004,51.12909
civ,2005,49.48483
civ,2006,49.48483
civ,2007,49.48483
civ,2008,49.48483
civ,2009,47.98709
civ,2010,47.98709
civ,2011,49.48483
civ,2012,49.48483
civ,2013,41.85293
civ,2014,41.85293
civ,2015,41.85293
civ,2016,41.85293
civ,2017,41.68394
civ,2018,47.22665
civ,2019,45.21938
cmr,1975,15.21675
cmr,1976,15.21675
cmr,1977,15.21675
cmr,1978,15.21675
cmr,1979,15.21675
cmr,1980,17.36472
cmr,1981,18.99631
cmr,1982,19.35373
cmr,1983,19.35373
cmr,1984,18.83604
cmr,1985,19.37718
cmr,1986,19.37718
cmr,1987,19.37718
cmr,1988,19.37718
cmr,1989,19.74046
cmr,1990,23.57833
cmr,1991,23.16151
cmr,1992,23.16151
cmr,1993,23.16151
cmr,1994,23.16151
cmr,1995,23.57833
cmr,1996,23.57833
cmr,1997,23.57833
cmr,1998,23.57833
cmr,1999,23.57833
cmr,2000,23.16151
cmr,2001,23.16151
cmr,2002,23.16151
cmr,2003,23.16151
cmr,2004,23.16151
cmr,2005,21.7125
cmr,2006,21.7125
cmr,2007,21.7125
cmr,2008,21.7125
cmr,2009,21.7125
cmr,2010,21.7125
cmr,2011,21.7125
cmr,2012,21.7125
cmr,2013,24.94968
cmr,2014,24.94968
cmr,2015,24.94968
cmr,2016,25.66094
cmr,2017,25.66094
cmr,2018,21.24021
cmr,2019,19.37316
cod,1975,16.12785
cod,1976,16.12785
cod,1977,16.12785
cod,1978,16.12785
cod,1979,16.12785
cod,1980,16.12785
cod,1981,15.8392
cod,1982,17.83208
cod,1983,17.83208
cod,1984,15.10964
cod,1985,17.12814
cod,1986,17.12814
cod,1987,15.10964
cod,1988,15.10964
cod,1989,17.12814
cod,1990,24.76825
cod,1991,24.48415
cod,1992,25.40594
cod,1993,25.40594
cod,1994,25.68705
cod,1995,25.68705
cod,1996,25.68705
cod,1997,20.05302
cod,1998,28.90099
