country,time,ajustice_idea
can,1982,88.63582
can,1983,89.21732
can,1984,89.21422
can,1985,89.1632
can,1986,89.24721
can,1987,89.23203
can,1988,89.2222
can,1989,89.27586
can,1990,89.27638
can,1991,89.17394
can,1992,89.17583
can,1993,89.20209
can,1994,89.21876
can,1995,89.06672
can,1996,89.25111
can,1997,89.07814
can,1998,89.17607
can,1999,89.36273
can,2000,89.41301
can,2001,89.20307
can,2002,89.2375
can,2003,89.16079
can,2004,89.15871
can,2005,89.22452
can,2006,89.14
can,2007,89.29933
can,2008,89.09565
can,2009,89.09487
can,2010,89.03554
can,2011,89.08515
can,2012,89.26291
can,2013,89.25866
can,2014,89.16189
can,2015,88.99197
can,2016,88.51212
can,2017,88.63061
can,2018,90.61123
can,2019,81.17129
che,1975,91.32993
che,1976,91.46706
che,1977,91.52813
che,1978,91.45059
che,1979,91.50903
che,1980,91.3602
che,1981,91.3508
che,1982,91.41646
che,1983,91.45315
che,1984,91.26466
che,1985,91.27854
che,1986,91.41368
che,1987,91.25275
che,1988,91.47746
che,1989,91.24142
che,1990,91.96756
che,1991,93.35517
che,1992,93.13209
che,1993,93.01033
che,1994,93.21134
che,1995,93.12447
che,1996,93.1709
che,1997,93.26236
che,1998,93.15192
che,1999,92.91857
che,2000,93.15016
che,2001,93.21962
che,2002,93.11411
che,2003,93.07787
che,2004,93.26897
che,2005,93.21749
che,2006,92.96029
che,2007,93.17368
che,2008,93.13024
che,2009,93.20471
che,2010,93.16467
che,2011,93.23089
che,2012,93.18616
che,2013,94.43067
che,2014,94.37396
che,2015,93.45599
che,2016,93.51564
che,2017,93.51126
che,2018,93.55317
che,2019,93.58613
chl,1975,36.37618
chl,1976,36.37936
chl,1977,37.92375
chl,1978,38.01119
chl,1979,38.07533
chl,1980,37.79752
chl,1981,37.83472
chl,1982,37.8382
chl,1983,38.01747
chl,1984,37.98767
chl,1985,37.82798
chl,1986,37.94042
chl,1987,38.02708
chl,1988,37.94815
chl,1989,38.01127
chl,1990,73.35558
chl,1991,73.59299
chl,1992,73.73534
chl,1993,73.72747
chl,1994,73.86734
chl,1995,73.86959
chl,1996,76.11481
chl,1997,76.22109
chl,1998,76.23463
chl,1999,76.1565
chl,2000,76.22142
chl,2001,76.28575
chl,2002,77.8923
chl,2003,77.71249
chl,2004,77.64773
chl,2005,77.66656
chl,2006,76.44508
chl,2007,76.46061
chl,2008,76.4608
chl,2009,76.29777
chl,2010,76.37407
chl,2011,77.9535
chl,2012,77.91676
chl,2013,79.47816
chl,2014,79.38872
chl,2015,79.68834
chl,2016,79.56565
chl,2017,79.86643
chl,2018,79.2878
chl,2019,77.74533
chn,1975,26.33938
chn,1976,26.29402
chn,1977,26.08491
chn,1978,33.04116
chn,1979,41.31132
chn,1980,46.69333
chn,1981,46.55184
chn,1982,46.78416
chn,1983,46.55385
chn,1984,46.47482
chn,1985,46.433
chn,1986,46.47332
chn,1987,46.53247
chn,1988,46.57048
chn,1989,46.50916
chn,1990,46.32992
chn,1991,46.48254
chn,1992,46.41745
chn,1993,46.21093
chn,1994,46.21172
chn,1995,46.12908
chn,1996,46.12896
