country,time,emigrant_n
nld,2020,970403
nor,1990,138289
nor,1995,151041
nor,2000,163834
nor,2005,174063
nor,2010,179971
nor,2015,185578
nor,2020,191392
npl,1990,748053
npl,1995,856028
npl,2000,977396
npl,2005,1289629
npl,2010,1712697
npl,2015,2270166
npl,2020,2599701
nru,1990,1419
nru,1995,1511
nru,2000,1593
nru,2005,1869
nru,2010,2130
nru,2015,2267
nru,2020,2454
nzl,1990,388017
nzl,1995,416922
nzl,2000,489824
nzl,2005,555511
nzl,2010,662316
nzl,2015,738044
nzl,2020,806159
omn,1990,12504
omn,1995,13844
omn,2000,15623
omn,2005,18824
omn,2010,20752
omn,2015,22797
omn,2020,25099
pak,1990,3341086
pak,1995,3340157
pak,2000,3406434
pak,2005,3777830
pak,2010,4790584
pak,2015,5798210
pak,2020,6328400
pan,1990,134392
pan,1995,132978
pan,2000,136929
pan,2005,131417
pan,2010,139844
pan,2015,150210
pan,2020,139520
per,1990,313209
per,1995,505474
per,2000,694144
per,2005,969002
per,2010,1299095
per,2015,1410199
per,2020,1519635
phl,1990,2012499
phl,1995,2481963
phl,2000,3062665
phl,2005,3684528
phl,2010,4692695
phl,2015,5498232
phl,2020,6094307
plw,1990,2957
plw,1995,2844
plw,2000,3998
plw,2005,3782
plw,2010,2619
plw,2015,2559
plw,2020,2656
png,1990,3107
png,1995,4059
png,2000,4552
png,2005,4493
png,2010,4231
png,2015,4980
png,2020,4810
pol,1990,1673426
pol,1995,1775774
pol,2000,2047626
pol,2005,2884657
pol,2010,3716338
pol,2015,4077038
pol,2020,4825096
prk,1990,39383
prk,1995,53797
prk,2000,72350
prk,2005,86763
prk,2010,96459
prk,2015,103898
prk,2020,110377
prt,1990,1871869
prt,1995,1920865
prt,2000,1993793
prt,2005,1743009
prt,2010,1927397
prt,2015,1971655
prt,2020,2081419
pry,1990,297742
pry,1995,335845
pry,2000,374675
pry,2005,545698
pry,2010,765811
pry,2015,845591
pry,2020,896484
pse,1990,1812673
pse,1995,2274589
pse,2000,2767331
pse,2005,3258102
pse,2010,3539908
pse,2015,3773988
pse,2020,4022791
qat,1990,12175
qat,1995,13302
qat,2000,14680
qat,2005,17131
qat,2010,20674
qat,2015,23574
qat,2020,25705
rou,1990,811853
rou,1995,976732
rou,2000,1138825
rou,2005,2105906
rou,2010,3363361
rou,2015,3420714
rou,2020,3987093
rus,1990,12653331
rus,1995,11587959
rus,2000,10664764
rus,2005,10302948
rus,2010,10118680
rus,2015,10179999
rus,2020,10756697
rwa,1990,547717
rwa,1995,2060363
rwa,2000,318198
rwa,2005,289100
rwa,2010,334244
rwa,2015,503667
rwa,2020,492489
sau,1990,107045
sau,1995,130911
sau,2000,153614
sau,2005,178744
sau,2010,215338
sau,2015,282906
sau,2020,299268
sdn,1990,584935
sdn,1995,775375
sdn,2000,885660
sdn,2005,1277632
sdn,2010,1235193
sdn,2015,1842602
sdn,2020,2104887
sen,1990,370243
sen,1995,359061
sen,2000,394608
sen,2005,470508
sen,2010,547495
sen,2015,594507
sen,2020,693765
sgp,1990,156444
sgp,1995,168100
sgp,2000,192930
sgp,2005,235683
sgp,2010,282421
sgp,2015,324639
sgp,2020,348464
slb,1990,2212
slb,1995,2542
slb,2000,2728
slb,2005,2999
slb,2010,3371
slb,2015,3886
slb,2020,4270
sle,1990,61853
sle,1995,457827
sle,2000,509098
sle,2005,151886
sle,2010,126730
sle,2015,139296
sle,2020,152486
slv,1990,1241849
slv,1995,933103
slv,2000,949042
slv,2005,1118793
slv,2010,1337085
slv,2015,1512895
slv,2020,1599058
smr,1990,1413
smr,1995,2456
smr,2000,3494
smr,2005,2907
smr,2010,2266
smr,2015,3688
smr,2020,2407
som,1990,848055
som,1995,968956
som,2000,1006128
som,2005,1060953
som,2010,1595328
som,2015,2008490
som,2020,2034221
srb,1990,742547
srb,1995,914112
srb,2000,1131919
srb,2005,960621
srb,2010,936001
srb,2015,826891
srb,2020,1003962
ssd,1990,514943
ssd,1995,438044
ssd,2000,342628
ssd,2005,228537
ssd,2010,402616
ssd,2015,1060678
ssd,2020,2575870
stp,1990,13965
stp,1995,19261
stp,2000,25145
stp,2005,29859
stp,2010,30928
stp,2015,35162
stp,2020,39608
sur,1990,177857
sur,1995,191535
sur,2000,211219
sur,2005,248782
sur,2010,258715
sur,2015,254612
sur,2020,273209
svk,1990,132977
svk,1995,191610
svk,2000,251533
svk,2005,271828
svk,2010,260656
svk,2015,347385
svk,2020,419651
svn,1990,91447
svn,1995,108611
svn,2000,118659
svn,2005,119399
svn,2010,122948
svn,2015,136538
svn,2020,160197
swe,1990,205942
swe,1995,225655
swe,2000,256610
swe,2005,267953
swe,2010,291904
swe,2015,302408
swe,2020,327581
swz,1990,35179
swz,1995,30340
swz,2000,34116
swz,2005,44861
swz,2010,69030
swz,2015,46236
swz,2020,50039
syc,1990,35633
syc,1995,27798
syc,2000,19244
syc,2005,23487
syc,2010,25932
syc,2015,27483
syc,2020,29258
syr,1990,620285
syr,1995,661278
syr,2000,707070
syr,2005,813361
syr,2010,1057322
syr,2015,6447843
syr,2020,8457214
tcd,1990,336798
tcd,1995,223096
tcd,2000,206052
tcd,2005,210661
tcd,2010,202423
tcd,2015,191269
tcd,2020,222303
tgo,1990,193827
tgo,1995,309616
tgo,2000,267164
tgo,2005,405803
tgo,2010,417178
tgo,2015,495380
