country,time,non_net_users_prc
dza,1990,100
dza,1991,100
dza,1992,100
dza,1993,100
dza,1994,100
dza,1995,100
dza,1996,100
dza,1997,99.99
dza,1998,99.98
dza,1999,99.8
dza,2000,99.51
dza,2001,99.35
dza,2002,98.41
dza,2003,97.8
dza,2004,95.37
dza,2005,94.16
dza,2006,92.62
dza,2007,90.55
dza,2008,89.82
dza,2009,88.77
dza,2010,87.5
dza,2011,85.1
dza,2012,81.8
dza,2013,77.5
dza,2014,70.5
dza,2015,61.8
dza,2016,57.05
dza,2017,52.31
dza,2018,40.42
dza,2019,40.42
ecu,1990,100
ecu,1991,100
ecu,1992,99.99
ecu,1993,99.98
ecu,1994,99.97
ecu,1995,99.96
ecu,1996,99.91
ecu,1997,99.89
ecu,1998,99.87
ecu,1999,99.18
ecu,2000,98.54
ecu,2001,97.33
ecu,2002,95.74
ecu,2003,95.54
ecu,2004,95.17
ecu,2005,94.01
ecu,2006,92.8
ecu,2007,89.2
ecu,2008,81.2
ecu,2009,75.4
ecu,2010,70.97
ecu,2011,68.63
ecu,2012,64.86
ecu,2013,59.72
ecu,2014,54.41
ecu,2015,51.06
ecu,2016,45.94
ecu,2017,42.73
ecu,2018,42.73
ecu,2019,42.73
egy,1990,100
egy,1991,100
egy,1992,100
egy,1993,100
egy,1994,99.99
egy,1995,99.97
egy,1996,99.94
egy,1997,99.91
egy,1998,99.85
egy,1999,99.71
egy,2000,99.36
egy,2001,99.16
egy,2002,97.28
egy,2003,95.96
egy,2004,88.08
egy,2005,87.25
egy,2006,86.34
egy,2007,83.97
egy,2008,81.99
egy,2009,80
egy,2010,78.4
egy,2011,74.4
egy,2012,73.6
egy,2013,70.6
egy,2014,66.11
egy,2015,62.18
egy,2016,58.75
egy,2017,55.05
egy,2018,53.08
egy,2019,42.72
eri,1990,100
eri,1991,100
eri,1992,100
eri,1993,100
eri,1994,100
eri,1995,100
eri,1996,100
eri,1997,99.99
eri,1998,99.99
eri,1999,99.97
eri,2000,99.86
eri,2001,99.84
eri,2002,99.77
eri,2003,99.77
eri,2004,99.77
eri,2005,99.77
eri,2006,99.77
eri,2007,99.59
eri,2008,99.53
eri,2009,99.46
eri,2010,99.39
eri,2011,99.3
eri,2012,99.2
eri,2013,99.1
eri,2014,99.01
eri,2015,98.92
eri,2016,98.82
eri,2017,98.69
eri,2018,98.69
eri,2019,98.69
esp,1990,99.99
esp,1991,99.97
esp,1992,99.92
esp,1993,99.87
esp,1994,99.72
esp,1995,99.62
esp,1996,98.67
esp,1997,97.2
esp,1998,95.64
esp,1999,92.91
esp,2000,86.38
esp,2001,81.85
esp,2002,79.61
esp,2003,60.07
esp,2004,55.99
esp,2005,52.12
esp,2006,49.63
esp,2007,44.89
esp,2008,40.4
esp,2009,37.6
esp,2010,34.2
esp,2011,32.91
esp,2012,30.19
esp,2013,28.37
esp,2014,23.81
esp,2015,21.31
esp,2016,19.44
esp,2017,15.4
esp,2018,13.89
esp,2019,9.28
est,1990,100
est,1991,100
est,1992,99.93
est,1993,99.7
est,1994,98.84
est,1995,97.22
est,1996,96.47
est,1997,94.29
est,1998,89.2
est,1999,85.5
est,2000,71.42
est,2001,68.47
est,2002,58.48
est,2003,54.68
est,2004,46.8
est,2005,38.55
est,2006,36.49
est,2007,33.81
est,2008,29.42
est,2009,27.5
est,2010,25.9
est,2011,23.5
est,2012,21.61
est,2013,20
est,2014,15.76
est,2015,11.59
est,2016,12.76
est,2017,11.9
est,2018,10.64
est,2019,10.47
eth,1990,100
eth,1991,100
eth,1992,100
eth,1993,100
eth,1994,100
eth,1995,100
eth,1996,100
eth,1997,100
eth,1998,99.99
eth,1999,99.99
eth,2000,99.98
eth,2001,99.96
eth,2002,99.93
eth,2003,99.89
eth,2004,99.84
eth,2005,99.78
eth,2006,99.69
eth,2007,99.63
eth,2008,99.55
eth,2009,99.46
eth,2010,99.25
eth,2011,98.9
eth,2012,97.1
eth,2013,95.4
eth,2014,92.3
eth,2015,86.14
eth,2016,84.63
eth,2017,81.38
eth,2018,81.38
eth,2019,81.38
fin,1990,99.6
fin,1991,98.6
fin,1992,98.11
fin,1993,97.43
fin,1994,95.08
fin,1995,86.1
fin,1996,83.22
fin,1997,80.54
fin,1998,74.55
fin,1999,67.7
fin,2000,62.75
fin,2001,56.89
fin,2002,37.57
fin,2003,30.78
fin,2004,27.61
fin,2005,25.52
fin,2006,20.34
fin,2007,19.22
fin,2008,16.33
fin,2009,17.51
fin,2010,13.11
fin,2011,11.29
fin,2012,10.12
fin,2013,8.49
fin,2014,13.47
fin,2015,13.58
fin,2016,12.3
fin,2017,12.53
fin,2018,11.11
fin,2019,10.39
fji,1990,100
fji,1991,100
fji,1992,100
fji,1993,99.99
fji,1994,99.99
fji,1995,99.99
fji,1996,99.94
fji,1997,99.78
fji,1998,99.37
fji,1999,99.06
fji,2000,98.5
fji,2001,98.14
fji,2002,93.85
fji,2003,93.27
fji,2004,92.59
fji,2005,91.55
fji,2006,90.4
fji,2007,89.1
fji,2008,87
fji,2009,83
fji,2010,80
fji,2011,72
fji,2012,66.26
fji,2013,64.8
fji,2014,62.6
fji,2015,57.5
fji,2016,53.49
fji,2017,50.03
fji,2018,50.03
fji,2019,50.03
fra,1990,99.95
fra,1991,99.86
fra,1992,99.72
fra,1993,99.41
fra,1994,99.1
fra,1995,98.36
fra,1996,97.42
fra,1997,95.75
fra,1998,93.68
fra,1999,90.87
fra,2000,85.69
fra,2001,73.67
fra,2002,69.82
fra,2003,63.86
fra,2004,60.85
fra,2005,57.13
fra,2006,53.13
fra,2007,33.91
fra,2008,29.32
fra,2009,28.42
fra,2010,22.72
fra,2011,22.18
fra,2012,18.56
fra,2013,18.08
fra,2014,16.25
fra,2015,21.99
fra,2016,20.73
fra,2017,19.5
fra,2018,17.96
fra,2019,16.66
fsm,1990,100
fsm,1991,100
fsm,1992,100
fsm,1993,100
fsm,1994,100
fsm,1995,100
fsm,1996,99.72
fsm,1997,99.43
fsm,1998,98.14
fsm,1999,97.2
fsm,2000,96.27
fsm,2001,95.34
fsm,2002,94.43
fsm,2003,90.77
fsm,2004,88.98
fsm,2005,88.12
fsm,2006,87.25
fsm,2007,86.38
fsm,2008,85.51
fsm,2009,84.65
fsm,2010,80
fsm,2011,77.2
fsm,2012,74.03
fsm,2013,72.2
fsm,2014,70.35
fsm,2015,68.5
fsm,2016,66.65
fsm,2017,64.7
fsm,2018,64.7
fsm,2019,64.7
gab,1990,100
gab,1991,100
gab,1992,100
gab,1993,100
gab,1994,100
gab,1995,100
gab,1996,100
gab,1997,99.95
gab,1998,99.83
gab,1999,99.75
gab,2000,98.78
gab,2001,98.65
gab,2002,98.06
gab,2003,97.34
gab,2004,97.02
gab,2005,95.11
gab,2006,94.51
gab,2007,94.23
gab,2008,92.5
gab,2009,90.5
gab,2010,87
gab,2011,82
gab,2012,76
gab,2013,69.46
gab,2014,61.93
gab,2015,54.22
gab,2016,51.95
gab,2017,38
gab,2018,38
gab,2019,38
gbr,1990,99.91
gbr,1991,99.83
gbr,1992,99.74
gbr,1993,99.48
gbr,1994,98.96
gbr,1995,98.1
gbr,1996,95.88
gbr,1997,92.61
gbr,1998,86.33
gbr,1999,78.71
gbr,2000,73.18
gbr,2001,66.52
gbr,2002,43.52
gbr,2003,35.18
gbr,2004,34.39
gbr,2005,30
gbr,2006,31.18
gbr,2007,24.91
gbr,2008,21.61
gbr,2009,16.44
gbr,2010,15
gbr,2011,14.62
gbr,2012,12.52
gbr,2013,10.16
gbr,2014,8.39
gbr,2015,8
gbr,2016,5.22
gbr,2017,5.38
gbr,2018,5.1
gbr,2019,7.48
geo,1990,100
geo,1991,100
geo,1992,100
geo,1993,100
geo,1994,100
geo,1995,99.99
geo,1996,99.96
geo,1997,99.94
geo,1998,99.9
geo,1999,99.58
geo,2000,99.52
geo,2001,99.01
geo,2002,98.41
geo,2003,97.44
geo,2004,96.11
geo,2005,93.92
geo,2006,92.47
geo,2007,91.74
geo,2008,89.99
geo,2009,79.93
geo,2010,73.1
geo,2011,68.48
geo,2012,63.06
geo,2013,56.7
geo,2014,56
geo,2015,52.43
geo,2016,41.54
geo,2017,40.29
geo,2018,36.03
geo,2019,31.15
gha,1990,100
gha,1991,100
gha,1992,100
gha,1993,100
gha,1994,100
gha,1995,100
gha,1996,99.99
gha,1997,99.97
gha,1998,99.97
gha,1999,99.9
gha,2000,99.85
gha,2001,99.8
gha,2002,99.17
gha,2003,98.81
gha,2004,98.28
gha,2005,98.17
gha,2006,97.28
gha,2007,96.15
gha,2008,95.73
gha,2009,94.56
gha,2010,92.2
gha,2011,91
gha,2012,89.4
gha,2013,85
gha,2014,74.48
gha,2015,75
gha,2016,65.33
gha,2017,61
gha,2018,61
gha,2019,61
gin,1990,100
gin,1991,100
gin,1992,100
gin,1993,100
gin,1994,100
gin,1995,100
gin,1996,100
gin,1997,100
gin,1998,99.99
gin,1999,99.94
gin,2000,99.9
gin,2001,99.82
gin,2002,99.6
gin,2003,99.55
gin,2004,99.49
gin,2005,99.46
gin,2006,99.36
gin,2007,99.22
gin,2008,99.08
gin,2009,99.06
gin,2010,99
gin,2011,98
gin,2012,96.9
gin,2013,95.5
gin,2014,93.6
gin,2015,91.8
gin,2016,90.2
gin,2017,82
gin,2018,82
gin,2019,82
gmb,1990,100
gmb,1991,100
gmb,1992,100
gmb,1993,100
gmb,1994,100
gmb,1995,99.99
gmb,1996,99.96
gmb,1997,99.95
gmb,1998,99.79
gmb,1999,99.28
gmb,2000,99.08
gmb,2001,98.66
gmb,2002,98.2
gmb,2003,97.56
gmb,2004,96.69
gmb,2005,96.2
gmb,2006,94.76
gmb,2007,93.79
gmb,2008,93.12
gmb,2009,92.37
gmb,2010,90.8
gmb,2011,89.13
gmb,2012,87.55
gmb,2013,86
gmb,2014,84.44
gmb,2015,83.5
gmb,2016,81.5
gmb,2017,80.16
gmb,2018,80.16
gmb,2019,80.16
gnb,1990,100
gnb,1991,100
gnb,1992,100
gnb,1993,100
gnb,1994,100
gnb,1995,100
gnb,1997,99.98
gnb,1998,99.98
gnb,1999,99.88
gnb,2000,99.77
gnb,2001,99.7
gnb,2002,98.98
gnb,2003,98.65
gnb,2004,98.19
gnb,2005,98.1
gnb,2006,97.94
gnb,2007,97.79
gnb,2008,97.65
gnb,2009,97.7
gnb,2010,97.55
gnb,2011,97.33
gnb,2012,97.11
gnb,2013,96.9
gnb,2014,96.68
gnb,2015,96.46
gnb,2016,96.24
gnb,2017,96.07
gnb,2018,96.07
gnb,2019,96.07
gnq,1990,100
gnq,1991,100
gnq,1992,100
gnq,1993,100
gnq,1994,100
gnq,1995,100
gnq,1997,99.96
gnq,1998,99.91
gnq,1999,99.9
gnq,2000,99.87
gnq,2001,99.83
gnq,2002,99.68
gnq,2003,99.48
gnq,2004,99.16
gnq,2005,98.85
gnq,2006,98.72
gnq,2007,98.44
gnq,2008,98.18
gnq,2009,97.87
gnq,2010,94
gnq,2011,88.5
gnq,2012,86.06
gnq,2013,83.6
gnq,2014,81.14
gnq,2015,78.68
gnq,2016,76.22
gnq,2017,73.76
gnq,2018,73.76
gnq,2019,73.76
grc,1990,100
grc,1991,99.95
grc,1992,99.95
grc,1993,99.81
grc,1994,99.62
grc,1995,99.25
grc,1996,98.6
grc,1997,98.15
grc,1998,96.78
grc,1999,93.12
grc,2000,90.86
grc,2001,89.07
grc,2002,85.33
grc,2003,82.2
grc,2004,78.58
grc,2005,76
grc,2006,67.75
grc,2007,64.12
grc,2008,61.8
grc,2009,57.6
grc,2010,55.6
grc,2011,48.35
grc,2012,44.93
grc,2013,40.13
grc,2014,36.79
grc,2015,33.17
grc,2016,30.91
grc,2017,29.45
grc,2018,27.05
grc,2019,24.33
grd,1990,100
grd,1991,100
grd,1992,100
grd,1993,100
grd,1994,100
grd,1995,100
grd,1996,99.7
grd,1997,99.01
grd,1998,98.52
grd,1999,97.53
grd,2000,95.94
grd,2001,94.87
grd,2002,85.24
grd,2003,81.35
grd,2004,80.43
grd,2005,79.51
grd,2006,78.6
grd,2007,77.71
grd,2008,76.82
grd,2009,75.95
grd,2010,73
grd,2011,70
grd,2012,68
grd,2013,65
grd,2014,48.4
grd,2015,46.19
grd,2016,44.14
grd,2017,40.93
grd,2018,40.93
grd,2019,40.93
gtm,1990,100
gtm,1991,100
gtm,1992,100
gtm,1993,100
gtm,1994,100
gtm,1995,100
gtm,1996,99.98
gtm,1997,99.9
gtm,1998,99.53
gtm,1999,99.41
gtm,2000,99.29
gtm,2001,98.26
gtm,2002,96.61
gtm,2003,95.45
gtm,2004,94.9
gtm,2005,94.3
gtm,2006,93.5
gtm,2007,92.7
gtm,2008,91.7
gtm,2009,90.7
gtm,2010,89.5
gtm,2011,87.7
gtm,2012,84
gtm,2013,80.3
gtm,2014,76.6
gtm,2015,71.19
gtm,2016,65.49
gtm,2017,35
gtm,2018,35
gtm,2019,35
guy,1990,100
guy,1991,100
guy,1992,100
guy,1993,100
guy,1994,100
guy,1995,100
guy,1996,99.93
guy,1997,99.87
guy,1998,99.74
guy,1999,96.03
guy,2000,93.39
guy,2001,86.79
guy,2002,86.79
guy,2003,86.79
guy,2004,86.79
guy,2005,86.79
guy,2006,86.79
guy,2007,86.2
guy,2008,81.8
guy,2009,76.1
guy,2010,70.1
guy,2011,70
guy,2012,69.5
guy,2013,69
guy,2014,68
guy,2015,66
guy,2016,64.34
guy,2017,62.67
guy,2018,62.67
guy,2019,62.67
hkg,1990,100
hkg,1991,99.88
hkg,1992,99.15
hkg,1993,98.67
hkg,1994,97.22
hkg,1995,96.78
hkg,1996,95.25
hkg,1997,89.48
hkg,1998,85.45
hkg,1999,78.77
hkg,2000,72.17
hkg,2001,61.33
hkg,2002,56.92
hkg,2003,47.8
hkg,2004,43.6
hkg,2005,43.1
hkg,2006,39.2
hkg,2007,35.2
hkg,2008,33.3
hkg,2009,30.6
hkg,2010,28
hkg,2011,27.8
hkg,2012,27.1
hkg,2013,25.8
hkg,2014,20.13
hkg,2015,15.05
hkg,2016,12.52
hkg,2017,10.58
hkg,2018,10.58
hkg,2019,8.26
hnd,1990,100
hnd,1991,100
hnd,1992,100
hnd,1993,100
hnd,1994,100
hnd,1995,99.96
hnd,1996,99.96
hnd,1997,99.83
hnd,1998,99.7
hnd,1999,99.43
hnd,2000,98.8
hnd,2001,98.58
hnd,2002,97.4
hnd,2003,95.2
hnd,2004,94.4
hnd,2005,93.5
hnd,2006,92.2
hnd,2007,90.6
hnd,2008,90.4
hnd,2009,90.2
hnd,2010,88.91
hnd,2011,84.1
hnd,2012,81.88
hnd,2013,82.2
hnd,2014,80.92
hnd,2015,72.9
hnd,2016,70.5
hnd,2017,68.3
hnd,2018,68.3
hnd,2019,68.3
hrv,1990,100
hrv,1991,100
hrv,1992,100
hrv,1993,99.9
hrv,1994,99.73
hrv,1995,99.49
hrv,1996,99.14
hrv,1997,98.27
hrv,1998,96.73
hrv,1999,95.59
hrv,2000,93.36
hrv,2001,88.44
hrv,2002,82.24
hrv,2003,77.25
hrv,2004,69.09
hrv,2005,66.86
hrv,2006,62.02
hrv,2007,58.56
hrv,2008,55.76
hrv,2009,49.42
hrv,2010,43.45
hrv,2011,42.21
hrv,2012,38.06
hrv,2013,33.25
hrv,2014,31.43
hrv,2015,30.2
hrv,2016,27.3
hrv,2017,32.9
hrv,2018,27.31
hrv,2019,20.92
hti,1990,100
hti,1991,100
hti,1992,100
hti,1993,100
hti,1994,100
hti,1995,100
hti,1996,99.99
hti,1997,99.99
hti,1998,99.98
hti,1999,99.93
hti,2000,99.77
hti,2001,99.66
hti,2002,99.11
hti,2003,98.35
hti,2004,94.6
hti,2005,93.62
hti,2006,93.2
hti,2007,92.8
hti,2008,92.4
hti,2009,91.9
hti,2010,91.63
hti,2011,91
hti,2012,90.2
hti,2013,89.4
hti,2014,88.6
hti,2015,87.8
hti,2016,87.77
hti,2017,87.67
hti,2018,67.53
hti,2019,67.53
hun,1990,100
hun,1991,100
hun,1992,99.95
hun,1993,99.81
hun,1994,99.52
hun,1995,99.32
hun,1996,99.03
hun,1997,98.06
hun,1998,96.11
hun,1999,94.14
hun,2000,93
hun,2001,85.47
hun,2002,83.33
hun,2003,78.37
hun,2004,72.26
hun,2005,61.03
hun,2006,52.94
hun,2007,46.7
hun,2008,39
hun,2009,38
hun,2010,35
hun,2011,31.98
hun,2012,29.42
hun,2013,27.36
hun,2014,24.35
hun,2015,27.17
hun,2016,20.74
hun,2017,23.25
hun,2018,23.93
hun,2019,19.63
idn,1990,100
idn,1991,100
idn,1992,100
idn,1993,100
idn,1994,100
idn,1995,99.97
idn,1996,99.94
idn,1997,99.81
idn,1998,99.74
idn,1999,99.56
idn,2000,99.07
idn,2001,97.98
idn,2002,97.87
idn,2003,97.61
idn,2004,97.4
idn,2005,96.4
idn,2006,95.24
idn,2007,94.21
idn,2008,92.08
idn,2009,93.08
idn,2010,89.08
idn,2011,87.72
idn,2012,85.48
idn,2013,85.06
idn,2014,82.86
idn,2015,78.02
idn,2016,74.55
idn,2017,67.71
idn,2018,60.21
idn,2019,52.31
ind,1990,100
ind,1991,100
ind,1992,100
ind,1993,100
ind,1994,100
ind,1995,99.97
ind,1996,99.95
ind,1997,99.93
ind,1998,99.86
ind,1999,99.73
ind,2000,99.47
ind,2001,99.34
ind,2002,98.46
ind,2003,98.31
ind,2004,98.02
ind,2005,97.61
ind,2006,97.19
ind,2007,96.05
ind,2008,95.62
ind,2009,94.88
ind,2010,92.5
ind,2011,89.93
ind,2012,87.42
ind,2013,84.9
ind,2014,79
ind,2015,83
ind,2016,78
ind,2017,65.55
ind,2018,65.55
ind,2019,65.55
irl,1990,100
irl,1991,99.94
irl,1992,99.83
irl,1993,99.72
irl,1994,99.44
irl,1995,98.89
irl,1996,97.8
irl,1997,95.91
irl,1998,91.9
irl,1999,89.07
irl,2000,82.15
irl,2001,76.86
irl,2002,74.15
irl,2003,65.69
irl,2004,63.01
irl,2005,58.39
irl,2006,45.18
irl,2007,38.84
irl,2008,34.66
irl,2009,32.62
irl,2010,30.15
irl,2011,25.11
irl,2012,23.08
irl,2013,21.75
irl,2014,16.51
irl,2015,16.51
irl,2016,14.99
irl,2017,15.89
irl,2018,15.48
irl,2019,15.48
irn,1990,100
irn,1991,100
irn,1992,100
irn,1993,100
irn,1994,100
irn,1995,100
irn,1996,99.98
irn,1997,99.95
irn,1998,99.9
irn,1999,99.62
irn,2000,99.07
irn,2001,98.52
irn,2002,95.37
irn,2003,93.07
irn,2004,92.51
irn,2005,91.9
irn,2006,91.24
irn,2007,90.53
irn,2008,87.98
irn,2009,86.2
irn,2010,84.1
irn,2011,81
irn,2012,77.27
irn,2013,70.05
irn,2014,60.65
irn,2015,54.67
irn,2016,46.77
irn,2017,35.96
irn,2018,30
irn,2019,30
irq,1990,100
irq,1991,100
irq,1992,100
irq,1993,100
irq,1994,100
irq,1995,100
irq,2001,99.9
irq,2002,99.5
irq,2003,99.4
irq,2004,99.1
irq,2005,99.1
irq,2006,99.05
irq,2007,99.07
irq,2008,99
irq,2009,98.94
irq,2010,97.5
irq,2011,95
irq,2012,92.9
irq,2013,90.8
irq,2014,86.79
irq,2015,42
irq,2016,78.77
irq,2017,50.64
irq,2018,50.64
irq,2019,50.64
isl,1990,100
isl,1991,99.49
isl,1992,98.46
isl,1993,97.33
isl,1994,93.21
isl,1995,88.78
isl,1996,85.19
isl,1997,72.52
isl,1998,63.74
isl,1999,58.71
isl,2000,55.53
isl,2001,50.61
isl,2002,20.88
isl,2003,16.86
isl,2004,16.12
isl,2005,13
isl,2006,10.49
isl,2007,9.4
isl,2008,9
isl,2009,7
isl,2010,6.61
isl,2011,5.18
isl,2012,3.79
isl,2013,3.45
isl,2014,1.84
isl,2015,1.8
isl,2016,1.76
isl,2017,1.74
isl,2018,0.99
isl,2019,0.99
isr,1990,99.89
isr,1991,99.79
isr,1992,99.69
isr,1993,99.6
isr,1994,99.42
isr,1995,99.07
isr,1996,97.83
isr,1997,95.6
isr,1998,89.69
isr,1999,86.56
isr,2000,79.13
isr,2001,82.62
isr,2002,82.24
isr,2003,80.41
isr,2004,77.23
isr,2005,74.81
isr,2006,72.12
isr,2007,51.87
isr,2008,40.61
isr,2009,36.88
isr,2010,32.5
isr,2011,31.13
isr,2012,29.2
isr,2013,29.75
isr,2014,24.98
isr,2015,22.65
isr,2016,20.35
isr,2017,18.42
isr,2018,18.42
isr,2019,13.21
ita,1990,99.98
ita,1991,99.96
ita,1992,99.93
ita,1993,99.88
ita,1994,99.81
ita,1995,99.48
ita,1996,98.98
ita,1997,97.72
ita,1998,95.44
ita,1999,85.62
ita,2000,76.89
ita,2001,72.78
ita,2002,71.96
ita,2003,70.96
ita,2004,66.76
ita,2005,65
ita,2006,62.01
ita,2007,59.21
ita,2008,55.47
ita,2009,51.17
ita,2010,46.32
ita,2011,45.61
ita,2012,44.17
ita,2013,41.54
ita,2014,44.36
ita,2015,41.86
ita,2016,38.68
ita,2017,36.92
ita,2018,25.61
ita,2019,25.61
jam,1990,100
jam,1991,100
jam,1992,100
jam,1993,100
jam,1994,99.96
jam,1995,99.89
jam,1996,99.41
jam,1997,99.2
jam,1998,98.02
jam,1999,97.64
jam,2000,96.88
jam,2001,96.14
jam,2002,93.9
jam,2003,92.2
jam,2004,90
jam,2005,87.2
jam,2006,83.6
jam,2007,78.9
jam,2008,76.4
jam,2009,75.7
jam,2010,72.33
jam,2011,62.56
jam,2012,66.21
jam,2013,62.9
jam,2014,59.6
jam,2015,57.78
jam,2016,55.63
jam,2017,44.93
jam,2018,44.93
jam,2019,44.93
jor,1990,100
jor,1991,100
jor,1992,100
jor,1993,100
jor,1994,100
jor,1995,99.98
jor,1996,99.96
jor,1997,99.4
jor,1998,98.69
jor,1999,97.47
jor,2000,97.38
jor,2001,95.29
jor,2002,93.97
jor,2003,91.53
jor,2004,88.34
jor,2005,87.07
jor,2006,86.13
jor,2007,80
jor,2008,77
jor,2009,74
jor,2010,72.8
jor,2011,65.1
jor,2012,63
jor,2013,58.6
jor,2014,53.8
jor,2015,39.89
jor,2016,37.7
jor,2017,33.21
jor,2018,33.21
jor,2019,33.21
jpn,1990,99.98
jpn,1991,99.96
jpn,1992,99.9
jpn,1993,99.6
jpn,1994,99.2
jpn,1995,98.41
jpn,1996,95.63
jpn,1997,90.84
jpn,1998,86.59
jpn,1999,78.61
jpn,2000,70.01
jpn,2001,61.47
jpn,2002,53.41
jpn,2003,51.56
jpn,2004,37.61
jpn,2005,33.08
jpn,2006,31.31
jpn,2007,25.7
jpn,2008,24.6
jpn,2009,22
jpn,2010,21.79
jpn,2011,20.95
jpn,2012,20.5
jpn,2013,11.78
jpn,2014,10.89
jpn,2015,8.94
jpn,2016,6.82
jpn,2017,15.41
jpn,2018,15.41
jpn,2019,15.41
kaz,1990,100
kaz,1991,100
kaz,1992,100
kaz,1993,100
kaz,1994,100
kaz,1995,99.99
kaz,1996,99.97
kaz,1997,99.94
kaz,1998,99.87
kaz,1999,99.54
kaz,2000,99.33
kaz,2001,98.99
kaz,2002,98.33
kaz,2003,98
kaz,2004,97.35
kaz,2005,97.04
kaz,2006,96.73
kaz,2007,95.98
kaz,2008,89
kaz,2009,81.8
kaz,2010,68.4
kaz,2011,49.4
kaz,2012,38.09
kaz,2013,36.7
kaz,2014,34
kaz,2015,29.17
kaz,2016,25.41
kaz,2017,23.57
kaz,2018,21.1
kaz,2019,18.12
ken,1990,100
ken,1991,100
ken,1992,100
ken,1993,100
ken,1994,100
ken,1995,100
ken,1996,99.99
ken,1997,99.97
ken,1998,99.95
ken,1999,99.89
ken,2000,99.68
ken,2001,99.38
ken,2002,98.79
ken,2003,97.06
ken,2004,96.98
ken,2005,96.9
ken,2006,96.4
ken,2007,95.6
ken,2008,94.8
ken,2009,93.9
ken,2010,92.8
ken,2011,91.2
ken,2012,89.5
ken,2013,87
ken,2014,83.5
ken,2015,83.41
ken,2016,83.4
ken,2017,82.17
ken,2018,82.17
ken,2019,77.43
kgz,1990,100
kgz,1991,100
kgz,1992,100
kgz,1993,100
kgz,1994,100
kgz,1995,100
kgz,1998,99.93
kgz,1999,99.8
kgz,2000,98.96
kgz,2001,97
kgz,2002,97
kgz,2003,96.09
kgz,2004,94.91
kgz,2005,89.47
kgz,2006,87.69
kgz,2007,85.97
kgz,2008,84.3
kgz,2009,84
kgz,2010,83.7
kgz,2011,82.5
kgz,2012,80.2
kgz,2013,77
kgz,2014,71.7
kgz,2015,69.75
kgz,2016,63
kgz,2017,62
kgz,2018,62
kgz,2019,62
khm,1990,100
khm,1991,100
khm,1992,100
khm,1993,100
khm,1994,100
khm,1995,100
khm,1997,99.99
khm,1998,99.98
khm,1999,99.97
khm,2000,99.95
khm,2001,99.92
khm,2002,99.77
khm,2003,99.74
khm,2004,99.7
khm,2005,99.68
khm,2006,99.53
khm,2007,99.51
khm,2008,99.49
khm,2009,99.47
khm,2010,98.74
khm,2011,96.9
khm,2012,95.06
khm,2013,93.2
khm,2014,86
khm,2015,93.57
khm,2016,67.6
khm,2017,67.55
khm,2018,60
khm,2019,60
kir,1990,100
kir,1991,100
kir,1992,100
kir,1993,100
kir,1994,100
kir,1995,100
kir,1998,99.38
kir,1999,98.79
kir,2000,98.21
kir,2001,97.66
kir,2002,97.5
kir,2003,97
kir,2004,96.5
kir,2005,96
kir,2006,95.5
kir,2007,94
kir,2008,93
kir,2009,91.03
kir,2010,90.93
kir,2011,90
kir,2012,89.25
kir,2013,88.5
kir,2014,87.75
kir,2015,87
kir,2016,86.3
kir,2017,85.42
kir,2018,85.42
kir,2019,85.42
kna,1990,100
kna,1991,100
kna,1992,100
kna,1993,100
kna,1994,100
kna,1995,100
kna,1996,98.05
kna,1997,97.74
kna,1998,96.66
kna,1999,95.6
kna,2000,94.14
kna,2001,92.29
kna,2002,78.85
kna,2003,77.03
kna,2004,75.26
kna,2005,66
kna,2006,61.5
kna,2007,56.5
kna,2008,50.8
kna,2009,44.3
kna,2010,37
kna,2011,36.8
kna,2012,36
kna,2013,35.4
kna,2014,32
kna,2015,24.3
kna,2016,23.18
kna,2017,19.29
kna,2018,19.29
kna,2019,19.29
kor,1990,99.98
kor,1991,99.95
kor,1992,99.9
kor,1993,99.75
kor,1994,99.69
kor,1995,99.18
kor,1996,98.38
kor,1997,96.4
kor,1998,93.22
kor,1999,76.45
kor,2000,55.3
kor,2001,43.4
kor,2002,40.6
kor,2003,34.5
kor,2004,27.3
kor,2005,26.5
kor,2006,21.9
kor,2007,21.2
kor,2008,19
kor,2009,18.4
kor,2010,16.3
kor,2011,16.24
kor,2012,15.93
kor,2013,15.23
kor,2014,12.44
kor,2015,10.1
kor,2016,7.16
kor,2017,4.93
kor,2018,4.1
kor,2019,3.84
kwt,1990,100
kwt,1991,100
kwt,1992,100
kwt,1993,99.91
kwt,1994,99.85
kwt,1995,99.8
kwt,1996,99.14
kwt,1997,97.83
kwt,1998,96.95
kwt,1999,95.24
kwt,2000,93.27
kwt,2001,91.45
kwt,2002,89.75
kwt,2003,77.6
kwt,2004,77.07
kwt,2005,74.07
kwt,2006,71.21
kwt,2007,65.2
kwt,2008,58
kwt,2009,49.2
kwt,2010,38.6
kwt,2011,34.23
kwt,2012,29.55
kwt,2013,24.54
kwt,2014,21.3
kwt,2015,28
kwt,2016,21.63
kwt,2017,0
kwt,2018,0.4
kwt,2019,0.46
lao,1990,100
lao,1991,100
lao,1992,100
lao,1993,100
lao,1994,100
lao,1995,100
lao,1998,99.99
lao,1999,99.96
lao,2000,99.89
lao,2001,99.82
lao,2002,99.73
lao,2003,99.67
lao,2004,99.64
lao,2005,99.15
lao,2006,98.83
lao,2007,98.36
lao,2008,96.45
lao,2009,94
lao,2010,93
lao,2011,91
lao,2012,89.25
