country,time,popcit_500k_1m
col,1950,630315
col,1955,1416815
col,1960,726581
col,1965,2221632
col,1970,1541450
col,1975,829522
col,1980,960889
col,1985,548471
col,1990,1211630
col,1995,1974225
col,2000,2727146
col,2005,3027686
col,2010,2745373
col,2015,2971558
col,2020,3704081
col,2025,3915180
col,2030,3572869
col,2035,3691251
com,1950,0
com,1955,0
com,1960,0
com,1965,0
com,1970,0
com,1975,0
com,1980,0
com,1985,0
com,1990,0
com,1995,0
com,2000,0
com,2005,0
com,2010,0
com,2015,0
com,2020,0
com,2025,0
com,2030,0
com,2035,0
cpv,1950,0
cpv,1955,0
cpv,1960,0
cpv,1965,0
cpv,1970,0
cpv,1975,0
cpv,1980,0
cpv,1985,0
cpv,1990,0
cpv,1995,0
cpv,2000,0
cpv,2005,0
cpv,2010,0
cpv,2015,0
cpv,2020,0
cpv,2025,0
cpv,2030,0
cpv,2035,0
cri,1950,0
cri,1955,0
cri,1960,0
cri,1965,0
cri,1970,0
cri,1975,0
cri,1980,526020
cri,1985,627401
cri,1990,740667
cri,1995,874383
cri,2000,0
cri,2005,0
cri,2010,0
cri,2015,0
cri,2020,0
cri,2025,0
cri,2030,0
cri,2035,0
cub,1950,0
cub,1955,0
cub,1960,0
cub,1965,0
cub,1970,0
cub,1975,0
cub,1980,0
cub,1985,0
cub,1990,0
cub,1995,0
cub,2000,0
cub,2005,0
cub,2010,0
cub,2015,0
cub,2020,0
cub,2025,0
cub,2030,0
cub,2035,0
cyp,1950,0
cyp,1955,0
cyp,1960,0
cyp,1965,0
cyp,1970,0
cyp,1975,0
cyp,1980,0
cyp,1985,0
cyp,1990,0
cyp,1995,0
cyp,2000,0
cyp,2005,0
cyp,2010,0
cyp,2015,0
cyp,2020,0
cyp,2025,0
cyp,2030,0
cyp,2035,0
cze,1950,934789
cze,1955,967242
cze,1960,0
cze,1965,0
cze,1970,0
cze,1975,0
cze,1980,0
cze,1985,0
cze,1990,0
cze,1995,0
cze,2000,0
cze,2005,0
cze,2010,0
cze,2015,0
cze,2020,0
cze,2025,0
cze,2030,0
cze,2035,0
deu,1950,4188147
deu,1955,5696472
deu,1960,6330387
deu,1965,6402232
deu,1970,6343858
deu,1975,6801854
deu,1980,6762673
deu,1985,6475308
deu,1990,6076905
deu,1995,5600567
deu,2000,5519198
deu,2005,6031968
deu,2010,5661335
deu,2015,5821362
deu,2020,6509393
deu,2025,6606785
deu,2030,6666319
deu,2035,6726821
dji,1950,0
dji,1955,0
dji,1960,0
dji,1965,0
dji,1970,0
dji,1975,0
dji,1980,0
dji,1985,0
dji,1990,0
dji,1995,0
dji,2000,0
dji,2005,0
dji,2010,0
dji,2015,531499
dji,2020,576157
dji,2025,616332
dji,2030,660752
dji,2035,704312
